 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0130737 / 0.0130702 | -0.00210132 / 0.00210123 | -0.00658696 / 0.00658609 | -0.0119436 / 0.0119407 | -0.0137525 / 0.0137487 | -0.00512093 / 0.00512041 | -0.0171674 / 0.0171614 | -0.00226306 / 0.00226296 | 0.0102342 / -0.0102362 | -nan / -nan | -nan / -nan |
 | jvt | -0.00716565 / 0.00716532 | -0.00372427 / 0.00372418 | -0.00873865 / 0.00873815 | -0.00120217 / 0.00120217 | -0.00231671 / 0.00231668 | -0.00208389 / 0.00208386 | -0.00184558 / 0.00184556 | 0.00107051 / -0.00107052 | -0.00343063 / 0.00343055 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.00012637 / -0.00012637 | 0.000176223 / -0.000176223 | 0.000170805 / -0.000170805 | 0.000179662 / -0.000179662 | 0.000133533 / -0.000133533 | 0.000148242 / -0.000148242 | 0.000268044 / -0.000268044 | 0.000213196 / -0.000213197 | 0.000167706 / -0.000167706 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00241095 / -0.00241099 | 0.0027494 / -0.00274945 | 0.00248813 / -0.00248817 | 0.00232023 / -0.00232026 | 0.00234445 / -0.00234449 | 0.00228973 / -0.00228976 | 0.00357678 / -0.00357687 | 0.00497928 / -0.00497944 | 0.00670394 / -0.00670424 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0130373 / -0.013038 | 0.0161318 / -0.016133 | 0.0145945 / -0.0145954 | 0.013307 / -0.0133078 | 0.0131353 / -0.0131361 | 0.0124382 / -0.0124389 | 0.0203705 / -0.0203724 | 0.0274993 / -0.0275032 | 0.0724521 / -0.0724914 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.018899 / -0.018899 | 0.0206922 / -0.0206922 | 0.0180281 / -0.018028 | 0.0169493 / -0.0169492 | 0.0162108 / -0.0162107 | 0.0176574 / -0.0176573 | 0.0202521 / -0.0202521 | 0.0141713 / -0.0141712 | 0.0161333 / -0.0161333 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000225534 / -0.000225534 | 0.000186872 / -0.000186872 | 0.000237968 / -0.000237968 | 0.000228458 / -0.000228458 | 0.000231356 / -0.000231356 | 0.000259302 / -0.000259302 | 0.000356477 / -0.000356478 | 0.000627894 / -0.000627896 | 0.000100055 / -0.000100055 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000500091 / 0.00050009 | -0.000537121 / 0.000537119 | -0.000526512 / 0.00052651 | -0.000506444 / 0.000506442 | -0.000506451 / 0.000506449 | -0.000567891 / 0.000567889 | -0.000920497 / 0.000920492 | -0.00191617 / 0.00191614 | -0.000260614 / 0.000260614 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000912075 / -0.00091208 | 0.000892994 / -0.000892999 | 0.000833851 / -0.000833856 | 0.000900965 / -0.00090097 | 0.00091431 / -0.000914315 | 0.00089447 / -0.000894475 | 0.00074181 / -0.000741814 | 0.000898312 / -0.000898317 | 0.00064637 / -0.000646372 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00369569 / -0.00369578 | 0.00293017 / -0.00293022 | 0.00291201 / -0.00291207 | 0.00340293 / -0.003403 | 0.00370496 / -0.00370506 | 0.00318598 / -0.00318605 | 0.00255612 / -0.00255616 | 0.002552 / -0.00255204 | 0.00262296 / -0.002623 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
