 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00540246 / 0.00540217 | -0.00185127 / 0.00185123 | -0.0072174 / 0.00721689 | -0.00537637 / 0.00537609 | -0.00145058 / 0.00145056 | 0.000313705 / -0.000313706 | -0.0104929 / 0.0104918 | 0.0336759 / -0.0320727 | -0.0469673 / 0.0469402 | -nan / -nan | -nan / -nan |
 | jvt | -0.00144032 / 0.00144031 | 0.000422242 / -0.000422243 | -0.00289624 / 0.00289619 | 0.000726005 / -0.000726009 | 0.000809202 / -0.000809207 | 0.000447157 / -0.000447158 | 0.00245907 / -0.00245911 | 0.00469176 / -0.0046919 | 0.0027737 / -0.00277375 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.0001102 / -0.0001102 | 0.000175193 / -0.000175193 | 0.000164055 / -0.000164055 | 0.000124459 / -0.000124459 | 0.000131006 / -0.000131006 | 0.000131134 / -0.000131134 | 0.000333692 / -0.000333693 | 0.000279558 / -0.000279559 | 0.000122528 / -0.000122528 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00240384 / -0.00240387 | 0.00227603 / -0.00227607 | 0.00252105 / -0.00252109 | 0.00232995 / -0.00232999 | 0.00233482 / -0.00233485 | 0.00231246 / -0.0023125 | 0.00364461 / -0.0036447 | 0.00664064 / -0.00664094 | 0.00272099 / -0.00272104 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0139257 / -0.0139258 | 0.0133995 / -0.0133996 | 0.0142452 / -0.0142453 | 0.0134438 / -0.0134438 | 0.0135762 / -0.0135763 | 0.0127286 / -0.0127286 | 0.0212891 / -0.0212895 | 0.0329515 / -0.0320928 | 0.0142804 / -0.0142805 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0198248 / -0.0198229 | 0.017426 / -0.0174245 | 0.0184164 / -0.0184147 | 0.0168781 / -0.0168767 | 0.0170874 / -0.017086 | 0.0181945 / -0.0181928 | 0.0163398 / -0.0163384 | 0.0226599 / -0.0225967 | 0.0282729 / -0.0282695 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000187443 / -0.000187443 | 0.000212631 / -0.000212631 | 0.000234682 / -0.000234683 | 0.000215245 / -0.000215245 | 0.000195399 / -0.000195399 | 0.000224822 / -0.000224822 | 0.000264678 / -0.000264679 | 0.000343354 / -0.000343354 | 0.00012099 / -0.00012099 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000387536 / 0.000387535 | -0.000430401 / 0.000430399 | -0.000521995 / 0.000521993 | -0.000488819 / 0.000488817 | -0.000433688 / 0.000433687 | -0.000519336 / 0.000519335 | -0.00109258 / 0.00109258 | -0.000785714 / 0.00078571 | -0.000350351 / 0.00035035 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000865471 / -0.000865476 | 0.000879694 / -0.000879699 | 0.000902112 / -0.000902118 | 0.000876599 / -0.000876604 | 0.00088576 / -0.000885766 | 0.000879625 / -0.000879631 | 0.000867972 / -0.000867977 | 0.000490866 / -0.000490868 | 0.000782248 / -0.000782252 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00434562 / -0.00434575 | 0.00339858 / -0.00339866 | 0.00311457 / -0.00311463 | 0.00454125 / -0.00454139 | 0.00427311 / -0.00427323 | 0.00354599 / -0.00354608 | 0.00275482 / -0.00275487 | 0.00174996 / -0.00174998 | 0.00380821 / -0.00380831 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.0085886 / -0.00858908 | 0.0076171 / -0.00761748 | 0.00327689 / -0.00327696 | 0.00751343 / -0.00751381 | 0.00739478 / -0.00739514 | 0.00370505 / -0.00370514 | 0.0081632 / -0.00816364 | 0.00183328 / -0.0018333 | 0.0156173 / -0.0156189 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0164655 / -0.0164679 | 0.0210011 / -0.0210051 | 0.0150545 / -0.0150565 | 0.0176737 / -0.0176764 | 0.0173368 / -0.0173394 | 0.0145259 / -0.0145277 | 0.0243709 / -0.0243763 | 0.0121307 / -0.012059 | 0.0167958 / -0.0167982 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000627506 / -0.000627509 | 0.000494732 / -0.000494733 | 0.000506201 / -0.000506203 | 0.00060193 / -0.000601932 | 0.000600735 / -0.000600737 | 0.000528479 / -0.000528481 | 0.000517965 / -0.000517967 | 0.000242304 / -0.000242304 | 0.000552862 / -0.000552864 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000810868 / -0.000810873 | 0.000587694 / -0.000587696 | 0.000597041 / -0.000597044 | 0.000732567 / -0.00073257 | 0.000744193 / -0.000744196 | 0.000650626 / -0.000650629 | 0.000521168 / -0.00052117 | 0.000349441 / -0.000349442 | 0.000788936 / -0.000788941 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | 0.00738095 / -0.00738304 | 0.0128509 / -0.0128572 | 0.00829099 / -0.00829362 | 0.000322787 / -0.000322791 | -0.003616 / 0.0036155 | 0.0030293 / -0.00302966 | -0.00529233 / 0.00529125 | -0.0183591 / 0.018346 | 0.000769397 / -0.00076942 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_1 | 0.000791536 / -0.00079154 | 0.00159463 / -0.00159465 | 0.00223108 / -0.00223111 | -3.83706e-05 / 3.83706e-05 | -0.00211946 / 0.00211943 | -0.000368054 / 0.000368053 | -0.00367661 / 0.00367652 | -0.00243518 / 0.00243514 | 0.000448336 / -0.000448337 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_2 | -0.00110957 / 0.00110956 | -0.00141206 / 0.00141205 | -0.00147392 / 0.00147391 | 3.39102e-05 / -3.39102e-05 | 0.000724721 / -0.000724724 | -0.000460469 / 0.000460467 | 0.00166227 / -0.00166229 | 0.00100897 / -0.00100898 | -0.000103476 / 0.000103476 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | 0.000164312 / -0.000164312 | 0.000491425 / -0.000491426 | 0.000457976 / -0.000457977 | -1.87098e-05 / 1.87098e-05 | -3.87532e-05 / 3.87532e-05 | 0.000212199 / -0.0002122 | 0.000273816 / -0.000273817 | 0.00105764 / -0.00105765 | 0.000244876 / -0.000244877 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_4 | -1.10984e-05 / 1.10984e-05 | -0.000107662 / 0.000107662 | -4.83692e-05 / 4.83692e-05 | 3.40994e-06 / -3.40994e-06 | -1.47034e-05 / 1.47034e-05 | 8.7875e-06 / -8.7875e-06 | -0.000109799 / 0.000109799 | -0.00015975 / 0.00015975 | 2.89977e-05 / -2.89977e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_5 | -2.68052e-06 / 2.68052e-06 | 1.89806e-05 / -1.89806e-05 | 3.10845e-06 / -3.10845e-06 | -7.72019e-07 / 7.72019e-07 | -6.47634e-06 / 6.47634e-06 | -3.22461e-06 / 3.22461e-06 | -1.21045e-05 / 1.21045e-05 | -7.21193e-06 / 7.21193e-06 | -1.19932e-06 / 1.19932e-06 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_6 | -3.64828e-07 / 3.64828e-07 | -6.01656e-07 / 6.01656e-07 | 2.28256e-06 / -2.28256e-06 | 1.08975e-07 / -1.08975e-07 | -4.78904e-07 / 4.78904e-07 | -1.86384e-07 / 1.86384e-07 | 6.87383e-06 / -6.87383e-06 | -2.27518e-06 / 2.27518e-06 | -9.71949e-07 / 9.71949e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_7 | -9.73978e-08 / 9.73978e-08 | -9.57831e-08 / 9.57831e-08 | 1.0799e-07 / -1.0799e-07 | -7.53518e-09 / 7.53518e-09 | -7.75558e-08 / 7.75558e-08 | -1.60556e-07 / 1.60556e-07 | -3.94273e-07 / 3.94273e-07 | 1.19125e-06 / -1.19125e-06 | -2.39365e-07 / 2.39365e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_8 | 1.63591e-09 / -1.63591e-09 | 2.51446e-09 / -2.51446e-09 | 3.57856e-09 / -3.57856e-09 | -1.76139e-10 / 1.76138e-10 | 1.02264e-08 / -1.02264e-08 | 1.38351e-08 / -1.38351e-08 | 3.9122e-08 / -3.9122e-08 | 6.31661e-08 / -6.31661e-08 | -2.46771e-08 / 2.46771e-08 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_0 | 0.00147132 / -0.0014712 | 0.000819317 / -0.000819282 | 0.00236327 / -0.00236298 | -0.00318613 / 0.00318666 | -0.0215609 / 0.0215863 | 5.34208e-05 / -5.34206e-05 | -0.000203374 / 0.000203376 | -0.019957 / 0.020239 | -0.042883 / 0.0429878 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_1 | 1.88823e-05 / -1.88824e-05 | 0.000103769 / -0.000103769 | -9.31268e-05 / 9.31268e-05 | 0.000187797 / -0.000187798 | -0.007421 / 0.00742066 | -0.000116157 / 0.000116157 | -2.83923e-05 / 2.83923e-05 | 0.000845939 / -0.00032724 | 0.000590496 / -0.000590498 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_2 | -0.00012176 / 0.00012176 | 9.30035e-06 / -9.30035e-06 | -9.32031e-05 / 9.32031e-05 | 3.47454e-05 / -3.47454e-05 | 0.0005313 / -0.000531302 | 3.72984e-05 / -3.72984e-05 | 3.60553e-05 / -3.60553e-05 | 0.00120783 / -0.00120784 | 0.000539951 / -0.000539953 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_3 | 3.36401e-05 / -3.36401e-05 | 1.37881e-05 / -1.37881e-05 | 5.07373e-05 / -5.07373e-05 | -3.82214e-05 / 3.82214e-05 | -0.000282402 / 0.000282401 | 4.96963e-06 / -4.96963e-06 | 3.24169e-05 / -3.24169e-05 | -0.000105698 / 0.000105697 | -0.000944548 / 0.000944542 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_0 | 0.000665561 / -0.000665558 | 0.000526423 / -0.000526421 | 0.00108461 / -0.0010846 | -0.128266 / 0.128222 | -0.00199493 / 0.00199495 | -0.00119764 / 0.00119765 | 0.00100792 / -0.00100791 | 0.000545283 / -0.000545281 | -0.00810232 / 0.00810269 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_1 | -1.19729e-05 / 1.19729e-05 | 2.87308e-05 / -2.87308e-05 | -0.000116252 / 0.000116252 | -0.0138033 / 0.0138027 | -0.000244147 / 0.000244147 | -0.000259993 / 0.000259993 | -0.000347622 / 0.000347622 | -0.000653747 / 0.000653745 | -0.00116067 / 0.00116066 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_2 | -1.29891e-05 / 1.29891e-05 | 3.03899e-05 / -3.03899e-05 | 6.97098e-06 / -6.97098e-06 | -0.0102344 / 0.0102337 | -0.000151576 / 0.000151576 | -0.000208115 / 0.000208115 | 8.9905e-05 / -8.9905e-05 | -0.000401018 / 0.000401017 | -0.000820058 / 0.000820053 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_3 | 3.76093e-05 / -3.76093e-05 | 2.01454e-05 / -2.01454e-05 | 4.1369e-05 / -4.1369e-05 | -0.00444132 / 0.00444119 | -4.93805e-05 / 4.93805e-05 | 2.6768e-06 / -2.6768e-06 | 4.95019e-05 / -4.95019e-05 | -0.000181028 / 0.000181028 | -0.000413516 / 0.000413515 | -nan / -nan | -nan / -nan |
 | EG_RESOLUTION_ALL | -0.00114194 / 0.00114195 | 0.00428949 / -0.00428921 | -0.0019149 / 0.00191487 | 0.000840349 / -0.000840383 | 4.85991e-05 / -4.85735e-05 | -0.0015918 / 0.0015918 | -0.00828652 / 0.00828738 | 0.0510721 / -0.0510493 | 0.0024489 / -0.00244891 | -nan / -nan | -nan / -nan |
 | EG_SCALE_ALL | 0.00151599 / -0.00151599 | 0.00189157 / -0.00189161 | -0.000821665 / 0.000821707 | 0.00129225 / -0.00129222 | 0.000983231 / -0.000983202 | -0.00178047 / 0.00178044 | 0.0063907 / -0.00639062 | -0.00890006 / 0.00890018 | -0.00190189 / 0.00190182 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_BJES_Response | 0.000615289 / -0.000615296 | 0.00478427 / -0.00478439 | -0.00125286 / 0.00125289 | -8.95047e-05 / 8.94612e-05 | 0.00328909 / -0.0032891 | 0.00521651 / -0.00521663 | 0.00806449 / -0.0080646 | 0.0756418 / -0.0756462 | -0.0022251 / 0.00222512 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00308624 / -0.00308553 | 0.0104639 / -0.0104556 | 0.00396751 / -0.00396628 | 0.00662292 / -0.00661955 | 0.0102561 / -0.010248 | 0.00711424 / -0.00711043 | 0.0103122 / -0.0103041 | -0.00352617 / 0.0667347 | 0.00701774 / -0.00701407 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_2 | 0.000399043 / -0.00039905 | 0.000984151 / -0.0009841 | 0.000627314 / -0.00062738 | -0.00269574 / 0.00269561 | -0.00332216 / 0.003322 | 0.00134239 / -0.00134236 | -0.00418077 / 0.00418056 | -0.0424875 / 0.0424644 | -0.00431724 / 0.00431706 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_3 | -0.00200186 / 0.00200197 | 0.00485982 / -0.00485919 | -0.00140745 / 0.00140755 | 0.00347472 / -0.00347442 | -0.00133532 / 0.00133534 | 0.000572389 / -0.000572324 | -0.0155796 / 0.015586 | -0.0393954 / 0.0394331 | 0.0842009 / -0.0424842 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_4 | 0.000398192 / -0.000398196 | -0.00347136 / 0.00347133 | -0.000268253 / 0.000268291 | 0.0011407 / -0.00114066 | -0.00102853 / 0.00102856 | 0.00511686 / -0.00511684 | 0.00714715 / -0.00714705 | -0.113085 / 0.113039 | -0.0443443 / 0.0443438 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_5 | 7.92178e-05 / -7.91375e-05 | -0.000378767 / 0.000378829 | 0.00105657 / -0.00105654 | -0.000415485 / 0.000415515 | -0.000555159 / 0.000555183 | 0.000122816 / -0.000122756 | -0.0112496 / 0.0112485 | 0.106628 / -0.106721 | 0.000471486 / -0.000471566 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_8 | -0.000413328 / 0.000413324 | -0.000833907 / 0.000833867 | -0.00368979 / 0.00368995 | -0.00273477 / 0.00273486 | 0.00150661 / -0.00150656 | -0.000157916 / 0.000157975 | 0.00787307 / -0.00787249 | -0.0284489 / 0.0284547 | -0.00236735 / 0.00236743 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_7 | 1.09024e-05 / -1.09083e-05 | 9.04253e-05 / -9.04731e-05 | 0.00115366 / -0.00115373 | 0.0038909 / -0.00389096 | 0.000134634 / -0.000134668 | 0.000536333 / -0.00053637 | 0.0141645 / -0.0141658 | -0.078313 / 0.0782854 | 0.000429703 / -0.000429783 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 0.000351338 / -0.000351258 | 0.00146718 / -0.00146722 | -0.000312623 / 0.000312664 | 0.000809873 / -0.00080984 | 0.00188017 / -0.00188013 | -0.00244696 / 0.00244694 | -0.000839899 / 0.000839984 | 0.00102877 / -0.00102877 | -0.0020634 / 0.00206334 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | -0.00101205 / 0.00101217 | 0.0125004 / -0.0124924 | -0.006589 / 0.00659117 | 0.0051392 / -0.00513785 | 0.0104246 / -0.0104191 | 0.0132199 / -0.013211 | -0.00427115 / 0.00427204 | -0.0160165 / 0.0177708 | 0.0847772 / -0.0456901 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -0.000106287 / 0.000106281 | -0.00279282 / 0.00279289 | -0.000236515 / 0.000236454 | 0.00715831 / -0.00715825 | 0.00251097 / -0.00251094 | 0.00809274 / -0.00809263 | -0.00628363 / 0.00628368 | -0.188711 / 0.189113 | 0.00397919 / -0.00397914 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -9.18862e-05 / 9.18803e-05 | -2.4065e-08 / -2.4065e-08 | -5.39825e-08 / 9.56248e-08 | -0.000120356 / 0.000120388 | 1.12877e-05 / -1.12613e-05 | -1.42695e-05 / 1.42338e-05 | 4.18784e-08 / 4.18784e-08 | -1.74651e-09 / -1.74651e-09 | -3.95272e-08 / -3.95272e-08 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 9.03991e-05 / -9.04049e-05 | 1.95159e-06 / -1.88832e-06 | -0.00119016 / 0.00119008 | 0.000813729 / -0.000813776 | -0.000292806 / 0.000292832 | 0.000414958 / -0.000414899 | 0.00568298 / -0.00568321 | -0.0266181 / 0.0266133 | 0.00234002 / -0.00234003 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 0.000808944 / -0.000808954 | -0.000592617 / 0.000592567 | 0.000635255 / -0.000635216 | 0.000752587 / -0.000752634 | 0.000284894 / -0.000284928 | 0.00204062 / -0.00204068 | -0.00169755 / 0.00169752 | -0.00152962 / 0.0015296 | 0.00196834 / -0.00196833 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | 0.000114224 / -0.00011423 | 0.00207592 / -0.002076 | -0.00187681 / 0.00187673 | -0.000899013 / 0.000899039 | 0.00378424 / -0.00378439 | -0.00209278 / 0.0020928 | -0.0146212 / 0.0146194 | 0.105332 / -0.105427 | 0.000330782 / -0.000330752 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Flavor_Composition | -0.00469392 / 0.00471538 | 0.0206808 / -0.0202742 | -0.00717843 / 0.00722873 | 0.0326616 / -0.0316585 | 0.019987 / -0.0196069 | 0.00933785 / -0.00925406 | 0.0049337 / -0.00491021 | 0.194029 / -0.163095 | 0.0546369 / -0.0492378 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Flavor_Response | 0.00132122 / -0.00132085 | -0.0132125 / 0.0132505 | 0.00590337 / -0.00589592 | -0.0133813 / 0.0134202 | -0.0148972 / 0.0149456 | -0.00359813 / 0.00360089 | 0.0195536 / -0.0194733 | 0.0750426 / -0.07393 | -0.0443834 / 0.0448257 | -nan / -nan | -nan / -nan |
