 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0126183 / 0.0126167 | -0.0159798 / 0.0159771 | -0.0103212 / 0.0103201 | -0.00173551 / 0.00173548 | -0.0121561 / 0.0121546 | -0.0125923 / 0.0125906 | -0.0236227 / 0.0236166 | 0.016219 / -0.0162212 | -0.0225949 / 0.0225894 | -nan / -nan | -nan / -nan |
 | jvt | -0.00550406 / 0.00550386 | -0.00208205 / 0.00208202 | -0.00401747 / 0.00401736 | 0.00108605 / -0.00108606 | 0.000652236 / -0.000652239 | -0.000395764 / 0.000395763 | 0.000343251 / -0.000343252 | -0.000171765 / 0.000171765 | 0.00312596 / -0.00312602 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000145708 / -0.000145708 | 0.000153736 / -0.000153736 | 0.000214844 / -0.000214844 | 0.000194863 / -0.000194863 | 0.000174207 / -0.000174208 | 0.000173189 / -0.000173189 | 0.00031868 / -0.00031868 | 0.000425632 / -0.000425634 | 0.000109253 / -0.000109253 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00249703 / -0.00249707 | 0.00250685 / -0.00250689 | 0.00275177 / -0.00275182 | 0.00265048 / -0.00265053 | 0.00234151 / -0.00234155 | 0.00248978 / -0.00248982 | 0.00406193 / -0.00406204 | 0.00495586 / -0.00495602 | 0.00340736 / -0.00340743 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0141382 / -0.0141383 | 0.0142771 / -0.0142772 | 0.0159825 / -0.0159826 | 0.0146992 / -0.0146992 | 0.0130758 / -0.0130758 | 0.0144187 / -0.0144187 | 0.0231567 / -0.0231571 | 0.0277006 / -0.0277014 | 0.0105274 / -0.0105274 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0189021 / -0.0189003 | 0.0177607 / -0.0177591 | 0.0172886 / -0.0172871 | 0.0181892 / -0.0181876 | 0.0161298 / -0.0161285 | 0.0173769 / -0.0173754 | 0.0177685 / -0.0177669 | 0.0200173 / -0.0200154 | 0.0180232 / -0.0180216 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000252047 / -0.000252047 | 0.000305836 / -0.000305837 | 0.000268555 / -0.000268555 | 0.000194987 / -0.000194988 | 0.0002797 / -0.0002797 | 0.000277807 / -0.000277807 | 0.000371484 / -0.000371485 | 0.000135466 / -0.000135467 | 4.09568e-05 / -4.09568e-05 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000571227 / 0.000571225 | -0.000666604 / 0.000666601 | -0.000658578 / 0.000658575 | -0.000542872 / 0.00054287 | -0.000613721 / 0.000613718 | -0.00066306 / 0.000663057 | -0.000991252 / 0.000991245 | -0.000945033 / 0.000945027 | -0.00126263 / 0.00126262 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000879085 / -0.00087909 | 0.000923624 / -0.000923629 | 0.000863103 / -0.000863108 | 0.00053355 / -0.000533552 | 0.000910839 / -0.000910844 | 0.000917428 / -0.000917434 | 0.000869078 / -0.000869083 | 0.000655499 / -0.000655502 | 0.000608509 / -0.000608512 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
