 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0132274 / 0.0132254 | -0.00212905 / 0.002129 | -0.00666177 / 0.00666127 | -0.0120895 / 0.0120878 | -0.0139037 / 0.0139015 | -0.00518455 / 0.00518425 | -0.0173718 / 0.0173683 | -0.00231422 / 0.00231416 | 0.0103502 / -0.0103513 | -nan / -nan | -nan / -nan |
 | jvt | -0.00716543 / 0.00716509 | -0.00372462 / 0.00372452 | -0.00874016 / 0.00873965 | -0.00120264 / 0.00120263 | -0.00231676 / 0.00231673 | -0.00208395 / 0.00208392 | -0.00184539 / 0.00184537 | 0.00106822 / -0.00106823 | -0.00342955 / 0.00342947 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000126358 / -0.000126358 | 0.000176238 / -0.000176238 | 0.000170794 / -0.000170794 | 0.000179643 / -0.000179643 | 0.000133522 / -0.000133522 | 0.000148243 / -0.000148243 | 0.000268058 / -0.000268059 | 0.0002132 / -0.000213201 | 0.0001677 / -0.0001677 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00241095 / -0.00241099 | 0.00274976 / -0.00274982 | 0.00248802 / -0.00248806 | 0.00232024 / -0.00232027 | 0.00234445 / -0.00234449 | 0.0022898 / -0.00228984 | 0.00357676 / -0.00357685 | 0.00497933 / -0.0049795 | 0.00670334 / -0.00670364 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0130761 / -0.0130784 | 0.0161841 / -0.0161876 | 0.0146373 / -0.0146402 | 0.0133467 / -0.0133491 | 0.0131744 / -0.0131768 | 0.0124753 / -0.0124774 | 0.020436 / -0.0204416 | 0.0275895 / -0.0275999 | 0.0727834 / -0.0728587 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0189899 / -0.0189958 | 0.020792 / -0.020799 | 0.0181136 / -0.0181189 | 0.0170293 / -0.0170341 | 0.0162868 / -0.0162912 | 0.0177413 / -0.0177464 | 0.0203489 / -0.0203556 | 0.014237 / -0.0142403 | 0.0162089 / -0.0162132 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000225483 / -0.000225484 | 0.000186879 / -0.000186879 | 0.000237971 / -0.000237971 | 0.000228437 / -0.000228437 | 0.000231347 / -0.000231348 | 0.000259279 / -0.000259279 | 0.000356452 / -0.000356453 | 0.000627972 / -0.000627975 | 0.000100057 / -0.000100057 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000499974 / 0.000499972 | -0.000537135 / 0.000537133 | -0.0005265 / 0.000526498 | -0.000506422 / 0.00050642 | -0.000506433 / 0.000506432 | -0.000567862 / 0.00056786 | -0.00092042 / 0.000920414 | -0.00191581 / 0.00191578 | -0.000260581 / 0.00026058 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000912076 / -0.000912081 | 0.000893068 / -0.000893073 | 0.000833829 / -0.000833834 | 0.000900985 / -0.000900991 | 0.000914309 / -0.000914314 | 0.00089446 / -0.000894465 | 0.000741879 / -0.000741882 | 0.000898265 / -0.00089827 | 0.000646381 / -0.000646383 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
