 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00516736 / 0.00516706 | -0.000978152 / 0.000978142 | -0.00509332 / 0.00509303 | 0.00416208 / -0.00416227 | -0.00116516 / 0.00116514 | -0.00262284 / 0.00262277 | -0.00240212 / 0.00240205 | -0.00143797 / 0.00143794 | 0.0232091 / -0.0232145 | -nan / -nan | -nan / -nan |
 | jvt | 0.00239723 / -0.00239727 | 0.00247405 / -0.00247409 | 0.00107316 / -0.00107316 | 0.00326176 / -0.00326183 | 0.00350424 / -0.00350432 | 0.00269422 / -0.00269426 | 0.00305735 / -0.00305741 | 0.00457742 / -0.00457756 | 0.00409728 / -0.00409739 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000136069 / -0.000136069 | 0.000193627 / -0.000193628 | 0.00019057 / -0.00019057 | 0.000165326 / -0.000165326 | 0.000159438 / -0.000159438 | 0.000166621 / -0.000166621 | 0.000316044 / -0.000316045 | 0.000281476 / -0.000281477 | 9.68228e-05 / -9.68229e-05 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00241 / -0.00241004 | 0.00247209 / -0.00247213 | 0.00269135 / -0.0026914 | 0.00252193 / -0.00252197 | 0.00238614 / -0.00238617 | 0.00243297 / -0.00243301 | 0.0043484 / -0.00434853 | 0.0047591 / -0.00475925 | 0.00277246 / -0.00277251 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0133695 / -0.0133719 | 0.015117 / -0.0151201 | 0.0152336 / -0.0152367 | 0.0135983 / -0.0136008 | 0.013329 / -0.0133314 | 0.0138526 / -0.0138552 | 0.025462 / -0.0254709 | 0.0362074 / -0.0362254 | 0.0119879 / -0.0119899 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0190168 / -0.0190227 | 0.0182776 / -0.0182831 | 0.0184021 / -0.0184077 | 0.0169277 / -0.0169324 | 0.0166104 / -0.0166149 | 0.0177681 / -0.0177732 | 0.0182364 / -0.0182418 | 0.0202964 / -0.0203031 | 0.0135605 / -0.0135635 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000238931 / -0.000238932 | 0.000244275 / -0.000244276 | 0.000275223 / -0.000275224 | 0.000230565 / -0.000230565 | 0.000242599 / -0.0002426 | 0.000252025 / -0.000252025 | 0.000356666 / -0.000356667 | 0.000476689 / -0.000476691 | 0.00013269 / -0.00013269 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000523919 / 0.000523917 | -0.000601677 / 0.000601675 | -0.000645334 / 0.000645331 | -0.000523066 / 0.000523064 | -0.00053818 / 0.000538178 | -0.000626989 / 0.000626987 | -0.000914545 / 0.00091454 | -0.00171111 / 0.00171109 | -0.000425789 / 0.000425788 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000905232 / -0.000905237 | 0.000940517 / -0.000940523 | 0.000894605 / -0.00089461 | 0.000866188 / -0.000866193 | 0.000893813 / -0.000893818 | 0.000895056 / -0.000895062 | 0.000776426 / -0.00077643 | 0.00083323 / -0.000833234 | 0.000640691 / -0.000640694 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00330446 / -0.00330453 | 0.00292171 / -0.00292176 | 0.00270076 / -0.00270081 | 0.00325006 / -0.00325013 | 0.00329841 / -0.00329849 | 0.00286557 / -0.00286562 | 0.00248644 / -0.00248649 | 0.00245839 / -0.00245843 | 0.00289573 / -0.00289579 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00846054 / -0.00846101 | 0.0076285 / -0.00762888 | 0.00275961 / -0.00275966 | 0.00695275 / -0.00695307 | 0.00698055 / -0.00698087 | 0.00298015 / -0.00298021 | 0.00666089 / -0.00666118 | 0.0025555 / -0.00255555 | 0.0093452 / -0.00934577 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0204804 / -0.0204828 | 0.0223194 / -0.0223222 | 0.0164986 / -0.0165 | 0.020587 / -0.0205894 | 0.0202679 / -0.0202702 | 0.0164306 / -0.0164321 | 0.0230522 / -0.0230553 | 0.018403 / -0.0184049 | 0.0191292 / -0.0191312 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000539682 / -0.000539684 | 0.000466063 / -0.000466065 | 0.000455523 / -0.000455525 | 0.00050314 / -0.000503142 | 0.000519768 / -0.00051977 | 0.000457751 / -0.000457752 | 0.000396395 / -0.000396396 | 0.000391833 / -0.000391834 | 0.000379059 / -0.00037906 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000657045 / -0.000657048 | 0.000525911 / -0.000525913 | 0.000495599 / -0.0004956 | 0.000584788 / -0.00058479 | 0.000607622 / -0.000607625 | 0.000514822 / -0.000514823 | 0.000389271 / -0.000389272 | 0.000388667 / -0.000388668 | 0.000375486 / -0.000375487 | -nan / -nan | -nan / -nan |
