 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00200114 / 0.00200114 | 0.00349212 / -0.00349212 | -0.00358276 / 0.00358276 | -0.00236173 / 0.00236173 | -0.00384297 / 0.00384297 | -0.00771254 / 0.00771254 | -0.0236197 / 0.0236197 | 0.00579329 / -0.00579329 | -0.044996 / 0.044996 | -0.00912636 / 0.00912636 | -0.00874462 / 0.00874462 |
 | jvt | 0.00164921 / -0.00164921 | 0.00179141 / -0.00179141 | 0.000655109 / -0.000655109 | 0.00213656 / -0.00213656 | 0.00230971 / -0.00230971 | 0.0023634 / -0.0023634 | 0.00374478 / -0.00374478 | 0.00571769 / -0.00571769 | 0.00460055 / -0.00460055 | 0.00168527 / -0.00168527 | 0.00309305 / -0.00309305 |
 | EL_SF_Trigger | 0.000124614 / -0.000124614 | 0.000246689 / -0.000246689 | 0.000174216 / -0.000174216 | 0.000134333 / -0.000134333 | 0.000150016 / -0.000150016 | 0.000163894 / -0.000163894 | 0.000354871 / -0.000354871 | 0.000418993 / -0.000418993 | 6.08885e-05 / -6.08885e-05 | 8.28886e-05 / -8.28886e-05 | 9.97804e-05 / -9.97804e-05 |
 | EL_SF_Reco | 0.00241871 / -0.00241871 | 0.00247261 / -0.00247261 | 0.00257177 / -0.00257177 | 0.00204686 / -0.00204686 | 0.00230978 / -0.00230978 | 0.00245328 / -0.00245328 | 0.00420102 / -0.00420102 | 0.00374755 / -0.00374755 | 0.00103009 / -0.00103009 | 0.00322769 / -0.00322769 | 0.00284598 / -0.00284598 |
 | EL_SF_ID | 0.0142593 / -0.0142593 | 0.015432 / -0.015432 | 0.0147599 / -0.0147599 | 0.0120879 / -0.0120879 | 0.013264 / -0.013264 | 0.0145162 / -0.0145162 | 0.0248085 / -0.0248085 | 0.0290146 / -0.0290146 | 0.00619662 / -0.00619662 | 0.015711 / -0.015711 | 0.0111066 / -0.0111066 |
 | EL_SF_Isol | 0.0189635 / -0.0189635 | 0.0161086 / -0.0161086 | 0.0171698 / -0.0171698 | 0.0143215 / -0.0143215 | 0.016465 / -0.016465 | 0.0174659 / -0.0174659 | 0.0195653 / -0.0195653 | 0.0192935 / -0.0192935 | 0.00773915 / -0.00773915 | 0.0319263 / -0.0319263 | 0.0328379 / -0.0328379 |
 | MU_SF_Trigger_STAT | 0.000235776 / -0.000235776 | 0.000265621 / -0.000265621 | 0.000290154 / -0.000290154 | 0.00026613 / -0.00026613 | 0.000237495 / -0.000237495 | 0.000276473 / -0.000276473 | 0.000331846 / -0.000331846 | 0.000152881 / -0.000152881 | 0.000149043 / -0.000149043 | 6.11593e-05 / -6.11593e-05 | 6.34816e-05 / -6.34816e-05 |
 | MU_SF_Trigger_SYST | -0.000511322 / 0.000511322 | -0.000682698 / 0.000682698 | -0.000669133 / 0.000669133 | -0.000579633 / 0.000579633 | -0.000520612 / 0.000520612 | -0.000631201 / 0.000631201 | -0.00080382 / 0.00080382 | -0.0011176 / 0.0011176 | -0.00080869 / 0.00080869 | -0.000607484 / 0.000607484 | -0.000618981 / 0.000618981 |
 | MU_SF_ID_STAT | 0.000919282 / -0.000919282 | 0.000973405 / -0.000973405 | 0.000942213 / -0.000942213 | 0.00101198 / -0.00101198 | 0.000932772 / -0.000932772 | 0.000935957 / -0.000935957 | 0.000827464 / -0.000827464 | 0.00110317 / -0.00110317 | 0.000852508 / -0.000852508 | 0.000642217 / -0.000642217 | 0.000702382 / -0.000702382 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.0038508 / -0.0038508 | 0.00333579 / -0.00333579 | 0.00290587 / -0.00290587 | 0.00425309 / -0.00425309 | 0.00396181 / -0.00396181 | 0.00330815 / -0.00330815 | 0.00254822 / -0.00254822 | 0.00341869 / -0.00341869 | 0.00387335 / -0.00387335 | 0.00462094 / -0.00462094 | 0.00303365 / -0.00303365 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00901727 / -0.00901727 | 0.00865862 / -0.00865862 | 0.00300699 / -0.00300699 | 0.00796602 / -0.00796602 | 0.00738634 / -0.00738634 | 0.00344949 / -0.00344949 | 0.00643716 / -0.00643716 | 0.00301686 / -0.00301686 | 0.0148708 / -0.0148708 | 0.00399316 / -0.00399316 | 0.00355914 / -0.00355914 |
 | MU_SF_Isol_SYST | 0.0198765 / -0.0198765 | 0.025451 / -0.025451 | 0.0172653 / -0.0172653 | 0.0214189 / -0.0214189 | 0.0198976 / -0.0198976 | 0.0166515 / -0.0166515 | 0.0254677 / -0.0254677 | 0.0189484 / -0.0189484 | 0.0276794 / -0.0276794 | 0.0152265 / -0.0152265 | 0.0182691 / -0.0182691 |
 | MU_SF_TTVA_STAT | 0.000599027 / -0.000599027 | 0.000524613 / -0.000524613 | 0.000489376 / -0.000489376 | 0.000620286 / -0.000620286 | 0.00059954 / -0.00059954 | 0.000519411 / -0.000519411 | 0.000370903 / -0.000370903 | 0.000504131 / -0.000504131 | 0.000710867 / -0.000710867 | 0.000561014 / -0.000561014 | 0.00043826 / -0.00043826 |
 | MU_SF_TTVA_SYST | 0.000763562 / -0.000763562 | 0.000572498 / -0.000572498 | 0.000523187 / -0.000523187 | 0.000738867 / -0.000738867 | 0.000719753 / -0.000719753 | 0.000600374 / -0.000600374 | 0.000383595 / -0.000383595 | 0.000746646 / -0.000746646 | 0.00120445 / -0.00120445 | 0.00062899 / -0.00062899 | 0.000501057 / -0.000501057 |
 | bTagSF_eigenvars_B_0 | 0.00114427 / -0.00114427 | 0.0105241 / -0.0105241 | 0.0026424 / -0.0026424 | 5.83626e-05 / -5.83626e-05 | 0.000607595 / -0.000607595 | 0.000420842 / -0.000420842 | 0.0048787 / -0.0048787 | 0.00451401 / -0.00451401 | 0.0024059 / -0.0024059 | -0.00231526 / 0.00231526 | -0.00121993 / 0.00121993 |
