 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00456644 / -0.00456666 | -0.00776464 / 0.00776397 | -0.00738283 / 0.00738222 | -0.0269949 / 0.0269862 | -0.0241276 / 0.0241207 | -0.0178795 / 0.0178757 | -0.0112655 / 0.0112641 | 0.0754257 / -0.0754715 | -0.00420823 / 0.00420803 | -nan / -nan | -nan / -nan |
 | jvt | -0.00141544 / 0.00141543 | 0.000204831 / -0.000204831 | 0.000453493 / -0.000453494 | 0.00515545 / -0.00515563 | 0.000531051 / -0.000531053 | -0.0016153 / 0.00161528 | 0.00120887 / -0.00120888 | -0.0180774 / 0.0180752 | -8.39017e-05 / 8.39017e-05 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.00023822 / -0.00023822 | 0.000234854 / -0.000234854 | 0.000311296 / -0.000311296 | 0.000364818 / -0.000364819 | 0.000466966 / -0.000466968 | 0.000524023 / -0.000524025 | 0.000509255 / -0.000509256 | 0.000344473 / -0.000344473 | 0.000206863 / -0.000206864 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00310178 / -0.00310184 | 0.0028326 / -0.00283266 | 0.00319342 / -0.00319349 | 0.00360887 / -0.00360896 | 0.00392871 / -0.00392881 | 0.00469728 / -0.00469743 | 0.00425585 / -0.00425597 | 0.00616066 / -0.00616092 | 0.00296447 / -0.00296453 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0179171 / -0.0179214 | 0.0161646 / -0.0161681 | 0.0185063 / -0.018511 | 0.0208932 / -0.0208991 | 0.0258518 / -0.0258609 | 0.0272951 / -0.0273053 | 0.0258687 / -0.0258778 | 0.0528178 / -0.0528568 | 0.0170128 / -0.0170167 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0212906 / -0.021298 | 0.021581 / -0.0215886 | 0.0202116 / -0.0202183 | 0.0254987 / -0.0255093 | 0.0223273 / -0.0223355 | 0.0237799 / -0.0237891 | 0.0204088 / -0.0204156 | 0.0148603 / -0.0148639 | 0.0215114 / -0.021519 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000128834 / -0.000128834 | 0.000126217 / -0.000126217 | 0.000171323 / -0.000171323 | 4.81292e-05 / -4.81292e-05 | 0.000216152 / -0.000216152 | 0.00014205 / -0.000142051 | 0.000223126 / -0.000223126 | 9.962e-05 / -9.962e-05 | 9.96194e-05 / -9.96195e-05 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000362827 / 0.000362826 | -0.000333858 / 0.000333858 | -0.000459498 / 0.000459496 | -0.000292499 / 0.000292498 | -0.000450516 / 0.000450515 | -0.000799435 / 0.00079943 | -0.000691068 / 0.000691065 | -0.00138647 / 0.00138646 | -0.000319262 / 0.000319261 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000787618 / -0.000787622 | 0.000822926 / -0.000822931 | 0.000800243 / -0.000800247 | 0.000627187 / -0.000627189 | 0.000739375 / -0.000739378 | 0.000631924 / -0.000631926 | 0.000771305 / -0.000771309 | 0.000685385 / -0.000685388 | 0.00080373 / -0.000803734 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00288429 / -0.00288434 | 0.00319009 / -0.00319016 | 0.00265488 / -0.00265493 | 0.00278759 / -0.00278765 | 0.00263142 / -0.00263147 | 0.00174608 / -0.0017461 | 0.00225769 / -0.00225773 | 0.00382435 / -0.00382445 | 0.00345777 / -0.00345785 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00718114 / -0.00718148 | 0.00770177 / -0.00770216 | 0.00267742 / -0.00267747 | 0.00510934 / -0.00510951 | 0.00541909 / -0.00541928 | 0.00175556 / -0.00175558 | 0.00674413 / -0.00674443 | 0.00757691 / -0.00757729 | 0.00706114 / -0.00706147 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0190365 / -0.0190385 | 0.0188745 / -0.0188764 | 0.015483 / -0.0154843 | 0.0183542 / -0.018356 | 0.0181183 / -0.0181201 | 0.0173547 / -0.0173564 | 0.0233755 / -0.0233787 | 0.0134868 / -0.0134878 | 0.0160764 / -0.0160777 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000459009 / -0.00045901 | 0.000482714 / -0.000482716 | 0.000442647 / -0.000442649 | 0.000377346 / -0.000377347 | 0.000350825 / -0.000350826 | 0.000292655 / -0.000292656 | 0.000401066 / -0.000401067 | 0.000367863 / -0.000367864 | 0.00054285 / -0.000542852 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000561932 / -0.000561935 | 0.000569876 / -0.000569878 | 0.000487338 / -0.000487339 | 0.000396169 / -0.00039617 | 0.000390338 / -0.000390339 | 0.000245333 / -0.000245333 | 0.000371859 / -0.00037186 | 0.000715 / -0.000715003 | 0.000651981 / -0.000651984 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | 0.00649837 / -0.00649949 | 0.00648153 / -0.00648264 | 0.0108529 / -0.010856 | 0 / 0 | -0.00615046 / 0.00614947 | -0.00696099 / 0.00695972 | -0.0104233 / 0.0104205 | -0.0135787 / 0.0135738 | 0.012246 / -0.01225 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_1 | 0.00236199 / -0.00236203 | 0.00304034 / -0.00304041 | 0.00359597 / -0.00359606 | 0 / 0 | -0.000742675 / 0.000742671 | -0.00319951 / 0.00319944 | -0.00334513 / 0.00334506 | -0.00458737 / 0.00458722 | 0.0053108 / -0.00531099 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_2 | -0.000949878 / 0.000949872 | -0.00155483 / 0.00155481 | -0.00217952 / 0.00217949 | 0 / 0 | 0.00071386 / -0.000713864 | 0.00232152 / -0.00232155 | 0.00281251 / -0.00281256 | 0.00569529 / -0.00569551 | -0.00271555 / 0.0027155 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | -0.000104579 / 0.000104579 | -0.000103185 / 0.000103185 | 6.87855e-06 / -6.87855e-06 | 0 / 0 | -0.000195032 / 0.000195032 | -0.00035263 / 0.00035263 | -0.000320071 / 0.000320071 | -0.00214403 / 0.002144 | 2.11145e-05 / -2.11145e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_4 | 3.52446e-05 / -3.52446e-05 | 1.72909e-05 / -1.72909e-05 | 5.34168e-05 / -5.34169e-05 | 0 / 0 | 4.73032e-06 / -4.73032e-06 | -7.06416e-05 / 7.06416e-05 | -0.000107092 / 0.000107092 | -1.36444e-05 / 1.36444e-05 | -2.19791e-05 / 2.19791e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_5 | 1.12398e-05 / -1.12398e-05 | 5.51805e-06 / -5.51805e-06 | 2.67496e-06 / -2.67496e-06 | 0 / 0 | -2.17419e-06 / 2.17419e-06 | -2.74195e-06 / 2.74195e-06 | 5.55818e-06 / -5.55818e-06 | -5.17472e-05 / 5.17471e-05 | -3.50714e-07 / 3.50714e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_6 | 9.95157e-07 / -9.95157e-07 | -7.53889e-07 / 7.53889e-07 | 1.0017e-07 / -1.0017e-07 | 0 / 0 | 1.82403e-06 / -1.82403e-06 | -3.57233e-06 / 3.57233e-06 | 1.43577e-06 / -1.43577e-06 | 2.97857e-05 / -2.97857e-05 | 2.25304e-06 / -2.25304e-06 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_7 | 5.04194e-08 / -5.04194e-08 | -5.13799e-08 / 5.13799e-08 | 5.8632e-08 / -5.8632e-08 | 0 / 0 | -2.00063e-07 / 2.00063e-07 | 2.52298e-07 / -2.52298e-07 | -1.70408e-07 / 1.70408e-07 | -2.88945e-06 / 2.88945e-06 | 3.89536e-07 / -3.89536e-07 | -nan / -nan | -nan / -nan |
