 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0049057 / 0.00490543 | -0.00541029 / 0.00540996 | -0.00524601 / 0.0052457 | 0.0166051 / -0.0166079 | 0.00179736 / -0.0017974 | -0.00386136 / 0.00386119 | 0.0196627 / -0.0196667 | 1.78262 / -1 | -0.00361057 / 0.00361043 | -nan / -nan | -nan / -nan |
 | jvt | 0.00362789 / -0.00362797 | 0.00518678 / -0.00518696 | 0.00330053 / -0.0033006 | 0.00550244 / -0.00550265 | 0.00561331 / -0.00561352 | 0.00453493 / -0.00453507 | 0.00365253 / -0.00365262 | -0.00639069 / 0.00639042 | 0.00241928 / -0.00241932 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000122574 / -0.000122574 | 0.000194845 / -0.000194846 | 0.000178015 / -0.000178016 | 0.000118448 / -0.000118448 | 0.000122165 / -0.000122165 | 0.000149356 / -0.000149356 | 0.000252071 / -0.000252072 | -0.0116067 / 0.0116058 | 0.000170698 / -0.000170698 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00242909 / -0.00242913 | 0.0026856 / -0.00268564 | 0.00270649 / -0.00270654 | 0.00213818 / -0.00213821 | 0.00243958 / -0.00243962 | 0.00242548 / -0.00242552 | 0.00402143 / -0.00402154 | -0.0549068 / 0.0548866 | 0.00259442 / -0.00259447 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0140391 / -0.0140417 | 0.0154669 / -0.0154701 | 0.0153567 / -0.0153598 | 0.0140075 / -0.0140101 | 0.0140379 / -0.0140406 | 0.0138027 / -0.0138053 | 0.0264242 / -0.0264338 | -0.243345 / 0.242726 | 0.0147991 / -0.0148021 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0192034 / -0.0192095 | 0.0179454 / -0.0179507 | 0.0185821 / -0.0185877 | 0.0139796 / -0.0139828 | 0.0172262 / -0.017231 | 0.0178292 / -0.0178344 | 0.020996 / -0.0210032 | -0.0590408 / 0.0589873 | 0.0179765 / -0.0179818 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000237475 / -0.000237476 | 0.000236673 / -0.000236673 | 0.000275111 / -0.000275111 | 0.000200186 / -0.000200187 | 0.000198908 / -0.000198909 | 0.000239962 / -0.000239962 | 0.000282818 / -0.000282818 | 0.000208952 / -0.000208952 | 0.000292788 / -0.000292789 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000494284 / 0.000494283 | -0.000561007 / 0.000561005 | -0.000620872 / 0.000620869 | -0.000396666 / 0.000396665 | -0.000447457 / 0.000447456 | -0.000573087 / 0.000573085 | -0.00088979 / 0.000889785 | -0.000201385 / 0.000201385 | -0.000541747 / 0.000541745 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000905136 / -0.000905142 | 0.000926318 / -0.000926324 | 0.000905745 / -0.00090575 | 0.000765269 / -0.000765272 | 0.000880839 / -0.000880844 | 0.000906344 / -0.00090635 | 0.000561673 / -0.000561675 | 0.00602141 / -0.00602165 | 0.000925291 / -0.000925297 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
