 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00541139 / 0.00541084 | -0.00185389 / 0.00185383 | -0.00722897 / 0.00722799 | -0.00538496 / 0.00538442 | -0.00145255 / 0.00145251 | 0.000314555 / -0.000314557 | -0.0105112 / 0.0105091 | 0.0337386 / -0.0321593 | -0.0470764 / 0.0470313 | 0.00639487 / -0.00639561 | 0.00300128 / -0.00300145 |
 | jvt | -0.00144051 / 0.0014405 | 0.000422154 / -0.000422155 | -0.0028966 / 0.00289654 | 0.000726013 / -0.000726017 | 0.000809189 / -0.000809193 | 0.000447142 / -0.000447143 | 0.00245886 / -0.0024589 | 0.00469204 / -0.00469219 | 0.00277305 / -0.00277311 | 0.00131879 / -0.00131881 | 0.00117254 / -0.00117255 |
 | EL_SF_Trigger | 0.000110199 / -0.000110199 | 0.00017519 / -0.000175191 | 0.000164055 / -0.000164055 | 0.000124458 / -0.000124458 | 0.000131006 / -0.000131006 | 0.000131133 / -0.000131133 | 0.000333682 / -0.000333682 | 0.000279554 / -0.000279555 | 0.000122536 / -0.000122537 | 0.000104598 / -0.000104598 | 0.000116135 / -0.000116135 |
 | EL_SF_Reco | 0.00240378 / -0.00240382 | 0.00227596 / -0.002276 | 0.00252099 / -0.00252103 | 0.00232989 / -0.00232993 | 0.00233476 / -0.0023348 | 0.00231241 / -0.00231244 | 0.00364448 / -0.00364457 | 0.00664082 / -0.00664111 | 0.00272092 / -0.00272097 | 0.00278137 / -0.00278142 | 0.00225301 / -0.00225304 |
 | EL_SF_ID | 0.0139513 / -0.0139542 | 0.0134238 / -0.0134265 | 0.0142714 / -0.0142745 | 0.0134682 / -0.0134709 | 0.013601 / -0.0136037 | 0.0127514 / -0.0127538 | 0.0213329 / -0.0213397 | 0.0330061 / -0.0321474 | 0.0143073 / -0.0143104 | 0.0161166 / -0.0161204 | 0.011666 / -0.011668 |
 | EL_SF_Isol | 0.0198948 / -0.0199019 | 0.017486 / -0.0174915 | 0.0184805 / -0.0184865 | 0.0169358 / -0.0169409 | 0.017146 / -0.0171512 | 0.0182577 / -0.0182636 | 0.0163953 / -0.0164001 | 0.0227393 / -0.0226859 | 0.0283809 / -0.0283953 | 0.0196896 / -0.0196965 | 0.0157778 / -0.0157822 |
 | MU_SF_Trigger_STAT | 0.000187444 / -0.000187444 | 0.000212634 / -0.000212635 | 0.00023468 / -0.00023468 | 0.000215244 / -0.000215244 | 0.000195398 / -0.000195399 | 0.000224821 / -0.000224821 | 0.000264673 / -0.000264673 | 0.000343397 / -0.000343398 | 0.000121 / -0.000121 | 0.000204397 / -0.000204397 | 0.000214322 / -0.000214323 |
 | MU_SF_Trigger_SYST | -0.000387537 / 0.000387536 | -0.000430395 / 0.000430394 | -0.000521993 / 0.000521991 | -0.000488819 / 0.000488817 | -0.000433685 / 0.000433684 | -0.000519333 / 0.000519332 | -0.00109253 / 0.00109252 | -0.000785734 / 0.00078573 | -0.000350357 / 0.000350356 | -0.000484468 / 0.000484467 | -0.000534433 / 0.000534431 |
 | MU_SF_ID_STAT | 0.000865474 / -0.000865479 | 0.000879695 / -0.0008797 | 0.000902113 / -0.000902119 | 0.000876599 / -0.000876605 | 0.000885762 / -0.000885767 | 0.000879625 / -0.00087963 | 0.000867958 / -0.000867963 | 0.000490872 / -0.000490874 | 0.000782268 / -0.000782272 | 0.000862648 / -0.000862653 | 0.00101632 / -0.00101633 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00434561 / -0.00434573 | 0.00339857 / -0.00339865 | 0.00311457 / -0.00311463 | 0.00454126 / -0.0045414 | 0.0042731 / -0.00427323 | 0.00354599 / -0.00354607 | 0.00275483 / -0.00275488 | 0.00174995 / -0.00174997 | 0.00380827 / -0.00380837 | 0.00484035 / -0.0048405 | 0.003617 / -0.00361709 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00858846 / -0.00858895 | 0.00761709 / -0.00761748 | 0.00327685 / -0.00327692 | 0.00751334 / -0.00751371 | 0.00739467 / -0.00739503 | 0.00370499 / -0.00370508 | 0.00816304 / -0.00816348 | 0.00183328 / -0.0018333 | 0.0156158 / -0.0156174 | 0.00421004 / -0.00421016 | 0.0038732 / -0.0038733 |
 | MU_SF_Isol_SYST | 0.0164423 / -0.0164445 | 0.0209713 / -0.0209749 | 0.0150333 / -0.0150351 | 0.0176487 / -0.0176512 | 0.0173123 / -0.0173147 | 0.0145054 / -0.0145071 | 0.0243359 / -0.0243409 | 0.0121182 / -0.0120414 | 0.0167721 / -0.0167743 | 0.0121795 / -0.0121807 | 0.0147479 / -0.0147497 |
