NUISANCE_PARAMETERS
#mu  0.004548 +0.204994 -0.204994
EG_RESOLUTION_ALL  0.0600852 +0.99111 -0.99111
EG_SCALE_ALL  -0.0222288 +0.992333 -0.992333
EL_SF_ID  0.0193209 +0.98519 -0.98519
EL_SF_Isol  0.0194528 +0.982274 -0.982274
EL_SF_Reco  0.000168351 +0.993342 -0.993342
EL_SF_Trigger  -2.18346e-07 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.0130146 +0.991915 -0.991915
GlobalReduction_JET_EffectiveNP_2  -0.073281 +0.986394 -0.986394
GlobalReduction_JET_EffectiveNP_3  -0.0996003 +0.978129 -0.978129
GlobalReduction_JET_EffectiveNP_4  -0.0312042 +0.990975 -0.990975
GlobalReduction_JET_EffectiveNP_5  -0.00726884 +0.992332 -0.992332
GlobalReduction_JET_EffectiveNP_6  -0.0600353 +0.989461 -0.989461
GlobalReduction_JET_EffectiveNP_7  0.0163301 +0.992992 -0.992992
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0554129 +0.991081 -0.991081
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0645153 +0.988999 -0.988999
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  0.000880419 +0.993304 -0.993304
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0103046 +0.99321 -0.99321
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00420117 +0.992517 -0.992517
GlobalReduction_JET_Flavor_Composition  -0.204531 +0.906851 -0.906851
GlobalReduction_JET_Flavor_Response  0.101358 +0.973735 -0.973735
GlobalReduction_JET_JER_DataVsMC_AFII  3.57015e-06 +0.993348 -0.993348
GlobalReduction_JET_JER_DataVsMC_MC16  0.0743475 +0.979164 -0.979164
GlobalReduction_JET_JER_EffectiveNP_1  -0.0114884 +0.975664 -0.975664
GlobalReduction_JET_JER_EffectiveNP_2  -0.124131 +0.976275 -0.976275
GlobalReduction_JET_JER_EffectiveNP_3  -0.176953 +0.985358 -0.985358
GlobalReduction_JET_JER_EffectiveNP_4  -0.0392887 +0.978725 -0.978725
GlobalReduction_JET_JER_EffectiveNP_5  -0.072238 +0.977322 -0.977322
GlobalReduction_JET_JER_EffectiveNP_6  -0.149257 +0.981677 -0.981677
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.00644695 +0.981377 -0.981377
GlobalReduction_JET_Pileup_OffsetMu  0.134346 +0.978197 -0.978197
GlobalReduction_JET_Pileup_OffsetNPV  -0.0596642 +0.982461 -0.982461
GlobalReduction_JET_Pileup_PtTerm  -0.0234438 +0.988715 -0.988715
GlobalReduction_JET_Pileup_RhoTopology  -0.203449 +0.915675 -0.915675
GlobalReduction_JET_RelativeNonClosure_AFII  7.96877e-07 +0.993348 -0.993348
MET_SoftTrk_ResoPara  -0.0494194 +0.979084 -0.979084
MET_SoftTrk_ResoPerp  -0.124039 +0.983641 -0.983641
MET_SoftTrk_Scale  0.0547617 +0.976923 -0.976923
MUON_ID  -0.0741994 +0.988828 -0.988828
MUON_MS  0.036131 +0.99166 -0.99166
MUON_SCALE  0.0134463 +0.992213 -0.992213
MU_SF_ID_STAT  -6.1398e-05 +0.993348 -0.993348
MU_SF_ID_SYST  5.92706e-06 +0.993347 -0.993347
MU_SF_Isol_STAT  -0.00485927 +0.993395 -0.993395
MU_SF_Isol_SYST  0.0903513 +0.97728 -0.97728
MU_SF_TTVA_STAT  -8.36053e-06 +0.993348 -0.993348
MU_SF_TTVA_SYST  4.8265e-06 +0.993348 -0.993348
MU_SF_Trigger_STAT  -0.000281281 +0.993348 -0.993348
MU_SF_Trigger_SYST  1.29448e-05 +0.993347 -0.993347
OtherFakesNorm  0.498244 +0.872308 -0.872308
OtherNorm  -0.157152 +1.00488 -1.00488
VVHF_1_Jet  0.443639 +0.755729 -0.755729
VVHF_2_Jet  -0.0107117 +0.741739 -0.741739
VVHF_3_Jet  0.0906245 +0.858876 -0.858876
VVHF_4_Jet  -0.0686831 +0.952151 -0.952151
VVHF_5_Jet  0.109407 +0.893914 -0.893914
VVHFgen  0.345768 +0.609526 -0.609526
VVHFnorm  0.578131 +0.748994 -0.748994
VVLF_1_Jet  0.216207 +0.963804 -0.963804
VVLF_2_Jet  0.00697363 +0.986027 -0.986027
VVLF_3_Jet  -0.00956856 +0.991421 -0.991421
VVLF_4_Jet  0.035902 +0.990004 -0.990004
VVLF_5_Jet  0.0398448 +0.989894 -0.989894
VVLFgen  0.188648 +0.944867 -0.944867
VVLFnorm  0.203251 +0.971021 -0.971021
WtZmod  -0.0284294 +0.953737 -0.953737
bTagSF_eigenvars_B_0  0.0136272 +0.956877 -0.956877
bTagSF_eigenvars_B_1  -0.000803716 +0.993305 -0.993305
bTagSF_eigenvars_B_2  0.000486692 +0.993346 -0.993346
bTagSF_eigenvars_B_3  0.000441041 +0.993346 -0.993346
bTagSF_eigenvars_B_4  -4.12941e-05 +0.993348 -0.993348
bTagSF_eigenvars_B_5  4.42443e-05 +0.993348 -0.993348
bTagSF_eigenvars_C_0  -0.105115 +0.975926 -0.975926
bTagSF_eigenvars_C_1  0.03116 +0.992213 -0.992213
bTagSF_eigenvars_C_2  -0.000461633 +0.993348 -0.993348
bTagSF_eigenvars_C_3  -0.000275802 +0.993348 -0.993348
bTagSF_eigenvars_Light_0  -0.137766 +0.983101 -0.983101
bTagSF_eigenvars_Light_1  0.0266467 +0.992121 -0.992121
bTagSF_eigenvars_Light_2  -0.00700547 +0.992935 -0.992935
bTagSF_eigenvars_Light_3  0.000525152 +0.993333 -0.993333
jvt  0.00661578 +0.993284 -0.993284
lumi  0.0270696 +0.984116 -0.984116
pileup  -0.0620475 +0.975675 -0.975675
signalMuRMuF  -5.66623e-05 +0.99335 -0.99335
tWZnorm  0.0484421 +0.971702 -0.971702
tZnorm  0.0468187 +0.923678 -0.923678
tZrad  0.0129144 +0.979012 -0.979012
ttHnorm  -0.00499336 +0.991598 -0.991598
ttWnorm  -0.0686534 +0.982676 -0.982676
ttZgen  0.0966453 +0.969805 -0.969805
ttZmuRmuF  0.0274698 +0.98909 -0.98909
ttZnorm  -0.327693 +0.750038 -0.750038
ttZrad  -0.0692991 +0.979296 -0.979296
ttbarA14  -0.0464319 +0.985655 -0.985655
ttbarBottomMeson  0.0848782 +0.973007 -0.973007
ttbarFSR  0.30094 +0.889316 -0.889316
ttbarPDF  -0.000542034 +0.993053 -0.993053
ttbarPS  -0.0303296 +0.983113 -0.983113
ttbarPhotConv  -0.297356 +1.02199 -1.02199
ttbarXsec  -2.87513e-06 +0.993349 -0.993349
ttbarhdamp  -0.115773 +0.931916 -0.931916
