 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00555628 / 0.00555628 | -0.00190562 / 0.00190562 | -0.00743056 / 0.00743056 | -0.00553941 / 0.00553941 | -0.00149594 / 0.00149594 | 0.00033847 / -0.00033847 | -0.0107667 / 0.0107667 | 0.0345698 / -0.0329605 | -0.0486081 / 0.0486081 | 0.00657469 / -0.00657469 | 0.00305481 / -0.00305481 |
 | jvt | -0.00145151 / 0.00145151 | 0.000428879 / -0.000428879 | -0.00291574 / 0.00291574 | 0.000729037 / -0.000729037 | 0.000815329 / -0.000815329 | 0.000450353 / -0.000450353 | 0.0024809 / -0.0024809 | 0.00471222 / -0.00471222 | 0.00281326 / -0.00281326 | 0.00132759 / -0.00132759 | 0.00118246 / -0.00118246 |
 | EL_SF_Trigger | 0.000110951 / -0.000110951 | 0.000176408 / -0.000176408 | 0.000165154 / -0.000165154 | 0.000125273 / -0.000125273 | 0.000131894 / -0.000131894 | 0.00013196 / -0.00013196 | 0.000335987 / -0.000335987 | 0.000280931 / -0.000280931 | 0.000123125 / -0.000123125 | 0.00010529 / -0.00010529 | 0.000116879 / -0.000116879 |
 | EL_SF_Reco | 0.00241995 / -0.00241995 | 0.00229151 / -0.00229151 | 0.00253808 / -0.00253808 | 0.00234565 / -0.00234565 | 0.00235054 / -0.00235054 | 0.00232809 / -0.00232809 | 0.00367019 / -0.00367019 | 0.00668512 / -0.00668512 | 0.00273955 / -0.00273955 | 0.00280012 / -0.00280012 | 0.00226844 / -0.00226844 |
 | EL_SF_ID | 0.014168 / -0.014168 | 0.0136348 / -0.0136348 | 0.0144953 / -0.0144953 | 0.0136774 / -0.0136774 | 0.0138129 / -0.0138129 | 0.0129499 / -0.0129499 | 0.0216685 / -0.0216685 | 0.0335199 / -0.032634 | 0.0145162 / -0.0145162 | 0.0163699 / -0.0163699 | 0.0118464 / -0.0118464 |
 | EL_SF_Isol | 0.0202669 / -0.0202669 | 0.0178077 / -0.0178077 | 0.0188242 / -0.0188242 | 0.017254 / -0.017254 | 0.0174649 / -0.0174649 | 0.0185956 / -0.0185956 | 0.0167005 / -0.0167005 | 0.0232134 / -0.0231498 | 0.0289555 / -0.0289555 | 0.0200582 / -0.0200582 | 0.0160722 / -0.0160722 |
 | MU_SF_Trigger_STAT | 0.000188693 / -0.000188693 | 0.000214061 / -0.000214061 | 0.000236255 / -0.000236255 | 0.00021671 / -0.00021671 | 0.000196685 / -0.000196685 | 0.000226324 / -0.000226324 | 0.000266709 / -0.000266709 | 0.000346882 / -0.000346882 | 0.000121397 / -0.000121397 | 0.000205748 / -0.000205748 | 0.000215645 / -0.000215645 |
 | MU_SF_Trigger_SYST | -0.000390134 / 0.000390134 | -0.000433342 / 0.000433342 | -0.000525479 / 0.000525479 | -0.000492086 / 0.000492086 | -0.000436587 / 0.000436587 | -0.000522832 / 0.000522832 | -0.00110154 / 0.00110154 | -0.000790633 / 0.000790633 | -0.000352456 / 0.000352456 | -0.000487757 / 0.000487757 | -0.000537966 / 0.000537966 |
 | MU_SF_ID_STAT | 0.000871244 / -0.000871244 | 0.000885708 / -0.000885708 | 0.000908186 / -0.000908186 | 0.000882471 / -0.000882471 | 0.000891664 / -0.000891664 | 0.000885605 / -0.000885605 | 0.000874033 / -0.000874033 | 0.000494186 / -0.000494186 | 0.000786839 / -0.000786839 | 0.000868328 / -0.000868328 | 0.0010231 / -0.0010231 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00437464 / -0.00437464 | 0.00342151 / -0.00342151 | 0.00313515 / -0.00313515 | 0.00457142 / -0.00457142 | 0.00430154 / -0.00430154 | 0.00356999 / -0.00356999 | 0.00277311 / -0.00277311 | 0.00176102 / -0.00176102 | 0.00383169 / -0.00383169 | 0.00487264 / -0.00487264 | 0.0036419 / -0.0036419 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.0086457 / -0.0086457 | 0.00766663 / -0.00766663 | 0.00329809 / -0.00329809 | 0.00756235 / -0.00756235 | 0.00744364 / -0.00744364 | 0.00372983 / -0.00372983 | 0.00821745 / -0.00821745 | 0.00184643 / -0.00184643 | 0.015753 / -0.015753 | 0.00423809 / -0.00423809 | 0.00389878 / -0.00389878 |
