 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0131393 / 0.0131364 | -0.00211462 / 0.00211455 | -0.00661862 / 0.00661788 | -0.0120089 / 0.0120064 | -0.013813 / 0.0138097 | -0.00514998 / 0.00514953 | -0.0172576 / 0.0172524 | -0.00229448 / 0.00229439 | 0.0102821 / -0.0102838 | 0.010055 / -0.0100566 | -0.000183032 / 0.000183032 |
 | jvt | -0.00716549 / 0.00716515 | -0.00372455 / 0.00372446 | -0.0087399 / 0.00873939 | -0.00120257 / 0.00120256 | -0.00231679 / 0.00231675 | -0.00208394 / 0.00208391 | -0.00184533 / 0.0018453 | 0.00106824 / -0.00106825 | -0.00342965 / 0.00342957 | -0.00161163 / 0.00161161 | -0.00394448 / 0.00394437 |
 | EL_SF_Trigger | 0.000126359 / -0.000126359 | 0.000176238 / -0.000176239 | 0.000170795 / -0.000170795 | 0.000179647 / -0.000179647 | 0.000133524 / -0.000133524 | 0.000148245 / -0.000148245 | 0.000268053 / -0.000268053 | 0.000213191 / -0.000213192 | 0.000167701 / -0.000167701 | 0.000125306 / -0.000125306 | 0.000147165 / -0.000147165 |
 | EL_SF_Reco | 0.00241096 / -0.00241099 | 0.00274972 / -0.00274978 | 0.00248804 / -0.00248808 | 0.00232023 / -0.00232026 | 0.00234446 / -0.0023445 | 0.00228979 / -0.00228982 | 0.00357676 / -0.00357684 | 0.00497919 / -0.00497935 | 0.00670356 / -0.00670386 | 0.00256396 / -0.00256401 | 0.00256808 / -0.00256813 |
 | EL_SF_ID | 0.0130629 / -0.0130654 | 0.0161673 / -0.0161711 | 0.0146226 / -0.0146256 | 0.0133331 / -0.0133356 | 0.0131611 / -0.0131636 | 0.0124626 / -0.0124649 | 0.0204149 / -0.0204209 | 0.0275617 / -0.0275728 | 0.0727084 / -0.0727888 | 0.0138432 / -0.013846 | 0.0118036 / -0.0118056 |
 | EL_SF_Isol | 0.0189659 / -0.0189722 | 0.0207659 / -0.0207734 | 0.0180909 / -0.0180967 | 0.0170079 / -0.0170129 | 0.0162665 / -0.0162711 | 0.017719 / -0.0177245 | 0.0203235 / -0.0203307 | 0.0142191 / -0.0142226 | 0.0161884 / -0.0161929 | 0.0176633 / -0.0176687 | 0.0188661 / -0.0188723 |
 | MU_SF_Trigger_STAT | 0.000225488 / -0.000225488 | 0.000186873 / -0.000186873 | 0.00023797 / -0.000237971 | 0.000228438 / -0.000228439 | 0.000231348 / -0.000231348 | 0.00025928 / -0.000259281 | 0.000356443 / -0.000356444 | 0.000627938 / -0.000627941 | 0.000100054 / -0.000100055 | 0.00028006 / -0.00028006 | 0.000241946 / -0.000241946 |
 | MU_SF_Trigger_SYST | -0.000499986 / 0.000499985 | -0.00053713 / 0.000537128 | -0.000526501 / 0.000526499 | -0.000506423 / 0.000506421 | -0.000506431 / 0.000506429 | -0.00056786 / 0.000567858 | -0.000920432 / 0.000920426 | -0.00191581 / 0.00191579 | -0.000260581 / 0.000260581 | -0.00059726 / 0.000597257 | -0.000446927 / 0.000446926 |
 | MU_SF_ID_STAT | 0.000912073 / -0.000912078 | 0.000893056 / -0.000893061 | 0.000833827 / -0.000833832 | 0.000900982 / -0.000900987 | 0.000914305 / -0.000914311 | 0.000894462 / -0.000894467 | 0.000741876 / -0.00074188 | 0.000898254 / -0.000898259 | 0.000646374 / -0.000646377 | 0.000897894 / -0.000897899 | 0.000951841 / -0.000951847 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00369588 / -0.00369598 | 0.00293043 / -0.00293049 | 0.00291217 / -0.00291223 | 0.00340323 / -0.00340331 | 0.00370526 / -0.00370535 | 0.00318616 / -0.00318623 | 0.00255623 / -0.00255627 | 0.00255197 / -0.00255201 | 0.00262313 / -0.00262318 | 0.00400363 / -0.00400374 | 0.00330589 / -0.00330597 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00741473 / -0.00741509 | 0.00684568 / -0.00684599 | 0.00317128 / -0.00317134 | 0.00594262 / -0.00594285 | 0.00626324 / -0.0062635 | 0.00326337 / -0.00326344 | 0.00619481 / -0.00619507 | 0.0022855 / -0.00228553 | 0.00568513 / -0.00568534 | 0.00405188 / -0.00405199 | 0.0032437 / -0.00324377 |
 | MU_SF_Isol_SYST | 0.0167243 / -0.0167262 | 0.0179696 / -0.0179718 | 0.0153807 / -0.0153822 | 0.0182524 / -0.0182547 | 0.0175829 / -0.017585 | 0.0163662 / -0.016368 | 0.0215881 / -0.0215914 | 0.0220227 / -0.0220262 | 0.0129508 / -0.0129519 | 0.0145373 / -0.0145387 | 0.0147798 / -0.0147813 |
 | MU_SF_TTVA_STAT | 0.000561805 / -0.000561807 | 0.00044139 / -0.000441392 | 0.00047556 / -0.000475561 | 0.000492867 / -0.000492869 | 0.000552606 / -0.000552608 | 0.000481286 / -0.000481287 | 0.000447802 / -0.000447803 | 0.000440416 / -0.000440418 | 0.000508773 / -0.000508775 | 0.000611601 / -0.000611604 | 0.000501619 / -0.000501621 |
