 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0131017 / 0.0131017 | -0.0187758 / 0.0187758 | -0.012252 / 0.012252 | -0.00137863 / 0.00137863 | -0.0124466 / 0.0124466 | -0.0131218 / 0.0131218 | -0.0233186 / 0.0233186 | 0.0167705 / -0.0167705 | -0.022971 / 0.022971 | -0.00917777 / 0.00917777 | -0.0152128 / 0.0152128 |
 | jvt | -0.00556108 / 0.00556108 | -0.00208632 / 0.00208632 | -0.00401789 / 0.00401789 | 0.00107389 / -0.00107389 | 0.00067335 / -0.00067335 | -0.000394222 / 0.000394222 | 0.000357345 / -0.000357345 | -0.000155623 / 0.000155623 | 0.00310615 / -0.00310615 | -5.33899e-05 / 5.33899e-05 | -0.00221417 / 0.00221417 |
 | EL_SF_Trigger | 0.000146642 / -0.000146642 | 0.00016092 / -0.00016092 | 0.000211815 / -0.000211815 | 0.000195813 / -0.000195813 | 0.000174974 / -0.000174974 | 0.000174591 / -0.000174591 | 0.000322321 / -0.000322321 | 0.000428717 / -0.000428717 | 0.000110525 / -0.000110525 | 0.000147917 / -0.000147917 | 0.000150724 / -0.000150724 |
 | EL_SF_Reco | 0.00251918 / -0.00251918 | 0.0025282 / -0.0025282 | 0.00272295 / -0.00272295 | 0.00266848 / -0.00266848 | 0.00235802 / -0.00235802 | 0.00251032 / -0.00251032 | 0.00409329 / -0.00409329 | 0.00497511 / -0.00497511 | 0.00341664 / -0.00341664 | 0.00283907 / -0.00283907 | 0.00257022 / -0.00257022 |
 | EL_SF_ID | 0.0144082 / -0.0144082 | 0.0143064 / -0.0143064 | 0.0160086 / -0.0160086 | 0.0149782 / -0.0149782 | 0.0133017 / -0.0133017 | 0.0147072 / -0.0147072 | 0.0236958 / -0.0236958 | 0.0281636 / -0.0281636 | 0.0106716 / -0.0106716 | 0.0161823 / -0.0161823 | 0.0137044 / -0.0137044 |
 | EL_SF_Isol | 0.0191558 / -0.0191558 | 0.0180748 / -0.0180748 | 0.0176203 / -0.0176203 | 0.0186071 / -0.0186071 | 0.0164914 / -0.0164914 | 0.0177697 / -0.0177697 | 0.0181203 / -0.0181203 | 0.0204506 / -0.0204506 | 0.018338 / -0.018338 | 0.0185803 / -0.0185803 | 0.0183629 / -0.0183629 |
 | MU_SF_Trigger_STAT | 0.000257024 / -0.000257024 | 0.000321356 / -0.000321356 | 0.000267238 / -0.000267238 | 0.000196311 / -0.000196311 | 0.000281471 / -0.000281471 | 0.000279215 / -0.000279215 | 0.000369942 / -0.000369942 | 0.000136647 / -0.000136647 | 4.29864e-05 / -4.29864e-05 | 0.0002685 / -0.0002685 | 0.000252027 / -0.000252027 |
 | MU_SF_Trigger_SYST | -0.000577488 / 0.000577488 | -0.000685172 / 0.000685172 | -0.000661373 / 0.000661373 | -0.00054565 / 0.00054565 | -0.00061779 / 0.00061779 | -0.000665155 / 0.000665155 | -0.000997002 / 0.000997002 | -0.000951921 / 0.000951921 | -0.00127592 / 0.00127592 | -0.000616484 / 0.000616484 | -0.000609727 / 0.000609727 |
 | MU_SF_ID_STAT | 0.000886701 / -0.000886701 | 0.000950925 / -0.000950925 | 0.000886244 / -0.000886244 | 0.000538471 / -0.000538471 | 0.000916877 / -0.000916877 | 0.000922212 / -0.000922212 | 0.000878608 / -0.000878608 | 0.000660795 / -0.000660795 | 0.000615238 / -0.000615238 | 0.000886491 / -0.000886491 | 0.000903305 / -0.000903305 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
