 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.012779 / 0.0127762 | -0.018311 / 0.0183052 | -0.0119505 / 0.011948 | -0.00134503 / 0.001345 | -0.0121403 / 0.0121377 | -0.0127987 / 0.0127959 | -0.022739 / 0.0227299 | 0.0163692 / -0.0163734 | -0.0223999 / 0.022391 | -0.00895257 / 0.00895121 | -0.0148374 / 0.0148336 |
 | jvt | -0.00552393 / 0.00552373 | -0.00207234 / 0.00207231 | -0.003991 / 0.0039909 | 0.00106667 / -0.00106667 | 0.000668826 / -0.000668829 | -0.000391574 / 0.000391573 | 0.000354944 / -0.000354945 | -0.000154581 / 0.000154581 | 0.00308522 / -0.00308529 | -5.30296e-05 / 5.30296e-05 | -0.00219933 / 0.0021993 |
 | EL_SF_Trigger | 0.000145667 / -0.000145667 | 0.000159849 / -0.000159849 | 0.000210406 / -0.000210406 | 0.00019451 / -0.00019451 | 0.000173809 / -0.00017381 | 0.000173429 / -0.00017343 | 0.000320177 / -0.000320178 | 0.000425865 / -0.000425866 | 0.000109789 / -0.000109789 | 0.000146934 / -0.000146934 | 0.000149722 / -0.000149722 |
 | EL_SF_Reco | 0.00250239 / -0.00250243 | 0.00251134 / -0.00251139 | 0.0027048 / -0.00270485 | 0.00265069 / -0.00265074 | 0.0023423 / -0.00234234 | 0.00249358 / -0.00249362 | 0.00406599 / -0.0040661 | 0.00494191 / -0.00494207 | 0.00339385 / -0.00339393 | 0.00282014 / -0.0028202 | 0.00255309 / -0.00255313 |
 | EL_SF_ID | 0.0141913 / -0.0141942 | 0.0140911 / -0.014094 | 0.0157673 / -0.0157709 | 0.0147526 / -0.0147558 | 0.0131017 / -0.0131042 | 0.0144857 / -0.0144888 | 0.0233355 / -0.0233434 | 0.0277332 / -0.0277445 | 0.0105117 / -0.0105133 | 0.0159383 / -0.015942 | 0.0134983 / -0.0135009 |
 | EL_SF_Isol | 0.0188096 / -0.0188158 | 0.0177484 / -0.017754 | 0.0173023 / -0.0173076 | 0.018271 / -0.0182768 | 0.0161942 / -0.0161988 | 0.017449 / -0.0174543 | 0.0177931 / -0.0177987 | 0.0200805 / -0.0200875 | 0.0180068 / -0.0180125 | 0.0182447 / -0.0182505 | 0.0180313 / -0.018037 |
 | MU_SF_Trigger_STAT | 0.000255315 / -0.000255315 | 0.000319219 / -0.000319219 | 0.000265461 / -0.000265461 | 0.000195005 / -0.000195005 | 0.000279599 / -0.000279599 | 0.000277358 / -0.000277358 | 0.000367481 / -0.000367482 | 0.000135738 / -0.000135738 | 4.27003e-05 / -4.27003e-05 | 0.000266714 / -0.000266714 | 0.00025035 / -0.000250351 |
 | MU_SF_Trigger_SYST | -0.000573647 / 0.000573645 | -0.000680616 / 0.000680612 | -0.000656974 / 0.000656971 | -0.000542021 / 0.000542019 | -0.000613682 / 0.000613679 | -0.000660732 / 0.000660729 | -0.000990372 / 0.000990365 | -0.000945589 / 0.000945583 | -0.00126743 / 0.00126742 | -0.000612384 / 0.000612382 | -0.000605672 / 0.000605669 |
 | MU_SF_ID_STAT | 0.0008808 / -0.000880805 | 0.000944597 / -0.000944603 | 0.000880347 / -0.000880352 | 0.000534888 / -0.00053489 | 0.000910775 / -0.00091078 | 0.000916075 / -0.000916081 | 0.000872761 / -0.000872766 | 0.000656398 / -0.000656401 | 0.000611143 / -0.000611146 | 0.000880591 / -0.000880596 | 0.000897294 / -0.000897299 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00338163 / -0.0033817 | 0.00263588 / -0.00263592 | 0.00260957 / -0.00260962 | 0.00222237 / -0.0022224 | 0.00296349 / -0.00296355 | 0.00295797 / -0.00295803 | 0.00247177 / -0.00247181 | 0.00183844 / -0.00183846 | 0.0027633 / -0.00276335 | 0.00395373 / -0.00395384 | 0.00306994 / -0.00307 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00750145 / -0.00750182 | 0.0070172 / -0.00701753 | 0.00274469 / -0.00274474 | 0.00579896 / -0.00579919 | 0.00597658 / -0.00597682 | 0.00311186 / -0.00311192 | 0.00668251 / -0.0066828 | 0.00165397 / -0.00165399 | 0.00634862 / -0.00634889 | 0.00381375 / -0.00381385 | 0.00337508 / -0.00337516 |
 | MU_SF_Isol_SYST | 0.0192186 / -0.0192212 | 0.022397 / -0.0224006 | 0.0166383 / -0.0166402 | 0.0189813 / -0.0189838 | 0.0206764 / -0.0206794 | 0.0166275 / -0.0166294 | 0.024096 / -0.0241002 | 0.0186499 / -0.0186523 | 0.0262494 / -0.0262545 | 0.0147396 / -0.0147411 | 0.0156719 / -0.0156735 |
 | MU_SF_TTVA_STAT | 0.000533636 / -0.000533638 | 0.000420651 / -0.000420652 | 0.000428574 / -0.000428575 | 0.000418468 / -0.000418469 | 0.000459708 / -0.000459709 | 0.000457415 / -0.000457417 | 0.000406934 / -0.000406935 | 0.000286162 / -0.000286162 | 0.000380521 / -0.000380522 | 0.000575358 / -0.00057536 | 0.000507559 / -0.000507561 |
 | MU_SF_TTVA_SYST | 0.000643983 / -0.000643986 | 0.000457982 / -0.000457983 | 0.000478725 / -0.000478727 | 0.000488309 / -0.00048831 | 0.000501995 / -0.000501997 | 0.000512936 / -0.000512938 | 0.000355048 / -0.000355049 | 0.000137789 / -0.000137789 | 0.000630637 / -0.00063064 | 0.000690585 / -0.000690588 | 0.000596404 / -0.000596407 |
 | bTagSF_eigenvars_B_0 | -0.0101862 / 0.0101816 | -0.007208 / 0.0072057 | -0.00772819 / 0.00772555 | 3.88686e-06 / -3.88686e-06 | -0.00925651 / 0.00925271 | -0.0132111 / 0.0132034 | -0.0173731 / 0.0173597 | -0.0183621 / 0.0183472 | -0.0133192 / 0.0133113 | -0.0126773 / 0.0126702 | -0.0125308 / 0.0125238 |
 | bTagSF_eigenvars_B_1 | -0.00206645 / 0.00206642 | -7.22058e-05 / 7.22058e-05 | -0.000768602 / 0.000768598 | -1.38335e-06 / 1.38335e-06 | -0.000683001 / 0.000682998 | -0.00429595 / 0.00429583 | -0.00325949 / 0.00325942 | -0.00171772 / 0.0017177 | -0.000754536 / 0.000754532 | -0.00622735 / 0.00622709 | -0.00351244 / 0.00351236 |
 | bTagSF_eigenvars_B_2 | 0.00250042 / -0.00250046 | 0.00134328 / -0.00134329 | 0.00193097 / -0.001931 | 2.02241e-06 / -2.02241e-06 | 0.00113585 / -0.00113586 | 0.00363248 / -0.00363257 | 0.0038205 / -0.0038206 | 0.00229874 / -0.00229878 | 0.00137881 / -0.00137882 | 0.00352382 / -0.00352391 | 0.0030535 / -0.00305356 |
 | bTagSF_eigenvars_B_3 | -0.000626431 / 0.000626429 | -0.000734484 / 0.00073448 | -0.000891556 / 0.00089155 | -1.7246e-06 / 1.7246e-06 | -0.000551813 / 0.000551811 | -0.000445398 / 0.000445397 | -0.00112723 / 0.00112722 | -0.000952895 / 0.000952889 | -0.000694049 / 0.000694046 | 0.000163508 / -0.000163508 | -0.00037753 / 0.000377529 |
 | bTagSF_eigenvars_B_4 | -6.90121e-05 / 6.90121e-05 | -0.000111529 / 0.000111529 | -5.72333e-05 / 5.72333e-05 | 4.86414e-07 / -4.86414e-07 | 5.18179e-05 / -5.18179e-05 | -0.000124778 / 0.000124778 | -8.10234e-05 / 8.10233e-05 | 7.8918e-05 / -7.89181e-05 | 3.94581e-05 / -3.94581e-05 | -0.000112114 / 0.000112114 | -0.000112079 / 0.000112079 |
 | bTagSF_eigenvars_B_5 | 1.40907e-05 / -1.40907e-05 | 4.66027e-05 / -4.66027e-05 | 2.49536e-05 / -2.49536e-05 | -1.54095e-07 / 1.54095e-07 | -7.18481e-06 / 7.18481e-06 | 1.08445e-05 / -1.08445e-05 | 2.72103e-05 / -2.72104e-05 | -1.09282e-05 / 1.09282e-05 | 4.44075e-06 / -4.44075e-06 | -3.82237e-06 / 3.82237e-06 | 1.0157e-05 / -1.0157e-05 |
 | bTagSF_eigenvars_B_6 | 8.4223e-07 / -8.4223e-07 | 7.12311e-07 / -7.12311e-07 | 1.35362e-06 / -1.35362e-06 | 3.10787e-08 / -3.10787e-08 | 5.20298e-07 / -5.20298e-07 | 9.11373e-07 / -9.11373e-07 | -4.52141e-07 / 4.52141e-07 | 1.73156e-06 / -1.73156e-06 | -2.31388e-07 / 2.31388e-07 | 4.49028e-07 / -4.49028e-07 | 8.90542e-07 / -8.90542e-07 |
 | bTagSF_eigenvars_B_7 | -1.00489e-07 / 1.00489e-07 | -4.09316e-07 / 4.09316e-07 | -2.48886e-07 / 2.48886e-07 | -3.60644e-09 / 3.60644e-09 | 3.75491e-08 / -3.75491e-08 | -1.02378e-07 / 1.02378e-07 | -1.50013e-07 / 1.50013e-07 | -1.87466e-08 / 1.87466e-08 | -2.40282e-07 / 2.40282e-07 | -2.28668e-08 / 2.28668e-08 | -1.48084e-07 / 1.48084e-07 |
 | bTagSF_eigenvars_B_8 | 5.84691e-09 / -5.84691e-09 | -1.61097e-08 / 1.61097e-08 | -1.52454e-08 / 1.52454e-08 | -1.51307e-10 / 1.51306e-10 | 6.62588e-09 / -6.62588e-09 | 2.50783e-09 / -2.50783e-09 | -8.72861e-09 / 8.72861e-09 | 2.64954e-08 / -2.64954e-08 | -2.29056e-08 / 2.29056e-08 | 7.13739e-09 / -7.13739e-09 | 2.51545e-09 / -2.51545e-09 |
 | bTagSF_eigenvars_C_0 | -0.000625469 / 0.000625469 | -0.000292759 / 0.000292759 | -0.000610919 / 0.000610919 | -0.00719141 / 0.00719134 | -0.0385705 / 0.0385653 | 9.80564e-05 / -9.80564e-05 | -5.57344e-05 / 5.57344e-05 | -0.0149051 / 0.0149046 | -0.0400043 / 0.0399985 | 0.000243133 / -0.000243133 | -0.00556461 / 0.00556457 |
 | bTagSF_eigenvars_C_1 | 0.000206455 / -0.000206456 | 4.69731e-05 / -4.69731e-05 | 0.000113584 / -0.000113584 | 0.000488645 / -0.000488646 | 0.000942634 / -0.000942639 | 5.97593e-05 / -5.97593e-05 | 7.62618e-06 / -7.62618e-06 | 0.000960531 / -0.000960536 | 0.00132126 / -0.00132127 | 6.46203e-05 / -6.46203e-05 | 0.000148851 / -0.000148851 |
 | bTagSF_eigenvars_C_2 | -2.68041e-05 / 2.6804e-05 | -6.59148e-05 / 6.59148e-05 | -1.36811e-06 / 1.36811e-06 | 0.000145226 / -0.000145226 | 0.00195045 / -0.00195048 | -3.26308e-06 / 3.26308e-06 | 1.8142e-05 / -1.8142e-05 | 0.000497867 / -0.000497869 | -0.000644673 / 0.00064467 | -2.6226e-05 / 2.62259e-05 | 0.000583649 / -0.000583651 |
 | bTagSF_eigenvars_C_3 | -1.76922e-05 / 1.76922e-05 | 2.27423e-05 / -2.27423e-05 | -3.71108e-06 / 3.71108e-06 | -0.00012529 / 0.00012529 | -0.000598729 / 0.000598726 | -2.44127e-06 / 2.44127e-06 | -7.51109e-06 / 7.51109e-06 | -0.000226815 / 0.000226815 | 0.00016515 / -0.00016515 | 6.91914e-06 / -6.91914e-06 | -0.000148219 / 0.000148219 |
 | bTagSF_eigenvars_Light_0 | -0.000162299 / 0.0001623 | -0.000559679 / 0.000559686 | -0.000455967 / 0.000455972 | -0.125561 / 0.125744 | -0.000899243 / 0.000899262 | 0.000203657 / -0.000203656 | -0.000159168 / 0.000159169 | -0.0113371 / 0.0113399 | -0.0026649 / 0.00266506 | 0.000125704 / -0.000125704 | -0.000180566 / 0.000180567 |
 | bTagSF_eigenvars_Light_1 | 0.000132155 / -0.000132156 | 0.000189806 / -0.000189806 | 0.000205086 / -0.000205087 | 0.0202424 / -0.0202452 | 0.000261258 / -0.000261258 | 4.28766e-05 / -4.28766e-05 | 5.26185e-05 / -5.26185e-05 | 0.00226976 / -0.00226979 | 0.000474853 / -0.000474855 | 7.92386e-06 / -7.92386e-06 | 5.93842e-05 / -5.93842e-05 |
 | bTagSF_eigenvars_Light_2 | -4.09845e-05 / 4.09845e-05 | -7.15129e-05 / 7.15129e-05 | -9.62808e-05 / 9.62807e-05 | 0.00233155 / -0.00233159 | -5.61831e-05 / 5.61831e-05 | 1.01132e-05 / -1.01132e-05 | -1.8109e-05 / 1.8109e-05 | 7.48403e-05 / -7.48403e-05 | 7.15823e-05 / -7.15824e-05 | -1.25662e-05 / 1.25662e-05 | -1.67961e-05 / 1.67961e-05 |
