 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00462532 / -0.00462532 | -0.00790535 / 0.00790535 | -0.00751674 / 0.00751674 | -0.0272275 / 0.0272275 | -0.0245568 / 0.0245568 | -0.0182894 / 0.0182894 | -0.0114553 / 0.0114553 | 0.0763615 / -0.0763615 | -0.00434716 / 0.00434716 | 0.0165494 / -0.0165494 | -0.0132824 / 0.0132824 |
 | jvt | -0.0014191 / 0.0014191 | 0.00021003 / -0.00021003 | 0.00045516 / -0.00045516 | 0.00518534 / -0.00518534 | 0.000544406 / -0.000544406 | -0.00161727 / 0.00161727 | 0.00121744 / -0.00121744 | -0.0181823 / 0.0181823 | -8.21503e-05 / 8.21503e-05 | -0.00565435 / 0.00565435 | -0.00484204 / 0.00484204 |
 | EL_SF_Trigger | 0.000239697 / -0.000239697 | 0.000236321 / -0.000236321 | 0.000313074 / -0.000313074 | 0.00036725 / -0.00036725 | 0.00046887 / -0.00046887 | 0.000525996 / -0.000525996 | 0.000512117 / -0.000512117 | 0.000347603 / -0.000347603 | 0.000208317 / -0.000208317 | 0.000265397 / -0.000265397 | 0.000452304 / -0.000452304 |
 | EL_SF_Reco | 0.00312276 / -0.00312276 | 0.00285079 / -0.00285079 | 0.00321379 / -0.00321379 | 0.00363421 / -0.00363421 | 0.00395127 / -0.00395127 | 0.00472851 / -0.00472851 | 0.00428273 / -0.00428273 | 0.00619091 / -0.00619091 | 0.0029837 / -0.0029837 | 0.00362468 / -0.00362468 | 0.0034574 / -0.0034574 |
 | EL_SF_ID | 0.018179 / -0.018179 | 0.0163952 / -0.0163952 | 0.0187695 / -0.0187695 | 0.0211985 / -0.0211985 | 0.0262018 / -0.0262018 | 0.0276662 / -0.0276662 | 0.0262313 / -0.0262313 | 0.0536125 / -0.0536125 | 0.0172627 / -0.0172627 | 0.021231 / -0.021231 | 0.0181153 / -0.0181153 |
 | EL_SF_Isol | 0.0216546 / -0.0216546 | 0.0219578 / -0.0219578 | 0.0205598 / -0.0205598 | 0.0259421 / -0.0259421 | 0.0227121 / -0.0227121 | 0.0242099 / -0.0242099 | 0.0207644 / -0.0207644 | 0.0151432 / -0.0151432 | 0.0218824 / -0.0218824 | 0.026598 / -0.026598 | 0.0239918 / -0.0239918 |
 | MU_SF_Trigger_STAT | 0.000129752 / -0.000129752 | 0.000127063 / -0.000127063 | 0.000172499 / -0.000172499 | 4.81361e-05 / -4.81361e-05 | 0.000217582 / -0.000217582 | 0.000142332 / -0.000142332 | 0.000224598 / -0.000224598 | 0.000100232 / -0.000100232 | 0.000100289 / -0.000100289 | 8.48467e-05 / -8.48467e-05 | 0.000108824 / -0.000108824 |
 | MU_SF_Trigger_SYST | -0.000365351 / 0.000365351 | -0.000335948 / 0.000335948 | -0.000462577 / 0.000462577 | -0.000293179 / 0.000293179 | -0.000452672 / 0.000452672 | -0.00080387 / 0.00080387 | -0.000695579 / 0.000695579 | -0.00139314 / 0.00139314 | -0.000321092 / 0.000321092 | -0.000210194 / 0.000210194 | -0.000208479 / 0.000208479 |
 | MU_SF_ID_STAT | 0.000792945 / -0.000792945 | 0.000828349 / -0.000828349 | 0.000805559 / -0.000805559 | 0.000632481 / -0.000632481 | 0.000743992 / -0.000743992 | 0.000636404 / -0.000636404 | 0.000776332 / -0.000776332 | 0.000690846 / -0.000690846 | 0.000808935 / -0.000808935 | 0.000579993 / -0.000579993 | 0.000606063 / -0.000606063 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00290462 / -0.00290462 | 0.00321279 / -0.00321279 | 0.00267328 / -0.00267328 | 0.00280884 / -0.00280884 | 0.00265032 / -0.00265032 | 0.00175818 / -0.00175818 | 0.00227328 / -0.00227328 | 0.00385184 / -0.00385184 | 0.00348356 / -0.00348356 | 0.00243101 / -0.00243101 | 0.00187988 / -0.00187988 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00722546 / -0.00722546 | 0.00774809 / -0.00774809 | 0.00269471 / -0.00269471 | 0.00514495 / -0.00514495 | 0.00545033 / -0.00545033 | 0.00176755 / -0.00176755 | 0.00678596 / -0.00678596 | 0.00763052 / -0.00763052 | 0.00710566 / -0.00710566 | 0.00233913 / -0.00233913 | 0.00185967 / -0.00185967 |
 | MU_SF_Isol_SYST | 0.0194742 / -0.0194742 | 0.0193048 / -0.0193048 | 0.0158319 / -0.0158319 | 0.018783 / -0.018783 | 0.0185191 / -0.0185191 | 0.0177273 / -0.0177273 | 0.0239091 / -0.0239091 | 0.0138146 / -0.0138146 | 0.0164371 / -0.0164371 | 0.0153369 / -0.0153369 | 0.0161607 / -0.0161607 |
 | MU_SF_TTVA_STAT | 0.000461964 / -0.000461964 | 0.000485718 / -0.000485718 | 0.000445282 / -0.000445282 | 0.000380079 / -0.000380079 | 0.000353194 / -0.000353194 | 0.000294783 / -0.000294783 | 0.000403462 / -0.000403462 | 0.000370107 / -0.000370107 | 0.000546172 / -0.000546172 | 0.000322524 / -0.000322524 | 0.00033793 / -0.00033793 |
 | MU_SF_TTVA_SYST | 0.000565498 / -0.000565498 | 0.000573303 / -0.000573303 | 0.000490134 / -0.000490134 | 0.000398882 / -0.000398882 | 0.000393333 / -0.000393333 | 0.00024738 / -0.00024738 | 0.000374002 / -0.000374002 | 0.000718136 / -0.000718136 | 0.000655826 / -0.000655826 | 0.000375683 / -0.000375683 | 0.000346766 / -0.000346766 |
 | bTagSF_eigenvars_B_0 | 0.00668024 / -0.00668024 | 0.00665726 / -0.00665726 | 0.0111481 / -0.0111481 | 0 / 0 | -0.00630412 / 0.00630412 | -0.00716793 / 0.00716793 | -0.0106989 / 0.0106989 | -0.0139825 / 0.0139825 | 0.012563 / -0.012563 | -0.00939158 / 0.00939158 | -0.0100767 / 0.0100767 |
 | bTagSF_eigenvars_B_1 | 0.00238256 / -0.00238256 | 0.00305874 / -0.00305874 | 0.00362114 / -0.00362114 | 0 / 0 | -0.000751346 / 0.000751346 | -0.00321843 / 0.00321843 | -0.00336586 / 0.00336586 | -0.00460443 / 0.00460443 | 0.00534263 / -0.00534263 | -0.00556882 / 0.00556882 | -0.00344727 / 0.00344727 |
 | bTagSF_eigenvars_B_2 | -0.00095911 / 0.00095911 | -0.00156436 / 0.00156436 | -0.00219528 / 0.00219528 | 0 / 0 | 0.000719644 / -0.000719644 | 0.00233805 / -0.00233805 | 0.0028303 / -0.0028303 | 0.00572664 / -0.00572664 | -0.00273299 / 0.00273299 | 0.00224063 / -0.00224063 | 0.00255393 / -0.00255393 |
 | bTagSF_eigenvars_B_3 | -0.000105764 / 0.000105764 | -0.00010381 / 0.00010381 | 6.74567e-06 / -6.74567e-06 | 0 / 0 | -0.000195592 / 0.000195592 | -0.000356781 / 0.000356781 | -0.000322565 / 0.000322565 | -0.00216159 / 0.00216159 | 2.12112e-05 / -2.12112e-05 | 0.000212855 / -0.000212855 | -7.80672e-07 / 7.80672e-07 |
 | bTagSF_eigenvars_B_4 | 3.54152e-05 / -3.54152e-05 | 1.74869e-05 / -1.74869e-05 | 5.38695e-05 / -5.38695e-05 | 0 / 0 | 4.84088e-06 / -4.84088e-06 | -7.06546e-05 / 7.06546e-05 | -0.000107823 / 0.000107823 | -1.25243e-05 / 1.25243e-05 | -2.18792e-05 / 2.18792e-05 | -7.91383e-05 / 7.91383e-05 | -3.65286e-05 / 3.65286e-05 |
 | bTagSF_eigenvars_B_5 | 1.13039e-05 / -1.13039e-05 | 5.52723e-06 / -5.52723e-06 | 2.741e-06 / -2.741e-06 | 0 / 0 | -2.19671e-06 / 2.19671e-06 | -2.77925e-06 / 2.77925e-06 | 5.63769e-06 / -5.63769e-06 | -5.21961e-05 / 5.21961e-05 | -3.87291e-07 / 3.87291e-07 | -1.8968e-05 / 1.8968e-05 | -5.16532e-05 / 5.16532e-05 |
 | bTagSF_eigenvars_B_6 | 9.94749e-07 / -9.94749e-07 | -7.55531e-07 / 7.55531e-07 | 9.8579e-08 / -9.8579e-08 | 0 / 0 | 1.81313e-06 / -1.81313e-06 | -3.5586e-06 / 3.5586e-06 | 1.43558e-06 / -1.43558e-06 | 2.97777e-05 / -2.97777e-05 | 2.24278e-06 / -2.24278e-06 | 5.91618e-07 / -5.91618e-07 | 7.6664e-06 / -7.6664e-06 |
 | bTagSF_eigenvars_B_7 | 5.1241e-08 / -5.1241e-08 | -5.20695e-08 / 5.20695e-08 | 5.79408e-08 / -5.79408e-08 | 0 / 0 | -1.99147e-07 / 1.99147e-07 | 2.55714e-07 / -2.55714e-07 | -1.7133e-07 / 1.7133e-07 | -2.89023e-06 / 2.89023e-06 | 3.90819e-07 / -3.90819e-07 | 1.26091e-07 / -1.26091e-07 | 6.66593e-07 / -6.66593e-07 |
 | bTagSF_eigenvars_B_8 | -1.61308e-08 / 1.61308e-08 | -1.63894e-08 / 1.63894e-08 | -2.33167e-09 / 2.33166e-09 | 0 / 0 | -1.00334e-08 / 1.00334e-08 | 1.32758e-08 / -1.32758e-08 | -8.00995e-10 / 8.00995e-10 | -6.57089e-08 / 6.57089e-08 | -2.01582e-08 / 2.01582e-08 | 5.8879e-08 / -5.8879e-08 | 5.59577e-08 / -5.59577e-08 |
 | bTagSF_eigenvars_C_0 | 0.000845485 / -0.000845485 | 0.000385465 / -0.000385465 | 0.00242263 / -0.00242263 | -0.00532958 / 0.00532958 | -0.0341884 / 0.0341884 | 0.000411083 / -0.000411083 | 0.000143279 / -0.000143279 | 0.00555751 / -0.00555751 | -0.00484112 / 0.00484112 | 0.00169674 / -0.00169674 | 0.00101718 / -0.00101718 |
 | bTagSF_eigenvars_C_1 | 4.96836e-05 / -4.96836e-05 | 5.21027e-06 / -5.21027e-06 | 0.000129653 / -0.000129653 | 9.29151e-05 / -9.29151e-05 | -0.00441523 / 0.00441523 | -1.45168e-05 / 1.45168e-05 | 5.76458e-05 / -5.76458e-05 | -0.000256288 / 0.000256288 | -0.00102537 / 0.00102537 | -0.000154212 / 0.000154212 | 0.000485431 / -0.000485431 |
 | bTagSF_eigenvars_C_2 | -2.96659e-05 / 2.96659e-05 | -7.54069e-06 / 7.54069e-06 | -0.000151177 / 0.000151177 | 0.000329315 / -0.000329315 | 0.0010395 / -0.0010395 | 4.44981e-06 / -4.44981e-06 | -1.64104e-05 / 1.64104e-05 | 0.000386245 / -0.000386245 | 4.96251e-05 / -4.96251e-05 | 4.3168e-05 / -4.3168e-05 | 0.000229329 / -0.000229329 |
