 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00487347 / 0.00487307 | -0.00537471 / 0.00537422 | -0.00521152 / 0.00521106 | 0.0164959 / -0.0165002 | 0.00178549 / -0.00178555 | -0.00383595 / 0.0038357 | 0.0195332 / -0.0195392 | 1.7712 / -1 | -0.00358683 / 0.00358661 | 0.0106286 / -0.0106304 | 0.00122231 / -0.00122234 |
 | jvt | 0.00362779 / -0.00362788 | 0.00518663 / -0.00518681 | 0.00330044 / -0.00330051 | 0.00550229 / -0.00550249 | 0.00561316 / -0.00561337 | 0.00453481 / -0.00453495 | 0.00365244 / -0.00365252 | -0.00639055 / 0.00639028 | 0.00241922 / -0.00241926 | 0.00731209 / -0.00731244 | 0.00583451 / -0.00583474 |
 | EL_SF_Trigger | 0.000122574 / -0.000122574 | 0.000194845 / -0.000194845 | 0.000178015 / -0.000178016 | 0.000118448 / -0.000118448 | 0.000122165 / -0.000122165 | 0.000149357 / -0.000149357 | 0.000252072 / -0.000252072 | -0.0116067 / 0.0116058 | 0.000170698 / -0.000170698 | 0.000108701 / -0.000108701 | 0.00011725 / -0.00011725 |
 | EL_SF_Reco | 0.00242908 / -0.00242912 | 0.00268559 / -0.00268564 | 0.00270649 / -0.00270654 | 0.00213818 / -0.00213821 | 0.00243958 / -0.00243962 | 0.00242547 / -0.00242551 | 0.00402143 / -0.00402154 | -0.0549067 / 0.0548866 | 0.00259442 / -0.00259447 | 0.00266431 / -0.00266435 | 0.00228805 / -0.00228809 |
 | EL_SF_ID | 0.0140248 / -0.0140276 | 0.0154511 / -0.0154545 | 0.015341 / -0.0153444 | 0.0139932 / -0.013996 | 0.0140236 / -0.0140265 | 0.0137887 / -0.0137914 | 0.026397 / -0.0264072 | -0.243154 / 0.242488 | 0.014784 / -0.0147872 | 0.0145101 / -0.0145131 | 0.0119713 / -0.0119734 |
 | EL_SF_Isol | 0.0191794 / -0.0191858 | 0.017923 / -0.0179286 | 0.0185588 / -0.0185648 | 0.0139622 / -0.0139656 | 0.0172047 / -0.0172098 | 0.0178069 / -0.0178124 | 0.0209696 / -0.0209773 | -0.058972 / 0.0589147 | 0.017954 / -0.0179597 | 0.0186487 / -0.0186548 | 0.0185335 / -0.0185396 |
 | MU_SF_Trigger_STAT | 0.000237475 / -0.000237476 | 0.000236672 / -0.000236672 | 0.000275111 / -0.000275112 | 0.000200186 / -0.000200186 | 0.000198908 / -0.000198909 | 0.000239962 / -0.000239962 | 0.000282818 / -0.000282819 | 0.000208952 / -0.000208953 | 0.000292787 / -0.000292788 | 0.00021554 / -0.00021554 | 0.000233776 / -0.000233776 |
 | MU_SF_Trigger_SYST | -0.000494284 / 0.000494282 | -0.000561005 / 0.000561003 | -0.000620871 / 0.000620869 | -0.000396665 / 0.000396664 | -0.000447456 / 0.000447455 | -0.000573086 / 0.000573084 | -0.000889791 / 0.000889785 | -0.000201385 / 0.000201385 | -0.000541746 / 0.000541744 | -0.000528129 / 0.000528127 | -0.000483771 / 0.000483769 |
 | MU_SF_ID_STAT | 0.000905137 / -0.000905143 | 0.000926319 / -0.000926325 | 0.000905746 / -0.000905751 | 0.000765269 / -0.000765273 | 0.00088084 / -0.000880845 | 0.000906345 / -0.00090635 | 0.000561674 / -0.000561676 | 0.00602142 / -0.00602166 | 0.000925292 / -0.000925298 | 0.000933651 / -0.000933657 | 0.000903273 / -0.000903279 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00377362 / -0.00377372 | 0.00319463 / -0.00319469 | 0.00282782 / -0.00282788 | 0.00333093 / -0.00333101 | 0.00417463 / -0.00417475 | 0.00357365 / -0.00357373 | 0.00201108 / -0.00201111 | 0.015933 / -0.0159347 | 0.00339782 / -0.0033979 | 0.00500777 / -0.00500794 | 0.00325936 / -0.00325943 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00895766 / -0.00895818 | 0.00897256 / -0.00897309 | 0.00293626 / -0.00293632 | 0.00774754 / -0.00774793 | 0.00784536 / -0.00784576 | 0.00353061 / -0.0035307 | 0.00628852 / -0.00628878 | 0.0630525 / -0.0630779 | 0.00563592 / -0.00563613 | 0.00440818 / -0.00440831 | 0.00374701 / -0.00374711 |
 | MU_SF_Isol_SYST | 0.019672 / -0.0196746 | 0.0227438 / -0.0227474 | 0.0159553 / -0.015957 | 0.0171821 / -0.0171841 | 0.0187837 / -0.0187861 | 0.0153716 / -0.0153732 | 0.0191626 / -0.0191652 | 0.138094 / -0.138365 | 0.0188392 / -0.0188416 | 0.0132051 / -0.0132062 | 0.0158071 / -0.0158088 |
 | MU_SF_TTVA_STAT | 0.00058933 / -0.000589333 | 0.000457881 / -0.000457883 | 0.000477017 / -0.000477019 | 0.0004986 / -0.000498602 | 0.000607437 / -0.000607439 | 0.000523552 / -0.000523554 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.000524329 / -0.00052433 | 0.000680947 / -0.000680951 | 0.00050743 / -0.000507431 |
 | MU_SF_TTVA_SYST | 0.00074788 / -0.000747884 | 0.000543863 / -0.000543865 | 0.000543422 / -0.000543424 | 0.000814402 / -0.000814407 | 0.000727483 / -0.000727487 | 0.000617371 / -0.000617373 | 0.000441591 / -0.000441592 | 0.00037006 / -0.000370061 | 0.000583081 / -0.000583083 | 0.000861944 / -0.000861949 | 0.000607899 / -0.000607902 |
 | bTagSF_eigenvars_B_0 | -0.0232251 / 0.0232013 | -0.0251557 / 0.0251278 | -0.0223229 / 0.0223009 | 0.00223369 / -0.00223391 | -0.0248477 / 0.0248204 | -0.02872 / 0.0286836 | -0.0274732 / 0.0274399 | -0.181325 / 0.179925 | -0.00145234 / 0.00145224 | -0.0161096 / 0.0160981 | -0.0172743 / 0.0172611 |
 | bTagSF_eigenvars_B_1 | -0.00986424 / 0.00986358 | -0.0102447 / 0.010244 | -0.00946033 / 0.00945972 | -0.000252082 / 0.000252082 | -0.0062827 / 0.00628244 | -0.0102047 / 0.0102039 | -0.0111165 / 0.0111157 | 0.0124821 / -0.0124832 | 0.000346702 / -0.000346703 | -0.00605737 / 0.00605712 | -0.00502642 / 0.00502625 |
 | bTagSF_eigenvars_B_2 | 0.00571802 / -0.00571824 | 0.00627304 / -0.0062733 | 0.00582775 / -0.00582798 | 0.000208176 / -0.000208176 | 0.00382304 / -0.00382314 | 0.00573814 / -0.00573837 | 0.00654282 / -0.00654311 | 0.00795919 / -0.00795962 | -8.64374e-07 / 8.64374e-07 | 0.00282204 / -0.0028221 | 0.00375454 / -0.00375464 |
 | bTagSF_eigenvars_B_3 | -3.55747e-05 / 3.55746e-05 | 6.94e-05 / -6.94e-05 | 2.59585e-05 / -2.59585e-05 | -0.000102743 / 0.000102743 | -0.000829746 / 0.000829741 | -0.000298032 / 0.000298031 | -3.69593e-05 / 3.69593e-05 | -0.0270767 / 0.0270718 | -8.59011e-05 / 8.5901e-05 | -3.07161e-05 / 3.07161e-05 | -0.000181637 / 0.000181637 |
 | bTagSF_eigenvars_B_4 | -0.000147137 / 0.000147137 | -0.00014875 / 0.00014875 | -0.000156322 / 0.000156322 | 1.48273e-05 / -1.48273e-05 | 2.00283e-05 / -2.00283e-05 | -9.62442e-05 / 9.62441e-05 | -5.91874e-05 / 5.91873e-05 | 0.00736601 / -0.00736638 | 4.85735e-05 / -4.85736e-05 | -5.96464e-05 / 5.96464e-05 | -6.79778e-05 / 6.79777e-05 |
 | bTagSF_eigenvars_B_5 | -5.61663e-06 / 5.61663e-06 | -4.84195e-05 / 4.84194e-05 | -1.8499e-06 / 1.8499e-06 | -2.09512e-06 / 2.09512e-06 | -2.15199e-05 / 2.15199e-05 | -2.19729e-05 / 2.19729e-05 | 1.60937e-05 / -1.60937e-05 | 0.000344917 / -0.000344917 | -1.81661e-05 / 1.81661e-05 | -1.2079e-05 / 1.2079e-05 | -1.13478e-05 / 1.13478e-05 |
