 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00318716 / 0.00318696 | -0.00118736 / 0.00118734 | -0.00414642 / 0.00414608 | 0.0043294 / -0.00432976 | -0.00088082 / 0.000880805 | -0.00144781 / 0.00144777 | -0.00303318 / 0.003033 | -0.00137248 / 0.00137245 | 0.0257256 / -0.0257378 | -nan / -nan | -nan / -nan |
 | jvt | 0.00215771 / -0.00215774 | 0.00253711 / -0.00253715 | 0.000685103 / -0.000685106 | 0.0032262 / -0.00322627 | 0.00346417 / -0.00346425 | 0.00248922 / -0.00248926 | 0.0031078 / -0.00310786 | 0.00554394 / -0.00554413 | 0.00392883 / -0.00392893 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000134863 / -0.000134863 | 0.00018627 / -0.000186271 | 0.000189107 / -0.000189108 | 0.000164856 / -0.000164856 | 0.000159943 / -0.000159943 | 0.000167413 / -0.000167413 | 0.000310234 / -0.000310235 | 0.000263504 / -0.000263504 | 9.56218e-05 / -9.56219e-05 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00240696 / -0.002407 | 0.00238785 / -0.00238789 | 0.00266852 / -0.00266857 | 0.00250511 / -0.00250516 | 0.00238728 / -0.00238732 | 0.00243168 / -0.00243172 | 0.0043708 / -0.00437093 | 0.00438972 / -0.00438984 | 0.00276215 / -0.0027622 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0132371 / -0.0132379 | 0.014568 / -0.014569 | 0.0149772 / -0.0149782 | 0.013428 / -0.0134287 | 0.0132889 / -0.0132896 | 0.0138854 / -0.0138862 | 0.0256097 / -0.025613 | 0.0350874 / -0.0350942 | 0.0118517 / -0.0118523 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0190413 / -0.0190412 | 0.0177682 / -0.0177681 | 0.0182167 / -0.0182167 | 0.0168533 / -0.0168532 | 0.0164998 / -0.0164997 | 0.0175823 / -0.0175822 | 0.0182752 / -0.0182752 | 0.018738 / -0.0187379 | 0.0131949 / -0.0131948 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000236212 / -0.000236212 | 0.000242697 / -0.000242697 | 0.000276866 / -0.000276866 | 0.000229571 / -0.000229572 | 0.000244389 / -0.000244389 | 0.000256178 / -0.000256179 | 0.000363181 / -0.000363182 | 0.00051827 / -0.000518272 | 0.000132676 / -0.000132676 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000526396 / 0.000526394 | -0.000632496 / 0.000632493 | -0.000655317 / 0.000655314 | -0.00052114 / 0.000521138 | -0.000540752 / 0.00054075 | -0.000630461 / 0.000630458 | -0.000900635 / 0.00090063 | -0.00186164 / 0.00186162 | -0.000421829 / 0.000421828 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000903423 / -0.000903429 | 0.000933847 / -0.000933853 | 0.000897772 / -0.000897778 | 0.000866192 / -0.000866197 | 0.000898123 / -0.000898129 | 0.000892878 / -0.000892883 | 0.000773385 / -0.000773389 | 0.000901941 / -0.000901946 | 0.000631033 / -0.000631036 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00330835 / -0.00330842 | 0.00296343 / -0.00296348 | 0.00272818 / -0.00272823 | 0.00325132 / -0.00325139 | 0.00330086 / -0.00330093 | 0.0028626 / -0.00286265 | 0.00249086 / -0.0024909 | 0.00261012 / -0.00261016 | 0.00289107 / -0.00289113 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00851042 / -0.00851089 | 0.00771629 / -0.00771669 | 0.00276393 / -0.00276398 | 0.00694935 / -0.00694967 | 0.00694919 / -0.00694951 | 0.00296823 / -0.00296829 | 0.00656205 / -0.00656233 | 0.00276767 / -0.00276772 | 0.00964712 / -0.00964773 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0204016 / -0.020407 | 0.0227398 / -0.0227467 | 0.0166399 / -0.0166435 | 0.0206462 / -0.0206519 | 0.0202612 / -0.0202666 | 0.0163977 / -0.0164012 | 0.0228938 / -0.0229008 | 0.0194325 / -0.0194374 | 0.0190788 / -0.0190836 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000538611 / -0.000538613 | 0.000460842 / -0.000460843 | 0.000457624 / -0.000457625 | 0.000501779 / -0.000501781 | 0.00052113 / -0.000521132 | 0.000455612 / -0.000455614 | 0.000396802 / -0.000396803 | 0.000421714 / -0.000421716 | 0.000364607 / -0.000364608 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000655424 / -0.000655427 | 0.000517801 / -0.000517803 | 0.000497456 / -0.000497458 | 0.000579666 / -0.000579668 | 0.000607956 / -0.000607959 | 0.000513389 / -0.000513391 | 0.00039174 / -0.000391741 | 0.000421266 / -0.000421267 | 0.000350081 / -0.000350081 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | 0.00834571 / -0.00834758 | 0.0187237 / -0.0187328 | 0.0144749 / -0.0144804 | 5.75929e-05 / -5.7593e-05 | -0.00458078 / 0.0045802 | -0.000646037 / 0.000646026 | -0.00359635 / 0.003596 | -0.00886745 / 0.00886524 | 0.00130827 / -0.00130831 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_1 | 0.00135048 / -0.00135049 | 0.00510106 / -0.00510124 | 0.00330302 / -0.00330309 | -6.82195e-06 / 6.82195e-06 | -0.00130521 / 0.0013052 | -0.00190385 / 0.00190382 | -0.00230294 / 0.00230291 | -0.00142328 / 0.00142326 | 0.00159366 / -0.00159368 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_2 | -0.00125762 / 0.00125761 | -0.00390575 / 0.00390564 | -0.00280909 / 0.00280904 | 5.93644e-06 / -5.93644e-06 | 0.000785755 / -0.000785759 | 0.00103727 / -0.00103728 | 0.00197096 / -0.00197098 | 0.00124277 / -0.00124278 | -0.00026748 / 0.00026748 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | 0.000332621 / -0.000332622 | 0.000510065 / -0.000510067 | 0.000208687 / -0.000208687 | -3.21594e-06 / 3.21594e-06 | -0.000165857 / 0.000165857 | 0.00025404 / -0.00025404 | -7.60382e-05 / 7.60382e-05 | -0.000319148 / 0.000319147 | -0.000526597 / 0.000526595 | -nan / -nan | -nan / -nan |
