NUISANCE_PARAMETERS
EG_RESOLUTION_ALL  0.102976 +0.990571 -0.990571
EG_SCALE_ALL  -0.0662417 +0.993194 -0.993194
EL_SF_ID  0.090949 +0.983534 -0.983534
EL_SF_Isol  0.113398 +0.979367 -0.979367
EL_SF_Reco  -0.00116518 +0.993358 -0.993358
EL_SF_Trigger  -8.47595e-07 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.0521983 +0.991349 -0.991349
GlobalReduction_JET_EffectiveNP_1  -0.202821 +0.990721 -0.990721
GlobalReduction_JET_EffectiveNP_2  -0.0527717 +0.983196 -0.983196
GlobalReduction_JET_EffectiveNP_3  -0.153577 +0.978071 -0.978071
GlobalReduction_JET_EffectiveNP_4  -0.0752293 +0.990525 -0.990525
GlobalReduction_JET_EffectiveNP_5  -0.00146519 +0.991789 -0.991789
GlobalReduction_JET_EffectiveNP_6  -0.103481 +0.987101 -0.987101
GlobalReduction_JET_EffectiveNP_7  0.0288787 +0.99247 -0.99247
GlobalReduction_JET_EffectiveNP_8restTerm  -0.084425 +0.989648 -0.989648
GlobalReduction_JET_EtaIntercalibration_Modelling  -0.176799 +0.984118 -0.984118
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.083569 +0.986965 -0.986965
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  -0.0024464 +0.993268 -0.993268
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0165472 +0.993123 -0.993123
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00403961 +0.991827 -0.991827
GlobalReduction_JET_Flavor_Composition  -0.892461 +0.937081 -0.937081
GlobalReduction_JET_Flavor_Response  0.339053 +0.974603 -0.974603
GlobalReduction_JET_JER_DataVsMC_AFII  1.10143e-10 +0.993348 -0.993348
GlobalReduction_JET_JER_DataVsMC_MC16  0.126342 +0.975128 -0.975128
GlobalReduction_JET_JER_EffectiveNP_1  -0.0425281 +0.968693 -0.968693
GlobalReduction_JET_JER_EffectiveNP_2  -0.27179 +0.974985 -0.974985
GlobalReduction_JET_JER_EffectiveNP_3  -0.224249 +0.981678 -0.981678
GlobalReduction_JET_JER_EffectiveNP_4  0.107281 +0.971693 -0.971693
GlobalReduction_JET_JER_EffectiveNP_5  0.0681312 +0.97688 -0.97688
GlobalReduction_JET_JER_EffectiveNP_6  -0.297165 +0.986301 -0.986301
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.203486 +0.972563 -0.972563
GlobalReduction_JET_Pileup_OffsetMu  0.127337 +0.968091 -0.968091
GlobalReduction_JET_Pileup_OffsetNPV  -0.376333 +0.985861 -0.985861
GlobalReduction_JET_Pileup_PtTerm  -0.0111351 +0.986447 -0.986447
GlobalReduction_JET_Pileup_RhoTopology  -0.929415 +0.924221 -0.924221
GlobalReduction_JET_RelativeNonClosure_AFII  1.10143e-10 +0.993348 -0.993348
MET_SoftTrk_ResoPara  0.140786 +0.977121 -0.977121
MET_SoftTrk_ResoPerp  -0.0970831 +0.976001 -0.976001
MET_SoftTrk_Scale  0.185246 +0.977844 -0.977844
MUON_ID  -0.136306 +0.986368 -0.986368
MUON_MS  0.0595339 +0.99096 -0.99096
MUON_SCALE  0.0207458 +0.989961 -0.989961
MU_SF_ID_STAT  -5.32346e-05 +0.993348 -0.993348
MU_SF_ID_SYST  -0.00066907 +0.99335 -0.99335
MU_SF_Isol_STAT  -0.00521119 +0.993401 -0.993401
MU_SF_Isol_SYST  0.083641 +0.977757 -0.977757
MU_SF_TTVA_STAT  -2.4868e-06 +0.993348 -0.993348
MU_SF_TTVA_SYST  1.95513e-05 +0.993348 -0.993348
MU_SF_Trigger_STAT  -0.000846626 +0.993348 -0.993348
MU_SF_Trigger_SYST  0.000166747 +0.993348 -0.993348
OtherFakesNorm  0.457772 +0.774609 -0.774609
OtherNorm  -0.137652 +1.00498 -1.00498
VVHF_1_Jet  0.0874613 +0.742095 -0.742095
VVHF_2_Jet  0.340432 +0.785501 -0.785501
VVHF_3_Jet  0.200549 +0.899503 -0.899503
VVHF_4_Jet  -0.138781 +0.966668 -0.966668
VVHF_5_Jet  0.157266 +0.895464 -0.895464
VVHFgen  0.0464271 +0.539673 -0.539673
VVHFnorm  0.505396 +0.78025 -0.78025
VVLF_1_Jet  0.101577 +0.96533 -0.96533
VVLF_2_Jet  0.0664343 +0.97603 -0.97603
VVLF_3_Jet  0.0626206 +0.985403 -0.985403
VVLF_4_Jet  0.0101002 +0.992713 -0.992713
VVLF_5_Jet  0.0140143 +0.991071 -0.991071
VVLFgen  0.303114 +0.952196 -0.952196
VVLFnorm  0.154886 +0.971251 -0.971251
WtZmod  0.246527 +0.943417 -0.943417
bTagSF_eigenvars_B_0  -0.0317689 +0.96066 -0.96066
bTagSF_eigenvars_B_1  -0.00480737 +0.993177 -0.993177
bTagSF_eigenvars_B_2  -0.00339584 +0.993325 -0.993325
bTagSF_eigenvars_B_3  0.000474802 +0.99334 -0.99334
bTagSF_eigenvars_B_4  -3.66176e-05 +0.993348 -0.993348
bTagSF_eigenvars_B_5  3.75394e-05 +0.993348 -0.993348
bTagSF_eigenvars_C_0  0.174079 +0.98992 -0.98992
bTagSF_eigenvars_C_1  -0.0292031 +0.992413 -0.992413
bTagSF_eigenvars_C_2  0.00116449 +0.99335 -0.99335
bTagSF_eigenvars_C_3  -0.000259321 +0.993348 -0.993348
bTagSF_eigenvars_Light_0  -0.106368 +0.982781 -0.982781
bTagSF_eigenvars_Light_1  -0.0476328 +0.992687 -0.992687
bTagSF_eigenvars_Light_2  -0.0123632 +0.992756 -0.992756
bTagSF_eigenvars_Light_3  -0.000371132 +0.993323 -0.993323
cTagSF  -0.201424 +0.421559 -0.421559
jvt  -0.0133053 +0.993204 -0.993204
lumi  0.0925494 +0.982228 -0.982228
pileup  -0.0934913 +0.972294 -0.972294
signalMuRMuF  1.10143e-10 +0.993348 -0.993348
tWZnorm  0.345649 +0.966485 -0.966485
tZnorm  0.263322 +0.90073 -0.90073
tZrad  -0.237706 +0.963128 -0.963128
ttHnorm  0.0125213 +0.990352 -0.990352
ttWnorm  -0.042946 +0.980908 -0.980908
ttZgen  0.0874644 +0.95665 -0.95665
ttZmuRmuF  0.134248 +0.984933 -0.984933
ttZnorm  -0.133698 +0.743008 -0.743008
ttZrad  -0.118524 +0.972377 -0.972377
ttbarA14  -0.12522 +0.986489 -0.986489
ttbarBottomMeson  0.0837409 +0.972346 -0.972346
ttbarFSR  0.420355 +0.892935 -0.892935
ttbarPDF  -0.00152573 +0.993064 -0.993064
ttbarPS  0.180945 +0.929532 -0.929532
ttbarPhotConv  -0.335404 +1.02194 -1.02194
ttbarXsec  1.10143e-10 +0.993348 -0.993348
ttbarhdamp  -0.0264861 +0.92567 -0.92567
gamma_stat_SBCR1_bin_0  1.00195 +0.0143679 -0.0143679
gamma_stat_SBCR1_bin_1  0.998488 +0.0124383 -0.0124383
gamma_stat_SBCR1_bin_2  1.00033 +0.0150621 -0.0150621
gamma_stat_SBCR1_bin_3  1.00361 +0.0177542 -0.0177542
gamma_stat_SBCR1_bin_4  1.00293 +0.0200779 -0.0200779
gamma_stat_SBCR1_bin_5  0.993153 +0.0302314 -0.0302314
gamma_stat_SBCR1_bin_6  0.998603 +0.0269929 -0.0269929
gamma_stat_SBCR1_bin_7  1.00443 +0.034952 -0.034952
gamma_stat_SBCR2_bin_0  1.02068 +0.0547341 -0.0547341
gamma_stat_SBCR2_bin_1  1.00669 +0.0615121 -0.0615121
gamma_stat_SBCR2_bin_2  1.00726 +0.0514239 -0.0514239
gamma_stat_SBCR2_bin_3  0.988559 +0.0504226 -0.0504226
gamma_stat_SBCR2_bin_4  0.983222 +0.0511951 -0.0511951
gamma_stat_SBCR2_bin_5  1.00256 +0.0509842 -0.0509842
gamma_stat_SBCR2_bin_6  1.02533 +0.0537466 -0.0537466
gamma_stat_SBCR2_bin_7  0.992778 +0.0434605 -0.0434605
gamma_stat_SR1_bin_0  0.999865 +0.00977518 -0.00977518
gamma_stat_SR1_bin_1  0.998294 +0.0129696 -0.0129696
gamma_stat_SR1_bin_2  0.999603 +0.0133225 -0.0133225
gamma_stat_SR1_bin_3  1.00125 +0.0201644 -0.0201644
gamma_stat_SR1_bin_4  0.995457 +0.0218237 -0.0218237
gamma_stat_SR1_bin_5  1.00032 +0.0222103 -0.0222103
gamma_stat_SR1_bin_6  1.00053 +0.0193823 -0.0193823
gamma_stat_SR1_bin_7  1.00097 +0.0208475 -0.0208475
gamma_stat_SR1_bin_8  1.00281 +0.0268309 -0.0268309
gamma_stat_SR1_bin_9  0.997321 +0.0222479 -0.0222479
gamma_stat_SR2_bin_0  0.992711 +0.0328698 -0.0328698
gamma_stat_SR2_bin_1  0.999667 +0.0251396 -0.0251396
gamma_stat_SR2_bin_2  0.988656 +0.0253607 -0.0253607
gamma_stat_SR2_bin_3  1.00073 +0.0237235 -0.0237235
gamma_stat_SR2_bin_4  1.0068 +0.0252124 -0.0252124
gamma_stat_SR2_bin_5  1.0026 +0.0278613 -0.0278613
gamma_stat_SR2_bin_6  1.00195 +0.0242367 -0.0242367
gamma_stat_SR2_bin_7  0.99845 +0.0284761 -0.0284761
gamma_stat_SR2_bin_8  1.0067 +0.0272289 -0.0272289
gamma_stat_SR2_bin_9  0.99901 +0.0202233 -0.0202233
gamma_stat_SR3_bin_0  1.00291 +0.0182669 -0.0182669
gamma_stat_SR3_bin_1  0.998056 +0.0189047 -0.0189047
