 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00328266 / 0.00328266 | -0.00122804 / 0.00122804 | -0.00426889 / 0.00426889 | 0.00445952 / -0.00445952 | -0.000907143 / 0.000907143 | -0.00148595 / 0.00148595 | -0.00310449 / 0.00310449 | -0.00147926 / 0.00147926 | 0.0262517 / -0.0262517 | 0.000949373 / -0.000949373 | -0.000872384 / 0.000872384 |
 | jvt | 0.00217322 / -0.00217322 | 0.00255643 / -0.00255643 | 0.000690461 / -0.000690461 | 0.00324888 / -0.00324888 | 0.00348817 / -0.00348817 | 0.00250566 / -0.00250566 | 0.00312964 / -0.00312964 | 0.00558501 / -0.00558501 | 0.00396099 / -0.00396099 | 0.00364257 / -0.00364257 | 0.00320335 / -0.00320335 |
 | EL_SF_Trigger | 0.000135758 / -0.000135758 | 0.000187523 / -0.000187523 | 0.000190386 / -0.000190386 | 0.000165939 / -0.000165939 | 0.000160992 / -0.000160992 | 0.000168531 / -0.000168531 | 0.000312323 / -0.000312323 | 0.0002654 / -0.0002654 | 9.63667e-05 / -9.63667e-05 | 9.34128e-05 / -9.34128e-05 | 0.000152741 / -0.000152741 |
 | EL_SF_Reco | 0.00242302 / -0.00242302 | 0.00240366 / -0.00240366 | 0.00268641 / -0.00268641 | 0.00252177 / -0.00252177 | 0.00240321 / -0.00240321 | 0.00244812 / -0.00244812 | 0.00440001 / -0.00440001 | 0.00442207 / -0.00442207 | 0.0027795 / -0.0027795 | 0.00315642 / -0.00315642 | 0.00259449 / -0.00259449 |
 | EL_SF_ID | 0.0134653 / -0.0134653 | 0.0148196 / -0.0148196 | 0.0152373 / -0.0152373 | 0.0136593 / -0.0136593 | 0.0135176 / -0.0135176 | 0.0141267 / -0.0141267 | 0.0260652 / -0.0260652 | 0.0357272 / -0.0357272 | 0.012058 / -0.012058 | 0.013201 / -0.013201 | 0.0145768 / -0.0145768 |
 | EL_SF_Isol | 0.01946 / -0.01946 | 0.0181571 / -0.0181571 | 0.0186164 / -0.0186164 | 0.0172222 / -0.0172222 | 0.0168601 / -0.0168601 | 0.0179684 / -0.0179684 | 0.0186769 / -0.0186769 | 0.0191592 / -0.0191592 | 0.0134828 / -0.0134828 | 0.0336067 / -0.0336067 | 0.0235787 / -0.0235787 |
 | MU_SF_Trigger_STAT | 0.000237791 / -0.000237791 | 0.000244319 / -0.000244319 | 0.000278714 / -0.000278714 | 0.000231119 / -0.000231119 | 0.000246025 / -0.000246025 | 0.000257886 / -0.000257886 | 0.000365511 / -0.000365511 | 0.000521769 / -0.000521769 | 0.000133609 / -0.000133609 | 8.08324e-05 / -8.08324e-05 | 0.000236773 / -0.000236773 |
 | MU_SF_Trigger_SYST | -0.00052989 / 0.00052989 | -0.000636681 / 0.000636681 | -0.000659668 / 0.000659668 | -0.000524544 / 0.000524544 | -0.000544363 / 0.000544363 | -0.000634695 / 0.000634695 | -0.000906672 / 0.000906672 | -0.00187291 / 0.00187291 | -0.000424509 / 0.000424509 | -0.000607059 / 0.000607059 | -0.00063058 / 0.00063058 |
 | MU_SF_ID_STAT | 0.000909473 / -0.000909473 | 0.000939955 / -0.000939955 | 0.000903806 / -0.000903806 | 0.000872022 / -0.000872022 | 0.000904163 / -0.000904163 | 0.000898829 / -0.000898829 | 0.000778515 / -0.000778515 | 0.000907657 / -0.000907657 | 0.000635334 / -0.000635334 | 0.000698521 / -0.000698521 | 0.000893974 / -0.000893974 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
