NUISANCE_PARAMETERS
EG_RESOLUTION_ALL  0.0593089 +0.991471 -0.991471
EG_SCALE_ALL  -0.0215846 +0.992657 -0.992657
EL_SF_ID  0.0184544 +0.986183 -0.986183
EL_SF_Isol  0.0184226 +0.983485 -0.983485
EL_SF_Reco  0.000154571 +0.993344 -0.993344
EL_SF_Trigger  -1.09306e-07 +0.993347 -0.993347
GlobalReduction_JET_BJES_Response  -0.0112418 +0.992254 -0.992254
GlobalReduction_JET_EffectiveNP_1  -0.025893 +0.987078 -0.987078
GlobalReduction_JET_EffectiveNP_2  -0.0722871 +0.987882 -0.987882
GlobalReduction_JET_EffectiveNP_3  -0.0952323 +0.979637 -0.979637
GlobalReduction_JET_EffectiveNP_4  -0.0326961 +0.992012 -0.992012
GlobalReduction_JET_EffectiveNP_5  -0.00583632 +0.992385 -0.992385
GlobalReduction_JET_EffectiveNP_6  -0.0584951 +0.990186 -0.990186
GlobalReduction_JET_EffectiveNP_7  0.0158326 +0.993055 -0.993055
GlobalReduction_JET_EffectiveNP_8restTerm  -0.053485 +0.991387 -0.991387
GlobalReduction_JET_EtaIntercalibration_Modelling  0.0116045 +0.985303 -0.985303
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0579572 +0.989313 -0.989313
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  0.000619304 +0.993309 -0.993309
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0100975 +0.993237 -0.993237
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00466695 +0.992663 -0.992663
GlobalReduction_JET_Flavor_Composition  -0.203181 +0.939066 -0.939066
GlobalReduction_JET_JER_DataVsMC_AFII  0 +0.993347 -0.993347
GlobalReduction_JET_JER_DataVsMC_MC16  0.0733286 +0.984243 -0.984243
GlobalReduction_JET_JER_EffectiveNP_1  -0.00846277 +0.988755 -0.988755
GlobalReduction_JET_JER_EffectiveNP_2  -0.119187 +0.981638 -0.981638
GlobalReduction_JET_JER_EffectiveNP_3  -0.177339 +0.988835 -0.988835
GlobalReduction_JET_JER_EffectiveNP_4  -0.0401481 +0.984591 -0.984591
GlobalReduction_JET_JER_EffectiveNP_5  -0.0718613 +0.986184 -0.986184
GlobalReduction_JET_JER_EffectiveNP_6  -0.148567 +0.987318 -0.987318
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.00763172 +0.988207 -0.988207
GlobalReduction_JET_Pileup_OffsetMu  0.133476 +0.981623 -0.981623
GlobalReduction_JET_Pileup_OffsetNPV  -0.0557857 +0.989963 -0.989963
GlobalReduction_JET_Pileup_PtTerm  -0.0254473 +0.989722 -0.989722
GlobalReduction_JET_Pileup_RhoTopology  -0.202504 +0.954542 -0.954542
GlobalReduction_JET_RelativeNonClosure_AFII  0 +0.993347 -0.993347
MET_SoftTrk_ResoPara  -0.0490831 +0.986108 -0.986108
MET_SoftTrk_ResoPerp  -0.12112 +0.984442 -0.984442
MET_SoftTrk_Scale  0.0556544 +0.981047 -0.981047
MUON_ID  -0.0724414 +0.989721 -0.989721
MUON_MS  0.0362486 +0.992345 -0.992345
MUON_SCALE  0.0143377 +0.992393 -0.992393
MU_SF_ID_STAT  -6.21925e-05 +0.993347 -0.993347
MU_SF_ID_SYST  -1.80149e-06 +0.993347 -0.993347
MU_SF_Isol_STAT  -0.00479521 +0.993396 -0.993396
MU_SF_Isol_SYST  0.0902736 +0.978727 -0.978727
