 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00545786 / 0.00545753 | -0.00186988 / 0.00186984 | -0.00729127 / 0.00729067 | -0.00543098 / 0.00543065 | -0.00146514 / 0.00146511 | 0.000317216 / -0.000317217 | -0.0106015 / 0.0106002 | 0.0340366 / -0.0324289 | -0.0474805 / 0.0474517 | -nan / -nan | -nan / -nan |
 | jvt | -0.00144055 / 0.00144054 | 0.000422215 / -0.000422216 | -0.0028967 / 0.00289664 | 0.000726056 / -0.00072606 | 0.000809222 / -0.000809226 | 0.000447173 / -0.000447174 | 0.00245897 / -0.00245901 | 0.00469219 / -0.00469234 | 0.00277329 / -0.00277334 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.0001102 / -0.0001102 | 0.00017519 / -0.000175191 | 0.000164055 / -0.000164055 | 0.000124459 / -0.000124459 | 0.000131006 / -0.000131006 | 0.000131133 / -0.000131133 | 0.000333683 / -0.000333684 | 0.000279554 / -0.000279555 | 0.000122533 / -0.000122534 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.0024038 / -0.00240384 | 0.00227597 / -0.00227601 | 0.002521 / -0.00252105 | 0.00232991 / -0.00232994 | 0.00233477 / -0.00233481 | 0.00231242 / -0.00231245 | 0.00364451 / -0.0036446 | 0.00664078 / -0.00664108 | 0.00272094 / -0.00272099 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0139693 / -0.013972 | 0.0134411 / -0.0134435 | 0.0142899 / -0.0142927 | 0.0134856 / -0.0134881 | 0.0136186 / -0.0136211 | 0.0127679 / -0.0127701 | 0.0213607 / -0.0213668 | 0.0330488 / -0.0321877 | 0.0143256 / -0.0143284 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0199239 / -0.0199303 | 0.0175115 / -0.0175165 | 0.0185074 / -0.018513 | 0.0169604 / -0.0169651 | 0.017171 / -0.0171758 | 0.0182843 / -0.0182897 | 0.0164191 / -0.0164235 | 0.022773 / -0.0227188 | 0.0284231 / -0.0284363 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000187444 / -0.000187444 | 0.000212634 / -0.000212634 | 0.000234681 / -0.000234681 | 0.000215245 / -0.000215245 | 0.000195399 / -0.000195399 | 0.000224821 / -0.000224822 | 0.000264674 / -0.000264675 | 0.000343372 / -0.000343373 | 0.000120996 / -0.000120997 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000387538 / 0.000387537 | -0.000430399 / 0.000430397 | -0.000521995 / 0.000521993 | -0.000488822 / 0.00048882 | -0.000433687 / 0.000433686 | -0.000519335 / 0.000519333 | -0.00109254 / 0.00109253 | -0.000785738 / 0.000785734 | -0.000350356 / 0.000350355 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000865473 / -0.000865478 | 0.000879696 / -0.000879702 | 0.000902111 / -0.000902117 | 0.000876598 / -0.000876603 | 0.00088576 / -0.000885765 | 0.000879624 / -0.00087963 | 0.00086796 / -0.000867965 | 0.000490863 / -0.000490864 | 0.000782256 / -0.00078226 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
