 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.013338 / 0.013336 | -0.0183637 / 0.0183598 | -0.0125449 / 0.0125431 | -0.00152754 / 0.00152752 | -0.0122748 / 0.0122731 | -0.0128546 / 0.0128527 | -0.022824 / 0.0228178 | 0.0164778 / -0.0164807 | -0.0225542 / 0.0225482 | -nan / -nan | -nan / -nan |
 | jvt | -0.00555072 / 0.00555051 | -0.0019261 / 0.00192608 | -0.003875 / 0.0038749 | 0.00105553 / -0.00105553 | 0.00066049 / -0.000660493 | -0.000397369 / 0.000397368 | 0.000355382 / -0.000355383 | -0.000154582 / 0.000154581 | 0.00308527 / -0.00308533 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000145645 / -0.000145645 | 0.000160561 / -0.000160561 | 0.000208836 / -0.000208836 | 0.00019486 / -0.00019486 | 0.000173951 / -0.000173951 | 0.000173481 / -0.000173481 | 0.000319918 / -0.000319919 | 0.000425864 / -0.000425866 | 0.000109794 / -0.000109794 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00250036 / -0.0025004 | 0.00253237 / -0.00253242 | 0.00271225 / -0.0027123 | 0.00265554 / -0.00265559 | 0.0023436 / -0.00234364 | 0.00249258 / -0.00249263 | 0.00405994 / -0.00406005 | 0.00494191 / -0.00494208 | 0.00339394 / -0.00339402 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0141496 / -0.0141523 | 0.0142716 / -0.0142743 | 0.0158523 / -0.0158557 | 0.0147935 / -0.0147964 | 0.0131279 / -0.0131303 | 0.0145002 / -0.014503 | 0.0233361 / -0.0233436 | 0.0277619 / -0.0277724 | 0.0105227 / -0.0105242 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0188927 / -0.0188986 | 0.0177636 / -0.0177687 | 0.0173937 / -0.0173987 | 0.0183303 / -0.0183358 | 0.016211 / -0.0162153 | 0.0174516 / -0.0174566 | 0.0178155 / -0.0178207 | 0.0201057 / -0.0201123 | 0.0180285 / -0.0180338 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000256344 / -0.000256345 | 0.000322925 / -0.000322926 | 0.000265947 / -0.000265948 | 0.000195215 / -0.000195216 | 0.000279805 / -0.000279806 | 0.000277318 / -0.000277318 | 0.000367925 / -0.000367926 | 0.000135738 / -0.000135738 | 4.26984e-05 / -4.26984e-05 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000573326 / 0.000573324 | -0.00068594 / 0.000685937 | -0.000653847 / 0.000653844 | -0.000541799 / 0.000541797 | -0.000613987 / 0.000613984 | -0.000660594 / 0.000660591 | -0.000991568 / 0.000991562 | -0.000945591 / 0.000945585 | -0.0012675 / 0.00126749 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000881445 / -0.00088145 | 0.00093966 / -0.000939666 | 0.000875988 / -0.000875993 | 0.000533807 / -0.000533809 | 0.000910436 / -0.000910442 | 0.000916085 / -0.00091609 | 0.000873815 / -0.00087382 | 0.000656397 / -0.0006564 | 0.000611138 / -0.00061114 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00337343 / -0.00337351 | 0.00262417 / -0.00262421 | 0.00260759 / -0.00260764 | 0.00221872 / -0.00221875 | 0.0029618 / -0.00296186 | 0.00295843 / -0.00295849 | 0.00247476 / -0.0024748 | 0.00183844 / -0.00183847 | 0.00276326 / -0.00276331 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00748193 / -0.0074823 | 0.0070254 / -0.00702572 | 0.00272247 / -0.00272252 | 0.00579842 / -0.00579865 | 0.00597157 / -0.00597181 | 0.00311355 / -0.00311361 | 0.00669058 / -0.00669088 | 0.00165397 / -0.00165399 | 0.00634856 / -0.00634883 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0192518 / -0.0192538 | 0.0222985 / -0.0223014 | 0.0165856 / -0.0165871 | 0.018997 / -0.018999 | 0.0207066 / -0.020709 | 0.0166614 / -0.0166628 | 0.0241612 / -0.0241646 | 0.0186778 / -0.0186797 | 0.0262891 / -0.0262932 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000533759 / -0.000533761 | 0.00042054 / -0.000420541 | 0.000419106 / -0.000419108 | 0.000417768 / -0.000417769 | 0.000458832 / -0.000458833 | 0.000457433 / -0.000457435 | 0.000407425 / -0.000407426 | 0.000286162 / -0.000286162 | 0.000380521 / -0.000380522 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000646335 / -0.000646338 | 0.000460089 / -0.00046009 | 0.00046781 / -0.000467811 | 0.000488174 / -0.000488175 | 0.00050082 / -0.000500821 | 0.000512704 / -0.000512706 | 0.000355477 / -0.000355477 | 0.000137789 / -0.00013779 | 0.000630672 / -0.000630675 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | -0.0105861 / 0.0105832 | -0.00785403 / 0.00785241 | -0.00825042 / 0.00824864 | 3.96528e-06 / -3.96528e-06 | -0.00944195 / 0.00943962 | -0.013539 / 0.0135343 | -0.0177086 / 0.0177004 | -0.01868 / 0.0186709 | -0.0135492 / 0.0135444 | -nan / -nan | -nan / -nan |
