 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00194855 / 0.00194848 | 0.00340085 / -0.00340106 | -0.0034885 / 0.00348827 | -0.00229964 / 0.00229954 | -0.00374184 / 0.00374158 | -0.00750886 / 0.00750781 | -0.0229877 / 0.0229774 | 0.00564155 / -0.00564213 | -0.0437719 / 0.0437331 | -0.00888507 / 0.00888359 | -0.00851343 / 0.00851208 |
 | jvt | 0.00163812 / -0.00163814 | 0.00177934 / -0.00177936 | 0.000650703 / -0.000650705 | 0.00212218 / -0.00212221 | 0.00229416 / -0.0022942 | 0.00234748 / -0.00234752 | 0.00371951 / -0.00371961 | 0.00567906 / -0.00567928 | 0.00456951 / -0.00456965 | 0.00167394 / -0.00167396 | 0.00307222 / -0.00307228 |
 | EL_SF_Trigger | 0.000123785 / -0.000123785 | 0.000245048 / -0.000245048 | 0.000173057 / -0.000173057 | 0.000133439 / -0.000133439 | 0.000149017 / -0.000149018 | 0.000162804 / -0.000162804 | 0.000352511 / -0.000352512 | 0.000416208 / -0.000416209 | 6.04833e-05 / -6.04833e-05 | 8.23374e-05 / -8.23374e-05 | 9.91167e-05 / -9.91168e-05 |
 | EL_SF_Reco | 0.00240258 / -0.00240261 | 0.00245611 / -0.00245616 | 0.00255462 / -0.00255466 | 0.00203321 / -0.00203324 | 0.00229438 / -0.00229441 | 0.00243692 / -0.00243696 | 0.00417298 / -0.0041731 | 0.00372258 / -0.00372267 | 0.00102323 / -0.00102323 | 0.00320615 / -0.00320622 | 0.002827 / -0.00282705 |
 | EL_SF_ID | 0.0140409 / -0.0140438 | 0.0151953 / -0.0151987 | 0.0145337 / -0.0145368 | 0.0119032 / -0.0119053 | 0.0130611 / -0.0130636 | 0.0142939 / -0.0142969 | 0.0244243 / -0.0244332 | 0.0285632 / -0.0285754 | 0.00610253 / -0.00610308 | 0.0154699 / -0.0154735 | 0.010937 / -0.0109388 |
 | EL_SF_Isol | 0.0186171 / -0.0186232 | 0.0158151 / -0.0158195 | 0.0168567 / -0.0168617 | 0.014061 / -0.0140645 | 0.0161649 / -0.0161696 | 0.0171473 / -0.0171525 | 0.0192077 / -0.0192142 | 0.0189409 / -0.0189473 | 0.00759928 / -0.0076003 | 0.0313356 / -0.0313532 | 0.0322298 / -0.0322485 |
 | MU_SF_Trigger_STAT | 0.000234207 / -0.000234208 | 0.000263854 / -0.000263854 | 0.000288224 / -0.000288225 | 0.00026436 / -0.000264361 | 0.000235915 / -0.000235916 | 0.000274634 / -0.000274634 | 0.000329638 / -0.000329639 | 0.000151861 / -0.000151861 | 0.000148051 / -0.000148051 | 6.07524e-05 / -6.07525e-05 | 6.30593e-05 / -6.30593e-05 |
 | MU_SF_Trigger_SYST | -0.000507921 / 0.00050792 | -0.000678157 / 0.000678154 | -0.000664683 / 0.00066468 | -0.000575778 / 0.000575776 | -0.00051715 / 0.000517148 | -0.000627003 / 0.000627 | -0.000798474 / 0.00079847 | -0.00111017 / 0.00111016 | -0.000803313 / 0.000803309 | -0.000603445 / 0.000603442 | -0.000614865 / 0.000614862 |
 | MU_SF_ID_STAT | 0.000913164 / -0.000913169 | 0.000966927 / -0.000966933 | 0.000935943 / -0.000935948 | 0.00100524 / -0.00100525 | 0.000926564 / -0.00092657 | 0.000929728 / -0.000929734 | 0.000821957 / -0.000821961 | 0.00109582 / -0.00109583 | 0.000846834 / -0.000846839 | 0.000637943 / -0.000637946 | 0.000697708 / -0.000697712 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
