 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00452745 / -0.00452782 | -0.00769886 / 0.00769776 | -0.00731974 / 0.00731874 | -0.0267638 / 0.0267498 | -0.0239216 / 0.0239105 | -0.0177272 / 0.0177212 | -0.0111697 / 0.0111673 | 0.0747815 / -0.0748668 | -0.00417314 / 0.00417282 | 0.0159417 / -0.0159462 | -0.0128546 / 0.0128514 |
 | jvt | -0.0014153 / 0.00141529 | 0.000204885 / -0.000204885 | 0.000453455 / -0.000453457 | 0.00515519 / -0.00515537 | 0.00053111 / -0.000531111 | -0.00161505 / 0.00161503 | 0.00120879 / -0.0012088 | -0.0180769 / 0.0180747 | -8.38492e-05 / 8.38491e-05 | -0.00559613 / 0.00559592 | -0.00480384 / 0.00480369 |
 | EL_SF_Trigger | 0.000238215 / -0.000238216 | 0.000234849 / -0.000234849 | 0.000311286 / -0.000311287 | 0.000364804 / -0.000364805 | 0.000466954 / -0.000466956 | 0.000524005 / -0.000524007 | 0.000509245 / -0.000509246 | 0.000344494 / -0.000344495 | 0.000206859 / -0.000206859 | 0.000263233 / -0.000263234 | 0.000449431 / -0.000449433 |
 | EL_SF_Reco | 0.00310176 / -0.00310183 | 0.00283256 / -0.00283262 | 0.00319338 / -0.00319345 | 0.00360886 / -0.00360894 | 0.00392864 / -0.00392874 | 0.00469724 / -0.00469738 | 0.0042558 / -0.00425593 | 0.0061604 / -0.00616065 | 0.00296446 / -0.00296452 | 0.00360175 / -0.00360184 | 0.00343495 / -0.00343503 |
 | EL_SF_ID | 0.0178939 / -0.0178986 | 0.0161435 / -0.0161474 | 0.0184822 / -0.0184872 | 0.0208668 / -0.0208732 | 0.0258179 / -0.0258278 | 0.0272595 / -0.0272705 | 0.0258347 / -0.0258447 | 0.0527473 / -0.0527898 | 0.0169908 / -0.016995 | 0.020887 / -0.0208934 | 0.0178469 / -0.0178517 |
 | EL_SF_Isol | 0.0212596 / -0.0212676 | 0.0215496 / -0.0215579 | 0.0201823 / -0.0201895 | 0.0254611 / -0.0254726 | 0.0222949 / -0.0223037 | 0.0237456 / -0.0237556 | 0.0203791 / -0.0203865 | 0.0148385 / -0.0148424 | 0.0214802 / -0.0214884 | 0.0261377 / -0.0261499 | 0.0235576 / -0.0235675 |
 | MU_SF_Trigger_STAT | 0.000128829 / -0.00012883 | 0.000126212 / -0.000126212 | 0.000171317 / -0.000171317 | 4.81165e-05 / -4.81165e-05 | 0.000216146 / -0.000216146 | 0.000142041 / -0.000142041 | 0.000223118 / -0.000223119 | 9.9615e-05 / -9.96151e-05 | 9.96141e-05 / -9.96142e-05 | 8.41644e-05 / -8.41645e-05 | 0.000108169 / -0.000108169 |
 | MU_SF_Trigger_SYST | -0.000362817 / 0.000362816 | -0.000333843 / 0.000333842 | -0.000459477 / 0.000459475 | -0.000292454 / 0.000292454 | -0.000450485 / 0.000450483 | -0.0007994 / 0.000799395 | -0.000691036 / 0.000691033 | -0.00138641 / 0.0013864 | -0.000319244 / 0.000319244 | -0.000208157 / 0.000208157 | -0.000207048 / 0.000207047 |
 | MU_SF_ID_STAT | 0.00078762 / -0.000787624 | 0.000822925 / -0.00082293 | 0.000800243 / -0.000800247 | 0.000627162 / -0.000627164 | 0.000739371 / -0.000739375 | 0.000631912 / -0.000631915 | 0.000771306 / -0.00077131 | 0.000685403 / -0.000685406 | 0.000803724 / -0.000803728 | 0.000576324 / -0.000576326 | 0.00060198 / -0.000601983 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
