 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00486396 / 0.00486353 | -0.00536423 / 0.00536369 | -0.00520135 / 0.00520085 | 0.0164635 / -0.0164683 | 0.00178201 / -0.00178207 | -0.00382847 / 0.0038282 | 0.0194949 / -0.0195016 | 1.76735 / -1 | -0.00357983 / 0.00357959 | 0.0106078 / -0.0106098 | 0.00121993 / -0.00121995 |
 | jvt | 0.00362778 / -0.00362787 | 0.00518662 / -0.0051868 | 0.00330043 / -0.0033005 | 0.00550227 / -0.00550248 | 0.00561314 / -0.00561335 | 0.00453479 / -0.00453493 | 0.00365242 / -0.00365251 | -0.00639053 / 0.00639026 | 0.00241922 / -0.00241926 | 0.00731206 / -0.00731242 | 0.00583449 / -0.00583472 |
 | EL_SF_Trigger | 0.000122574 / -0.000122574 | 0.000194845 / -0.000194845 | 0.000178015 / -0.000178016 | 0.000118448 / -0.000118448 | 0.000122165 / -0.000122165 | 0.000149357 / -0.000149357 | 0.000252072 / -0.000252072 | -0.0116067 / 0.0116058 | 0.000170698 / -0.000170698 | 0.000108701 / -0.000108701 | 0.00011725 / -0.00011725 |
 | EL_SF_Reco | 0.00242908 / -0.00242912 | 0.00268558 / -0.00268563 | 0.00270648 / -0.00270653 | 0.00213817 / -0.0021382 | 0.00243957 / -0.00243961 | 0.00242546 / -0.0024255 | 0.00402142 / -0.00402153 | -0.0549066 / 0.0548864 | 0.00259441 / -0.00259446 | 0.0026643 / -0.00266435 | 0.00228805 / -0.00228808 |
 | EL_SF_ID | 0.014021 / -0.0140239 | 0.0154469 / -0.0154504 | 0.0153368 / -0.0153403 | 0.0139894 / -0.0139923 | 0.0140198 / -0.0140227 | 0.0137849 / -0.0137877 | 0.0263899 / -0.0264003 | -0.243086 / 0.242398 | 0.01478 / -0.0147832 | 0.0145062 / -0.0145093 | 0.0119681 / -0.0119702 |
 | EL_SF_Isol | 0.0191755 / -0.019182 | 0.0179193 / -0.017925 | 0.018555 / -0.0185611 | 0.0139593 / -0.0139628 | 0.0172012 / -0.0172064 | 0.0178033 / -0.0178089 | 0.0209654 / -0.0209732 | -0.0589587 / 0.0589003 | 0.0179504 / -0.0179561 | 0.0186449 / -0.0186511 | 0.0185298 / -0.0185359 |
 | MU_SF_Trigger_STAT | 0.000237475 / -0.000237476 | 0.000236672 / -0.000236672 | 0.000275111 / -0.000275112 | 0.000200186 / -0.000200186 | 0.000198908 / -0.000198909 | 0.000239962 / -0.000239962 | 0.000282818 / -0.000282819 | 0.000208952 / -0.000208953 | 0.000292787 / -0.000292788 | 0.00021554 / -0.00021554 | 0.000233776 / -0.000233776 |
 | MU_SF_Trigger_SYST | -0.000494284 / 0.000494282 | -0.000561005 / 0.000561003 | -0.000620871 / 0.000620869 | -0.000396664 / 0.000396663 | -0.000447456 / 0.000447455 | -0.000573086 / 0.000573084 | -0.000889791 / 0.000889785 | -0.000201385 / 0.000201385 | -0.000541746 / 0.000541744 | -0.000528129 / 0.000528127 | -0.000483771 / 0.000483769 |
 | MU_SF_ID_STAT | 0.000905137 / -0.000905143 | 0.000926319 / -0.000926325 | 0.000905746 / -0.000905751 | 0.000765269 / -0.000765273 | 0.000880839 / -0.000880845 | 0.000906345 / -0.00090635 | 0.000561674 / -0.000561676 | 0.00602142 / -0.00602166 | 0.000925292 / -0.000925298 | 0.000933651 / -0.000933657 | 0.000903273 / -0.000903279 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
