 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00510004 / 0.00510004 | -0.00156921 / 0.00156921 | -0.00512712 / 0.00512712 | 0.00430852 / -0.00430852 | -0.00104282 / 0.00104282 | -0.00284109 / 0.00284109 | -0.00271902 / 0.00271902 | 0.00047966 / -0.00047966 | 0.0227769 / -0.0227769 | 0.00164774 / -0.00164774 | -0.00504088 / 0.00504088 |
 | jvt | 0.00242721 / -0.00242721 | 0.00254498 / -0.00254498 | 0.00121742 / -0.00121742 | 0.00329079 / -0.00329079 | 0.00354703 / -0.00354703 | 0.00269482 / -0.00269482 | 0.00316075 / -0.00316075 | 0.00458846 / -0.00458846 | 0.0041991 / -0.0041991 | 0.00361536 / -0.00361536 | 0.00305597 / -0.00305597 |
 | EL_SF_Trigger | 0.000136916 / -0.000136916 | 0.000192035 / -0.000192035 | 0.000191258 / -0.000191258 | 0.000165908 / -0.000165908 | 0.0001602 / -0.0001602 | 0.00016717 / -0.00016717 | 0.000316594 / -0.000316594 | 0.000311969 / -0.000311969 | 9.70099e-05 / -9.70099e-05 | 0.000145704 / -0.000145704 | 0.000151684 / -0.000151684 |
 | EL_SF_Reco | 0.00242756 / -0.00242756 | 0.00248152 / -0.00248152 | 0.00269997 / -0.00269997 | 0.00253126 / -0.00253126 | 0.0023996 / -0.0023996 | 0.00244315 / -0.00244315 | 0.00439571 / -0.00439571 | 0.00482495 / -0.00482495 | 0.00277884 / -0.00277884 | 0.00287665 / -0.00287665 | 0.00248085 / -0.00248085 |
 | EL_SF_ID | 0.0135594 / -0.0135594 | 0.0154273 / -0.0154273 | 0.0154507 / -0.0154507 | 0.0137502 / -0.0137502 | 0.0135076 / -0.0135076 | 0.0140137 / -0.0140137 | 0.0258995 / -0.0258995 | 0.0373604 / -0.0373604 | 0.0121667 / -0.0121667 | 0.0160441 / -0.0160441 | 0.0128494 / -0.0128494 |
 | EL_SF_Isol | 0.0193578 / -0.0193578 | 0.0184517 / -0.0184517 | 0.0186026 / -0.0186026 | 0.0171757 / -0.0171757 | 0.0168548 / -0.0168548 | 0.017987 / -0.017987 | 0.0187754 / -0.0187754 | 0.0205984 / -0.0205984 | 0.014055 / -0.014055 | 0.0192134 / -0.0192134 | 0.0183663 / -0.0183663 |
 | MU_SF_Trigger_STAT | 0.000240211 / -0.000240211 | 0.000241442 / -0.000241442 | 0.000278008 / -0.000278008 | 0.000232586 / -0.000232586 | 0.000245139 / -0.000245139 | 0.000255831 / -0.000255831 | 0.000354825 / -0.000354825 | 0.000471439 / -0.000471439 | 0.000134248 / -0.000134248 | 0.000282617 / -0.000282617 | 0.000261382 / -0.000261382 |
 | MU_SF_Trigger_SYST | -0.000527268 / 0.000527268 | -0.00060966 / 0.00060966 | -0.00064862 / 0.00064862 | -0.000527002 / 0.000527002 | -0.000542762 / 0.000542762 | -0.000631832 / 0.000631832 | -0.000916886 / 0.000916886 | -0.00169225 / 0.00169225 | -0.000424575 / 0.000424575 | -0.000650246 / 0.000650246 | -0.000598143 / 0.000598143 |
 | MU_SF_ID_STAT | 0.000910099 / -0.000910099 | 0.000946164 / -0.000946164 | 0.000902099 / -0.000902099 | 0.000872946 / -0.000872946 | 0.00090194 / -0.00090194 | 0.000903526 / -0.000903526 | 0.000774828 / -0.000774828 | 0.000824053 / -0.000824053 | 0.000647312 / -0.000647312 | 0.000914045 / -0.000914045 | 0.000926254 / -0.000926254 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00332869 / -0.00332869 | 0.00292695 / -0.00292695 | 0.00272336 / -0.00272336 | 0.00327508 / -0.00327508 | 0.0033273 / -0.0033273 | 0.00289284 / -0.00289284 | 0.00249247 / -0.00249247 | 0.00243132 / -0.00243132 | 0.00291307 / -0.00291307 | 0.00355931 / -0.00355931 | 0.00304931 / -0.00304931 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.0085364 / -0.0085364 | 0.00768671 / -0.00768671 | 0.00278144 / -0.00278144 | 0.00700429 / -0.00700429 | 0.00703058 / -0.00703058 | 0.00300961 / -0.00300961 | 0.0066832 / -0.0066832 | 0.00252723 / -0.00252723 | 0.00931058 / -0.00931058 | 0.00373046 / -0.00373046 | 0.00327266 / -0.00327266 |
 | MU_SF_Isol_SYST | 0.0209499 / -0.0209499 | 0.0229471 / -0.0229471 | 0.0168792 / -0.0168792 | 0.0210989 / -0.0210989 | 0.0207377 / -0.0207377 | 0.0168296 / -0.0168296 | 0.0234568 / -0.0234568 | 0.0184893 / -0.0184893 | 0.0194456 / -0.0194456 | 0.0151321 / -0.0151321 | 0.0161656 / -0.0161656 |
