 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00497537 / 0.00497495 | -0.00153097 / 0.00153093 | -0.00500178 / 0.00500136 | 0.00420416 / -0.00420446 | -0.00101742 / 0.0010174 | -0.00277174 / 0.00277161 | -0.00265265 / 0.00265253 | 0.000468104 / -0.000468108 | 0.0222343 / -0.0222421 | 0.00160779 / -0.00160783 | -0.00491762 / 0.00491721 |
 | jvt | 0.00241088 / -0.00241091 | 0.00252785 / -0.00252789 | 0.00120924 / -0.00120925 | 0.00326862 / -0.00326869 | 0.00352313 / -0.00352321 | 0.00267668 / -0.00267673 | 0.00313947 / -0.00313953 | 0.00455751 / -0.00455765 | 0.0041708 / -0.00417092 | 0.003591 / -0.00359109 | 0.00303539 / -0.00303546 |
 | EL_SF_Trigger | 0.000136005 / -0.000136005 | 0.000190757 / -0.000190757 | 0.000189985 / -0.000189986 | 0.000164805 / -0.000164805 | 0.000159134 / -0.000159134 | 0.000166058 / -0.000166058 | 0.000314488 / -0.000314488 | 0.000309895 / -0.000309896 | 9.63648e-05 / -9.63648e-05 | 0.000144734 / -0.000144735 | 0.000150674 / -0.000150675 |
 | EL_SF_Reco | 0.00241138 / -0.00241142 | 0.00246498 / -0.00246502 | 0.00268197 / -0.00268202 | 0.00251439 / -0.00251443 | 0.0023836 / -0.00238364 | 0.00242686 / -0.0024269 | 0.00436638 / -0.00436651 | 0.00479276 / -0.00479291 | 0.0027603 / -0.00276035 | 0.00285747 / -0.00285753 | 0.00246431 / -0.00246435 |
 | EL_SF_ID | 0.0133555 / -0.0133581 | 0.0151948 / -0.0151982 | 0.0152179 / -0.0152212 | 0.0135434 / -0.0135461 | 0.0133045 / -0.0133071 | 0.0138029 / -0.0138056 | 0.0255048 / -0.0255143 | 0.0367838 / -0.0368037 | 0.011984 / -0.0119861 | 0.0158022 / -0.0158058 | 0.0126564 / -0.0126587 |
 | EL_SF_Isol | 0.0190079 / -0.0190142 | 0.0181185 / -0.0181242 | 0.0182666 / -0.0182724 | 0.0168659 / -0.0168709 | 0.0165509 / -0.0165557 | 0.0176623 / -0.0176678 | 0.0184362 / -0.0184422 | 0.0202256 / -0.0202327 | 0.0138022 / -0.0138056 | 0.0188661 / -0.0188723 | 0.0180347 / -0.0180403 |
 | MU_SF_Trigger_STAT | 0.000238613 / -0.000238613 | 0.000239836 / -0.000239836 | 0.000276158 / -0.000276159 | 0.000231039 / -0.000231039 | 0.000243508 / -0.000243509 | 0.000254129 / -0.000254129 | 0.000352464 / -0.000352465 | 0.000468299 / -0.0004683 | 0.000133355 / -0.000133355 | 0.000280737 / -0.000280738 | 0.000259643 / -0.000259644 |
 | MU_SF_Trigger_SYST | -0.000523761 / 0.000523759 | -0.000605605 / 0.000605603 | -0.000644306 / 0.000644304 | -0.000523497 / 0.000523495 | -0.000539152 / 0.00053915 | -0.00062763 / 0.000627627 | -0.000910789 / 0.000910783 | -0.001681 / 0.00168098 | -0.000421752 / 0.000421751 | -0.000645921 / 0.000645919 | -0.000594164 / 0.000594162 |
 | MU_SF_ID_STAT | 0.000904042 / -0.000904048 | 0.000939868 / -0.000939874 | 0.000896096 / -0.000896101 | 0.000867136 / -0.000867141 | 0.000895937 / -0.000895943 | 0.000897513 / -0.000897518 | 0.000769672 / -0.000769676 | 0.000818569 / -0.000818573 | 0.000643007 / -0.00064301 | 0.000907962 / -0.000907968 | 0.00092009 / -0.000920095 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
