 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00453631 / -0.00453665 | -0.0077139 / 0.00771289 | -0.00733404 / 0.00733313 | -0.0268157 / 0.0268029 | -0.0239681 / 0.023958 | -0.0177617 / 0.0177563 | -0.0111915 / 0.0111894 | 0.0749294 / -0.0750055 | -0.00418133 / 0.00418103 | 0.015973 / -0.0159771 | -0.0128797 / 0.0128768 |
 | jvt | -0.0014153 / 0.00141529 | 0.000204887 / -0.000204887 | 0.000453457 / -0.000453458 | 0.00515521 / -0.00515538 | 0.000531115 / -0.000531116 | -0.00161505 / 0.00161504 | 0.0012088 / -0.00120881 | -0.0180769 / 0.0180748 | -8.38475e-05 / 8.38475e-05 | -0.00559615 / 0.00559594 | -0.00480386 / 0.0048037 |
 | EL_SF_Trigger | 0.000238215 / -0.000238216 | 0.000234849 / -0.000234849 | 0.000311287 / -0.000311287 | 0.000364805 / -0.000364806 | 0.000466954 / -0.000466956 | 0.000524004 / -0.000524006 | 0.000509245 / -0.000509246 | 0.000344495 / -0.000344496 | 0.000206859 / -0.00020686 | 0.000263234 / -0.000263234 | 0.000449431 / -0.000449433 |
 | EL_SF_Reco | 0.00310177 / -0.00310184 | 0.00283257 / -0.00283262 | 0.00319339 / -0.00319346 | 0.00360887 / -0.00360895 | 0.00392865 / -0.00392876 | 0.00469725 / -0.0046974 | 0.00425582 / -0.00425594 | 0.00616041 / -0.00616067 | 0.00296447 / -0.00296453 | 0.00360176 / -0.00360185 | 0.00343496 / -0.00343504 |
 | EL_SF_ID | 0.0178987 / -0.0179034 | 0.0161479 / -0.0161517 | 0.0184872 / -0.0184921 | 0.0208724 / -0.0208787 | 0.0258249 / -0.0258346 | 0.0272668 / -0.0272777 | 0.0258417 / -0.0258515 | 0.0527614 / -0.0528031 | 0.0169954 / -0.0169996 | 0.0208926 / -0.0208989 | 0.0178518 / -0.0178564 |
 | EL_SF_Isol | 0.0212639 / -0.0212718 | 0.021554 / -0.0215621 | 0.0201864 / -0.0201935 | 0.0254662 / -0.0254776 | 0.0222994 / -0.0223081 | 0.0237504 / -0.0237603 | 0.0203833 / -0.0203905 | 0.0148416 / -0.0148454 | 0.0214846 / -0.0214926 | 0.026143 / -0.026155 | 0.0235623 / -0.0235721 |
 | MU_SF_Trigger_STAT | 0.00012883 / -0.00012883 | 0.000126212 / -0.000126212 | 0.000171317 / -0.000171317 | 4.81163e-05 / -4.81163e-05 | 0.000216146 / -0.000216146 | 0.000142041 / -0.000142041 | 0.000223119 / -0.000223119 | 9.96152e-05 / -9.96153e-05 | 9.96142e-05 / -9.96143e-05 | 8.41644e-05 / -8.41645e-05 | 0.000108169 / -0.00010817 |
 | MU_SF_Trigger_SYST | -0.000362817 / 0.000362816 | -0.000333843 / 0.000333842 | -0.000459477 / 0.000459476 | -0.000292454 / 0.000292454 | -0.000450485 / 0.000450483 | -0.0007994 / 0.000799396 | -0.000691037 / 0.000691033 | -0.00138641 / 0.0013864 | -0.000319245 / 0.000319244 | -0.000208157 / 0.000208157 | -0.000207048 / 0.000207048 |
 | MU_SF_ID_STAT | 0.00078762 / -0.000787624 | 0.000822925 / -0.00082293 | 0.000800243 / -0.000800247 | 0.000627162 / -0.000627165 | 0.000739371 / -0.000739375 | 0.000631913 / -0.000631916 | 0.000771306 / -0.00077131 | 0.000685404 / -0.000685407 | 0.000803724 / -0.000803728 | 0.000576324 / -0.000576326 | 0.00060198 / -0.000601983 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00288434 / -0.0028844 | 0.00319016 / -0.00319023 | 0.00265494 / -0.00265499 | 0.00278759 / -0.00278764 | 0.00263147 / -0.00263152 | 0.00174608 / -0.0017461 | 0.00225774 / -0.00225777 | 0.00382447 / -0.00382457 | 0.00345785 / -0.00345793 | 0.00241339 / -0.00241343 | 0.00186719 / -0.00186721 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00718122 / -0.00718155 | 0.00770183 / -0.00770222 | 0.00267749 / -0.00267754 | 0.00510947 / -0.00510964 | 0.00541911 / -0.0054193 | 0.00175559 / -0.00175561 | 0.0067442 / -0.0067445 | 0.00757733 / -0.00757771 | 0.00706118 / -0.00706151 | 0.00232351 / -0.00232355 | 0.00184862 / -0.00184864 |
 | MU_SF_Isol_SYST | 0.0190078 / -0.0190103 | 0.018846 / -0.0188485 | 0.0154597 / -0.0154613 | 0.0183263 / -0.0183286 | 0.0180909 / -0.0180932 | 0.0173284 / -0.0173304 | 0.0233403 / -0.0233442 | 0.0134669 / -0.0134681 | 0.0160522 / -0.0160539 | 0.0149747 / -0.0149762 | 0.0157889 / -0.0157906 |
 | MU_SF_TTVA_STAT | 0.000459018 / -0.00045902 | 0.000482722 / -0.000482724 | 0.000442655 / -0.000442656 | 0.000377354 / -0.000377355 | 0.000350832 / -0.000350833 | 0.000292663 / -0.000292664 | 0.000401074 / -0.000401075 | 0.000367872 / -0.000367873 | 0.000542853 / -0.000542855 | 0.000320391 / -0.000320392 | 0.000336025 / -0.000336026 |
