 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00545798 / 0.00545764 | -0.00186994 / 0.0018699 | -0.0072914 / 0.0072908 | -0.00543111 / 0.00543078 | -0.00146515 / 0.00146513 | 0.00031731 / -0.000317311 | -0.0106017 / 0.0106004 | 0.0340371 / -0.0324298 | -0.0474822 / 0.0474533 | -nan / -nan | -nan / -nan |
 | jvt | -0.00144055 / 0.00144054 | 0.000422212 / -0.000422214 | -0.00289669 / 0.00289664 | 0.000726047 / -0.00072605 | 0.000809218 / -0.000809223 | 0.000447168 / -0.000447169 | 0.00245896 / -0.002459 | 0.00469215 / -0.0046923 | 0.0027733 / -0.00277335 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000110199 / -0.0001102 | 0.00017519 / -0.000175191 | 0.000164055 / -0.000164055 | 0.000124459 / -0.000124459 | 0.000131006 / -0.000131006 | 0.000131133 / -0.000131133 | 0.000333683 / -0.000333684 | 0.000279552 / -0.000279553 | 0.000122533 / -0.000122533 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.0024038 / -0.00240383 | 0.00227597 / -0.00227601 | 0.002521 / -0.00252105 | 0.0023299 / -0.00232994 | 0.00233477 / -0.00233481 | 0.00231242 / -0.00231245 | 0.00364451 / -0.0036446 | 0.00664079 / -0.00664109 | 0.00272094 / -0.00272099 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0139693 / -0.0139719 | 0.013441 / -0.0134435 | 0.0142898 / -0.0142926 | 0.0134855 / -0.013488 | 0.0136185 / -0.013621 | 0.0127678 / -0.01277 | 0.0213605 / -0.0213666 | 0.0330487 / -0.0321875 | 0.0143255 / -0.0143283 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0199235 / -0.01993 | 0.0175112 / -0.0175162 | 0.0185071 / -0.0185127 | 0.0169602 / -0.0169649 | 0.0171707 / -0.0171755 | 0.018284 / -0.0182894 | 0.0164189 / -0.0164233 | 0.0227728 / -0.0227185 | 0.0284225 / -0.0284358 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000187444 / -0.000187444 | 0.000212634 / -0.000212634 | 0.00023468 / -0.000234681 | 0.000215245 / -0.000215245 | 0.000195399 / -0.000195399 | 0.000224821 / -0.000224822 | 0.000264674 / -0.000264675 | 0.000343377 / -0.000343378 | 0.000120996 / -0.000120996 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000387538 / 0.000387537 | -0.000430398 / 0.000430397 | -0.000521994 / 0.000521993 | -0.000488821 / 0.00048882 | -0.000433687 / 0.000433686 | -0.000519335 / 0.000519333 | -0.00109254 / 0.00109253 | -0.000785735 / 0.000785731 | -0.000350355 / 0.000350355 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000865473 / -0.000865478 | 0.000879697 / -0.000879702 | 0.000902111 / -0.000902117 | 0.000876598 / -0.000876603 | 0.00088576 / -0.000885765 | 0.000879625 / -0.00087963 | 0.00086796 / -0.000867965 | 0.000490862 / -0.000490864 | 0.000782255 / -0.000782259 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
