 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0127641 / 0.0127623 | -0.0161381 / 0.016135 | -0.0104004 / 0.0103991 | -0.00175842 / 0.00175838 | -0.0122858 / 0.0122841 | -0.0127127 / 0.0127108 | -0.0238413 / 0.0238345 | 0.0163798 / -0.0163826 | -0.0229098 / 0.0229035 | -nan / -nan | -nan / -nan |
 | jvt | -0.00549839 / 0.00549819 | -0.0020832 / 0.00208317 | -0.00401573 / 0.00401563 | 0.00108558 / -0.00108559 | 0.000655185 / -0.000655188 | -0.000394895 / 0.000394894 | 0.000338024 / -0.000338025 | -0.000154372 / 0.000154372 | 0.00313359 / -0.00313366 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000145716 / -0.000145716 | 0.000153629 / -0.00015363 | 0.000214713 / -0.000214713 | 0.00019495 / -0.000194951 | 0.000174305 / -0.000174306 | 0.000173162 / -0.000173162 | 0.000318682 / -0.000318682 | 0.000425287 / -0.000425288 | 0.000109289 / -0.000109289 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00249634 / -0.00249638 | 0.00250524 / -0.00250528 | 0.00275081 / -0.00275086 | 0.00264965 / -0.00264969 | 0.00234091 / -0.00234095 | 0.00248913 / -0.00248917 | 0.00406091 / -0.00406102 | 0.00494941 / -0.00494958 | 0.0034029 / -0.00340298 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0141799 / -0.0141826 | 0.0143123 / -0.0143151 | 0.0160278 / -0.0160313 | 0.0147421 / -0.0147451 | 0.0131132 / -0.0131156 | 0.0144614 / -0.0144642 | 0.023228 / -0.0232353 | 0.0277658 / -0.0277763 | 0.0105335 / -0.010535 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0189981 / -0.019004 | 0.0178542 / -0.0178594 | 0.0173717 / -0.0173766 | 0.018278 / -0.0182835 | 0.0162094 / -0.0162137 | 0.0174611 / -0.017466 | 0.0178589 / -0.0178641 | 0.0200922 / -0.0200988 | 0.0180542 / -0.0180595 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000251986 / -0.000251986 | 0.000305979 / -0.000305979 | 0.000268539 / -0.000268539 | 0.000194721 / -0.000194721 | 0.000279655 / -0.000279656 | 0.000277749 / -0.00027775 | 0.000371173 / -0.000371174 | 0.000135544 / -0.000135544 | 4.10539e-05 / -4.10539e-05 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000571159 / 0.000571157 | -0.000666535 / 0.000666532 | -0.000658567 / 0.000658564 | -0.000542802 / 0.0005428 | -0.00061372 / 0.000613717 | -0.000662983 / 0.00066298 | -0.000991402 / 0.000991395 | -0.000946378 / 0.000946372 | -0.001272 / 0.00127199 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000879015 / -0.00087902 | 0.000923858 / -0.000923864 | 0.000863009 / -0.000863014 | 0.000532106 / -0.000532108 | 0.000910905 / -0.000910911 | 0.00091743 / -0.000917436 | 0.000869031 / -0.000869036 | 0.000656119 / -0.000656121 | 0.000609586 / -0.000609589 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
