 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0105578 / 0.0105578 | -0.00896731 / 0.00896731 | -0.0079581 / 0.0079581 | -0.000983796 / 0.000983796 | -0.00518531 / 0.00518531 | -0.0130761 / 0.0130761 | -0.00538003 / 0.00538003 | 0.0598793 / -0.0598793 | 0.00802564 / -0.00802564 | -0.015899 / 0.015899 | -0.0124378 / 0.0124378 |
 | jvt | 0.00183605 / -0.00183605 | 0.00129839 / -0.00129839 | 0.00165989 / -0.00165989 | 0.00288751 / -0.00288751 | 0.00311867 / -0.00311867 | 0.00244746 / -0.00244746 | 0.00410098 / -0.00410098 | -0.00125894 / 0.00125894 | 0.00480538 / -0.00480538 | 0.00224659 / -0.00224659 | 0.00304878 / -0.00304878 |
 | EL_SF_Trigger | 0.000130925 / -0.000130925 | 0.000196811 / -0.000196811 | 0.000194693 / -0.000194693 | 0.000164987 / -0.000164987 | 0.000144835 / -0.000144835 | 0.000163888 / -0.000163888 | 0.000436243 / -0.000436243 | 0.000732641 / -0.000732641 | 0.000132396 / -0.000132396 | 0.000144525 / -0.000144525 | 0.000153213 / -0.000153213 |
 | EL_SF_Reco | 0.00247165 / -0.00247165 | 0.00260417 / -0.00260417 | 0.00279399 / -0.00279399 | 0.002683 / -0.002683 | 0.00241867 / -0.00241867 | 0.002505 / -0.002505 | 0.00485801 / -0.00485801 | 0.00931133 / -0.00931133 | 0.0030168 / -0.0030168 | 0.00295274 / -0.00295274 | 0.0024875 / -0.0024875 |
 | EL_SF_ID | 0.0144919 / -0.0144919 | 0.0160976 / -0.0160976 | 0.0166585 / -0.0166585 | 0.0158182 / -0.0158182 | 0.0140234 / -0.0140234 | 0.014537 / -0.014537 | 0.0287719 / -0.0287719 | 0.0514346 / -0.0514346 | 0.0171088 / -0.0171088 | 0.0175387 / -0.0175387 | 0.0128922 / -0.0128922 |
 | EL_SF_Isol | 0.0190353 / -0.0190353 | 0.0174563 / -0.0174563 | 0.0186143 / -0.0186143 | 0.0166223 / -0.0166223 | 0.0168735 / -0.0168735 | 0.0180233 / -0.0180233 | 0.019382 / -0.019382 | 0.0362176 / -0.0362176 | 0.0211027 / -0.0211027 | 0.019351 / -0.019351 | 0.0186889 / -0.0186889 |
 | MU_SF_Trigger_STAT | 0.00023729 / -0.00023729 | 0.000311188 / -0.000311188 | 0.000267204 / -0.000267204 | 0.000228179 / -0.000228179 | 0.000240843 / -0.000240843 | 0.000255721 / -0.000255721 | 0.000271319 / -0.000271319 | -2.59549e-05 / 2.59549e-05 | 0.000178566 / -0.000178566 | 0.000277926 / -0.000277926 | 0.000250403 / -0.000250403 |
 | MU_SF_Trigger_SYST | -0.000494626 / 0.000494626 | -0.000591883 / 0.000591883 | -0.000604117 / 0.000604117 | -0.000542233 / 0.000542233 | -0.000519094 / 0.000519094 | -0.000592765 / 0.000592765 | -0.00111979 / 0.00111979 | 0.000250824 / -0.000250824 | -0.000415724 / 0.000415724 | -0.000596969 / 0.000596969 | -0.000604744 / 0.000604744 |
 | MU_SF_ID_STAT | 0.000897861 / -0.000897861 | 0.000992106 / -0.000992106 | 0.000907892 / -0.000907892 | 0.000873582 / -0.000873582 | 0.00089322 / -0.00089322 | 0.000920714 / -0.000920714 | 0.000840176 / -0.000840176 | -2.59194e-05 / 2.59194e-05 | 0.000762642 / -0.000762642 | 0.000915297 / -0.000915297 | 0.000967031 / -0.000967031 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00378374 / -0.00378374 | 0.00300033 / -0.00300033 | 0.00272697 / -0.00272697 | 0.00376986 / -0.00376986 | 0.00384075 / -0.00384075 | 0.00316145 / -0.00316145 | 0.00230338 / -0.00230338 | 0.000161185 / -0.000161185 | 0.0034241 / -0.0034241 | 0.00449889 / -0.00449889 | 0.00308688 / -0.00308688 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00857086 / -0.00857086 | 0.00735632 / -0.00735632 | 0.0028752 / -0.0028752 | 0.00688153 / -0.00688153 | 0.00732492 / -0.00732492 | 0.00341943 / -0.00341943 | 0.00690579 / -0.00690579 | -0.000351601 / 0.000351601 | 0.00580372 / -0.00580372 | 0.00425017 / -0.00425017 | 0.00331624 / -0.00331624 |
 | MU_SF_Isol_SYST | 0.0198023 / -0.0198023 | 0.0238203 / -0.0238203 | 0.0160856 / -0.0160856 | 0.0193946 / -0.0193946 | 0.0193713 / -0.0193713 | 0.016268 / -0.016268 | 0.0226476 / -0.0226476 | 0.00328551 / -0.00328551 | 0.0169 / -0.0169 | 0.0133841 / -0.0133841 | 0.0163212 / -0.0163212 |
 | MU_SF_TTVA_STAT | 0.000581092 / -0.000581092 | 0.000531997 / -0.000531997 | 0.000460542 / -0.000460542 | 0.000529845 / -0.000529845 | 0.000571435 / -0.000571435 | 0.000504421 / -0.000504421 | 0.000399728 / -0.000399728 | 4.58149e-05 / -4.58149e-05 | 0.000526202 / -0.000526202 | 0.000646991 / -0.000646991 | 0.000515081 / -0.000515081 |
 | MU_SF_TTVA_SYST | 0.000732154 / -0.000732154 | 0.000595093 / -0.000595093 | 0.000515653 / -0.000515653 | 0.000627484 / -0.000627484 | 0.000707295 / -0.000707295 | 0.000583198 / -0.000583198 | 0.000377353 / -0.000377353 | 7.06407e-05 / -7.06407e-05 | 0.00065432 / -0.00065432 | 0.000842004 / -0.000842004 | 0.000612524 / -0.000612524 |
 | bTagSF_eigenvars_B_0 | 0.0168467 / -0.0168467 | 0.0282133 / -0.0282133 | 0.0215933 / -0.0215933 | 0.000333071 / -0.000333071 | -0.000427103 / 0.000427103 | 0.0154689 / -0.0154689 | 0.0130365 / -0.0130365 | 0.00948384 / -0.00948384 | 0.0138388 / -0.0138388 | -0.00807125 / 0.00807125 | -0.012207 / 0.012207 |
 | bTagSF_eigenvars_B_1 | 0.00837246 / -0.00837246 | 0.014522 / -0.014522 | 0.0114571 / -0.0114571 | -3.96978e-05 / 3.96978e-05 | 0.000533023 / -0.000533023 | 0.00715751 / -0.00715751 | 0.00706319 / -0.00706319 | 0.00255352 / -0.00255352 | 0.0127255 / -0.0127255 | -0.00424541 / 0.00424541 | -0.00371185 / 0.00371185 |
 | bTagSF_eigenvars_B_2 | -0.00436724 / 0.00436724 | -0.00806525 / 0.00806525 | -0.00628417 / 0.00628417 | 3.65867e-05 / -3.65867e-05 | 2.32833e-05 / -2.32833e-05 | -0.00384017 / 0.00384017 | -0.00418243 / 0.00418243 | -0.00347138 / 0.00347138 | -0.00517916 / 0.00517916 | 0.00195987 / -0.00195987 | 0.00281839 / -0.00281839 |
 | bTagSF_eigenvars_B_3 | -0.000351989 / 0.000351989 | -0.000199036 / 0.000199036 | -0.000539092 / 0.000539092 | -2.14888e-05 / 2.14888e-05 | -0.000172084 / 0.000172084 | -0.000348322 / 0.000348322 | -0.000539502 / 0.000539502 | 0.00197138 / -0.00197138 | -0.000161481 / 0.000161481 | 0.000180324 / -0.000180324 | -0.00015156 / 0.00015156 |
 | bTagSF_eigenvars_B_4 | 0.000164845 / -0.000164845 | 0.000146532 / -0.000146532 | 0.000236532 / -0.000236532 | 4.35666e-06 / -4.35666e-06 | 9.58162e-06 / -9.58162e-06 | 0.00012591 / -0.00012591 | 0.00023747 / -0.00023747 | -0.000270583 / 0.000270583 | 0.000531361 / -0.000531361 | -3.01763e-05 / 3.01763e-05 | -9.13197e-05 / 9.13197e-05 |
 | bTagSF_eigenvars_B_5 | 2.34924e-06 / -2.34924e-06 | 3.2466e-05 / -3.2466e-05 | 1.39079e-05 / -1.39079e-05 | -1.14005e-06 / 1.14005e-06 | -1.07413e-06 / 1.07413e-06 | 1.71347e-05 / -1.71347e-05 | 1.43978e-05 / -1.43978e-05 | 3.91493e-05 / -3.91493e-05 | -1.70308e-05 / 1.70308e-05 | -2.71715e-07 / 2.71715e-07 | -9.16684e-07 / 9.16684e-07 |
 | bTagSF_eigenvars_B_6 | -1.19819e-06 / 1.19819e-06 | 3.27741e-06 / -3.27741e-06 | -1.98713e-06 / 1.98713e-06 | 2.05804e-07 / -2.05804e-07 | 7.56459e-07 / -7.56459e-07 | -1.17262e-06 / 1.17262e-06 | 2.49844e-07 / -2.49844e-07 | -2.20064e-06 / 2.20064e-06 | -1.24103e-05 / 1.24103e-05 | -2.23534e-07 / 2.23534e-07 | 8.10678e-07 / -8.10678e-07 |
 | bTagSF_eigenvars_B_7 | -3.67118e-08 / 3.67118e-08 | -9.34553e-07 / 9.34553e-07 | 5.17521e-08 / -5.17521e-08 | -2.40248e-08 / 2.40248e-08 | 8.39146e-08 / -8.39146e-08 | -1.66324e-07 / 1.66324e-07 | 3.20757e-07 / -3.20757e-07 | -4.27938e-07 / 4.27938e-07 | 9.87319e-07 / -9.87319e-07 | -1.12881e-07 / 1.12881e-07 | 6.68689e-08 / -6.68689e-08 |
