 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00490582 / 0.00490555 | -0.00541044 / 0.00541011 | -0.00524613 / 0.00524582 | 0.0166055 / -0.0166084 | 0.00179739 / -0.00179743 | -0.00386145 / 0.00386128 | 0.019663 / -0.019667 | 1.78189 / -1 | -0.00361067 / 0.00361053 | -nan / -nan | -nan / -nan |
 | jvt | 0.00362788 / -0.00362797 | 0.00518678 / -0.00518696 | 0.00330052 / -0.0033006 | 0.00550244 / -0.00550264 | 0.00561331 / -0.00561352 | 0.00453493 / -0.00453507 | 0.00365253 / -0.00365261 | -0.00639068 / 0.00639041 | 0.00241927 / -0.00241931 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000122574 / -0.000122574 | 0.000194845 / -0.000194846 | 0.000178015 / -0.000178015 | 0.000118448 / -0.000118448 | 0.000122165 / -0.000122165 | 0.000149356 / -0.000149356 | 0.000252071 / -0.000252072 | -0.0116067 / 0.0116058 | 0.000170698 / -0.000170698 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00242909 / -0.00242913 | 0.0026856 / -0.00268564 | 0.00270649 / -0.00270654 | 0.00213818 / -0.00213821 | 0.00243958 / -0.00243962 | 0.00242548 / -0.00242552 | 0.00402144 / -0.00402154 | -0.0549068 / 0.0548866 | 0.00259442 / -0.00259447 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.014039 / -0.0140416 | 0.0154668 / -0.01547 | 0.0153565 / -0.0153597 | 0.0140073 / -0.01401 | 0.0140378 / -0.0140405 | 0.0138026 / -0.0138052 | 0.026424 / -0.0264335 | -0.243354 / 0.24274 | 0.014799 / -0.014802 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0192031 / -0.0192091 | 0.0179451 / -0.0179504 | 0.0185818 / -0.0185874 | 0.0139794 / -0.0139826 | 0.017226 / -0.0172308 | 0.0178289 / -0.0178341 | 0.0209956 / -0.0210028 | -0.0590417 / 0.0589884 | 0.0179762 / -0.0179815 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000237475 / -0.000237476 | 0.000236673 / -0.000236673 | 0.000275111 / -0.000275111 | 0.000200186 / -0.000200187 | 0.000198908 / -0.000198909 | 0.000239962 / -0.000239962 | 0.000282818 / -0.000282819 | 0.000208952 / -0.000208952 | 0.000292788 / -0.000292788 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000494284 / 0.000494283 | -0.000561007 / 0.000561005 | -0.000620872 / 0.000620869 | -0.000396666 / 0.000396665 | -0.000447457 / 0.000447456 | -0.000573087 / 0.000573085 | -0.000889793 / 0.000889787 | -0.000201385 / 0.000201385 | -0.000541747 / 0.000541745 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000905136 / -0.000905142 | 0.000926318 / -0.000926324 | 0.000905745 / -0.00090575 | 0.000765269 / -0.000765272 | 0.000880839 / -0.000880844 | 0.000906344 / -0.000906349 | 0.000561673 / -0.000561675 | 0.00602141 / -0.00602165 | 0.000925291 / -0.000925297 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00377361 / -0.00377371 | 0.00319462 / -0.00319469 | 0.00282782 / -0.00282787 | 0.00333093 / -0.003331 | 0.00417462 / -0.00417473 | 0.00357364 / -0.00357372 | 0.00201107 / -0.0020111 | 0.015933 / -0.0159347 | 0.00339781 / -0.00339789 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00895765 / -0.00895818 | 0.00897255 / -0.00897308 | 0.00293626 / -0.00293631 | 0.00774753 / -0.00774793 | 0.00784535 / -0.00784576 | 0.00353061 / -0.00353069 | 0.00628852 / -0.00628878 | 0.0630523 / -0.0630778 | 0.00563591 / -0.00563612 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0197012 / -0.0197032 | 0.0227776 / -0.0227804 | 0.0159789 / -0.0159802 | 0.0172076 / -0.0172091 | 0.0188116 / -0.0188134 | 0.0153944 / -0.0153956 | 0.0191911 / -0.019193 | 0.138308 / -0.138548 | 0.0188671 / -0.018869 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000589328 / -0.000589331 | 0.000457879 / -0.000457881 | 0.000477016 / -0.000477017 | 0.000498598 / -0.0004986 | 0.000607435 / -0.000607437 | 0.00052355 / -0.000523552 | 0.000353 / -0.000353001 | 0.00460273 / -0.00460288 | 0.000524326 / -0.000524328 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000747877 / -0.000747881 | 0.000543861 / -0.000543863 | 0.00054342 / -0.000543422 | 0.0008144 / -0.000814404 | 0.00072748 / -0.000727484 | 0.000617368 / -0.000617371 | 0.000441589 / -0.00044159 | 0.00037006 / -0.000370061 | 0.000583078 / -0.00058308 | -nan / -nan | -nan / -nan |
