 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0130908 / 0.0130872 | -0.00210676 / 0.00210667 | -0.00659408 / 0.00659318 | -0.0119645 / 0.0119615 | -0.0137619 / 0.013758 | -0.00513087 / 0.00513032 | -0.017194 / 0.0171877 | -0.00228596 / 0.00228585 | 0.0102437 / -0.0102458 | 0.0100174 / -0.0100194 | -0.000182351 / 0.00018235 |
 | jvt | -0.00716533 / 0.00716499 | -0.00372447 / 0.00372438 | -0.0087397 / 0.0087392 | -0.00120254 / 0.00120253 | -0.00231673 / 0.0023167 | -0.0020839 / 0.00208387 | -0.00184528 / 0.00184526 | 0.00106822 / -0.00106823 | -0.00342957 / 0.00342949 | -0.0016116 / 0.00161158 | -0.00394439 / 0.00394428 |
 | EL_SF_Trigger | 0.000126359 / -0.000126359 | 0.000176238 / -0.000176239 | 0.000170795 / -0.000170795 | 0.000179647 / -0.000179647 | 0.000133524 / -0.000133524 | 0.000148245 / -0.000148245 | 0.000268053 / -0.000268053 | 0.000213191 / -0.000213192 | 0.000167701 / -0.000167701 | 0.000125306 / -0.000125306 | 0.000147165 / -0.000147165 |
 | EL_SF_Reco | 0.00241095 / -0.00241099 | 0.00274972 / -0.00274977 | 0.00248804 / -0.00248808 | 0.00232023 / -0.00232026 | 0.00234446 / -0.0023445 | 0.00228979 / -0.00228982 | 0.00357675 / -0.00357684 | 0.00497918 / -0.00497935 | 0.00670355 / -0.00670385 | 0.00256396 / -0.002564 | 0.00256808 / -0.00256813 |
 | EL_SF_ID | 0.0130579 / -0.0130604 | 0.016161 / -0.0161649 | 0.0146169 / -0.0146201 | 0.0133279 / -0.0133306 | 0.013156 / -0.0131586 | 0.0124578 / -0.0124601 | 0.020407 / -0.0204132 | 0.027551 / -0.0275624 | 0.0726798 / -0.0727622 | 0.0138378 / -0.0138407 | 0.0117991 / -0.0118011 |
 | EL_SF_Isol | 0.0189581 / -0.0189646 | 0.0207574 / -0.0207651 | 0.0180835 / -0.0180894 | 0.0170009 / -0.0170061 | 0.0162599 / -0.0162646 | 0.0177118 / -0.0177174 | 0.0203151 / -0.0203225 | 0.0142133 / -0.0142169 | 0.0161817 / -0.0161864 | 0.017656 / -0.0176616 | 0.0188583 / -0.0188647 |
 | MU_SF_Trigger_STAT | 0.000225488 / -0.000225488 | 0.000186873 / -0.000186873 | 0.00023797 / -0.000237971 | 0.000228438 / -0.000228439 | 0.000231348 / -0.000231348 | 0.00025928 / -0.000259281 | 0.000356443 / -0.000356444 | 0.000627938 / -0.000627941 | 0.000100054 / -0.000100055 | 0.00028006 / -0.00028006 | 0.000241946 / -0.000241946 |
 | MU_SF_Trigger_SYST | -0.000499986 / 0.000499985 | -0.00053713 / 0.000537128 | -0.000526501 / 0.000526499 | -0.000506423 / 0.000506421 | -0.000506431 / 0.000506429 | -0.00056786 / 0.000567858 | -0.000920432 / 0.000920426 | -0.00191581 / 0.00191579 | -0.000260581 / 0.000260581 | -0.00059726 / 0.000597257 | -0.000446927 / 0.000446926 |
 | MU_SF_ID_STAT | 0.000912073 / -0.000912078 | 0.000893056 / -0.000893061 | 0.000833827 / -0.000833832 | 0.000900982 / -0.000900987 | 0.000914305 / -0.000914311 | 0.000894462 / -0.000894467 | 0.000741876 / -0.00074188 | 0.000898254 / -0.000898259 | 0.000646374 / -0.000646377 | 0.000897894 / -0.000897899 | 0.000951841 / -0.000951847 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00369589 / -0.00369598 | 0.00293044 / -0.00293049 | 0.00291217 / -0.00291223 | 0.00340323 / -0.00340331 | 0.00370527 / -0.00370536 | 0.00318617 / -0.00318623 | 0.00255623 / -0.00255627 | 0.00255197 / -0.00255201 | 0.00262313 / -0.00262318 | 0.00400364 / -0.00400375 | 0.0033059 / -0.00330597 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00741472 / -0.00741508 | 0.00684567 / -0.00684598 | 0.00317127 / -0.00317134 | 0.00594261 / -0.00594284 | 0.00626323 / -0.00626349 | 0.00326336 / -0.00326343 | 0.00619481 / -0.00619506 | 0.0022855 / -0.00228553 | 0.00568512 / -0.00568533 | 0.00405187 / -0.00405198 | 0.0032437 / -0.00324377 |
 | MU_SF_Isol_SYST | 0.0167152 / -0.0167172 | 0.0179598 / -0.0179622 | 0.0153723 / -0.015374 | 0.0182425 / -0.0182449 | 0.0175733 / -0.0175756 | 0.0163573 / -0.0163592 | 0.0215763 / -0.0215798 | 0.0220107 / -0.0220144 | 0.0129438 / -0.0129449 | 0.0145294 / -0.0145309 | 0.0147718 / -0.0147734 |
 | MU_SF_TTVA_STAT | 0.000561805 / -0.000561807 | 0.00044139 / -0.000441392 | 0.00047556 / -0.000475561 | 0.000492867 / -0.000492869 | 0.000552606 / -0.000552608 | 0.000481286 / -0.000481287 | 0.000447802 / -0.000447803 | 0.000440416 / -0.000440418 | 0.000508773 / -0.000508775 | 0.000611601 / -0.000611604 | 0.000501619 / -0.000501621 |
 | MU_SF_TTVA_SYST | 0.000708095 / -0.000708098 | 0.000543351 / -0.000543353 | 0.000558831 / -0.000558833 | 0.000569035 / -0.000569037 | 0.000672974 / -0.000672977 | 0.000558028 / -0.00055803 | 0.00048979 / -0.000489792 | 0.000388965 / -0.000388966 | 0.00039464 / -0.000394641 | 0.000782376 / -0.000782381 | 0.000600158 / -0.000600161 |
 | bTagSF_eigenvars_B_0 | -0.00919302 / 0.00918853 | -0.0122036 / 0.0121957 | -0.00880077 / 0.00879666 | -2.01769e-05 / 2.01769e-05 | -0.00547638 / 0.00547478 | -0.0121039 / 0.0120962 | -0.0122704 / 0.0122624 | -0.016547 / 0.0165324 | -0.00892763 / 0.0089234 | -0.01079 / 0.0107838 | -0.00545533 / 0.00545375 |
 | bTagSF_eigenvars_B_1 | -0.00727254 / 0.00727218 | -0.00673764 / 0.00673733 | -0.00720954 / 0.00720918 | -1.46474e-06 / 1.46474e-06 | -0.00204678 / 0.00204676 | -0.00597832 / 0.00597808 | -0.00605371 / 0.00605346 | -0.00321728 / 0.00321721 | -0.00383102 / 0.00383092 | -0.00663939 / 0.00663909 | -0.00301756 / 0.0030175 |
 | bTagSF_eigenvars_B_2 | 0.00326544 / -0.00326551 | 0.00360504 / -0.00360513 | 0.00377924 / -0.00377934 | 5.15656e-06 / -5.15656e-06 | 0.000904993 / -0.000904998 | 0.00359918 / -0.00359927 | 0.00398451 / -0.00398461 | 0.00284831 / -0.00284837 | 0.00299489 / -0.00299495 | 0.00298175 / -0.00298181 | 0.0020073 / -0.00200732 |
 | bTagSF_eigenvars_B_3 | 0.000588114 / -0.000588116 | 0.000588389 / -0.000588391 | 0.000823217 / -0.000823222 | -6.03583e-06 / 6.03583e-06 | -6.27933e-05 / 6.27933e-05 | 9.36151e-05 / -9.36151e-05 | 0.000300245 / -0.000300245 | -0.000876504 / 0.000876498 | -2.02758e-05 / 2.02758e-05 | 0.000434047 / -0.000434049 | 6.44058e-05 / -6.44058e-05 |
 | bTagSF_eigenvars_B_4 | -0.000119102 / 0.000119102 | -0.000133754 / 0.000133754 | -0.000107922 / 0.000107922 | 2.11933e-06 / -2.11933e-06 | -6.63156e-06 / 6.63156e-06 | -8.87883e-05 / 8.87882e-05 | -0.000150099 / 0.000150099 | -3.84391e-05 / 3.8439e-05 | -0.000333605 / 0.000333604 | -2.8301e-06 / 2.8301e-06 | -8.89661e-05 / 8.89661e-05 |
 | bTagSF_eigenvars_B_5 | -2.76136e-05 / 2.76136e-05 | -1.3327e-05 / 1.3327e-05 | -3.48894e-05 / 3.48894e-05 | -8.06711e-07 / 8.06711e-07 | -6.79149e-06 / 6.79149e-06 | -1.45916e-05 / 1.45916e-05 | -2.58409e-05 / 2.58409e-05 | 1.18858e-05 / -1.18858e-05 | 3.37454e-05 / -3.37455e-05 | -1.43729e-05 / 1.43729e-05 | -9.04667e-07 / 9.04667e-07 |
 | bTagSF_eigenvars_B_6 | 8.6674e-07 / -8.6674e-07 | -3.8832e-07 / 3.8832e-07 | 2.45974e-06 / -2.45974e-06 | 2.0536e-07 / -2.0536e-07 | -1.20963e-07 / 1.20963e-07 | 1.64543e-06 / -1.64543e-06 | 3.04059e-06 / -3.04059e-06 | -5.69443e-07 / 5.69443e-07 | 1.02646e-05 / -1.02646e-05 | -9.22821e-07 / 9.22821e-07 | 1.15652e-06 / -1.15652e-06 |
 | bTagSF_eigenvars_B_7 | -1.51802e-07 / 1.51802e-07 | -1.43927e-07 / 1.43927e-07 | 4.39342e-08 / -4.39342e-08 | -3.23223e-08 / 3.23223e-08 | -5.97802e-08 / 5.97802e-08 | -1.93177e-08 / 1.93177e-08 | 3.6272e-07 / -3.6272e-07 | 2.9116e-07 / -2.9116e-07 | -1.58539e-06 / 1.58539e-06 | -3.76931e-08 / 3.76931e-08 | 1.91125e-07 / -1.91125e-07 |
 | bTagSF_eigenvars_B_8 | 1.95935e-08 / -1.95935e-08 | -8.61557e-09 / 8.61557e-09 | -3.28642e-09 / 3.28642e-09 | -2.70065e-09 / 2.70065e-09 | 8.16214e-09 / -8.16214e-09 | 1.50439e-08 / -1.50438e-08 | 2.24125e-08 / -2.24125e-08 | -7.26667e-09 / 7.26667e-09 | 4.08086e-08 / -4.08086e-08 | 1.04947e-08 / -1.04947e-08 | 2.22532e-08 / -2.22532e-08 |
 | bTagSF_eigenvars_C_0 | -0.00141137 / 0.00141137 | -9.04247e-05 / 9.04247e-05 | -0.000492363 / 0.000492363 | -0.0094232 / 0.00942304 | -0.0292667 / 0.029264 | -0.00135295 / 0.00135295 | -0.000243146 / 0.000243146 | -0.0093162 / 0.00931605 | -0.0147264 / 0.014726 | -0.00290369 / 0.00290368 | -0.0227824 / 0.022781 |
