NUISANCE_PARAMETERS
#mu  0.00455549 +0.199889 -0.199889
EG_RESOLUTION_ALL  0.0602473 +0.991103 -0.991103
EG_SCALE_ALL  -0.0222819 +0.992318 -0.992318
EL_SF_ID  0.0190842 +0.984963 -0.984963
EL_SF_Isol  0.0188399 +0.982056 -0.982056
EL_SF_Reco  0.000166636 +0.993342 -0.993342
EL_SF_Trigger  -2.22965e-07 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.012873 +0.991799 -0.991799
GlobalReduction_JET_EffectiveNP_1  -0.0258124 +0.983387 -0.983387
GlobalReduction_JET_EffectiveNP_2  -0.0739546 +0.986437 -0.986437
GlobalReduction_JET_EffectiveNP_3  -0.100161 +0.978128 -0.978128
GlobalReduction_JET_EffectiveNP_4  -0.0314468 +0.990951 -0.990951
GlobalReduction_JET_EffectiveNP_5  -0.00697153 +0.992307 -0.992307
GlobalReduction_JET_EffectiveNP_6  -0.0601647 +0.989455 -0.989455
GlobalReduction_JET_EffectiveNP_7  0.0162717 +0.992982 -0.992982
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0554751 +0.991073 -0.991073
GlobalReduction_JET_EtaIntercalibration_Modelling  0.0102166 +0.980056 -0.980056
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0640699 +0.98892 -0.98892
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  0.00080556 +0.993303 -0.993303
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0103648 +0.99321 -0.99321
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.004369 +0.992499 -0.992499
GlobalReduction_JET_Flavor_Composition  -0.205606 +0.902699 -0.902699
GlobalReduction_JET_JER_DataVsMC_AFII  3.51762e-06 +0.993348 -0.993348
GlobalReduction_JET_JER_DataVsMC_MC16  0.0751268 +0.978663 -0.978663
GlobalReduction_JET_JER_EffectiveNP_1  -0.0112773 +0.974542 -0.974542
GlobalReduction_JET_JER_EffectiveNP_2  -0.123673 +0.976797 -0.976797
GlobalReduction_JET_JER_EffectiveNP_3  -0.177769 +0.983785 -0.983785
GlobalReduction_JET_JER_EffectiveNP_4  -0.039046 +0.978122 -0.978122
GlobalReduction_JET_JER_EffectiveNP_5  -0.0738609 +0.983544 -0.983544
GlobalReduction_JET_JER_EffectiveNP_6  -0.150003 +0.982948 -0.982948
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.00684073 +0.98013 -0.98013
GlobalReduction_JET_Pileup_OffsetMu  0.134965 +0.978139 -0.978139
GlobalReduction_JET_Pileup_OffsetNPV  -0.0592077 +0.982858 -0.982858
GlobalReduction_JET_Pileup_PtTerm  -0.0241684 +0.987413 -0.987413
GlobalReduction_JET_Pileup_RhoTopology  -0.204184 +0.913651 -0.913651
GlobalReduction_JET_RelativeNonClosure_AFII  5.91963e-07 +0.993348 -0.993348
MET_SoftTrk_ResoPara  -0.0489939 +0.976544 -0.976544
MET_SoftTrk_ResoPerp  -0.123743 +0.983514 -0.983514
MET_SoftTrk_Scale  0.0553579 +0.976808 -0.976808
MUON_ID  -0.0743312 +0.9888 -0.9888
MUON_MS  0.0364029 +0.991634 -0.991634
MUON_SCALE  0.0137719 +0.992189 -0.992189
MU_SF_ID_STAT  -6.09951e-05 +0.993348 -0.993348
MU_SF_ID_SYST  4.77842e-06 +0.993348 -0.993348
MU_SF_Isol_STAT  -0.00488505 +0.993395 -0.993395
MU_SF_Isol_SYST  0.0898259 +0.976976 -0.976976
MU_SF_TTVA_STAT  -8.39759e-06 +0.993348 -0.993348
MU_SF_TTVA_SYST  4.26446e-06 +0.993348 -0.993348
MU_SF_Trigger_STAT  -0.000279999 +0.993348 -0.993348
MU_SF_Trigger_SYST  1.1202e-05 +0.993347 -0.993347
OtherFakesNorm  0.501254 +0.87266 -0.87266
OtherNorm  -0.158108 +1.00488 -1.00488
VVHF_1_Jet  0.446996 +0.755121 -0.755121
VVHF_2_Jet  -0.0105742 +0.740457 -0.740457
VVHF_3_Jet  0.0898965 +0.857462 -0.857462
VVHF_4_Jet  -0.071617 +0.951298 -0.951298
VVHF_5_Jet  0.105981 +0.893422 -0.893422
