 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0131232 / 0.0131201 | -0.00211201 / 0.00211193 | -0.00661041 / 0.00660962 | -0.0119941 / 0.0119914 | -0.0137962 / 0.0137927 | -0.00514362 / 0.00514314 | -0.0172363 / 0.0172308 | -0.00229151 / 0.00229142 | 0.0102694 / -0.0102712 | 0.0100426 / -0.0100443 | -0.000182736 / 0.000182736 |
 | jvt | -0.00716551 / 0.00716517 | -0.00372457 / 0.00372447 | -0.00873988 / 0.00873937 | -0.00120256 / 0.00120255 | -0.00231678 / 0.00231675 | -0.00208393 / 0.00208391 | -0.00184532 / 0.0018453 | 0.00106828 / -0.00106829 | -0.00342971 / 0.00342963 | -0.00161163 / 0.00161161 | -0.00394446 / 0.00394436 |
 | EL_SF_Trigger | 0.000126359 / -0.000126359 | 0.000176238 / -0.000176238 | 0.000170795 / -0.000170796 | 0.000179647 / -0.000179647 | 0.000133524 / -0.000133524 | 0.000148245 / -0.000148245 | 0.000268053 / -0.000268054 | 0.000213193 / -0.000213193 | 0.000167701 / -0.000167701 | 0.000125306 / -0.000125307 | 0.000147165 / -0.000147165 |
 | EL_SF_Reco | 0.00241095 / -0.00241099 | 0.00274972 / -0.00274977 | 0.00248804 / -0.00248808 | 0.00232023 / -0.00232026 | 0.00234446 / -0.0023445 | 0.00228978 / -0.00228982 | 0.00357675 / -0.00357684 | 0.00497922 / -0.00497938 | 0.00670352 / -0.00670382 | 0.00256396 / -0.00256401 | 0.00256808 / -0.00256813 |
 | EL_SF_ID | 0.0130599 / -0.0130624 | 0.0161635 / -0.0161674 | 0.0146192 / -0.0146223 | 0.01333 / -0.0133326 | 0.0131581 / -0.0131606 | 0.0124598 / -0.012462 | 0.0204102 / -0.0204163 | 0.0275554 / -0.0275667 | 0.0726911 / -0.0727728 | 0.01384 / -0.0138428 | 0.0118009 / -0.011803 |
 | EL_SF_Isol | 0.0189617 / -0.0189681 | 0.0207614 / -0.020769 | 0.018087 / -0.0180928 | 0.0170041 / -0.0170093 | 0.016263 / -0.0162676 | 0.0177151 / -0.0177207 | 0.0203191 / -0.0203264 | 0.014216 / -0.0142196 | 0.0161849 / -0.0161895 | 0.0176594 / -0.0176649 | 0.0188619 / -0.0188683 |
 | MU_SF_Trigger_STAT | 0.000225489 / -0.000225489 | 0.000186874 / -0.000186875 | 0.000237971 / -0.000237971 | 0.000228439 / -0.000228439 | 0.000231348 / -0.000231349 | 0.000259281 / -0.000259281 | 0.000356445 / -0.000356446 | 0.000627936 / -0.000627938 | 0.000100055 / -0.000100055 | 0.00028006 / -0.000280061 | 0.000241946 / -0.000241946 |
 | MU_SF_Trigger_SYST | -0.000499988 / 0.000499987 | -0.000537132 / 0.00053713 | -0.000526502 / 0.0005265 | -0.000506424 / 0.000506423 | -0.000506432 / 0.000506431 | -0.000567861 / 0.000567859 | -0.00092043 / 0.000920424 | -0.00191582 / 0.00191579 | -0.000260583 / 0.000260583 | -0.000597262 / 0.000597259 | -0.000446928 / 0.000446927 |
 | MU_SF_ID_STAT | 0.000912073 / -0.000912078 | 0.000893056 / -0.000893062 | 0.000833828 / -0.000833833 | 0.000900982 / -0.000900988 | 0.000914305 / -0.000914311 | 0.000894462 / -0.000894467 | 0.000741874 / -0.000741878 | 0.000898255 / -0.000898261 | 0.000646375 / -0.000646378 | 0.000897894 / -0.0008979 | 0.000951841 / -0.000951847 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00369588 / -0.00369597 | 0.00293043 / -0.00293049 | 0.00291217 / -0.00291223 | 0.00340322 / -0.0034033 | 0.00370525 / -0.00370535 | 0.00318616 / -0.00318623 | 0.00255622 / -0.00255626 | 0.00255196 / -0.00255201 | 0.00262314 / -0.00262318 | 0.00400363 / -0.00400374 | 0.00330589 / -0.00330596 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00741472 / -0.00741508 | 0.00684566 / -0.00684597 | 0.00317127 / -0.00317133 | 0.00594259 / -0.00594282 | 0.00626323 / -0.00626349 | 0.00326336 / -0.00326343 | 0.00619481 / -0.00619506 | 0.0022855 / -0.00228553 | 0.00568512 / -0.00568534 | 0.00405187 / -0.00405197 | 0.00324369 / -0.00324376 |
 | MU_SF_Isol_SYST | 0.0167192 / -0.0167212 | 0.017964 / -0.0179664 | 0.0153759 / -0.0153776 | 0.0182468 / -0.0182492 | 0.0175775 / -0.0175798 | 0.0163611 / -0.0163631 | 0.0215814 / -0.0215849 | 0.0220159 / -0.0220196 | 0.0129468 / -0.012948 | 0.0145328 / -0.0145343 | 0.0147753 / -0.0147768 |
 | MU_SF_TTVA_STAT | 0.000561804 / -0.000561806 | 0.000441388 / -0.00044139 | 0.000475559 / -0.00047556 | 0.000492864 / -0.000492866 | 0.000552604 / -0.000552606 | 0.000481284 / -0.000481286 | 0.000447799 / -0.000447801 | 0.000440414 / -0.000440416 | 0.000508772 / -0.000508774 | 0.0006116 / -0.000611602 | 0.000501618 / -0.00050162 |
 | MU_SF_TTVA_SYST | 0.000708093 / -0.000708096 | 0.000543348 / -0.00054335 | 0.00055883 / -0.000558832 | 0.000569031 / -0.000569034 | 0.000672971 / -0.000672974 | 0.000558026 / -0.000558028 | 0.000489785 / -0.000489787 | 0.000388962 / -0.000388963 | 0.000394641 / -0.000394642 | 0.000782374 / -0.000782378 | 0.000600157 / -0.000600159 |
 | bTagSF_eigenvars_B_0 | -0.00925698 / 0.00925306 | -0.0122884 / 0.0122815 | -0.00886209 / 0.0088585 | -2.03156e-05 / 2.03155e-05 | -0.00551457 / 0.00551318 | -0.0121881 / 0.0121813 | -0.0123557 / 0.0123488 | -0.0166619 / 0.0166492 | -0.00898976 / 0.00898606 | -0.0108651 / 0.0108597 | -0.00549329 / 0.00549191 |
