 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0132342 / 0.013231 | -0.0182209 / 0.0182148 | -0.0124473 / 0.0124444 | -0.0015156 / 0.00151556 | -0.0121793 / 0.0121766 | -0.0127545 / 0.0127515 | -0.0226466 / 0.022637 | 0.016349 / -0.0163536 | -0.0223785 / 0.0223691 | -0.00897557 / 0.00897411 | -0.0146908 / 0.0146868 |
 | jvt | -0.00555056 / 0.00555035 | -0.00192604 / 0.00192602 | -0.00387489 / 0.00387479 | 0.0010555 / -0.00105551 | 0.000660474 / -0.000660477 | -0.000397355 / 0.000397354 | 0.000355374 / -0.000355375 | -0.000154578 / 0.000154578 | 0.00308519 / -0.00308525 | -4.2904e-05 / 4.2904e-05 | -0.00225902 / 0.00225899 |
 | EL_SF_Trigger | 0.000145646 / -0.000145646 | 0.000160562 / -0.000160562 | 0.000208837 / -0.000208837 | 0.00019486 / -0.00019486 | 0.000173951 / -0.000173952 | 0.000173481 / -0.000173481 | 0.000319918 / -0.000319919 | 0.000425865 / -0.000425866 | 0.000109794 / -0.000109794 | 0.00014712 / -0.00014712 | 0.000149937 / -0.000149937 |
 | EL_SF_Reco | 0.00250035 / -0.0025004 | 0.00253237 / -0.00253241 | 0.00271224 / -0.00271229 | 0.00265554 / -0.00265558 | 0.0023436 / -0.00234363 | 0.00249258 / -0.00249262 | 0.00405994 / -0.00406005 | 0.0049419 / -0.00494207 | 0.00339395 / -0.00339402 | 0.00281776 / -0.00281781 | 0.00255178 / -0.00255182 |
 | EL_SF_ID | 0.0141319 / -0.0141349 | 0.0142537 / -0.0142567 | 0.0158325 / -0.0158362 | 0.0147749 / -0.0147782 | 0.0131115 / -0.0131141 | 0.014482 / -0.0144851 | 0.0233068 / -0.0233148 | 0.0277268 / -0.0277383 | 0.0105096 / -0.0105112 | 0.0159102 / -0.0159139 | 0.0134884 / -0.0134911 |
 | EL_SF_Isol | 0.018865 / -0.0188713 | 0.0177375 / -0.0177431 | 0.0173682 / -0.0173735 | 0.0183034 / -0.0183093 | 0.0161872 / -0.0161919 | 0.017426 / -0.0174314 | 0.0177893 / -0.0177949 | 0.0200761 / -0.0200833 | 0.018002 / -0.0180077 | 0.0182494 / -0.0182553 | 0.0180635 / -0.0180693 |
 | MU_SF_Trigger_STAT | 0.000256345 / -0.000256345 | 0.000322926 / -0.000322926 | 0.000265947 / -0.000265948 | 0.000195215 / -0.000195216 | 0.000279806 / -0.000279806 | 0.000277318 / -0.000277319 | 0.000367925 / -0.000367926 | 0.000135738 / -0.000135738 | 4.26985e-05 / -4.26985e-05 | 0.000267042 / -0.000267042 | 0.000248468 / -0.000248468 |
 | MU_SF_Trigger_SYST | -0.000573326 / 0.000573324 | -0.00068594 / 0.000685937 | -0.000653847 / 0.000653844 | -0.000541798 / 0.000541796 | -0.000613987 / 0.000613985 | -0.000660594 / 0.000660591 | -0.000991568 / 0.000991561 | -0.000945591 / 0.000945585 | -0.00126751 / 0.0012675 | -0.000612469 / 0.000612467 | -0.000603046 / 0.000603043 |
 | MU_SF_ID_STAT | 0.000881446 / -0.000881451 | 0.000939661 / -0.000939667 | 0.000875989 / -0.000875994 | 0.000533807 / -0.000533809 | 0.000910437 / -0.000910443 | 0.000916086 / -0.000916091 | 0.000873816 / -0.000873821 | 0.000656397 / -0.0006564 | 0.000611139 / -0.000611141 | 0.000880662 / -0.000880667 | 0.000895804 / -0.000895809 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00337343 / -0.0033735 | 0.00262417 / -0.00262421 | 0.00260759 / -0.00260764 | 0.00221871 / -0.00221875 | 0.0029618 / -0.00296186 | 0.00295843 / -0.00295849 | 0.00247476 / -0.0024748 | 0.00183844 / -0.00183847 | 0.00276326 / -0.00276331 | 0.00395119 / -0.0039513 | 0.00307869 / -0.00307875 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00748192 / -0.00748228 | 0.00702539 / -0.00702571 | 0.00272247 / -0.00272251 | 0.00579841 / -0.00579864 | 0.00597156 / -0.0059718 | 0.00311354 / -0.00311361 | 0.00669057 / -0.00669087 | 0.00165397 / -0.00165399 | 0.00634856 / -0.00634883 | 0.00381471 / -0.0038148 | 0.00338666 / -0.00338673 |
 | MU_SF_Isol_SYST | 0.019217 / -0.0192198 | 0.0222582 / -0.022262 | 0.0165557 / -0.0165577 | 0.0189627 / -0.0189654 | 0.0206692 / -0.0206724 | 0.0166313 / -0.0166333 | 0.0241175 / -0.024122 | 0.0186441 / -0.0186467 | 0.0262415 / -0.0262469 | 0.0147419 / -0.0147435 | 0.015632 / -0.0156337 |
 | MU_SF_TTVA_STAT | 0.000533759 / -0.000533761 | 0.00042054 / -0.000420541 | 0.000419106 / -0.000419107 | 0.000417768 / -0.000417769 | 0.000458831 / -0.000458833 | 0.000457433 / -0.000457434 | 0.000407425 / -0.000407426 | 0.000286162 / -0.000286162 | 0.000380522 / -0.000380523 | 0.000574618 / -0.00057462 | 0.000510708 / -0.00051071 |
 | MU_SF_TTVA_SYST | 0.000646335 / -0.000646337 | 0.000460088 / -0.00046009 | 0.000467809 / -0.000467811 | 0.000488174 / -0.000488175 | 0.000500819 / -0.000500821 | 0.000512703 / -0.000512705 | 0.000355477 / -0.000355477 | 0.000137789 / -0.000137789 | 0.000630671 / -0.000630674 | 0.00068963 / -0.000689633 | 0.000600269 / -0.000600271 |
 | bTagSF_eigenvars_B_0 | -0.0103909 / 0.0103859 | -0.00770904 / 0.00770632 | -0.00809812 / 0.00809512 | 3.89296e-06 / -3.89296e-06 | -0.00926773 / 0.0092638 | -0.0132896 / 0.0132815 | -0.0173827 / 0.0173689 | -0.0183364 / 0.0183211 | -0.0132996 / 0.0132915 | -0.0126678 / 0.0126605 | -0.0125707 / 0.0125634 |
 | bTagSF_eigenvars_B_1 | -0.00218529 / 0.00218526 | -0.000266331 / 0.000266331 | -0.000911434 / 0.000911428 | -1.38716e-06 / 1.38716e-06 | -0.000695697 / 0.000695694 | -0.0043242 / 0.00432407 | -0.00330189 / 0.00330182 | -0.0017177 / 0.00171768 | -0.000754532 / 0.000754528 | -0.00623274 / 0.00623248 | -0.00352221 / 0.00352213 |
 | bTagSF_eigenvars_B_2 | 0.00256158 / -0.00256162 | 0.00154342 / -0.00154344 | 0.0020598 / -0.00205982 | 2.02791e-06 / -2.02791e-06 | 0.00113918 / -0.00113919 | 0.00365294 / -0.00365303 | 0.00383313 / -0.00383323 | 0.00229874 / -0.00229878 | 0.00137878 / -0.00137879 | 0.00352859 / -0.00352868 | 0.00305163 / -0.00305169 |
 | bTagSF_eigenvars_B_3 | -0.000621805 / 0.000621802 | -0.000775603 / 0.000775599 | -0.000905387 / 0.000905381 | -1.72925e-06 / 1.72925e-06 | -0.000551477 / 0.000551475 | -0.000448762 / 0.00044876 | -0.00111539 / 0.00111538 | -0.000952898 / 0.000952892 | -0.000694046 / 0.000694043 | 0.000163117 / -0.000163117 | -0.000370686 / 0.000370685 |
 | bTagSF_eigenvars_B_4 | -6.60399e-05 / 6.60398e-05 | -0.000121264 / 0.000121264 | -6.06043e-05 / 6.06043e-05 | 4.87719e-07 / -4.87719e-07 | 5.2225e-05 / -5.2225e-05 | -0.000124846 / 0.000124846 | -7.8786e-05 / 7.8786e-05 | 7.89185e-05 / -7.89185e-05 | 3.94608e-05 / -3.94608e-05 | -0.000112424 / 0.000112424 | -0.000111581 / 0.000111581 |
 | bTagSF_eigenvars_B_5 | 1.36153e-05 / -1.36153e-05 | 4.87161e-05 / -4.87161e-05 | 2.43236e-05 / -2.43236e-05 | -1.54508e-07 / 1.54508e-07 | -7.22709e-06 / 7.22709e-06 | 1.10125e-05 / -1.10125e-05 | 2.64842e-05 / -2.64842e-05 | -1.09283e-05 / 1.09283e-05 | 4.44187e-06 / -4.44187e-06 | -3.93925e-06 / 3.93925e-06 | 9.649e-06 / -9.649e-06 |
