NUISANCE_PARAMETERS
EG_RESOLUTION_ALL  0.0591509 +0.991472 -0.991472
EG_SCALE_ALL  -0.0214463 +0.99266 -0.99266
EL_SF_ID  0.0188483 +0.986179 -0.986179
EL_SF_Isol  0.0192445 +0.983477 -0.983477
EL_SF_Reco  0.000155597 +0.993344 -0.993344
EL_SF_Trigger  -1.04914e-07 +0.993347 -0.993347
GlobalReduction_JET_BJES_Response  -0.0112844 +0.992259 -0.992259
GlobalReduction_JET_EffectiveNP_1  -0.0251003 +0.98693 -0.98693
GlobalReduction_JET_EffectiveNP_2  -0.071999 +0.987891 -0.987891
GlobalReduction_JET_EffectiveNP_3  -0.0948523 +0.979654 -0.979654
GlobalReduction_JET_EffectiveNP_4  -0.0325217 +0.992031 -0.992031
GlobalReduction_JET_EffectiveNP_5  -0.00601056 +0.992402 -0.992402
GlobalReduction_JET_EffectiveNP_6  -0.0584619 +0.990178 -0.990178
GlobalReduction_JET_EffectiveNP_7  0.0158858 +0.993062 -0.993062
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0534758 +0.991382 -0.991382
GlobalReduction_JET_EtaIntercalibration_Modelling  0.0118706 +0.985315 -0.985315
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0580317 +0.989361 -0.989361
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  0.000655297 +0.99331 -0.99331
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0100635 +0.993237 -0.993237
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00447354 +0.99268 -0.99268
GlobalReduction_JET_Flavor_Composition  -0.201061 +0.939068 -0.939068
GlobalReduction_JET_Flavor_Response  0.0999966 +0.980546 -0.980546
GlobalReduction_JET_JER_DataVsMC_AFII  0 +0.993347 -0.993347
GlobalReduction_JET_JER_DataVsMC_MC16  0.0727379 +0.984389 -0.984389
GlobalReduction_JET_JER_EffectiveNP_1  -0.00691925 +0.988773 -0.988773
GlobalReduction_JET_JER_EffectiveNP_2  -0.118825 +0.981645 -0.981645
GlobalReduction_JET_JER_EffectiveNP_3  -0.176075 +0.98878 -0.98878
GlobalReduction_JET_JER_EffectiveNP_4  -0.0403602 +0.984741 -0.984741
GlobalReduction_JET_JER_EffectiveNP_5  -0.0704962 +0.986175 -0.986175
GlobalReduction_JET_JER_EffectiveNP_6  -0.147289 +0.987253 -0.987253
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.00774566 +0.988168 -0.988168
GlobalReduction_JET_Pileup_OffsetMu  0.132972 +0.981662 -0.981662
GlobalReduction_JET_Pileup_OffsetNPV  -0.0557592 +0.989897 -0.989897
GlobalReduction_JET_Pileup_PtTerm  -0.0250695 +0.989752 -0.989752
GlobalReduction_JET_Pileup_RhoTopology  -0.200534 +0.954704 -0.954704
GlobalReduction_JET_RelativeNonClosure_AFII  0 +0.993347 -0.993347
MET_SoftTrk_ResoPara  -0.048802 +0.986101 -0.986101
MET_SoftTrk_ResoPerp  -0.120829 +0.984386 -0.984386
MET_SoftTrk_Scale  0.0554536 +0.981124 -0.981124
MUON_ID  -0.0723899 +0.989714 -0.989714
MUON_MS  0.0361163 +0.992348 -0.992348
MUON_SCALE  0.0141405 +0.992396 -0.992396
MU_SF_ID_STAT  -6.24253e-05 +0.993347 -0.993347
MU_SF_ID_SYST  -1.52437e-06 +0.993347 -0.993347
MU_SF_Isol_STAT  -0.00477855 +0.993396 -0.993396
MU_SF_Isol_SYST  0.0909963 +0.978719 -0.978719
MU_SF_TTVA_STAT  -9.3267e-06 +0.993347 -0.993347
MU_SF_TTVA_SYST  1.68594e-06 +0.993347 -0.993347
MU_SF_Trigger_STAT  -0.000273572 +0.993347 -0.993347
MU_SF_Trigger_SYST  -1.25328e-05 +0.993347 -0.993347
OtherFakesNorm  0.510655 +0.940848 -0.940848
OtherNorm  -0.162099 +1.00887 -1.00887
VVHF_1_Jet  0.446926 +0.788747 -0.788747
VVHF_2_Jet  -0.00142963 +0.820067 -0.820067
VVHF_3_Jet  0.104401 +0.927723 -0.927723
VVHF_4_Jet  -0.0574782 +0.967381 -0.967381
VVHF_5_Jet  0.109708 +0.939834 -0.939834
VVHFgen  0.3375 +0.633032 -0.633032
VVHFnorm  0.579514 +0.753241 -0.753241
VVLF_1_Jet  0.210791 +0.965924 -0.965924
VVLF_2_Jet  0.0130364 +0.990148 -0.990148
VVLF_3_Jet  -0.00739333 +0.993043 -0.993043
VVLF_4_Jet  0.0357474 +0.990514 -0.990514
VVLF_5_Jet  0.0391943 +0.99097 -0.99097
VVLFgen  0.171566 +0.9538 -0.9538
VVLFnorm  0.202882 +0.973847 -0.973847
WtZmod  -0.0290076 +0.962809 -0.962809
bTagSF_eigenvars_B_0  0.0191137 +0.973532 -0.973532
