 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00456651 / -0.00456674 | -0.00776483 / 0.00776415 | -0.007383 / 0.00738239 | -0.0269953 / 0.0269865 | -0.0241283 / 0.0241213 | -0.01788 / 0.0178763 | -0.0112658 / 0.0112644 | 0.0754256 / -0.0754719 | -0.0042084 / 0.0042082 | -nan / -nan | -nan / -nan |
 | jvt | -0.00141543 / 0.00141542 | 0.000204836 / -0.000204836 | 0.000453491 / -0.000453493 | 0.00515544 / -0.00515562 | 0.000531062 / -0.000531063 | -0.00161529 / 0.00161527 | 0.00120887 / -0.00120888 | -0.0180773 / 0.0180752 | -8.38978e-05 / 8.38977e-05 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.00023822 / -0.00023822 | 0.000234854 / -0.000234854 | 0.000311296 / -0.000311296 | 0.000364818 / -0.000364819 | 0.000466965 / -0.000466967 | 0.000524021 / -0.000524023 | 0.000509254 / -0.000509256 | 0.000344474 / -0.000344475 | 0.000206864 / -0.000206864 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00310178 / -0.00310184 | 0.0028326 / -0.00283265 | 0.00319342 / -0.00319349 | 0.00360887 / -0.00360896 | 0.0039287 / -0.00392881 | 0.00469728 / -0.00469743 | 0.00425585 / -0.00425597 | 0.00616065 / -0.00616091 | 0.00296447 / -0.00296453 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0179169 / -0.0179213 | 0.0161645 / -0.016168 | 0.0185062 / -0.0185108 | 0.020893 / -0.0208989 | 0.0258515 / -0.0258606 | 0.0272948 / -0.027305 | 0.0258684 / -0.0258775 | 0.052817 / -0.0528559 | 0.0170127 / -0.0170166 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0212902 / -0.0212976 | 0.0215806 / -0.0215882 | 0.0202113 / -0.020218 | 0.0254982 / -0.0255089 | 0.0223269 / -0.0223351 | 0.0237795 / -0.0237887 | 0.0204084 / -0.0204152 | 0.0148601 / -0.0148637 | 0.0215111 / -0.0215186 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000128834 / -0.000128834 | 0.000126217 / -0.000126217 | 0.000171323 / -0.000171323 | 4.81286e-05 / -4.81286e-05 | 0.000216152 / -0.000216153 | 0.00014205 / -0.00014205 | 0.000223126 / -0.000223126 | 9.96201e-05 / -9.96202e-05 | 9.96194e-05 / -9.96194e-05 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000362827 / 0.000362826 | -0.000333858 / 0.000333857 | -0.000459498 / 0.000459496 | -0.000292497 / 0.000292497 | -0.000450515 / 0.000450514 | -0.000799434 / 0.00079943 | -0.000691068 / 0.000691065 | -0.00138647 / 0.00138645 | -0.000319262 / 0.000319261 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000787618 / -0.000787622 | 0.000822926 / -0.00082293 | 0.000800243 / -0.000800247 | 0.000627187 / -0.00062719 | 0.000739374 / -0.000739378 | 0.000631924 / -0.000631927 | 0.000771305 / -0.000771309 | 0.000685386 / -0.000685389 | 0.00080373 / -0.000803734 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00288429 / -0.00288435 | 0.00319009 / -0.00319016 | 0.00265488 / -0.00265493 | 0.0027876 / -0.00278765 | 0.00263142 / -0.00263147 | 0.00174608 / -0.0017461 | 0.00225769 / -0.00225773 | 0.00382435 / -0.00382445 | 0.00345778 / -0.00345786 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00718113 / -0.00718147 | 0.00770176 / -0.00770216 | 0.00267742 / -0.00267746 | 0.00510934 / -0.00510951 | 0.00541908 / -0.00541928 | 0.00175556 / -0.00175558 | 0.00674412 / -0.00674442 | 0.00757691 / -0.00757729 | 0.00706114 / -0.00706146 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0190362 / -0.0190381 | 0.0188742 / -0.0188761 | 0.0154828 / -0.0154841 | 0.018354 / -0.0183557 | 0.018118 / -0.0181197 | 0.0173545 / -0.0173561 | 0.0233752 / -0.0233782 | 0.0134867 / -0.0134876 | 0.0160762 / -0.0160775 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000459009 / -0.00045901 | 0.000482714 / -0.000482716 | 0.000442647 / -0.000442648 | 0.000377346 / -0.000377347 | 0.000350825 / -0.000350826 | 0.000292656 / -0.000292656 | 0.000401065 / -0.000401067 | 0.000367863 / -0.000367864 | 0.000542849 / -0.000542851 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000561932 / -0.000561934 | 0.000569875 / -0.000569878 | 0.000487337 / -0.000487339 | 0.000396169 / -0.00039617 | 0.000390338 / -0.000390339 | 0.000245333 / -0.000245334 | 0.000371859 / -0.00037186 | 0.000714997 / -0.000715001 | 0.000651981 / -0.000651983 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | 0.00649828 / -0.00649939 | 0.00648143 / -0.00648254 | 0.0108528 / -0.0108559 | 0 / 0 | -0.00615034 / 0.00614935 | -0.00696088 / 0.00695961 | -0.0104231 / 0.0104203 | -0.0135785 / 0.0135736 | 0.0122458 / -0.0122497 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_1 | 0.002362 / -0.00236203 | 0.00304034 / -0.0030404 | 0.00359597 / -0.00359606 | 0 / 0 | -0.000742679 / 0.000742675 | -0.00319951 / 0.00319944 | -0.00334513 / 0.00334506 | -0.00458734 / 0.0045872 | 0.00531079 / -0.00531098 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_2 | -0.000949882 / 0.000949876 | -0.00155483 / 0.00155481 | -0.00217953 / 0.0021795 | 0 / 0 | 0.000713862 / -0.000713866 | 0.00232152 / -0.00232156 | 0.00281251 / -0.00281256 | 0.00569528 / -0.0056955 | -0.00271555 / 0.0027155 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | -0.000104579 / 0.000104579 | -0.000103185 / 0.000103185 | 6.87864e-06 / -6.87864e-06 | 0 / 0 | -0.000195031 / 0.000195031 | -0.000352633 / 0.000352632 | -0.000320071 / 0.000320071 | -0.00214403 / 0.002144 | 2.11151e-05 / -2.11151e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_4 | 3.52444e-05 / -3.52444e-05 | 1.72909e-05 / -1.72909e-05 | 5.34169e-05 / -5.34169e-05 | 0 / 0 | 4.7304e-06 / -4.7304e-06 | -7.06418e-05 / 7.06418e-05 | -0.000107092 / 0.000107092 | -1.36423e-05 / 1.36422e-05 | -2.19788e-05 / 2.19788e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_5 | 1.12397e-05 / -1.12397e-05 | 5.51803e-06 / -5.51803e-06 | 2.675e-06 / -2.675e-06 | 0 / 0 | -2.17419e-06 / 2.17419e-06 | -2.7419e-06 / 2.7419e-06 | 5.55821e-06 / -5.55821e-06 | -5.17474e-05 / 5.17474e-05 | -3.50802e-07 / 3.50802e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_6 | 9.95162e-07 / -9.95162e-07 | -7.53893e-07 / 7.53893e-07 | 1.00169e-07 / -1.00169e-07 | 0 / 0 | 1.82402e-06 / -1.82402e-06 | -3.57232e-06 / 3.57232e-06 | 1.43577e-06 / -1.43577e-06 | 2.97857e-05 / -2.97857e-05 | 2.25303e-06 / -2.25303e-06 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_7 | 5.0421e-08 / -5.0421e-08 | -5.1381e-08 / 5.1381e-08 | 5.86313e-08 / -5.86313e-08 | 0 / 0 | -2.00062e-07 / 2.00062e-07 | 2.52302e-07 / -2.52302e-07 | -1.70409e-07 / 1.70409e-07 | -2.88945e-06 / 2.88945e-06 | 3.89539e-07 / -3.89539e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_8 | -1.6146e-08 / 1.6146e-08 | -1.63374e-08 / 1.63374e-08 | -2.32517e-09 / 2.32517e-09 | 0 / 0 | -1.00058e-08 / 1.00058e-08 | 1.3367e-08 / -1.3367e-08 | -7.88722e-10 / 7.88722e-10 | -6.51231e-08 / 6.51231e-08 | -2.0286e-08 / 2.0286e-08 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_0 | 0.000831514 / -0.000831509 | 0.000379952 / -0.000379951 | 0.00238751 / -0.00238747 | -0.00521941 / 0.0052196 | -0.0336408 / 0.0336464 | 0.000403817 / -0.000403815 | 0.000142481 / -0.000142481 | 0.00553046 / -0.00553023 | -0.00477469 / 0.00477484 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_1 | 4.9501e-05 / -4.95011e-05 | 5.08026e-06 / -5.08026e-06 | 0.00012879 / -0.00012879 | 9.06128e-05 / -9.06129e-05 | -0.0043778 / 0.00437771 | -1.34939e-05 / 1.34939e-05 | 5.73079e-05 / -5.73079e-05 | -0.000258796 / 0.000258796 | -0.00101678 / 0.00101677 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_2 | -2.9722e-05 / 2.9722e-05 | -7.63209e-06 / 7.63209e-06 | -0.000150108 / 0.000150108 | 0.000326121 / -0.000326122 | 0.00103463 / -0.00103463 | 3.88101e-06 / -3.88101e-06 | -1.63053e-05 / 1.63053e-05 | 0.000385569 / -0.00038557 | 4.90649e-05 / -4.90649e-05 | -nan / -nan | -nan / -nan |
