 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0133654 / 0.0133654 | -0.00220868 / 0.00220868 | -0.00686769 / 0.00686769 | -0.0123043 / 0.0123043 | -0.0140981 / 0.0140981 | -0.00526041 / 0.00526041 | -0.0177404 / 0.0177404 | -0.00227191 / 0.00227191 | 0.0104655 / -0.0104655 | 0.0103015 / -0.0103015 | -9.20247e-05 / 9.20247e-05 |
 | jvt | -0.00722108 / 0.00722108 | -0.00374678 / 0.00374678 | -0.00879066 / 0.00879066 | -0.00120922 / 0.00120922 | -0.00233575 / 0.00233575 | -0.00209872 / 0.00209872 | -0.00185369 / 0.00185369 | 0.00104457 / -0.00104457 | -0.00346007 / 0.00346007 | -0.00162998 / 0.00162998 | -0.00395353 / 0.00395353 |
 | EL_SF_Trigger | 0.000127206 / -0.000127206 | 0.000177528 / -0.000177528 | 0.000172031 / -0.000172031 | 0.000181014 / -0.000181014 | 0.00013443 / -0.00013443 | 0.000149456 / -0.000149456 | 0.000269864 / -0.000269864 | 0.000213671 / -0.000213671 | 0.000168645 / -0.000168645 | 0.000126261 / -0.000126261 | 0.000147959 / -0.000147959 |
 | EL_SF_Reco | 0.00242921 / -0.00242921 | 0.00276923 / -0.00276923 | 0.00250665 / -0.00250665 | 0.00233558 / -0.00233558 | 0.00236291 / -0.00236291 | 0.00230551 / -0.00230551 | 0.00360248 / -0.00360248 | 0.00500069 / -0.00500069 | 0.00674918 / -0.00674918 | 0.00258057 / -0.00258057 | 0.00258655 / -0.00258655 |
 | EL_SF_ID | 0.0132832 / -0.0132832 | 0.0164239 / -0.0164239 | 0.0148496 / -0.0148496 | 0.0135346 / -0.0135346 | 0.0133744 / -0.0133744 | 0.0126545 / -0.0126545 | 0.020736 / -0.020736 | 0.0280226 / -0.0280226 | 0.0739035 / -0.0739035 | 0.014059 / -0.014059 | 0.0119944 / -0.0119944 |
 | EL_SF_Isol | 0.0192981 / -0.0192981 | 0.0211321 / -0.0211321 | 0.0184252 / -0.0184252 | 0.0172984 / -0.0172984 | 0.0165702 / -0.0165702 | 0.0180442 / -0.0180442 | 0.0207014 / -0.0207014 | 0.0144409 / -0.0144409 | 0.016488 / -0.016488 | 0.0179891 / -0.0179891 | 0.0192017 / -0.0192017 |
 | MU_SF_Trigger_STAT | 0.000226668 / -0.000226668 | 0.000187625 / -0.000187625 | 0.000239632 / -0.000239632 | 0.000229758 / -0.000229758 | 0.0002328 / -0.0002328 | 0.000261066 / -0.000261066 | 0.000357819 / -0.000357819 | 0.000631098 / -0.000631098 | 0.000100705 / -0.000100705 | 0.000282255 / -0.000282255 | 0.00024344 / -0.00024344 |
 | MU_SF_Trigger_SYST | -0.000502661 / 0.000502661 | -0.000540233 / 0.000540233 | -0.000529912 / 0.000529912 | -0.000509562 / 0.000509562 | -0.000509613 / 0.000509613 | -0.000571457 / 0.000571457 | -0.00092675 / 0.00092675 | -0.00192683 / 0.00192683 | -0.000262454 / 0.000262454 | -0.000601216 / 0.000601216 | -0.000449436 / 0.000449436 |
 | MU_SF_ID_STAT | 0.000917724 / -0.000917724 | 0.000898892 / -0.000898892 | 0.000838761 / -0.000838761 | 0.000906794 / -0.000906794 | 0.00091993 / -0.00091993 | 0.0009005 / -0.0009005 | 0.000747562 / -0.000747562 | 0.000904104 / -0.000904104 | 0.00065051 / -0.00065051 | 0.000903503 / -0.000903503 | 0.000956098 / -0.000956098 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00372231 / -0.00372231 | 0.00295313 / -0.00295313 | 0.00293202 / -0.00293202 | 0.0034326 / -0.0034326 | 0.00373152 / -0.00373152 | 0.0032086 / -0.0032086 | 0.0025743 / -0.0025743 | 0.00257217 / -0.00257217 | 0.00264074 / -0.00264074 | 0.00403187 / -0.00403187 | 0.00332689 / -0.00332689 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00746995 / -0.00746995 | 0.00690489 / -0.00690489 | 0.00319571 / -0.00319571 | 0.00599217 / -0.00599217 | 0.00630269 / -0.00630269 | 0.00328875 / -0.00328875 | 0.00623507 / -0.00623507 | 0.00230369 / -0.00230369 | 0.00572798 / -0.00572798 | 0.00408139 / -0.00408139 | 0.00326638 / -0.00326638 |
 | MU_SF_Isol_SYST | 0.017124 / -0.017124 | 0.0184041 / -0.0184041 | 0.0157417 / -0.0157417 | 0.0186876 / -0.0186876 | 0.0179878 / -0.0179878 | 0.0167636 / -0.0167636 | 0.022108 / -0.022108 | 0.0225594 / -0.0225594 | 0.013255 / -0.013255 | 0.0148769 / -0.0148769 | 0.0151292 / -0.0151292 |
 | MU_SF_TTVA_STAT | 0.000565605 / -0.000565605 | 0.000445163 / -0.000445163 | 0.00047895 / -0.00047895 | 0.000497105 / -0.000497105 | 0.000556569 / -0.000556569 | 0.000484967 / -0.000484967 | 0.000451447 / -0.000451447 | 0.000442894 / -0.000442894 | 0.000512369 / -0.000512369 | 0.000616309 / -0.000616309 | 0.000504394 / -0.000504394 |
 | MU_SF_TTVA_SYST | 0.000712542 / -0.000712542 | 0.000547678 / -0.000547678 | 0.000563512 / -0.000563512 | 0.000573429 / -0.000573429 | 0.000677853 / -0.000677853 | 0.000562166 / -0.000562166 | 0.000494304 / -0.000494304 | 0.000392641 / -0.000392641 | 0.000397701 / -0.000397701 | 0.000788362 / -0.000788362 | 0.000603077 / -0.000603077 |
