 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00319065 / 0.00319044 | -0.00119367 / 0.00119364 | -0.00414916 / 0.0041488 | 0.0043353 / -0.00433568 | -0.000881761 / 0.000881745 | -0.00144435 / 0.0014443 | -0.00301746 / 0.00301727 | -0.00143783 / 0.00143779 | 0.0255326 / -0.0255453 | 0.00329524 / -0.00329546 | -0.00354023 / 0.00353997 |
 | jvt | 0.00215855 / -0.00215858 | 0.00253917 / -0.00253921 | 0.000685809 / -0.000685813 | 0.00322692 / -0.00322699 | 0.00346459 / -0.00346467 | 0.00248874 / -0.00248878 | 0.00310849 / -0.00310855 | 0.00554718 / -0.00554738 | 0.00393421 / -0.00393431 | 0.0035494 / -0.00354949 | 0.00297417 / -0.00297423 |
 | EL_SF_Trigger | 0.000134855 / -0.000134855 | 0.000186276 / -0.000186276 | 0.00018912 / -0.00018912 | 0.000164836 / -0.000164836 | 0.000159921 / -0.000159921 | 0.00016741 / -0.00016741 | 0.000310245 / -0.000310246 | 0.000263634 / -0.000263635 | 9.57258e-05 / -9.57259e-05 | 0.000143618 / -0.000143618 | 0.000150522 / -0.000150522 |
 | EL_SF_Reco | 0.00240686 / -0.0024069 | 0.00238763 / -0.00238767 | 0.0026685 / -0.00266855 | 0.00250496 / -0.002505 | 0.00238718 / -0.00238722 | 0.0024318 / -0.00243184 | 0.00437064 / -0.00437077 | 0.00439255 / -0.00439268 | 0.00276096 / -0.00276101 | 0.00287206 / -0.00287211 | 0.00246727 / -0.00246731 |
 | EL_SF_ID | 0.0132577 / -0.0132603 | 0.0145908 / -0.014594 | 0.015002 / -0.0150053 | 0.0134487 / -0.0134514 | 0.0133092 / -0.0133118 | 0.0139088 / -0.0139116 | 0.0256579 / -0.0256678 | 0.0351631 / -0.0351818 | 0.0118724 / -0.0118745 | 0.0158444 / -0.0158481 | 0.0126911 / -0.0126935 |
 | EL_SF_Isol | 0.0191004 / -0.0191069 | 0.0178219 / -0.0178276 | 0.0182726 / -0.0182786 | 0.0169046 / -0.0169097 | 0.0165493 / -0.0165542 | 0.0176368 / -0.0176424 | 0.0183321 / -0.0183381 | 0.0188053 / -0.0188116 | 0.0132351 / -0.0132383 | 0.0188666 / -0.018873 | 0.0178318 / -0.0178375 |
 | MU_SF_Trigger_STAT | 0.000236209 / -0.000236209 | 0.000242694 / -0.000242694 | 0.00027686 / -0.00027686 | 0.000229581 / -0.000229582 | 0.000244388 / -0.000244389 | 0.00025617 / -0.000256171 | 0.000363078 / -0.000363079 | 0.000518296 / -0.000518298 | 0.00013272 / -0.00013272 | 0.000275969 / -0.00027597 | 0.00026108 / -0.00026108 |
 | MU_SF_Trigger_SYST | -0.000526366 / 0.000526364 | -0.000632447 / 0.000632444 | -0.000655281 / 0.000655278 | -0.000521055 / 0.000521053 | -0.000540742 / 0.00054074 | -0.000630474 / 0.000630471 | -0.000900643 / 0.000900637 | -0.00186046 / 0.00186044 | -0.000421685 / 0.000421684 | -0.00062693 / 0.000626927 | -0.000591553 / 0.000591551 |
 | MU_SF_ID_STAT | 0.000903421 / -0.000903426 | 0.0009337 / -0.000933706 | 0.000897792 / -0.000897797 | 0.000866219 / -0.000866224 | 0.000898146 / -0.000898151 | 0.000892847 / -0.000892853 | 0.000773335 / -0.000773339 | 0.000901617 / -0.000901622 | 0.000631107 / -0.00063111 | 0.000899478 / -0.000899483 | 0.000907693 / -0.000907699 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00330835 / -0.00330842 | 0.00296342 / -0.00296348 | 0.0027282 / -0.00272825 | 0.00325148 / -0.00325155 | 0.00330093 / -0.00330101 | 0.00286255 / -0.0028626 | 0.00249089 / -0.00249093 | 0.00260919 / -0.00260924 | 0.0028908 / -0.00289085 | 0.00347782 / -0.0034779 | 0.00302575 / -0.00302581 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00851027 / -0.00851075 | 0.00771639 / -0.00771679 | 0.002764 / -0.00276405 | 0.00694936 / -0.00694968 | 0.00694933 / -0.00694965 | 0.00296826 / -0.00296831 | 0.00656193 / -0.00656221 | 0.00276583 / -0.00276588 | 0.00963918 / -0.00963979 | 0.00365737 / -0.00365746 | 0.00324427 / -0.00324434 |
 | MU_SF_Isol_SYST | 0.0203742 / -0.0203773 | 0.022709 / -0.0227129 | 0.0166181 / -0.0166202 | 0.0206182 / -0.0206213 | 0.0202345 / -0.0202375 | 0.0163758 / -0.0163777 | 0.0228625 / -0.0228665 | 0.0194003 / -0.0194031 | 0.0190478 / -0.0190505 | 0.0147072 / -0.0147087 | 0.0157439 / -0.0157457 |
 | MU_SF_TTVA_STAT | 0.000538617 / -0.000538619 | 0.000460809 / -0.00046081 | 0.000457625 / -0.000457626 | 0.000501778 / -0.00050178 | 0.000521143 / -0.000521145 | 0.000455616 / -0.000455617 | 0.000396807 / -0.000396808 | 0.000421847 / -0.000421848 | 0.000364554 / -0.000364555 | 0.000558706 / -0.000558708 | 0.000491995 / -0.000491996 |
 | MU_SF_TTVA_SYST | 0.00065544 / -0.000655443 | 0.000517693 / -0.000517695 | 0.000497452 / -0.000497453 | 0.00057964 / -0.000579642 | 0.000607982 / -0.000607985 | 0.000513392 / -0.000513394 | 0.000391766 / -0.000391767 | 0.000421813 / -0.000421814 | 0.000350182 / -0.000350183 | 0.000682955 / -0.000682958 | 0.00057122 / -0.000571222 |
 | bTagSF_eigenvars_B_0 | 0.00836657 / -0.0083703 | 0.0187531 / -0.0187718 | 0.0145026 / -0.0145138 | 5.78753e-05 / -5.78755e-05 | -0.00459648 / 0.00459536 | -0.000645659 / 0.000645637 | -0.00360342 / 0.00360273 | -0.00890564 / 0.00890143 | 0.0013175 / -0.00131759 | -0.0117903 / 0.011783 | -0.0130055 / 0.0129965 |
 | bTagSF_eigenvars_B_1 | 0.00135056 / -0.00135057 | 0.00510233 / -0.00510251 | 0.00330328 / -0.00330335 | -6.83503e-06 / 6.83503e-06 | -0.00130536 / 0.00130535 | -0.00190404 / 0.00190402 | -0.00230274 / 0.0023027 | -0.00142494 / 0.00142493 | 0.00159584 / -0.00159585 | -0.00537696 / 0.00537677 | -0.00415675 / 0.00415663 |
 | bTagSF_eigenvars_B_2 | -0.00125758 / 0.00125757 | -0.00390513 / 0.00390502 | -0.00280894 / 0.00280888 | 5.94696e-06 / -5.94696e-06 | 0.000785818 / -0.000785822 | 0.00103709 / -0.0010371 | 0.00197043 / -0.00197046 | 0.00124412 / -0.00124413 | -0.00026949 / 0.00026949 | 0.00328897 / -0.00328904 | 0.00329325 / -0.00329332 |
 | bTagSF_eigenvars_B_3 | 0.000332742 / -0.000332743 | 0.000509175 / -0.000509177 | 0.000208781 / -0.000208781 | -3.22134e-06 / 3.22134e-06 | -0.000165828 / 0.000165828 | 0.000254159 / -0.000254159 | -7.57727e-05 / 7.57727e-05 | -0.000319471 / 0.00031947 | -0.000526085 / 0.000526083 | 8.72088e-05 / -8.72089e-05 | -0.000294415 / 0.000294415 |
