 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00451939 / -0.0045198 | -0.00768532 / 0.00768409 | -0.00730686 / 0.00730575 | -0.0267173 / 0.0267019 | -0.0238801 / 0.0238679 | -0.0176963 / 0.0176896 | -0.0111501 / 0.0111475 | 0.0746399 / -0.0747367 | -0.00416581 / 0.00416545 | 0.0159131 / -0.0159181 | -0.0128321 / 0.0128286 |
 | jvt | -0.00141527 / 0.00141526 | 0.000204882 / -0.000204883 | 0.000453446 / -0.000453448 | 0.00515509 / -0.00515527 | 0.000531104 / -0.000531105 | -0.00161502 / 0.001615 | 0.00120877 / -0.00120878 | -0.0180765 / 0.0180744 | -8.38449e-05 / 8.38448e-05 | -0.00559603 / 0.00559582 | -0.00480375 / 0.00480359 |
 | EL_SF_Trigger | 0.000238215 / -0.000238216 | 0.000234849 / -0.000234849 | 0.000311287 / -0.000311287 | 0.000364805 / -0.000364806 | 0.000466954 / -0.000466956 | 0.000524004 / -0.000524006 | 0.000509245 / -0.000509246 | 0.000344495 / -0.000344496 | 0.000206859 / -0.00020686 | 0.000263234 / -0.000263234 | 0.000449431 / -0.000449433 |
 | EL_SF_Reco | 0.00310177 / -0.00310183 | 0.00283257 / -0.00283262 | 0.00319339 / -0.00319346 | 0.00360886 / -0.00360895 | 0.00392865 / -0.00392875 | 0.00469724 / -0.00469739 | 0.00425581 / -0.00425593 | 0.00616041 / -0.00616066 | 0.00296447 / -0.00296453 | 0.00360176 / -0.00360185 | 0.00343496 / -0.00343504 |
 | EL_SF_ID | 0.0178918 / -0.0178966 | 0.0161417 / -0.0161456 | 0.01848 / -0.0184851 | 0.0208643 / -0.0208708 | 0.0258149 / -0.0258249 | 0.0272562 / -0.0272674 | 0.0258317 / -0.0258417 | 0.0527408 / -0.0527835 | 0.0169888 / -0.0169931 | 0.0208845 / -0.020891 | 0.0178449 / -0.0178496 |
 | EL_SF_Isol | 0.0212552 / -0.0212633 | 0.0215452 / -0.0215535 | 0.0201781 / -0.0201854 | 0.0254558 / -0.0254674 | 0.0222902 / -0.0222992 | 0.0237406 / -0.0237508 | 0.0203749 / -0.0203824 | 0.0148355 / -0.0148394 | 0.0214757 / -0.021484 | 0.0261323 / -0.0261446 | 0.0235527 / -0.0235626 |
 | MU_SF_Trigger_STAT | 0.00012883 / -0.00012883 | 0.000126212 / -0.000126212 | 0.000171317 / -0.000171317 | 4.81163e-05 / -4.81163e-05 | 0.000216146 / -0.000216146 | 0.000142041 / -0.000142041 | 0.000223118 / -0.000223119 | 9.96152e-05 / -9.96153e-05 | 9.96142e-05 / -9.96143e-05 | 8.41644e-05 / -8.41645e-05 | 0.000108169 / -0.00010817 |
 | MU_SF_Trigger_SYST | -0.000362817 / 0.000362816 | -0.000333843 / 0.000333842 | -0.000459477 / 0.000459476 | -0.000292454 / 0.000292453 | -0.000450485 / 0.000450483 | -0.0007994 / 0.000799396 | -0.000691037 / 0.000691033 | -0.00138641 / 0.0013864 | -0.000319245 / 0.000319244 | -0.000208157 / 0.000208157 | -0.000207048 / 0.000207048 |
 | MU_SF_ID_STAT | 0.00078762 / -0.000787624 | 0.000822925 / -0.00082293 | 0.000800243 / -0.000800247 | 0.000627162 / -0.000627165 | 0.000739371 / -0.000739375 | 0.000631913 / -0.000631916 | 0.000771306 / -0.00077131 | 0.000685404 / -0.000685407 | 0.000803724 / -0.000803728 | 0.000576324 / -0.000576326 | 0.00060198 / -0.000601983 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00288435 / -0.0028844 | 0.00319016 / -0.00319023 | 0.00265494 / -0.00265499 | 0.00278759 / -0.00278764 | 0.00263148 / -0.00263152 | 0.00174608 / -0.0017461 | 0.00225774 / -0.00225778 | 0.00382447 / -0.00382457 | 0.00345786 / -0.00345794 | 0.00241339 / -0.00241343 | 0.00186719 / -0.00186722 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00718121 / -0.00718155 | 0.00770182 / -0.00770221 | 0.00267749 / -0.00267754 | 0.00510946 / -0.00510964 | 0.0054191 / -0.00541929 | 0.00175559 / -0.00175561 | 0.0067442 / -0.0067445 | 0.00757732 / -0.0075777 | 0.00706118 / -0.00706151 | 0.00232351 / -0.00232355 | 0.00184861 / -0.00184864 |
 | MU_SF_Isol_SYST | 0.0189974 / -0.0190001 | 0.0188357 / -0.0188384 | 0.0154513 / -0.015453 | 0.0183163 / -0.0183188 | 0.0180811 / -0.0180835 | 0.017319 / -0.0173212 | 0.0233275 / -0.0233317 | 0.0134596 / -0.0134609 | 0.0160434 / -0.0160453 | 0.0149666 / -0.0149682 | 0.0157803 / -0.0157821 |
 | MU_SF_TTVA_STAT | 0.000459018 / -0.00045902 | 0.000482722 / -0.000482724 | 0.000442655 / -0.000442656 | 0.000377354 / -0.000377355 | 0.000350832 / -0.000350833 | 0.000292663 / -0.000292664 | 0.000401074 / -0.000401075 | 0.000367872 / -0.000367873 | 0.000542853 / -0.000542855 | 0.000320391 / -0.000320392 | 0.000336025 / -0.000336026 |
