 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0135852 / 0.0135852 | -0.0187063 / 0.0187063 | -0.0127771 / 0.0127771 | -0.0015554 / 0.0015554 | -0.012502 / 0.012502 | -0.0130926 / 0.0130926 | -0.0232524 / 0.0232524 | 0.0167705 / -0.0167705 | -0.0229774 / 0.0229774 | -0.00921269 / 0.00921269 | -0.015081 / 0.015081 |
 | jvt | -0.00558789 / 0.00558789 | -0.00193905 / 0.00193905 | -0.00390099 / 0.00390099 | 0.00106264 / -0.00106264 | 0.000664941 / -0.000664941 | -0.000400045 / 0.000400045 | 0.000357777 / -0.000357777 | -0.000155623 / 0.000155623 | 0.00310611 / -0.00310611 | -4.31988e-05 / 4.31988e-05 | -0.00227427 / 0.00227427 |
 | EL_SF_Trigger | 0.000146621 / -0.000146621 | 0.000161637 / -0.000161637 | 0.000210235 / -0.000210235 | 0.000196165 / -0.000196165 | 0.000175116 / -0.000175116 | 0.000174643 / -0.000174643 | 0.000322061 / -0.000322061 | 0.000428717 / -0.000428717 | 0.000110529 / -0.000110529 | 0.000148105 / -0.000148105 | 0.000150941 / -0.000150941 |
 | EL_SF_Reco | 0.00251714 / -0.00251714 | 0.00254936 / -0.00254936 | 0.00273045 / -0.00273045 | 0.00267336 / -0.00267336 | 0.00235932 / -0.00235932 | 0.00250931 / -0.00250931 | 0.00408721 / -0.00408721 | 0.00497511 / -0.00497511 | 0.00341673 / -0.00341673 | 0.00283667 / -0.00283667 | 0.0025689 / -0.0025689 |
 | EL_SF_ID | 0.0143512 / -0.0143512 | 0.0144749 / -0.0144749 | 0.0160786 / -0.0160786 | 0.0150043 / -0.0150043 | 0.0133147 / -0.0133147 | 0.0147068 / -0.0147068 | 0.0236721 / -0.0236721 | 0.0281636 / -0.0281636 | 0.0106719 / -0.0106719 | 0.0161575 / -0.0161575 | 0.0136975 / -0.0136975 |
 | EL_SF_Isol | 0.0192164 / -0.0192164 | 0.0180675 / -0.0180675 | 0.0176912 / -0.0176912 | 0.0186442 / -0.0186442 | 0.016488 / -0.016488 | 0.0177501 / -0.0177501 | 0.0181204 / -0.0181204 | 0.0204506 / -0.0204506 | 0.0183371 / -0.0183371 | 0.0185892 / -0.0185892 | 0.0183997 / -0.0183997 |
 | MU_SF_Trigger_STAT | 0.000258062 / -0.000258062 | 0.000325088 / -0.000325088 | 0.000267729 / -0.000267729 | 0.000196523 / -0.000196523 | 0.00028168 / -0.00028168 | 0.000279175 / -0.000279175 | 0.000370389 / -0.000370389 | 0.000136647 / -0.000136647 | 4.29844e-05 / -4.29844e-05 | 0.00026883 / -0.00026883 | 0.000250132 / -0.000250132 |
 | MU_SF_Trigger_SYST | -0.000577164 / 0.000577164 | -0.000690533 / 0.000690533 | -0.000658224 / 0.000658224 | -0.000545426 / 0.000545426 | -0.000618098 / 0.000618098 | -0.000665017 / 0.000665017 | -0.000998206 / 0.000998206 | -0.000951921 / 0.000951921 | -0.00127599 / 0.00127599 | -0.000616569 / 0.000616569 | -0.000607083 / 0.000607083 |
 | MU_SF_ID_STAT | 0.000887351 / -0.000887351 | 0.000945957 / -0.000945957 | 0.000881857 / -0.000881857 | 0.000537383 / -0.000537383 | 0.000916537 / -0.000916537 | 0.000922223 / -0.000922223 | 0.00087967 / -0.00087967 | 0.000660795 / -0.000660795 | 0.000615232 / -0.000615232 | 0.000886562 / -0.000886562 | 0.000901805 / -0.000901805 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
