 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00499711 / 0.00499711 | -0.00550599 / 0.00550599 | -0.00533876 / 0.00533876 | 0.01691 / -0.01691 | 0.001822 / -0.001822 | -0.00392493 / 0.00392493 | 0.0200131 / -0.0200131 | 1.73126 / -1 | -0.00367723 / 0.00367723 | 0.0108988 / -0.0108988 | 0.00124887 / -0.00124887 |
 | jvt | 0.00365239 / -0.00365239 | 0.00522032 / -0.00522032 | 0.00332324 / -0.00332324 | 0.00553959 / -0.00553959 | 0.00565103 / -0.00565103 | 0.00456531 / -0.00456531 | 0.00367739 / -0.00367739 | -0.00643645 / 0.00643645 | 0.00243534 / -0.00243534 | 0.00736118 / -0.00736118 | 0.00587437 / -0.00587437 |
 | EL_SF_Trigger | 0.000123397 / -0.000123397 | 0.00019611 / -0.00019611 | 0.000179212 / -0.000179212 | 0.000119269 / -0.000119269 | 0.000122981 / -0.000122981 | 0.000150379 / -0.000150379 | 0.000253869 / -0.000253869 | -0.011684 / 0.011684 | 0.000171835 / -0.000171835 | 0.000109429 / -0.000109429 | 0.000118029 / -0.000118029 |
 | EL_SF_Reco | 0.00244554 / -0.00244554 | 0.00270378 / -0.00270378 | 0.00272477 / -0.00272477 | 0.00215235 / -0.00215235 | 0.00245595 / -0.00245595 | 0.00244193 / -0.00244193 | 0.00404892 / -0.00404892 | -0.0552646 / 0.0552646 | 0.00261204 / -0.00261204 | 0.00268232 / -0.00268232 | 0.00230387 / -0.00230387 |
 | EL_SF_ID | 0.0142396 / -0.0142396 | 0.0156882 / -0.0156882 | 0.0155757 / -0.0155757 | 0.0142042 / -0.0142042 | 0.0142375 / -0.0142375 | 0.0139999 / -0.0139999 | 0.0268078 / -0.0268078 | -0.245826 / 0.245826 | 0.0150099 / -0.0150099 | 0.0147321 / -0.0147321 | 0.0121552 / -0.0121552 |
 | EL_SF_Isol | 0.0195326 / -0.0195326 | 0.0182523 / -0.0182523 | 0.0189006 / -0.0189006 | 0.0142207 / -0.0142207 | 0.0175213 / -0.0175213 | 0.0181344 / -0.0181344 | 0.0213523 / -0.0213523 | -0.059973 / 0.059973 | 0.0182842 / -0.0182842 | 0.0189912 / -0.0189912 | 0.0188771 / -0.0188771 |
 | MU_SF_Trigger_STAT | 0.000239053 / -0.000239053 | 0.000238176 / -0.000238176 | 0.000276943 / -0.000276943 | 0.00020159 / -0.00020159 | 0.000200245 / -0.000200245 | 0.00024156 / -0.00024156 | 0.000284851 / -0.000284851 | 0.000210363 / -0.000210363 | 0.000294652 / -0.000294652 | 0.000216975 / -0.000216975 | 0.000235318 / -0.000235318 |
 | MU_SF_Trigger_SYST | -0.000497582 / 0.000497582 | -0.000564608 / 0.000564608 | -0.000625002 / 0.000625002 | -0.000399406 / 0.000399406 | -0.000450417 / 0.000450417 | -0.000576898 / 0.000576898 | -0.000895759 / 0.000895759 | -0.000202744 / 0.000202744 | -0.000545301 / 0.000545301 | -0.000531736 / 0.000531736 | -0.000486988 / 0.000486988 |
 | MU_SF_ID_STAT | 0.000911201 / -0.000911201 | 0.000932519 / -0.000932519 | 0.000911795 / -0.000911795 | 0.000770521 / -0.000770521 | 0.000886761 / -0.000886761 | 0.000912434 / -0.000912434 | 0.000565632 / -0.000565632 | 0.00606218 / -0.00606218 | 0.000931466 / -0.000931466 | 0.000939935 / -0.000939935 | 0.00090923 / -0.00090923 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00379907 / -0.00379907 | 0.00321614 / -0.00321614 | 0.00284702 / -0.00284702 | 0.00335335 / -0.00335335 | 0.00420293 / -0.00420293 | 0.0035979 / -0.0035979 | 0.00202508 / -0.00202508 | 0.0160414 / -0.0160414 | 0.00342072 / -0.00342072 | 0.0050415 / -0.0050415 | 0.00328136 / -0.00328136 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.0090183 / -0.0090183 | 0.00903288 / -0.00903288 | 0.00295641 / -0.00295641 | 0.00780119 / -0.00780119 | 0.00789859 / -0.00789859 | 0.00355445 / -0.00355445 | 0.00633198 / -0.00633198 | 0.0634776 / -0.0634776 | 0.00567425 / -0.00567425 | 0.00443742 / -0.00443742 | 0.00377226 / -0.00377226 |
 | MU_SF_Isol_SYST | 0.0201478 / -0.0201478 | 0.0232984 / -0.0232984 | 0.0163383 / -0.0163383 | 0.0175972 / -0.0175972 | 0.0192373 / -0.0192373 | 0.0157401 / -0.0157401 | 0.0196278 / -0.0196278 | 0.142372 / -0.142372 | 0.019294 / -0.019294 | 0.0135205 / -0.0135205 | 0.0161856 / -0.0161856 |
 | MU_SF_TTVA_STAT | 0.00059335 / -0.00059335 | 0.000461023 / -0.000461023 | 0.000480303 / -0.000480303 | 0.000502051 / -0.000502051 | 0.000611597 / -0.000611597 | 0.00052714 / -0.00052714 | 0.000355609 / -0.000355609 | 0.00463387 / -0.00463387 | 0.000527921 / -0.000527921 | 0.000685506 / -0.000685506 | 0.000510847 / -0.000510847 |
 | MU_SF_TTVA_SYST | 0.000753002 / -0.000753002 | 0.000547585 / -0.000547585 | 0.000547199 / -0.000547199 | 0.00082014 / -0.00082014 | 0.000732485 / -0.000732485 | 0.000621613 / -0.000621613 | 0.000444893 / -0.000444893 | 0.000372558 / -0.000372558 | 0.000587097 / -0.000587097 | 0.000867688 / -0.000867688 | 0.000611977 / -0.000611977 |
 | bTagSF_eigenvars_B_0 | -0.0242545 / 0.0242545 | -0.0262682 / 0.0262682 | -0.0233118 / 0.0233118 | 0.00233545 / -0.00233545 | -0.0259463 / 0.0259463 | -0.0299878 / 0.0299878 | -0.0286899 / 0.0286899 | -0.188447 / 0.188447 | -0.0015136 / 0.0015136 | -0.0168272 / 0.0168272 | -0.0180439 / 0.0180439 |
 | bTagSF_eigenvars_B_1 | -0.00993061 / 0.00993061 | -0.0103134 / 0.0103134 | -0.00952397 / 0.00952397 | -0.000253883 / 0.000253883 | -0.00632495 / 0.00632495 | -0.0102732 / 0.0102732 | -0.0111911 / 0.0111911 | 0.0125706 / -0.0125706 | 0.000347725 / -0.000347725 | -0.00609826 / 0.00609826 | -0.00506003 / 0.00506003 |
 | bTagSF_eigenvars_B_2 | 0.0057563 / -0.0057563 | 0.00631516 / -0.00631516 | 0.00586659 / -0.00586659 | 0.000209655 / -0.000209655 | 0.00384849 / -0.00384849 | 0.00577622 / -0.00577622 | 0.00658694 / -0.00658694 | 0.00801 / -0.00801 | -1.13591e-06 / 1.13591e-06 | 0.00284061 / -0.00284061 | 0.00377912 / -0.00377912 |
 | bTagSF_eigenvars_B_3 | -3.57689e-05 / 3.57689e-05 | 7.00008e-05 / -7.00008e-05 | 2.61798e-05 / -2.61798e-05 | -0.000103473 / 0.000103473 | -0.00083524 / 0.00083524 | -0.000299777 / 0.000299777 | -3.77904e-05 / 3.77904e-05 | -0.0272555 / 0.0272555 | -8.59077e-05 / 8.59077e-05 | -3.0953e-05 / 3.0953e-05 | -0.000183032 / 0.000183032 |
 | bTagSF_eigenvars_B_4 | -0.000148106 / 0.000148106 | -0.000149714 / 0.000149714 | -0.000157353 / 0.000157353 | 1.49326e-05 / -1.49326e-05 | 2.01478e-05 / -2.01478e-05 | -9.68886e-05 / 9.68886e-05 | -5.97234e-05 / 5.97234e-05 | 0.00741552 / -0.00741552 | 4.87452e-05 / -4.87452e-05 | -6.00531e-05 / 6.00531e-05 | -6.83188e-05 / 6.83188e-05 |
 | bTagSF_eigenvars_B_5 | -5.65812e-06 / 5.65812e-06 | -4.87412e-05 / 4.87412e-05 | -1.86564e-06 / 1.86564e-06 | -2.11e-06 / 2.11e-06 | -2.16691e-05 / 2.16691e-05 | -2.21333e-05 / 2.21333e-05 | 1.62444e-05 / -1.62444e-05 | 0.000347246 / -0.000347246 | -1.83151e-05 / 1.83151e-05 | -1.21529e-05 / 1.21529e-05 | -1.14158e-05 / 1.14158e-05 |
 | bTagSF_eigenvars_B_6 | -5.27311e-07 / 5.27311e-07 | 3.68672e-06 / -3.68672e-06 | 2.51693e-07 / -2.51693e-07 | -6.05494e-08 / 6.05494e-08 | 8.20979e-07 / -8.20979e-07 | 1.13938e-06 / -1.13938e-06 | -3.32488e-06 / 3.32488e-06 | -0.000429081 / 0.000429081 | -2.8283e-07 / 2.8283e-07 | -2.13249e-06 / 2.13249e-06 | 5.62762e-07 / -5.62762e-07 |
 | bTagSF_eigenvars_B_7 | -4.32705e-08 / 4.32705e-08 | 6.10427e-07 / -6.10427e-07 | -9.50128e-08 / 9.50128e-08 | 7.4966e-08 / -7.4966e-08 | -1.68682e-07 / 1.68682e-07 | -2.33925e-07 / 2.33925e-07 | 1.99233e-08 / -1.99233e-08 | 1.79398e-05 / -1.79398e-05 | -1.75891e-07 / 1.75891e-07 | -3.13561e-07 / 3.13561e-07 | 1.76735e-07 / -1.76735e-07 |
 | bTagSF_eigenvars_B_8 | 1.3713e-08 / -1.3713e-08 | 5.91997e-09 / -5.91997e-09 | 7.05958e-09 / -7.05958e-09 | 8.64992e-09 / -8.64992e-09 | 3.00558e-08 / -3.00558e-08 | 2.62325e-08 / -2.62325e-08 | 8.15836e-09 / -8.15836e-09 | -1.72025e-06 / 1.72025e-06 | -1.9689e-08 / 1.9689e-08 | 4.70603e-09 / -4.70603e-09 | 1.77445e-08 / -1.77445e-08 |
 | bTagSF_eigenvars_C_0 | -0.00121673 / 0.00121673 | 0.00164999 / -0.00164999 | -0.000779359 / 0.000779359 | -0.00265287 / 0.00265287 | -0.0194556 / 0.0194556 | -0.000365839 / 0.000365839 | -0.0022928 / 0.0022928 | -0.358279 / 0.358279 | -0.000104557 / 0.000104557 | -0.0336993 / 0.0336993 | -0.0417084 / 0.0417084 |
 | bTagSF_eigenvars_C_1 | -0.000135849 / 0.000135849 | -2.22086e-05 / 2.22086e-05 | 3.03282e-05 / -3.03282e-05 | 7.86668e-05 / -7.86668e-05 | -0.00209123 / 0.00209123 | -4.20294e-05 / 4.20294e-05 | -0.00032595 / 0.00032595 | -0.113985 / 0.113985 | -0.000258028 / 0.000258028 | -0.00538017 / 0.00538017 | -0.00348497 / 0.00348497 |
 | bTagSF_eigenvars_C_2 | 3.38753e-05 / -3.38753e-05 | 1.61788e-05 / -1.61788e-05 | -3.66752e-05 / 3.66752e-05 | 6.45405e-05 / -6.45405e-05 | 0.000678396 / -0.000678396 | 3.20352e-06 / -3.20352e-06 | 6.62061e-05 / -6.62061e-05 | 0.0934617 / -0.0934617 | -3.72941e-05 / 3.72941e-05 | 0.00119815 / -0.00119815 | 0.00304214 / -0.00304214 |
 | bTagSF_eigenvars_C_3 | -4.48896e-06 / 4.48896e-06 | -1.30233e-05 / 1.30233e-05 | 6.08505e-06 / -6.08505e-06 | -4.56119e-05 / 4.56119e-05 | -0.000274948 / 0.000274948 | -1.44649e-05 / 1.44649e-05 | -0.000131448 / 0.000131448 | 0.000923285 / -0.000923285 | -5.48414e-05 / 5.48414e-05 | -0.000330699 / 0.000330699 | -0.000463706 / 0.000463706 |
 | bTagSF_eigenvars_Light_0 | -0.000593999 / 0.000593999 | 0.000672087 / -0.000672087 | 0.000628104 / -0.000628104 | -0.272484 / 0.272484 | -0.0148014 / 0.0148014 | -0.000123996 / 0.000123996 | -0.00113244 / 0.00113244 | -0.00639296 / 0.00639296 | -0.00174752 / 0.00174752 | -0.0106164 / 0.0106164 | -0.0067048 / 0.0067048 |
 | bTagSF_eigenvars_Light_1 | 3.7978e-05 / -3.7978e-05 | 3.21166e-05 / -3.21166e-05 | -8.91878e-05 / 8.91878e-05 | 0.00439912 / -0.00439912 | 0.000239366 / -0.000239366 | 9.05221e-07 / -9.05221e-07 | -0.000185365 / 0.000185365 | 0.00171386 / -0.00171386 | 0.000117799 / -0.000117799 | 0.000424824 / -0.000424824 | 0.000299016 / -0.000299016 |
 | bTagSF_eigenvars_Light_2 | -5.81963e-05 / 5.81963e-05 | -0.000309582 / 0.000309582 | -4.4154e-05 / 4.4154e-05 | -0.014971 / 0.014971 | -0.000436656 / 0.000436656 | 1.49813e-05 / -1.49813e-05 | 0.000665697 / -0.000665697 | -0.00207119 / 0.00207119 | 0.000349245 / -0.000349245 | -0.000188814 / 0.000188814 | -5.75571e-05 / 5.75571e-05 |
 | bTagSF_eigenvars_Light_3 | -1.75707e-06 / 1.75707e-06 | 9.92847e-05 / -9.92847e-05 | 2.78642e-05 / -2.78642e-05 | -0.00745678 / 0.00745678 | -0.000295512 / 0.000295512 | -4.34514e-05 / 4.34514e-05 | -0.000146441 / 0.000146441 | -0.00037477 / 0.00037477 | -6.45962e-05 / 6.45962e-05 | -0.000278111 / 0.000278111 | -4.87268e-05 / 4.87268e-05 |
