 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00486747 / 0.00486704 | -0.00536809 / 0.00536757 | -0.0052051 / 0.00520461 | 0.0164754 / -0.01648 | 0.00178329 / -0.00178335 | -0.00383122 / 0.00383096 | 0.019509 / -0.0195154 | 1.76837 / -1 | -0.0035824 / 0.00358217 | 0.0106154 / -0.0106174 | 0.0012208 / -0.00122083 |
 | jvt | 0.00362779 / -0.00362787 | 0.00518663 / -0.00518681 | 0.00330044 / -0.00330051 | 0.00550228 / -0.00550249 | 0.00561315 / -0.00561337 | 0.0045348 / -0.00453494 | 0.00365243 / -0.00365252 | -0.00639055 / 0.00639027 | 0.00241922 / -0.00241926 | 0.00731208 / -0.00731244 | 0.0058345 / -0.00583473 |
 | EL_SF_Trigger | 0.000122574 / -0.000122574 | 0.000194845 / -0.000194845 | 0.000178015 / -0.000178016 | 0.000118448 / -0.000118448 | 0.000122165 / -0.000122165 | 0.000149357 / -0.000149357 | 0.000252072 / -0.000252072 | -0.0116067 / 0.0116058 | 0.000170698 / -0.000170698 | 0.000108701 / -0.000108701 | 0.00011725 / -0.00011725 |
 | EL_SF_Reco | 0.00242908 / -0.00242912 | 0.00268559 / -0.00268564 | 0.00270649 / -0.00270654 | 0.00213818 / -0.00213821 | 0.00243958 / -0.00243962 | 0.00242547 / -0.00242551 | 0.00402143 / -0.00402154 | -0.0549067 / 0.0548865 | 0.00259442 / -0.00259447 | 0.00266431 / -0.00266435 | 0.00228805 / -0.00228809 |
 | EL_SF_ID | 0.0140215 / -0.0140244 | 0.0154475 / -0.015451 | 0.0153374 / -0.0153409 | 0.01399 / -0.0139928 | 0.0140204 / -0.0140233 | 0.0137855 / -0.0137883 | 0.0263909 / -0.0264013 | -0.2431 / 0.242417 | 0.0147806 / -0.0147838 | 0.0145068 / -0.0145099 | 0.0119686 / -0.0119707 |
 | EL_SF_Isol | 0.0191752 / -0.0191817 | 0.017919 / -0.0179247 | 0.0185547 / -0.0185609 | 0.0139591 / -0.0139626 | 0.0172009 / -0.0172062 | 0.017803 / -0.0178086 | 0.0209651 / -0.0209729 | -0.0589584 / 0.0589 | 0.0179501 / -0.0179558 | 0.0186446 / -0.0186508 | 0.0185295 / -0.0185356 |
 | MU_SF_Trigger_STAT | 0.000237475 / -0.000237476 | 0.000236672 / -0.000236672 | 0.000275111 / -0.000275112 | 0.000200186 / -0.000200186 | 0.000198908 / -0.000198909 | 0.000239962 / -0.000239962 | 0.000282818 / -0.000282819 | 0.000208952 / -0.000208953 | 0.000292787 / -0.000292788 | 0.00021554 / -0.00021554 | 0.000233776 / -0.000233776 |
 | MU_SF_Trigger_SYST | -0.000494284 / 0.000494282 | -0.000561005 / 0.000561003 | -0.000620871 / 0.000620869 | -0.000396664 / 0.000396663 | -0.000447456 / 0.000447455 | -0.000573086 / 0.000573084 | -0.000889791 / 0.000889785 | -0.000201385 / 0.000201385 | -0.000541746 / 0.000541744 | -0.000528129 / 0.000528127 | -0.000483771 / 0.000483769 |
 | MU_SF_ID_STAT | 0.000905137 / -0.000905143 | 0.000926319 / -0.000926325 | 0.000905746 / -0.000905751 | 0.000765269 / -0.000765273 | 0.000880839 / -0.000880845 | 0.000906345 / -0.00090635 | 0.000561674 / -0.000561676 | 0.00602142 / -0.00602166 | 0.000925292 / -0.000925298 | 0.000933651 / -0.000933657 | 0.000903273 / -0.000903279 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00377363 / -0.00377372 | 0.00319463 / -0.0031947 | 0.00282783 / -0.00282788 | 0.00333094 / -0.00333101 | 0.00417464 / -0.00417475 | 0.00357365 / -0.00357374 | 0.00201108 / -0.00201111 | 0.015933 / -0.0159347 | 0.00339783 / -0.0033979 | 0.00500778 / -0.00500794 | 0.00325937 / -0.00325944 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00895766 / -0.00895818 | 0.00897256 / -0.00897309 | 0.00293626 / -0.00293632 | 0.00774754 / -0.00774793 | 0.00784536 / -0.00784576 | 0.00353061 / -0.0035307 | 0.00628852 / -0.00628878 | 0.0630525 / -0.063078 | 0.00563592 / -0.00563613 | 0.00440818 / -0.00440831 | 0.00374701 / -0.00374711 |
 | MU_SF_Isol_SYST | 0.0196658 / -0.0196687 | 0.0227367 / -0.0227406 | 0.0159503 / -0.0159522 | 0.0171767 / -0.0171789 | 0.0187778 / -0.0187804 | 0.0153669 / -0.0153686 | 0.0191567 / -0.0191594 | 0.138052 / -0.138331 | 0.0188333 / -0.0188359 | 0.0132009 / -0.0132022 | 0.0158022 / -0.015804 |
 | MU_SF_TTVA_STAT | 0.00058933 / -0.000589333 | 0.000457881 / -0.000457882 | 0.000477017 / -0.000477019 | 0.0004986 / -0.000498601 | 0.000607437 / -0.000607439 | 0.000523552 / -0.000523554 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.000524329 / -0.00052433 | 0.000680948 / -0.000680951 | 0.00050743 / -0.000507431 |
 | MU_SF_TTVA_SYST | 0.00074788 / -0.000747884 | 0.000543863 / -0.000543865 | 0.000543422 / -0.000543424 | 0.000814402 / -0.000814407 | 0.000727483 / -0.000727487 | 0.000617371 / -0.000617373 | 0.000441591 / -0.000441592 | 0.00037006 / -0.000370061 | 0.000583081 / -0.000583083 | 0.000861944 / -0.000861949 | 0.000607899 / -0.000607902 |
 | bTagSF_eigenvars_B_0 | -0.0231926 / 0.0231681 | -0.0251206 / 0.0250918 | -0.0222917 / 0.022269 | 0.00223053 / -0.00223076 | -0.024813 / 0.0247849 | -0.02868 / 0.0286425 | -0.0274349 / 0.0274006 | -0.181093 / 0.179649 | -0.00145028 / 0.00145019 | -0.016087 / 0.0160752 | -0.0172501 / 0.0172365 |
