 |       | t#bar{t}Z      | tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}      | Wt      | Z+jets      | VH      | t#bar{t}WW      | VVV      | 4 tops      | 3 tops      | t#bar{t}Z (2l)      | VV (2l)      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | stat_SR3_bin_0 | 0.00340026 / -0.00340026 | 0.00429065 / -0.00429065 | 0.00283142 / -0.00283142 | 0.00327978 / -0.00327978 | 0.00472901 / -0.00472901 | 0.00451499 / -0.00451499 | 0.00126063 / -0.00126063 | 0.000920627 / -0.000920627 | 0.00176733 / -0.00176733 | 1.17629e-08 / -1.17629e-08 | 0.00176733 / -0.00176733 | 0.00477252 / -0.00477252 | 0.00626799 / -0.00626799 | 0.00661413 / -0.00661413 | 0.00783801 / -0.00783801 | 1.04156e-06 / -1.04156e-06 | 3.55362e-07 / -3.55362e-07 | 0.000993866 / -0.000993866 | 0.00015586 / -0.00015586 |
 | stat_SR3_bin_1 | 0.00355967 / -0.00355967 | 0.00289765 / -0.00289765 | 0.00355376 / -0.00355376 | 0.00344879 / -0.00344879 | 0.00268028 / -0.00268028 | 0.00310429 / -0.00310429 | 0.00198488 / -0.00198488 | 0.00222814 / -0.00222814 | 0.00188157 / -0.00188157 | 0.00225468 / -0.00225468 | 0.00188157 / -0.00188157 | 0.00433529 / -0.00433529 | 0.00325395 / -0.00325395 | 0.00422324 / -0.00422324 | 0.004928 / -0.004928 | 0.0188046 / -0.0188046 | 3.78334e-07 / -3.78334e-07 | 0.00167172 / -0.00167172 | 0.000531733 / -0.000531733 |
 | stat_SR3_bin_2 | 0.00365471 / -0.00365471 | 0.00278068 / -0.00278068 | 0.00248228 / -0.00248228 | 0.00343135 / -0.00343135 | 0.00260349 / -0.00260349 | 0.0030594 / -0.0030594 | 0.00312271 / -0.00312271 | 0.00243038 / -0.00243038 | 0.00207339 / -0.00207339 | 0.00383871 / -0.00383871 | 0.00207339 / -0.00207339 | 0.00449743 / -0.00449743 | 0.00288361 / -0.00288361 | 0.00215297 / -0.00215297 | 0.00172259 / -0.00172259 | 1.22194e-06 / -1.22194e-06 | 4.16904e-07 / -4.16904e-07 | 0.00291163 / -0.00291163 | 0.000726083 / -0.000726083 |
 | stat_SR3_bin_3 | 0.00292398 / -0.00292398 | 0.002742 / -0.002742 | 0.00206783 / -0.00206783 | 0.00245642 / -0.00245642 | 0.00279532 / -0.00279532 | 0.00243057 / -0.00243057 | 0.00367587 / -0.00367587 | 0.00347314 / -0.00347314 | 0.00206504 / -0.00206504 | 0.00254801 / -0.00254801 | 0.00206504 / -0.00206504 | 0.000719084 / -0.000719084 | 0.00207627 / -0.00207627 | 0.00137236 / -0.00137236 | 1.3336e-06 / -1.3336e-06 | 1.21702e-06 / -1.21702e-06 | 0.00804105 / -0.00804105 | 0.00404065 / -0.00404065 | 0.00112422 / -0.00112422 |
 | stat_SR3_bin_4 | 0.00245166 / -0.00245166 | 0.00217576 / -0.00217576 | 0.00247663 / -0.00247663 | 0.00212124 / -0.00212124 | 0.00236885 / -0.00236885 | 0.00247886 / -0.00247886 | 0.00339482 / -0.00339482 | 0.00423629 / -0.00423629 | 0.00216725 / -0.00216725 | 0.00203046 / -0.00203046 | 0.00216725 / -0.00216725 | 0.0041193 / -0.0041193 | 0.00159042 / -0.00159042 | 0.00227223 / -0.00227223 | 0.00174562 / -0.00174562 | 1.27725e-06 / -1.27725e-06 | 0.013229 / -0.013229 | 0.0036622 / -0.0036622 | 0.00164624 / -0.00164624 |
 | stat_SR3_bin_5 | 0.00230957 / -0.00230957 | 0.00317533 / -0.00317533 | 0.00216185 / -0.00216185 | 0.00240917 / -0.00240917 | 0.00257254 / -0.00257254 | 0.00244549 / -0.00244549 | 0.00384679 / -0.00384679 | 0.00516527 / -0.00516527 | 0.00294977 / -0.00294977 | 0.00811233 / -0.00811233 | 0.00294977 / -0.00294977 | 1.88087e-07 / -1.88087e-07 | 0.0028614 / -0.0028614 | 0.00115426 / -0.00115426 | 0.00139174 / -0.00139174 | 1.73842e-06 / -1.73842e-06 | 5.93121e-07 / -5.93121e-07 | 0.00479554 / -0.00479554 | 0.00299249 / -0.00299249 |
 | stat_SR3_bin_6 | 0.00135901 / -0.00135901 | 0.0017016 / -0.0017016 | 0.00225512 / -0.00225512 | 0.00180378 / -0.00180378 | 0.00209035 / -0.00209035 | 0.00156406 / -0.00156406 | 0.00253334 / -0.00253334 | 0.00115648 / -0.00115648 | 0.00255087 / -0.00255087 | 0.00111914 / -0.00111914 | 0.00255087 / -0.00255087 | 1.62652e-07 / -1.62652e-07 | 0.000557155 / -0.000557155 | 0.00100269 / -0.00100269 | 0.00123278 / -0.00123278 | 1.50333e-06 / -1.50333e-06 | 5.12912e-07 / -5.12912e-07 | 0.0028563 / -0.0028563 | 0.00346739 / -0.00346739 |
 | stat_SR3_bin_7 | 0.000881296 / -0.000881296 | 0.00128099 / -0.00128099 | 0.00233588 / -0.00233588 | 0.001587 / -0.001587 | 0.000798034 / -0.000798034 | 0.000945327 / -0.000945327 | 0.00162558 / -0.00162558 | 0.00131556 / -0.00131556 | 0.00296969 / -0.00296969 | 1.97656e-08 / -1.97656e-08 | 0.00296969 / -0.00296969 | 0.0017131 / -0.0017131 | 0.000614931 / -0.000614931 | 0.000820734 / -0.000820734 | 0.00104653 / -0.00104653 | 1.75017e-06 / -1.75017e-06 | 5.97127e-07 / -5.97127e-07 | 0.00129771 / -0.00129771 | 0.0049901 / -0.0049901 |
 | stat_SR3_bin_8 | 0.000805379 / -0.000805379 | 0.000591683 / -0.000591683 | 0.00198511 / -0.00198511 | 0.00138359 / -0.00138359 | 0.00102548 / -0.00102548 | 0.000803345 / -0.000803345 | 0.0015358 / -0.0015358 | 0.00171974 / -0.00171974 | 0.00457295 / -0.00457295 | 0.00727283 / -0.00727283 | 0.00457295 / -0.00457295 | 2.91586e-07 / -2.91586e-07 | 0.000548026 / -0.000548026 | 0.000417129 / -0.000417129 | 2.9532e-06 / -2.9532e-06 | 2.69503e-06 / -2.69503e-06 | 9.19498e-07 / -9.19498e-07 | 0.000940708 / -0.000940708 | 0.00847579 / -0.00847579 |
 | stat_SR3_bin_9 | 0.000322036 / -0.000322036 | 0.000206574 / -0.000206574 | 0.0012448 / -0.0012448 | 0.000478787 / -0.000478787 | 4.73024e-05 / -4.73024e-05 | 0.00023619 / -0.00023619 | 0.000748618 / -0.000748618 | 0.00174387 / -0.00174387 | 0.00377147 / -0.00377147 | 2.5102e-08 / -2.5102e-08 | 0.00377147 / -0.00377147 | 2.40481e-07 / -2.40481e-07 | 0.000295386 / -0.000295386 | 0.000412575 / -0.000412575 | 2.43561e-06 / -2.43561e-06 | 2.22269e-06 / -2.22269e-06 | 7.58342e-07 / -7.58342e-07 | 0.000414523 / -0.000414523 | 0.00779857 / -0.00779857 |
