NUISANCE_PARAMETERS
EG_RESOLUTION_ALL  0.101856 +0.990712 -0.990712
EG_SCALE_ALL  -0.0697392 +0.993307 -0.993307
EL_SF_ID  0.078833 +0.9836 -0.9836
EL_SF_Isol  0.102584 +0.97949 -0.97949
EL_SF_Reco  -0.00116469 +0.993358 -0.993358
EL_SF_Trigger  -1.2564e-06 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.0498598 +0.99129 -0.99129
GlobalReduction_JET_EffectiveNP_1  -0.197369 +0.991373 -0.991373
GlobalReduction_JET_EffectiveNP_2  -0.0524854 +0.983318 -0.983318
GlobalReduction_JET_EffectiveNP_3  -0.154687 +0.978475 -0.978475
GlobalReduction_JET_EffectiveNP_4  -0.0768435 +0.990489 -0.990489
GlobalReduction_JET_EffectiveNP_5  -0.00149257 +0.991696 -0.991696
GlobalReduction_JET_EffectiveNP_6  -0.103493 +0.987194 -0.987194
GlobalReduction_JET_EffectiveNP_7  0.027792 +0.992445 -0.992445
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0844632 +0.989708 -0.989708
GlobalReduction_JET_EtaIntercalibration_Modelling  -0.172202 +0.984326 -0.984326
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0818547 +0.986792 -0.986792
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  -0.00278318 +0.993262 -0.993262
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0163932 +0.993127 -0.993127
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00543574 +0.99174 -0.99174
GlobalReduction_JET_Flavor_Composition  -0.86018 +0.937575 -0.937575
GlobalReduction_JET_Flavor_Response  0.324782 +0.973977 -0.973977
GlobalReduction_JET_JER_DataVsMC_AFII  1.5693e-10 +0.993348 -0.993348
GlobalReduction_JET_JER_DataVsMC_MC16  0.139218 +0.975185 -0.975185
GlobalReduction_JET_JER_EffectiveNP_1  -0.0321939 +0.968065 -0.968065
GlobalReduction_JET_JER_EffectiveNP_2  -0.257052 +0.973937 -0.973937
