 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00539543 / 0.00539485 | -0.00184885 / 0.00184878 | -0.00720828 / 0.00720725 | -0.00536937 / 0.00536879 | -0.00144859 / 0.00144855 | 0.00031341 / -0.000313412 | -0.0104802 / 0.010478 | 0.0336356 / -0.0320619 | -0.0469432 / 0.0468952 | -nan / -nan | -nan / -nan |
 | jvt | -0.00144032 / 0.00144031 | 0.000422254 / -0.000422255 | -0.00289624 / 0.00289618 | 0.000725996 / -0.000725999 | 0.000809203 / -0.000809207 | 0.000447155 / -0.000447156 | 0.00245907 / -0.00245911 | 0.00469171 / -0.00469185 | 0.00277381 / -0.00277386 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.0001102 / -0.0001102 | 0.000175193 / -0.000175193 | 0.000164055 / -0.000164055 | 0.000124459 / -0.000124459 | 0.000131006 / -0.000131007 | 0.000131134 / -0.000131134 | 0.000333692 / -0.000333693 | 0.000279555 / -0.000279555 | 0.000122526 / -0.000122526 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00240384 / -0.00240387 | 0.00227604 / -0.00227607 | 0.00252105 / -0.00252109 | 0.00232995 / -0.00232999 | 0.00233482 / -0.00233485 | 0.00231246 / -0.0023125 | 0.00364462 / -0.00364471 | 0.00664064 / -0.00664094 | 0.00272099 / -0.00272104 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0139275 / -0.0139284 | 0.0134012 / -0.013402 | 0.0142471 / -0.014248 | 0.0134455 / -0.0134463 | 0.013578 / -0.0135788 | 0.0127301 / -0.0127308 | 0.0212925 / -0.0212947 | 0.0329545 / -0.0320965 | 0.0142822 / -0.0142831 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0198286 / -0.0198286 | 0.0174293 / -0.0174292 | 0.0184199 / -0.0184198 | 0.0168812 / -0.0168811 | 0.0170906 / -0.0170905 | 0.0181979 / -0.0181978 | 0.0163428 / -0.0163427 | 0.0226647 / -0.0226036 | 0.0282795 / -0.0282799 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000187443 / -0.000187443 | 0.000212631 / -0.000212631 | 0.000234682 / -0.000234682 | 0.000215245 / -0.000215245 | 0.000195399 / -0.000195399 | 0.000224822 / -0.000224823 | 0.000264679 / -0.00026468 | 0.000343357 / -0.000343358 | 0.000120987 / -0.000120987 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000387536 / 0.000387535 | -0.0004304 / 0.000430399 | -0.000521995 / 0.000521993 | -0.000488818 / 0.000488817 | -0.000433688 / 0.000433687 | -0.000519337 / 0.000519335 | -0.00109259 / 0.00109258 | -0.000785709 / 0.000785705 | -0.00035035 / 0.000350349 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000865471 / -0.000865476 | 0.000879694 / -0.000879699 | 0.000902112 / -0.000902118 | 0.000876599 / -0.000876604 | 0.00088576 / -0.000885765 | 0.000879626 / -0.000879631 | 0.000867974 / -0.000867979 | 0.000490864 / -0.000490865 | 0.000782245 / -0.000782249 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00434562 / -0.00434575 | 0.00339858 / -0.00339866 | 0.00311456 / -0.00311463 | 0.00454125 / -0.00454139 | 0.00427311 / -0.00427323 | 0.003546 / -0.00354608 | 0.00275482 / -0.00275487 | 0.00174995 / -0.00174997 | 0.0038082 / -0.0038083 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
