 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00451423 / -0.00451462 | -0.00767686 / 0.00767569 | -0.0072981 / 0.00729704 | -0.0266821 / 0.0266673 | -0.0238508 / 0.023839 | -0.0176726 / 0.0176662 | -0.0111362 / 0.0111337 | 0.0745714 / -0.0746615 | -0.00416166 / 0.00416132 | -nan / -nan | -nan / -nan |
 | jvt | -0.0014151 / 0.00141509 | 0.000204854 / -0.000204854 | 0.000453377 / -0.000453378 | 0.00515491 / -0.00515508 | 0.000531185 / -0.000531187 | -0.00161469 / 0.00161468 | 0.00120872 / -0.00120873 | -0.0180763 / 0.0180741 | -8.37236e-05 / 8.37235e-05 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.00023821 / -0.00023821 | 0.000234845 / -0.000234845 | 0.000311275 / -0.000311276 | 0.000364792 / -0.000364793 | 0.000466947 / -0.000466948 | 0.000523979 / -0.000523981 | 0.00050923 / -0.000509232 | 0.000344542 / -0.000344543 | 0.000206856 / -0.000206857 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00310184 / -0.0031019 | 0.00283259 / -0.00283265 | 0.00319342 / -0.00319349 | 0.00360891 / -0.003609 | 0.00392862 / -0.00392873 | 0.00469732 / -0.00469746 | 0.00425586 / -0.00425598 | 0.00616016 / -0.00616041 | 0.00296452 / -0.00296458 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0178615 / -0.017863 | 0.0161148 / -0.016116 | 0.0184481 / -0.0184497 | 0.0208271 / -0.0208292 | 0.0257649 / -0.0257683 | 0.027203 / -0.0272068 | 0.0257821 / -0.0257855 | 0.0526016 / -0.0526194 | 0.0169603 / -0.0169617 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0211877 / -0.0211877 | 0.0214767 / -0.0214767 | 0.020115 / -0.020115 | 0.025371 / -0.0253711 | 0.022219 / -0.022219 | 0.0236634 / -0.0236634 | 0.0203111 / -0.020311 | 0.014793 / -0.0147929 | 0.0214076 / -0.0214076 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000128828 / -0.000128828 | 0.00012621 / -0.000126211 | 0.000171312 / -0.000171312 | 4.81126e-05 / -4.81126e-05 | 0.000216144 / -0.000216145 | 0.000142026 / -0.000142026 | 0.000223112 / -0.000223112 | 9.96103e-05 / -9.96103e-05 | 9.96112e-05 / -9.96113e-05 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.00036281 / 0.00036281 | -0.000333832 / 0.000333831 | -0.000459461 / 0.000459459 | -0.000292424 / 0.000292423 | -0.000450449 / 0.000450447 | -0.000799363 / 0.000799359 | -0.000691003 / 0.000691 | -0.00138639 / 0.00138638 | -0.000319249 / 0.000319248 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000787619 / -0.000787623 | 0.000822924 / -0.000822928 | 0.000800242 / -0.000800246 | 0.000627157 / -0.00062716 | 0.00073937 / -0.000739374 | 0.000631899 / -0.000631902 | 0.000771305 / -0.000771309 | 0.000685457 / -0.00068546 | 0.000803724 / -0.000803728 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
