 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00484986 / 0.00484939 | -0.00534892 / 0.00534835 | -0.0051862 / 0.00518566 | 0.0164163 / -0.0164213 | 0.00177686 / -0.00177692 | -0.00381727 / 0.00381699 | 0.0194385 / -0.0194456 | 1.77134 / -1 | -0.00356954 / 0.00356929 | -nan / -nan | -nan / -nan |
 | jvt | 0.00362767 / -0.00362775 | 0.00518657 / -0.00518674 | 0.00330033 / -0.0033004 | 0.00550228 / -0.00550248 | 0.0056131 / -0.00561331 | 0.00453473 / -0.00453487 | 0.00365227 / -0.00365235 | -0.00638958 / 0.00638931 | 0.00241899 / -0.00241903 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000122574 / -0.000122575 | 0.000194847 / -0.000194847 | 0.000178015 / -0.000178016 | 0.000118449 / -0.000118449 | 0.000122166 / -0.000122166 | 0.000149357 / -0.000149357 | 0.000252073 / -0.000252073 | -0.0116067 / 0.0116058 | 0.000170699 / -0.000170699 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00242912 / -0.00242916 | 0.00268564 / -0.00268569 | 0.00270653 / -0.00270657 | 0.00213816 / -0.00213819 | 0.00243961 / -0.00243965 | 0.00242551 / -0.00242555 | 0.00402146 / -0.00402157 | -0.0549056 / 0.0548853 | 0.00259444 / -0.00259449 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0139969 / -0.0139977 | 0.0154199 / -0.0154209 | 0.01531 / -0.0153111 | 0.013965 / -0.0139659 | 0.0139957 / -0.0139966 | 0.0137613 / -0.0137622 | 0.0263359 / -0.0263394 | -0.244093 / 0.244617 | 0.0147543 / -0.0147552 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0191121 / -0.019112 | 0.0178609 / -0.0178608 | 0.0184941 / -0.018494 | 0.0139157 / -0.0139156 | 0.0171455 / -0.0171455 | 0.0177453 / -0.0177453 | 0.0208945 / -0.0208945 | -0.058922 / 0.0589406 | 0.0178917 / -0.0178916 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000237477 / -0.000237478 | 0.000236675 / -0.000236675 | 0.000275113 / -0.000275113 | 0.000200192 / -0.000200192 | 0.00019891 / -0.000198911 | 0.000239962 / -0.000239962 | 0.000282824 / -0.000282825 | 0.000208952 / -0.000208952 | 0.000292793 / -0.000292793 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.00049429 / 0.000494288 | -0.000561014 / 0.000561012 | -0.000620877 / 0.000620874 | -0.000396679 / 0.000396678 | -0.000447463 / 0.000447462 | -0.00057309 / 0.000573087 | -0.000889805 / 0.0008898 | -0.000201385 / 0.000201385 | -0.000541757 / 0.000541755 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000905139 / -0.000905144 | 0.000926322 / -0.000926327 | 0.000905746 / -0.000905752 | 0.000765278 / -0.000765282 | 0.000880841 / -0.000880846 | 0.000906345 / -0.00090635 | 0.000561678 / -0.00056168 | 0.00602142 / -0.00602166 | 0.000925293 / -0.000925299 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00377356 / -0.00377365 | 0.00319459 / -0.00319466 | 0.0028278 / -0.00282785 | 0.0033309 / -0.00333098 | 0.00417455 / -0.00417466 | 0.00357358 / -0.00357367 | 0.00201108 / -0.0020111 | 0.0159331 / -0.0159348 | 0.00339777 / -0.00339784 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.0089577 / -0.00895822 | 0.00897256 / -0.00897308 | 0.00293624 / -0.0029363 | 0.0077476 / -0.00774799 | 0.00784539 / -0.0078458 | 0.00353058 / -0.00353066 | 0.0062886 / -0.00628886 | 0.0630533 / -0.0630787 | 0.0056359 / -0.00563611 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0196876 / -0.0196926 | 0.0227623 / -0.0227691 | 0.0159674 / -0.0159707 | 0.0171956 / -0.0171995 | 0.0187985 / -0.0188031 | 0.0153833 / -0.0153863 | 0.0191778 / -0.0191826 | 0.138343 / -0.138702 | 0.018854 / -0.0188586 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000589323 / -0.000589325 | 0.000457875 / -0.000457876 | 0.000477012 / -0.000477014 | 0.000498598 / -0.0004986 | 0.00060743 / -0.000607432 | 0.000523545 / -0.000523547 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.00052432 / -0.000524322 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000747867 / -0.000747871 | 0.000543851 / -0.000543853 | 0.000543415 / -0.000543417 | 0.000814401 / -0.000814405 | 0.000727473 / -0.000727477 | 0.000617358 / -0.000617361 | 0.000441593 / -0.000441594 | 0.00037006 / -0.000370061 | 0.000583067 / -0.000583069 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | -0.0229191 / 0.0229037 | -0.0248206 / 0.0248025 | -0.0220302 / 0.0220161 | 0.00220842 / -0.00220855 | -0.0245173 / 0.0244997 | -0.0283297 / 0.0283059 | -0.0271024 / 0.0270807 | -0.17702 / 0.175718 | -0.00143562 / 0.00143556 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_1 | -0.00986238 / 0.00986172 | -0.0102428 / 0.0102421 | -0.00945858 / 0.00945797 | -0.00025202 / 0.00025202 | -0.00628157 / 0.0062813 | -0.0102027 / 0.010202 | -0.0111145 / 0.0111136 | 0.0124808 / -0.0124818 | 0.000346756 / -0.000346757 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_2 | 0.00571801 / -0.00571823 | 0.00627303 / -0.0062733 | 0.00582772 / -0.00582794 | 0.000208151 / -0.000208152 | 0.00382302 / -0.00382312 | 0.00573813 / -0.00573835 | 0.00654277 / -0.00654306 | 0.00795919 / -0.00795961 | -8.68125e-07 / 8.68125e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | -3.55895e-05 / 3.55895e-05 | 6.93801e-05 / -6.93801e-05 | 2.59502e-05 / -2.59502e-05 | -0.000102732 / 0.000102732 | -0.000829755 / 0.00082975 | -0.00029804 / 0.00029804 | -3.69788e-05 / 3.69788e-05 | -0.0270765 / 0.0270716 | -8.59041e-05 / 8.5904e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_4 | -0.00014714 / 0.00014714 | -0.000148764 / 0.000148763 | -0.000156324 / 0.000156324 | 1.48259e-05 / -1.48259e-05 | 2.00293e-05 / -2.00293e-05 | -9.62447e-05 / 9.62447e-05 | -5.9185e-05 / 5.9185e-05 | 0.00736601 / -0.00736638 | 4.85691e-05 / -4.85691e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_5 | -5.61623e-06 / 5.61623e-06 | -4.84191e-05 / 4.84191e-05 | -1.84976e-06 / 1.84976e-06 | -2.09492e-06 / 2.09492e-06 | -2.15194e-05 / 2.15194e-05 | -2.19725e-05 / 2.19725e-05 | 1.60953e-05 / -1.60953e-05 | 0.000344916 / -0.000344917 | -1.81679e-05 / 1.81679e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_6 | -5.26987e-07 / 5.26987e-07 | 3.69106e-06 / -3.69106e-06 | 2.52132e-07 / -2.52132e-07 | -6.05192e-08 / 6.05192e-08 | 8.21366e-07 / -8.21366e-07 | 1.14014e-06 / -1.14014e-06 | -3.32717e-06 / 3.32717e-06 | -0.000429094 / 0.000429094 | -2.83528e-07 / 2.83528e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_7 | -4.32569e-08 / 4.32569e-08 | 6.10618e-07 / -6.10618e-07 | -9.50875e-08 / 9.50875e-08 | 7.49286e-08 / -7.49286e-08 | -1.68705e-07 / 1.68705e-07 | -2.33916e-07 / 2.33916e-07 | 1.9941e-08 / -1.9941e-08 | 1.79413e-05 / -1.79413e-05 | -1.7497e-07 / 1.7497e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_8 | 1.37098e-08 / -1.37098e-08 | 5.96681e-09 / -5.96681e-09 | 7.05893e-09 / -7.05893e-09 | 8.64561e-09 / -8.64561e-09 | 3.0042e-08 / -3.0042e-08 | 2.62225e-08 / -2.62225e-08 | 8.25337e-09 / -8.25337e-09 | -1.72039e-06 / 1.72039e-06 | -1.96962e-08 / 1.96962e-08 | -nan / -nan | -nan / -nan |
