 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0048562 / 0.00485597 | -0.00535586 / 0.00535558 | -0.00519295 / 0.00519269 | 0.0164443 / -0.0164466 | 0.00177941 / -0.00177944 | -0.00382234 / 0.0038222 | 0.0194729 / -0.019476 | 1.83187 / -1 | -0.0035743 / 0.00357418 | -nan / -nan | -nan / -nan |
 | jvt | 0.00362766 / -0.00362774 | 0.00518655 / -0.00518673 | 0.00330032 / -0.00330039 | 0.00550227 / -0.00550246 | 0.00561309 / -0.00561329 | 0.00453472 / -0.00453486 | 0.00365226 / -0.00365234 | -0.00638956 / 0.00638929 | 0.00241899 / -0.00241902 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000122574 / -0.000122575 | 0.000194847 / -0.000194847 | 0.000178015 / -0.000178016 | 0.000118449 / -0.000118449 | 0.000122166 / -0.000122166 | 0.000149357 / -0.000149357 | 0.000252073 / -0.000252073 | -0.0116067 / 0.0116058 | 0.000170699 / -0.000170699 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00242912 / -0.00242916 | 0.00268564 / -0.00268569 | 0.00270653 / -0.00270657 | 0.00213816 / -0.00213819 | 0.00243961 / -0.00243965 | 0.00242551 / -0.00242555 | 0.00402146 / -0.00402157 | -0.0549056 / 0.0548853 | 0.00259444 / -0.00259449 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0139951 / -0.0139951 | 0.0154178 / -0.0154179 | 0.0153079 / -0.015308 | 0.0139632 / -0.0139632 | 0.0139939 / -0.013994 | 0.0137596 / -0.0137596 | 0.0263311 / -0.0263318 | -0.244301 / 0.245196 | 0.0147523 / -0.0147524 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0191084 / -0.0191066 | 0.0178575 / -0.0178559 | 0.0184906 / -0.0184889 | 0.0139132 / -0.0139122 | 0.0171424 / -0.0171409 | 0.017742 / -0.0177404 | 0.0208904 / -0.0208883 | -0.0589262 / 0.0589631 | 0.0178883 / -0.0178867 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000237477 / -0.000237478 | 0.000236675 / -0.000236675 | 0.000275113 / -0.000275113 | 0.000200192 / -0.000200192 | 0.00019891 / -0.000198911 | 0.000239962 / -0.000239962 | 0.000282824 / -0.000282825 | 0.000208952 / -0.000208952 | 0.000292793 / -0.000292794 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.00049429 / 0.000494288 | -0.000561014 / 0.000561012 | -0.000620877 / 0.000620874 | -0.00039668 / 0.000396679 | -0.000447463 / 0.000447462 | -0.00057309 / 0.000573088 | -0.000889805 / 0.0008898 | -0.000201385 / 0.000201385 | -0.000541757 / 0.000541755 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.000905139 / -0.000905144 | 0.000926322 / -0.000926327 | 0.000905746 / -0.000905752 | 0.000765279 / -0.000765283 | 0.000880841 / -0.000880846 | 0.000906345 / -0.00090635 | 0.000561678 / -0.00056168 | 0.00602141 / -0.00602166 | 0.000925293 / -0.000925299 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00377356 / -0.00377365 | 0.00319459 / -0.00319466 | 0.0028278 / -0.00282785 | 0.0033309 / -0.00333097 | 0.00417454 / -0.00417466 | 0.00357358 / -0.00357367 | 0.00201108 / -0.0020111 | 0.0159331 / -0.0159348 | 0.00339776 / -0.00339784 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00895771 / -0.00895823 | 0.00897257 / -0.0089731 | 0.00293625 / -0.0029363 | 0.00774761 / -0.007748 | 0.0078454 / -0.00784581 | 0.00353058 / -0.00353066 | 0.0062886 / -0.00628886 | 0.0630535 / -0.0630789 | 0.00563591 / -0.00563612 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0196828 / -0.0196863 | 0.0227564 / -0.0227611 | 0.0159638 / -0.0159661 | 0.0171917 / -0.0171943 | 0.018794 / -0.0187972 | 0.0153799 / -0.015382 | 0.0191732 / -0.0191765 | 0.138216 / -0.138514 | 0.0188495 / -0.0188527 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000589323 / -0.000589325 | 0.000457874 / -0.000457876 | 0.000477012 / -0.000477014 | 0.000498598 / -0.0004986 | 0.00060743 / -0.000607432 | 0.000523545 / -0.000523547 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.00052432 / -0.000524322 | -nan / -nan | -nan / -nan |
