NUISANCE_PARAMETERS
#mu  0.121077 +0.19909 -0.19909
EG_RESOLUTION_ALL  0.104393 +0.990602 -0.990602
EG_SCALE_ALL  -0.0714194 +0.993693 -0.993693
EL_SF_ID  0.0775969 +0.984015 -0.984015
EL_SF_Isol  0.0950093 +0.980233 -0.980233
EL_SF_Reco  -0.000709107 +0.993352 -0.993352
EL_SF_Trigger  -8.47269e-07 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.0469374 +0.9913 -0.9913
GlobalReduction_JET_EffectiveNP_1  -0.175818 +0.993089 -0.993089
GlobalReduction_JET_EffectiveNP_2  -0.0661819 +0.983506 -0.983506
GlobalReduction_JET_EffectiveNP_3  -0.157635 +0.978864 -0.978864
GlobalReduction_JET_EffectiveNP_4  -0.0784621 +0.990844 -0.990844
GlobalReduction_JET_EffectiveNP_5  0.000710152 +0.991577 -0.991577
GlobalReduction_JET_EffectiveNP_6  -0.103878 +0.987158 -0.987158
GlobalReduction_JET_EffectiveNP_7  0.0243674 +0.992424 -0.992424
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0851271 +0.989681 -0.989681
GlobalReduction_JET_EtaIntercalibration_Modelling  -0.141646 +0.985647 -0.985647
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0829114 +0.98692 -0.98692
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  -0.0031177 +0.993256 -0.993256
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0167228 +0.993127 -0.993127
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00799002 +0.991636 -0.991636
GlobalReduction_JET_Flavor_Composition  -0.865287 +0.940461 -0.940461
GlobalReduction_JET_Flavor_Response  0.312124 +0.974402 -0.974402
GlobalReduction_JET_JER_DataVsMC_AFII  -0.00797546 +0.992916 -0.992916
GlobalReduction_JET_JER_DataVsMC_MC16  0.153363 +0.976114 -0.976114
