 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0130964 / 0.0130922 | -0.0021049 / 0.00210479 | -0.00659703 / 0.00659598 | -0.0119639 / 0.0119604 | -0.0137768 / 0.0137722 | -0.00512885 / 0.00512821 | -0.0171967 / 0.0171895 | -0.00226717 / 0.00226705 | 0.0102475 / -0.01025 | 0.0100222 / -0.0100246 | -0.000178467 / 0.000178467 |
 | jvt | -0.00716577 / 0.00716543 | -0.00372434 / 0.00372425 | -0.00873864 / 0.00873813 | -0.00120212 / 0.00120211 | -0.00231666 / 0.00231663 | -0.00208381 / 0.00208379 | -0.00184561 / 0.00184559 | 0.00107077 / -0.00107077 | -0.00343118 / 0.0034311 | -0.00161164 / 0.00161162 | -0.00394376 / 0.00394366 |
 | EL_SF_Trigger | 0.000126372 / -0.000126373 | 0.000176221 / -0.000176221 | 0.000170808 / -0.000170808 | 0.000179664 / -0.000179664 | 0.000133534 / -0.000133535 | 0.000148242 / -0.000148242 | 0.000268049 / -0.000268049 | 0.000213211 / -0.000213212 | 0.000167702 / -0.000167702 | 0.000125307 / -0.000125307 | 0.00014716 / -0.00014716 |
 | EL_SF_Reco | 0.00241093 / -0.00241097 | 0.00274934 / -0.00274939 | 0.00248808 / -0.00248812 | 0.00232018 / -0.00232022 | 0.00234441 / -0.00234445 | 0.0022897 / -0.00228974 | 0.00357675 / -0.00357684 | 0.00497956 / -0.00497973 | 0.00670336 / -0.00670366 | 0.00256406 / -0.00256411 | 0.00256804 / -0.00256809 |
 | EL_SF_ID | 0.0130462 / -0.0130475 | 0.0161428 / -0.0161448 | 0.0146045 / -0.0146062 | 0.0133161 / -0.0133175 | 0.0131442 / -0.0131455 | 0.0124467 / -0.0124478 | 0.0203853 / -0.0203886 | 0.0275208 / -0.0275271 | 0.0725177 / -0.0725715 | 0.0138257 / -0.0138272 | 0.0117895 / -0.0117906 |
 | EL_SF_Isol | 0.0189193 / -0.0189213 | 0.0207146 / -0.020717 | 0.0180471 / -0.0180489 | 0.016967 / -0.0169685 | 0.0162277 / -0.0162291 | 0.017676 / -0.0176777 | 0.0202741 / -0.0202764 | 0.0141858 / -0.0141868 | 0.0161511 / -0.0161524 | 0.0176206 / -0.0176222 | 0.018821 / -0.0188229 |
 | MU_SF_Trigger_STAT | 0.000225536 / -0.000225536 | 0.000186884 / -0.000186884 | 0.00023797 / -0.00023797 | 0.000228459 / -0.00022846 | 0.000231358 / -0.000231359 | 0.000259308 / -0.000259309 | 0.000356501 / -0.000356502 | 0.000627885 / -0.000627888 | 0.000100063 / -0.000100063 | 0.000280107 / -0.000280108 | 0.000241966 / -0.000241967 |
 | MU_SF_Trigger_SYST | -0.0005001 / 0.000500099 | -0.000537138 / 0.000537136 | -0.000526517 / 0.000526515 | -0.000506454 / 0.000506452 | -0.000506462 / 0.00050646 | -0.000567903 / 0.000567901 | -0.000920476 / 0.00092047 | -0.00191622 / 0.0019162 | -0.000260637 / 0.000260636 | -0.000597354 / 0.000597351 | -0.000446996 / 0.000446995 |
 | MU_SF_ID_STAT | 0.000912076 / -0.000912081 | 0.000893002 / -0.000893008 | 0.000833861 / -0.000833865 | 0.000900967 / -0.000900972 | 0.000914311 / -0.000914317 | 0.000894472 / -0.000894477 | 0.0007418 / -0.000741804 | 0.000898333 / -0.000898339 | 0.000646384 / -0.000646387 | 0.00089792 / -0.000897925 | 0.000951821 / -0.000951827 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
