 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00319168 / 0.00319144 | -0.00118852 / 0.00118848 | -0.00415252 / 0.00415211 | 0.00433592 / -0.00433637 | -0.000881815 / 0.000881796 | -0.00144898 / 0.00144893 | -0.00303674 / 0.00303651 | -0.00137233 / 0.00137228 | 0.0257347 / -0.0257501 | 0.000923767 / -0.000923787 | -0.000844851 / 0.000844834 |
 | jvt | 0.00215781 / -0.00215784 | 0.00253731 / -0.00253735 | 0.000685268 / -0.000685271 | 0.00322623 / -0.00322629 | 0.00346421 / -0.00346428 | 0.00248931 / -0.00248935 | 0.0031078 / -0.00310787 | 0.00554408 / -0.00554428 | 0.0039291 / -0.0039292 | 0.00361724 / -0.00361733 | 0.00318201 / -0.00318207 |
 | EL_SF_Trigger | 0.000134862 / -0.000134862 | 0.000186267 / -0.000186268 | 0.000189106 / -0.000189106 | 0.000164855 / -0.000164855 | 0.00015994 / -0.00015994 | 0.000167411 / -0.000167412 | 0.000310239 / -0.000310239 | 0.000263519 / -0.000263519 | 9.5627e-05 / -9.5627e-05 | 9.27883e-05 / -9.27883e-05 | 0.000151731 / -0.000151732 |
 | EL_SF_Reco | 0.00240695 / -0.00240698 | 0.00238782 / -0.00238786 | 0.0026685 / -0.00266855 | 0.00250508 / -0.00250512 | 0.00238726 / -0.0023873 | 0.00243167 / -0.00243171 | 0.00437082 / -0.00437094 | 0.00438984 / -0.00438997 | 0.00276186 / -0.00276191 | 0.00313532 / -0.00313539 | 0.00257717 / -0.00257721 |
 | EL_SF_ID | 0.0132461 / -0.0132474 | 0.0145779 / -0.0145796 | 0.0149875 / -0.0149893 | 0.013437 / -0.0134384 | 0.0132979 / -0.0132992 | 0.0138949 / -0.0138964 | 0.025629 / -0.0256344 | 0.035116 / -0.0351267 | 0.0118592 / -0.0118603 | 0.0129854 / -0.0129867 | 0.014339 / -0.0143406 |
 | EL_SF_Isol | 0.0190616 / -0.0190636 | 0.0177868 / -0.0177886 | 0.0182361 / -0.018238 | 0.016871 / -0.0168725 | 0.0165172 / -0.0165186 | 0.017601 / -0.0176027 | 0.0182946 / -0.0182964 | 0.0187586 / -0.0187606 | 0.0132082 / -0.0132091 | 0.0328956 / -0.0329024 | 0.0230912 / -0.0230943 |
 | MU_SF_Trigger_STAT | 0.000236211 / -0.000236212 | 0.000242694 / -0.000242694 | 0.000276863 / -0.000276863 | 0.000229571 / -0.000229571 | 0.000244388 / -0.000244389 | 0.000256177 / -0.000256178 | 0.000363174 / -0.000363175 | 0.000518203 / -0.000518205 | 0.000132682 / -0.000132682 | 8.03036e-05 / -8.03036e-05 | 0.000235208 / -0.000235208 |
 | MU_SF_Trigger_SYST | -0.000526392 / 0.00052639 | -0.000632492 / 0.000632489 | -0.000655313 / 0.00065531 | -0.000521138 / 0.000521136 | -0.000540748 / 0.000540746 | -0.000630459 / 0.000630456 | -0.000900632 / 0.000900627 | -0.00186152 / 0.0018615 | -0.000421855 / 0.000421853 | -0.000603005 / 0.000603003 | -0.000626389 / 0.000626387 |
 | MU_SF_ID_STAT | 0.000903424 / -0.00090343 | 0.000933847 / -0.000933853 | 0.000897772 / -0.000897778 | 0.000866193 / -0.000866198 | 0.000898124 / -0.000898129 | 0.000892876 / -0.000892882 | 0.00077338 / -0.000773384 | 0.000901935 / -0.00090194 | 0.000631073 / -0.000631076 | 0.00069389 / -0.000693893 | 0.000888024 / -0.000888029 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00330836 / -0.00330844 | 0.00296346 / -0.00296352 | 0.00272819 / -0.00272824 | 0.00325136 / -0.00325143 | 0.00330089 / -0.00330096 | 0.00286261 / -0.00286266 | 0.00249085 / -0.00249089 | 0.00261016 / -0.0026102 | 0.00289127 / -0.00289133 | 0.00328983 / -0.0032899 | 0.00296169 / -0.00296175 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00851042 / -0.0085109 | 0.00771638 / -0.00771677 | 0.00276394 / -0.00276399 | 0.00694938 / -0.00694969 | 0.00694922 / -0.00694953 | 0.00296823 / -0.00296829 | 0.00656202 / -0.0065623 | 0.0027676 / -0.00276765 | 0.00964779 / -0.00964841 | 0.00363759 / -0.00363768 | 0.00416527 / -0.00416538 |
 | MU_SF_Isol_SYST | 0.0204302 / -0.0204371 | 0.0227723 / -0.0227809 | 0.0166627 / -0.0166672 | 0.0206753 / -0.0206823 | 0.0202896 / -0.0202964 | 0.0164202 / -0.0164246 | 0.0229263 / -0.0229351 | 0.0194594 / -0.0194657 | 0.0191067 / -0.0191127 | 0.0161767 / -0.016181 | 0.0164701 / -0.0164745 |
