 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00452065 / -0.00452113 | -0.0076892 / 0.00768777 | -0.00730974 / 0.00730845 | -0.0267329 / 0.0267152 | -0.0238945 / 0.0238804 | -0.0177035 / 0.0176958 | -0.0111546 / 0.0111515 | 0.0745963 / -0.0747176 | -0.00416809 / 0.00416767 | 0.0159189 / -0.0159249 | -0.0128365 / 0.0128325 |
 | jvt | -0.0014151 / 0.00141508 | 0.000204862 / -0.000204862 | 0.000453373 / -0.000453374 | 0.00515487 / -0.00515505 | 0.000531176 / -0.000531177 | -0.00161466 / 0.00161465 | 0.0012087 / -0.00120871 | -0.0180764 / 0.0180742 | -8.373e-05 / 8.373e-05 | -0.00559593 / 0.00559572 | -0.00480298 / 0.00480283 |
 | EL_SF_Trigger | 0.000238209 / -0.000238209 | 0.000234844 / -0.000234844 | 0.000311273 / -0.000311274 | 0.000364788 / -0.000364789 | 0.000466947 / -0.000466948 | 0.000523979 / -0.000523981 | 0.000509228 / -0.00050923 | 0.000344542 / -0.000344543 | 0.000206855 / -0.000206856 | 0.000263225 / -0.000263226 | 0.000449426 / -0.000449428 |
 | EL_SF_Reco | 0.00310182 / -0.00310188 | 0.00283257 / -0.00283263 | 0.0031934 / -0.00319346 | 0.00360889 / -0.00360898 | 0.0039286 / -0.0039287 | 0.00469729 / -0.00469744 | 0.00425583 / -0.00425595 | 0.00616008 / -0.00616033 | 0.0029645 / -0.00296456 | 0.00360185 / -0.00360193 | 0.00343501 / -0.00343509 |
 | EL_SF_ID | 0.0178741 / -0.0178766 | 0.016126 / -0.0161281 | 0.0184612 / -0.0184639 | 0.0208422 / -0.0208457 | 0.0257842 / -0.0257896 | 0.0272236 / -0.0272298 | 0.0258014 / -0.0258068 | 0.0526487 / -0.0526747 | 0.0169722 / -0.0169745 | 0.0208626 / -0.0208661 | 0.0178272 / -0.0178297 |
 | EL_SF_Isol | 0.0212106 / -0.0212131 | 0.0215 / -0.0215026 | 0.0201366 / -0.0201388 | 0.0253989 / -0.0254027 | 0.0222431 / -0.022246 | 0.0236894 / -0.0236926 | 0.0203329 / -0.0203352 | 0.0148082 / -0.0148093 | 0.0214308 / -0.0214333 | 0.0260739 / -0.0260779 | 0.023502 / -0.0235052 |
 | MU_SF_Trigger_STAT | 0.000128827 / -0.000128827 | 0.000126209 / -0.00012621 | 0.000171311 / -0.000171311 | 4.81109e-05 / -4.8111e-05 | 0.000216142 / -0.000216142 | 0.000142024 / -0.000142025 | 0.00022311 / -0.00022311 | 9.96082e-05 / -9.96082e-05 | 9.96105e-05 / -9.96106e-05 | 8.41603e-05 / -8.41604e-05 | 0.000108163 / -0.000108163 |
 | MU_SF_Trigger_SYST | -0.000362807 / 0.000362807 | -0.000333828 / 0.000333828 | -0.000459456 / 0.000459454 | -0.000292417 / 0.000292417 | -0.000450442 / 0.000450441 | -0.000799354 / 0.000799349 | -0.000690996 / 0.000690993 | -0.00138637 / 0.00138636 | -0.000319244 / 0.000319244 | -0.000208172 / 0.000208171 | -0.000207047 / 0.000207046 |
 | MU_SF_ID_STAT | 0.000787618 / -0.000787623 | 0.000822924 / -0.000822928 | 0.000800242 / -0.000800246 | 0.000627153 / -0.000627156 | 0.00073937 / -0.000739373 | 0.000631895 / -0.000631897 | 0.000771305 / -0.000771309 | 0.000685455 / -0.000685459 | 0.000803723 / -0.000803727 | 0.000576317 / -0.000576319 | 0.000601977 / -0.000601979 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
