 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00485745 / 0.00485688 | -0.00535732 / 0.00535663 | -0.00519433 / 0.00519368 | 0.0164367 / -0.0164431 | 0.00177945 / -0.00177952 | -0.00382318 / 0.00382283 | 0.0194617 / -0.0194706 | 1.72863 / -1 | -0.00357506 / 0.00357475 | 0.0105915 / -0.0105942 | 0.00121877 / -0.0012188 |
 | jvt | 0.00362764 / -0.00362773 | 0.00518652 / -0.0051867 | 0.00330031 / -0.00330038 | 0.00550223 / -0.00550243 | 0.00561306 / -0.00561327 | 0.0045347 / -0.00453483 | 0.00365223 / -0.00365232 | -0.00638959 / 0.00638932 | 0.00241898 / -0.00241902 | 0.00731204 / -0.00731239 | 0.00583433 / -0.00583456 |
 | EL_SF_Trigger | 0.000122574 / -0.000122575 | 0.000194847 / -0.000194847 | 0.000178015 / -0.000178016 | 0.000118449 / -0.000118449 | 0.000122166 / -0.000122166 | 0.000149357 / -0.000149357 | 0.000252073 / -0.000252073 | -0.0116067 / 0.0116058 | 0.000170699 / -0.000170699 | 0.000108703 / -0.000108704 | 0.000117249 / -0.00011725 |
 | EL_SF_Reco | 0.0024291 / -0.00242914 | 0.00268562 / -0.00268567 | 0.00270651 / -0.00270656 | 0.00213815 / -0.00213818 | 0.0024396 / -0.00243964 | 0.0024255 / -0.00242554 | 0.00402144 / -0.00402155 | -0.0549059 / 0.0548857 | 0.00259443 / -0.00259447 | 0.00266435 / -0.00266439 | 0.00228806 / -0.0022881 |
 | EL_SF_ID | 0.0140064 / -0.014008 | 0.0154305 / -0.0154324 | 0.0153206 / -0.0153224 | 0.0139745 / -0.0139761 | 0.0140053 / -0.0140068 | 0.0137708 / -0.0137722 | 0.0263557 / -0.0263614 | -0.243966 / 0.244164 | 0.0147644 / -0.0147661 | 0.014491 / -0.0144926 | 0.0119563 / -0.0119574 |
 | EL_SF_Isol | 0.0191325 / -0.0191345 | 0.0178798 / -0.0178815 | 0.0185138 / -0.0185156 | 0.0139301 / -0.0139311 | 0.0171636 / -0.0171652 | 0.0177641 / -0.0177658 | 0.020917 / -0.0209195 | -0.0589569 / 0.0589529 | 0.0179106 / -0.0179124 | 0.0186035 / -0.0186054 | 0.0184885 / -0.0184904 |
 | MU_SF_Trigger_STAT | 0.000237478 / -0.000237478 | 0.000236675 / -0.000236675 | 0.000275113 / -0.000275113 | 0.000200192 / -0.000200192 | 0.000198911 / -0.000198911 | 0.000239962 / -0.000239963 | 0.000282825 / -0.000282826 | 0.000208952 / -0.000208953 | 0.000292793 / -0.000292794 | 0.000215538 / -0.000215539 | 0.000233776 / -0.000233776 |
 | MU_SF_Trigger_SYST | -0.00049429 / 0.000494288 | -0.000561013 / 0.000561011 | -0.000620877 / 0.000620874 | -0.000396679 / 0.000396678 | -0.000447463 / 0.000447462 | -0.00057309 / 0.000573087 | -0.000889806 / 0.000889801 | -0.000201385 / 0.000201385 | -0.000541757 / 0.000541755 | -0.000528135 / 0.000528133 | -0.000483774 / 0.000483772 |
 | MU_SF_ID_STAT | 0.000905139 / -0.000905144 | 0.000926321 / -0.000926327 | 0.000905746 / -0.000905751 | 0.000765279 / -0.000765283 | 0.000880841 / -0.000880846 | 0.000906345 / -0.00090635 | 0.000561678 / -0.00056168 | 0.00602141 / -0.00602166 | 0.000925293 / -0.000925299 | 0.000933649 / -0.000933655 | 0.000903281 / -0.000903286 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
