 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00540891 / 0.00540842 | -0.00185335 / 0.0018533 | -0.00722646 / 0.00722559 | -0.00538263 / 0.00538215 | -0.00145231 / 0.00145228 | 0.000314118 / -0.000314119 | -0.0105061 / 0.0105042 | 0.0337211 / -0.0321352 | -0.0470557 / 0.0470147 | 0.00639083 / -0.00639149 | 0.00299877 / -0.00299892 |
 | jvt | -0.00144035 / 0.00144033 | 0.000422298 / -0.000422299 | -0.00289624 / 0.00289619 | 0.000726006 / -0.000726009 | 0.000809206 / -0.00080921 | 0.000447172 / -0.000447173 | 0.00245909 / -0.00245913 | 0.00469166 / -0.0046918 | 0.00277391 / -0.00277396 | 0.00131872 / -0.00131873 | 0.00117261 / -0.00117261 |
 | EL_SF_Trigger | 0.0001102 / -0.0001102 | 0.000175193 / -0.000175193 | 0.000164056 / -0.000164056 | 0.00012446 / -0.00012446 | 0.000131007 / -0.000131007 | 0.000131134 / -0.000131134 | 0.000333693 / -0.000333694 | 0.000279555 / -0.000279556 | 0.000122524 / -0.000122524 | 0.0001046 / -0.0001046 | 0.000116131 / -0.000116131 |
 | EL_SF_Reco | 0.00240382 / -0.00240386 | 0.00227602 / -0.00227605 | 0.00252104 / -0.00252108 | 0.00232994 / -0.00232997 | 0.0023348 / -0.00233484 | 0.00231245 / -0.00231248 | 0.0036446 / -0.00364469 | 0.0066406 / -0.00664089 | 0.00272098 / -0.00272103 | 0.00278142 / -0.00278147 | 0.00225305 / -0.00225308 |
 | EL_SF_ID | 0.0139335 / -0.0139344 | 0.013407 / -0.0134078 | 0.0142533 / -0.0142542 | 0.0134513 / -0.0134521 | 0.0135838 / -0.0135846 | 0.0127356 / -0.0127363 | 0.0213018 / -0.021304 | 0.032969 / -0.0321102 | 0.0142882 / -0.0142891 | 0.0160952 / -0.0160964 | 0.0116518 / -0.0116524 |
 | EL_SF_Isol | 0.0198448 / -0.0198457 | 0.0174433 / -0.017444 | 0.0184349 / -0.0184356 | 0.0168949 / -0.0168955 | 0.0171044 / -0.017105 | 0.0182126 / -0.0182134 | 0.0163559 / -0.0163565 | 0.0226834 / -0.0226233 | 0.0283037 / -0.0283059 | 0.0196402 / -0.0196411 | 0.0157402 / -0.0157407 |
 | MU_SF_Trigger_STAT | 0.000187444 / -0.000187444 | 0.000212631 / -0.000212632 | 0.000234683 / -0.000234684 | 0.000215246 / -0.000215247 | 0.0001954 / -0.0001954 | 0.000224823 / -0.000224824 | 0.000264681 / -0.000264682 | 0.000343355 / -0.000343356 | 0.000120984 / -0.000120985 | 0.000204399 / -0.0002044 | 0.000214325 / -0.000214326 |
 | MU_SF_Trigger_SYST | -0.000387538 / 0.000387537 | -0.000430404 / 0.000430403 | -0.000521997 / 0.000521995 | -0.000488823 / 0.000488821 | -0.000433691 / 0.00043369 | -0.000519339 / 0.000519337 | -0.0010926 / 0.0010926 | -0.000785727 / 0.000785723 | -0.000350349 / 0.000350348 | -0.000484477 / 0.000484475 | -0.000534432 / 0.00053443 |
 | MU_SF_ID_STAT | 0.000865471 / -0.000865476 | 0.000879696 / -0.000879701 | 0.000902112 / -0.000902117 | 0.000876598 / -0.000876603 | 0.00088576 / -0.000885765 | 0.000879626 / -0.000879631 | 0.000867977 / -0.000867982 | 0.000490863 / -0.000490865 | 0.000782235 / -0.000782239 | 0.000862656 / -0.000862661 | 0.00101632 / -0.00101632 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.0043456 / -0.00434572 | 0.00339857 / -0.00339865 | 0.00311455 / -0.00311462 | 0.00454122 / -0.00454136 | 0.00427308 / -0.0042732 | 0.00354599 / -0.00354607 | 0.00275482 / -0.00275487 | 0.00174992 / -0.00174994 | 0.00380816 / -0.00380826 | 0.00484033 / -0.00484049 | 0.00361696 / -0.00361705 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00858857 / -0.00858905 | 0.00761706 / -0.00761744 | 0.00327687 / -0.00327694 | 0.0075134 / -0.00751377 | 0.00739475 / -0.00739511 | 0.00370504 / -0.00370513 | 0.00816318 / -0.00816362 | 0.00183318 / -0.0018332 | 0.0156178 / -0.0156194 | 0.0042101 / -0.00421022 | 0.00387322 / -0.00387332 |
 | MU_SF_Isol_SYST | 0.0164864 / -0.0164901 | 0.0210285 / -0.0210346 | 0.0150734 / -0.0150766 | 0.0176963 / -0.0177006 | 0.0173589 / -0.0173631 | 0.0145441 / -0.014547 | 0.0244034 / -0.0244118 | 0.012123 / -0.0120745 | 0.0168171 / -0.0168209 | 0.0122117 / -0.0122137 | 0.0147872 / -0.0147901 |
 | MU_SF_TTVA_STAT | 0.000627504 / -0.000627507 | 0.000494732 / -0.000494734 | 0.000506199 / -0.000506201 | 0.000601928 / -0.00060193 | 0.000600733 / -0.000600735 | 0.000528478 / -0.00052848 | 0.00051797 / -0.000517972 | 0.000242299 / -0.0002423 | 0.000552853 / -0.000552855 | 0.000660179 / -0.000660182 | 0.000567348 / -0.00056735 |
 | MU_SF_TTVA_SYST | 0.000810865 / -0.000810869 | 0.000587694 / -0.000587696 | 0.000597038 / -0.000597041 | 0.000732563 / -0.000732566 | 0.00074419 / -0.000744194 | 0.000650624 / -0.000650626 | 0.000521173 / -0.000521175 | 0.000349427 / -0.000349428 | 0.000788934 / -0.000788938 | 0.000822043 / -0.000822048 | 0.00068842 / -0.000688423 |
 | bTagSF_eigenvars_B_0 | 0.00738366 / -0.00738582 | 0.0128552 / -0.0128617 | 0.00829399 / -0.00829672 | 0.000322928 / -0.000322932 | -0.00361782 / 0.0036173 | 0.00303036 / -0.00303073 | -0.00529509 / 0.00529398 | -0.0183701 / 0.0183567 | 0.000769654 / -0.000769677 | -0.00490398 / 0.00490302 | 0.00901147 / -0.00901468 |
 | bTagSF_eigenvars_B_1 | 0.000791588 / -0.000791592 | 0.00159477 / -0.00159478 | 0.00223117 / -0.0022312 | -3.83718e-05 / 3.83718e-05 | -0.00211951 / 0.00211948 | -0.000368087 / 0.000368086 | -0.00367669 / 0.0036766 | -0.00243525 / 0.00243521 | 0.000448339 / -0.00044834 | -0.00389759 / 0.00389749 | 6.72649e-05 / -6.7265e-05 |
 | bTagSF_eigenvars_B_2 | -0.00110953 / 0.00110952 | -0.00141206 / 0.00141204 | -0.0014739 / 0.00147388 | 3.391e-05 / -3.391e-05 | 0.000724746 / -0.000724749 | -0.000460416 / 0.000460414 | 0.0016623 / -0.00166232 | 0.00100898 / -0.00100899 | -0.000103443 / 0.000103443 | 0.000874369 / -0.000874374 | -0.000886159 / 0.000886153 |
 | bTagSF_eigenvars_B_3 | 0.000164305 / -0.000164305 | 0.000491417 / -0.000491419 | 0.000457969 / -0.00045797 | -1.87096e-05 / 1.87096e-05 | -3.87593e-05 / 3.87593e-05 | 0.000212188 / -0.000212188 | 0.000273815 / -0.000273815 | 0.00105764 / -0.00105764 | 0.000244854 / -0.000244855 | 0.000319216 / -0.000319217 | 0.000552812 / -0.000552814 |
 | bTagSF_eigenvars_B_4 | -1.11006e-05 / 1.11006e-05 | -0.000107668 / 0.000107668 | -4.83722e-05 / 4.83722e-05 | 3.40988e-06 / -3.40988e-06 | -1.47028e-05 / 1.47028e-05 | 8.7854e-06 / -8.7854e-06 | -0.000109802 / 0.000109802 | -0.000159751 / 0.000159751 | 2.89946e-05 / -2.89947e-05 | 3.48582e-05 / -3.48582e-05 | -5.05754e-05 / 5.05754e-05 |
 | bTagSF_eigenvars_B_5 | -2.68008e-06 / 2.68008e-06 | 1.89811e-05 / -1.89811e-05 | 3.10865e-06 / -3.10865e-06 | -7.72e-07 / 7.72e-07 | -6.47625e-06 / 6.47625e-06 | -3.22436e-06 / 3.22436e-06 | -1.21047e-05 / 1.21047e-05 | -7.21257e-06 / 7.21257e-06 | -1.19927e-06 / 1.19927e-06 | -1.74473e-05 / 1.74473e-05 | 6.47997e-07 / -6.47997e-07 |
 | bTagSF_eigenvars_B_6 | -3.64707e-07 / 3.64707e-07 | -6.01547e-07 / 6.01547e-07 | 2.28256e-06 / -2.28256e-06 | 1.08971e-07 / -1.08971e-07 | -4.7884e-07 / 4.7884e-07 | -1.86293e-07 / 1.86293e-07 | 6.87401e-06 / -6.87401e-06 | -2.27513e-06 / 2.27513e-06 | -9.71867e-07 / 9.71867e-07 | -1.51269e-06 / 1.51269e-06 | 2.37348e-06 / -2.37348e-06 |
 | bTagSF_eigenvars_B_7 | -9.73897e-08 / 9.73897e-08 | -9.57938e-08 / 9.57938e-08 | 1.07976e-07 / -1.07976e-07 | -7.53473e-09 / 7.53473e-09 | -7.75505e-08 / 7.75505e-08 | -1.60553e-07 / 1.60553e-07 | -3.94271e-07 / 3.94271e-07 | 1.19126e-06 / -1.19126e-06 | -2.39355e-07 / 2.39355e-07 | 6.55778e-08 / -6.55778e-08 | 8.47182e-08 / -8.47182e-08 |
 | bTagSF_eigenvars_B_8 | 1.63575e-09 / -1.63575e-09 | 2.51387e-09 / -2.51387e-09 | 3.57822e-09 / -3.57822e-09 | -1.76111e-10 / 1.7611e-10 | 1.0226e-08 / -1.0226e-08 | 1.38355e-08 / -1.38355e-08 | 3.91226e-08 / -3.91226e-08 | 6.3165e-08 / -6.3165e-08 | -2.46763e-08 / 2.46763e-08 | 3.20053e-09 / -3.20053e-09 | 2.45392e-08 / -2.45392e-08 |
 | bTagSF_eigenvars_C_0 | 0.0014715 / -0.00147138 | 0.000819437 / -0.0008194 | 0.0023636 / -0.00236329 | -0.00318674 / 0.00318731 | -0.0215646 / 0.0215916 | 5.34382e-05 / -5.34381e-05 | -0.000203384 / 0.000203387 | -0.0199599 / 0.0202425 | -0.0428924 / 0.0430037 | -0.00292275 / 0.00292323 | -0.0181314 / 0.0181504 |
