 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0126348 / 0.0126321 | -0.0160015 / 0.0159971 | -0.0103342 / 0.0103324 | -0.00173736 / 0.00173731 | -0.0121718 / 0.0121693 | -0.0126086 / 0.0126059 | -0.023657 / 0.0236472 | 0.0162333 / -0.0162374 | -0.0226225 / 0.0226136 | -0.00977074 / 0.00976914 | -0.0126534 / 0.0126507 |
 | jvt | -0.00550399 / 0.00550379 | -0.00208196 / 0.00208193 | -0.00401737 / 0.00401727 | 0.00108608 / -0.00108609 | 0.000652288 / -0.000652291 | -0.000395724 / 0.000395723 | 0.000343229 / -0.00034323 | -0.000171539 / 0.000171538 | 0.00312599 / -0.00312606 | -0.00035606 / 0.000356059 | -0.00207076 / 0.00207073 |
 | EL_SF_Trigger | 0.00014571 / -0.00014571 | 0.000153736 / -0.000153736 | 0.000214844 / -0.000214845 | 0.000194865 / -0.000194865 | 0.000174209 / -0.000174209 | 0.00017319 / -0.00017319 | 0.000318678 / -0.000318679 | 0.000425631 / -0.000425632 | 0.000109254 / -0.000109254 | 9.66909e-05 / -9.66909e-05 | 0.000149673 / -0.000149673 |
 | EL_SF_Reco | 0.002497 / -0.00249704 | 0.00250682 / -0.00250686 | 0.00275174 / -0.00275179 | 0.00265046 / -0.0026505 | 0.00234149 / -0.00234152 | 0.00248974 / -0.00248978 | 0.00406189 / -0.004062 | 0.00495577 / -0.00495594 | 0.00340731 / -0.00340739 | 0.00308926 / -0.00308932 | 0.0026716 / -0.00267164 |
 | EL_SF_ID | 0.0141461 / -0.014147 | 0.014285 / -0.0142859 | 0.0159915 / -0.0159927 | 0.0147074 / -0.0147083 | 0.013083 / -0.0130837 | 0.0144267 / -0.0144276 | 0.0231706 / -0.0231733 | 0.027718 / -0.0277219 | 0.0105331 / -0.0105336 | 0.0132628 / -0.0132636 | 0.0150691 / -0.0150701 |
 | EL_SF_Isol | 0.0189211 / -0.0189219 | 0.0177785 / -0.0177792 | 0.0173058 / -0.0173064 | 0.0182075 / -0.0182083 | 0.0161458 / -0.0161463 | 0.0173941 / -0.0173948 | 0.0177862 / -0.0177869 | 0.0200374 / -0.0200383 | 0.0180408 / -0.0180416 | 0.031735 / -0.031738 | 0.0234195 / -0.0234208 |
 | MU_SF_Trigger_STAT | 0.000252048 / -0.000252048 | 0.000305838 / -0.000305839 | 0.000268554 / -0.000268554 | 0.000194981 / -0.000194981 | 0.000279701 / -0.000279701 | 0.000277807 / -0.000277807 | 0.000371484 / -0.000371485 | 0.000135472 / -0.000135472 | 4.09571e-05 / -4.09571e-05 | 6.29776e-05 / -6.29776e-05 | 0.000230289 / -0.00023029 |
 | MU_SF_Trigger_SYST | -0.000571232 / 0.000571229 | -0.000666604 / 0.000666601 | -0.000658579 / 0.000658577 | -0.000542867 / 0.000542865 | -0.000613725 / 0.000613723 | -0.000663063 / 0.00066306 | -0.00099125 / 0.000991243 | -0.000945036 / 0.00094503 | -0.00126268 / 0.00126267 | -0.000630123 / 0.000630121 | -0.000638178 / 0.000638175 |
 | MU_SF_ID_STAT | 0.000879085 / -0.00087909 | 0.000923628 / -0.000923634 | 0.000863104 / -0.000863109 | 0.000533521 / -0.000533523 | 0.00091084 / -0.000910846 | 0.000917429 / -0.000917435 | 0.000869078 / -0.000869083 | 0.000655504 / -0.000655507 | 0.000608517 / -0.000608519 | 0.000669177 / -0.00066918 | 0.000866363 / -0.000866368 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
