 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0048619 / 0.00486151 | -0.00536219 / 0.00536172 | -0.00519907 / 0.00519862 | 0.0164581 / -0.0164623 | 0.00178131 / -0.00178136 | -0.00382676 / 0.00382652 | 0.0194882 / -0.0194941 | 1.78425 / -1 | -0.00357843 / 0.00357822 | 0.0106042 / -0.010606 | 0.00122004 / -0.00122006 |
 | jvt | 0.00362763 / -0.00362772 | 0.0051865 / -0.00518668 | 0.00330029 / -0.00330036 | 0.00550221 / -0.00550241 | 0.00561304 / -0.00561324 | 0.00453468 / -0.00453482 | 0.00365222 / -0.00365231 | -0.00638957 / 0.0063893 | 0.00241897 / -0.00241901 | 0.007312 / -0.00731235 | 0.0058343 / -0.00583453 |
 | EL_SF_Trigger | 0.000122575 / -0.000122575 | 0.000194847 / -0.000194847 | 0.000178015 / -0.000178016 | 0.000118449 / -0.000118449 | 0.000122166 / -0.000122166 | 0.000149357 / -0.000149357 | 0.000252073 / -0.000252073 | -0.0116067 / 0.0116058 | 0.000170699 / -0.000170699 | 0.000108704 / -0.000108704 | 0.000117249 / -0.00011725 |
 | EL_SF_Reco | 0.0024291 / -0.00242914 | 0.00268562 / -0.00268567 | 0.00270651 / -0.00270656 | 0.00213814 / -0.00213817 | 0.00243959 / -0.00243963 | 0.00242549 / -0.00242553 | 0.00402143 / -0.00402154 | -0.054906 / 0.0548857 | 0.00259442 / -0.00259447 | 0.00266434 / -0.00266439 | 0.00228806 / -0.00228809 |
 | EL_SF_ID | 0.0140029 / -0.0140038 | 0.0154265 / -0.0154276 | 0.0153166 / -0.0153177 | 0.013971 / -0.0139719 | 0.0140017 / -0.0140026 | 0.0137673 / -0.0137681 | 0.0263475 / -0.026351 | -0.244158 / 0.244671 | 0.0147606 / -0.0147616 | 0.0144873 / -0.0144882 | 0.0119534 / -0.011954 |
 | EL_SF_Isol | 0.0191277 / -0.0191285 | 0.0178754 / -0.0178761 | 0.0185091 / -0.0185099 | 0.0139268 / -0.0139271 | 0.0171594 / -0.01716 | 0.0177597 / -0.0177604 | 0.0209116 / -0.0209127 | -0.0589568 / 0.0589658 | 0.0179062 / -0.0179069 | 0.0185989 / -0.0185996 | 0.0184839 / -0.0184847 |
 | MU_SF_Trigger_STAT | 0.000237478 / -0.000237478 | 0.000236675 / -0.000236675 | 0.000275113 / -0.000275113 | 0.000200193 / -0.000200193 | 0.000198911 / -0.000198911 | 0.000239962 / -0.000239963 | 0.000282825 / -0.000282825 | 0.000208952 / -0.000208953 | 0.000292793 / -0.000292794 | 0.000215538 / -0.000215539 | 0.000233776 / -0.000233776 |
 | MU_SF_Trigger_SYST | -0.00049429 / 0.000494289 | -0.000561014 / 0.000561012 | -0.000620877 / 0.000620875 | -0.00039668 / 0.000396679 | -0.000447464 / 0.000447463 | -0.00057309 / 0.000573088 | -0.000889806 / 0.000889801 | -0.000201385 / 0.000201385 | -0.000541758 / 0.000541756 | -0.000528136 / 0.000528134 | -0.000483775 / 0.000483773 |
 | MU_SF_ID_STAT | 0.000905139 / -0.000905144 | 0.000926322 / -0.000926327 | 0.000905746 / -0.000905751 | 0.000765279 / -0.000765283 | 0.000880841 / -0.000880846 | 0.000906345 / -0.00090635 | 0.000561678 / -0.00056168 | 0.00602141 / -0.00602166 | 0.000925293 / -0.000925298 | 0.000933649 / -0.000933655 | 0.000903281 / -0.000903287 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00377356 / -0.00377365 | 0.00319459 / -0.00319466 | 0.0028278 / -0.00282785 | 0.0033309 / -0.00333097 | 0.00417454 / -0.00417466 | 0.00357358 / -0.00357367 | 0.00201108 / -0.0020111 | 0.0159331 / -0.0159348 | 0.00339776 / -0.00339784 | 0.00500767 / -0.00500784 | 0.00325933 / -0.0032594 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00895769 / -0.00895821 | 0.00897255 / -0.00897307 | 0.00293624 / -0.0029363 | 0.00774759 / -0.00774799 | 0.00784538 / -0.00784579 | 0.00353057 / -0.00353065 | 0.00628859 / -0.00628885 | 0.0630532 / -0.0630786 | 0.0056359 / -0.0056361 | 0.00440813 / -0.00440826 | 0.003747 / -0.0037471 |
 | MU_SF_Isol_SYST | 0.0197083 / -0.0197136 | 0.0227864 / -0.0227937 | 0.015984 / -0.0159875 | 0.0172136 / -0.0172177 | 0.0188182 / -0.0188231 | 0.0153992 / -0.0154025 | 0.0191979 / -0.019203 | 0.138541 / -0.138906 | 0.0188738 / -0.0188787 | 0.0132284 / -0.0132308 | 0.0158356 / -0.015839 |
 | MU_SF_TTVA_STAT | 0.000589322 / -0.000589325 | 0.000457875 / -0.000457876 | 0.000477012 / -0.000477014 | 0.000498598 / -0.0004986 | 0.00060743 / -0.000607432 | 0.000523545 / -0.000523547 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.00052432 / -0.000524322 | 0.000680941 / -0.000680944 | 0.000507425 / -0.000507427 |
 | MU_SF_TTVA_SYST | 0.000747867 / -0.00074787 | 0.000543851 / -0.000543853 | 0.000543415 / -0.000543417 | 0.0008144 / -0.000814405 | 0.000727473 / -0.000727477 | 0.000617358 / -0.00061736 | 0.000441593 / -0.000441595 | 0.00037006 / -0.000370061 | 0.000583066 / -0.000583068 | 0.000861935 / -0.00086194 | 0.000607892 / -0.000607895 |
 | bTagSF_eigenvars_B_0 | -0.0233172 / 0.0232955 | -0.0252545 / 0.0252291 | -0.0224118 / 0.0223917 | 0.00224339 / -0.00224359 | -0.0249456 / 0.0249207 | -0.028831 / 0.0287978 | -0.0275799 / 0.0275495 | -0.18155 / 0.180173 | -0.0014587 / 0.00145861 | -0.0161757 / 0.0161653 | -0.0173448 / 0.0173328 |
 | bTagSF_eigenvars_B_1 | -0.00986297 / 0.00986232 | -0.0102434 / 0.0102427 | -0.00945915 / 0.00945855 | -0.000252034 / 0.000252034 | -0.00628195 / 0.00628168 | -0.0102033 / 0.0102026 | -0.0111151 / 0.0111143 | 0.0124815 / -0.0124826 | 0.000346779 / -0.00034678 | -0.00605659 / 0.00605634 | -0.00502586 / 0.00502569 |
 | bTagSF_eigenvars_B_2 | 0.00571803 / -0.00571825 | 0.00627305 / -0.00627331 | 0.00582773 / -0.00582796 | 0.000208151 / -0.000208152 | 0.00382304 / -0.00382314 | 0.00573815 / -0.00573837 | 0.00654279 / -0.00654307 | 0.00795922 / -0.00795964 | -8.66947e-07 / 8.66947e-07 | 0.00282207 / -0.00282213 | 0.00375452 / -0.00375461 |
 | bTagSF_eigenvars_B_3 | -3.55902e-05 / 3.55902e-05 | 6.93798e-05 / -6.93798e-05 | 2.595e-05 / -2.595e-05 | -0.000102732 / 0.000102732 | -0.000829757 / 0.000829752 | -0.000298041 / 0.000298041 | -3.69794e-05 / 3.69794e-05 | -0.0270767 / 0.0270718 | -8.59047e-05 / 8.59047e-05 | -3.07242e-05 / 3.07242e-05 | -0.000181651 / 0.000181651 |
 | bTagSF_eigenvars_B_4 | -0.00014714 / 0.00014714 | -0.000148764 / 0.000148764 | -0.000156324 / 0.000156324 | 1.48258e-05 / -1.48258e-05 | 2.00293e-05 / -2.00293e-05 | -9.62447e-05 / 9.62446e-05 | -5.91849e-05 / 5.91849e-05 | 0.00736601 / -0.00736638 | 4.85689e-05 / -4.85689e-05 | -5.96496e-05 / 5.96496e-05 | -6.79822e-05 / 6.79821e-05 |
 | bTagSF_eigenvars_B_5 | -5.61621e-06 / 5.61621e-06 | -4.84191e-05 / 4.84191e-05 | -1.84974e-06 / 1.84974e-06 | -2.09491e-06 / 2.09491e-06 | -2.15194e-05 / 2.15194e-05 | -2.19725e-05 / 2.19725e-05 | 1.60954e-05 / -1.60954e-05 | 0.000344916 / -0.000344917 | -1.81679e-05 / 1.81679e-05 | -1.20799e-05 / 1.20799e-05 | -1.13481e-05 / 1.13481e-05 |
 | bTagSF_eigenvars_B_6 | -5.26983e-07 / 5.26983e-07 | 3.69106e-06 / -3.69106e-06 | 2.52132e-07 / -2.52132e-07 | -6.05188e-08 / 6.05188e-08 | 8.21369e-07 / -8.21369e-07 | 1.14014e-06 / -1.14014e-06 | -3.32718e-06 / 3.32718e-06 | -0.000429094 / 0.000429094 | -2.83516e-07 / 2.83516e-07 | -2.13399e-06 / 2.13399e-06 | 5.65051e-07 / -5.65051e-07 |
 | bTagSF_eigenvars_B_7 | -4.32565e-08 / 4.32565e-08 | 6.10619e-07 / -6.10619e-07 | -9.50879e-08 / 9.50879e-08 | 7.4928e-08 / -7.4928e-08 | -1.68705e-07 / 1.68705e-07 | -2.33915e-07 / 2.33915e-07 | 1.99404e-08 / -1.99404e-08 | 1.79413e-05 / -1.79413e-05 | -1.74969e-07 / 1.74969e-07 | -3.13248e-07 / 3.13248e-07 | 1.76576e-07 / -1.76576e-07 |
 | bTagSF_eigenvars_B_8 | 1.37098e-08 / -1.37098e-08 | 5.96683e-09 / -5.96683e-09 | 7.05892e-09 / -7.05892e-09 | 8.64554e-09 / -8.64554e-09 | 3.00419e-08 / -3.00419e-08 | 2.62225e-08 / -2.62225e-08 | 8.2533e-09 / -8.2533e-09 | -1.72039e-06 / 1.72039e-06 | -1.96961e-08 / 1.96961e-08 | 4.71008e-09 / -4.71008e-09 | 1.7731e-08 / -1.7731e-08 |
 | bTagSF_eigenvars_C_0 | -0.00120457 / 0.00120465 | 0.00163492 / -0.00163477 | -0.000771002 / 0.000771035 | -0.00262776 / 0.00262815 | -0.0192848 / 0.0193063 | -0.00036124 / 0.000361248 | -0.00227049 / 0.00227078 | -0.361769 / 0.374824 | -0.000103244 / 0.000103245 | -0.0334374 / 0.0335038 | -0.0414075 / 0.0415109 |
 | bTagSF_eigenvars_C_1 | -0.000134807 / 0.000134807 | -2.24023e-05 / 2.24023e-05 | 3.00875e-05 / -3.00875e-05 | 7.79203e-05 / -7.79203e-05 | -0.00207515 / 0.00207513 | -4.17489e-05 / 4.17489e-05 | -0.000323691 / 0.00032369 | -0.112977 / 0.112875 | -0.000255624 / 0.000255623 | -0.00533858 / 0.00533841 | -0.0034574 / 0.00345733 |
 | bTagSF_eigenvars_C_2 | 3.3668e-05 / -3.3668e-05 | 1.60296e-05 / -1.60296e-05 | -3.6481e-05 / 3.6481e-05 | 6.40941e-05 / -6.40941e-05 | 0.000673777 / -0.00067378 | 3.17662e-06 / -3.17662e-06 | 6.58736e-05 / -6.58736e-05 | 0.0928038 / -0.0928621 | -3.70047e-05 / 3.70047e-05 | 0.00119049 / -0.0011905 | 0.00302204 / -0.0030221 |
 | bTagSF_eigenvars_C_3 | -4.4524e-06 / 4.4524e-06 | -1.2951e-05 / 1.2951e-05 | 6.05182e-06 / -6.05182e-06 | -4.52879e-05 / 4.52879e-05 | -0.00027307 / 0.00027307 | -1.43568e-05 / 1.43568e-05 | -0.000130617 / 0.000130616 | 0.000916516 / -0.000916521 | -5.43932e-05 / 5.43932e-05 | -0.000328492 / 0.000328491 | -0.000460724 / 0.000460723 |
 | bTagSF_eigenvars_Light_0 | -0.000583477 / 0.00058348 | 0.000658239 / -0.000658235 | 0.00061692 / -0.000616917 | -0.264019 / 0.26329 | -0.0145281 / 0.01453 | -0.000121908 / 0.000121908 | -0.00111813 / 0.00111815 | -0.00627867 / 0.00627903 | -0.00171526 / 0.00171529 | -0.0104235 / 0.0104245 | -0.00658492 / 0.00658533 |
 | bTagSF_eigenvars_Light_1 | 3.7684e-05 / -3.7684e-05 | 3.15564e-05 / -3.15564e-05 | -8.8394e-05 / 8.8394e-05 | 0.00437398 / -0.00437403 | 0.000237469 / -0.000237469 | 6.346e-07 / -6.346e-07 | -0.000183668 / 0.000183667 | 0.0017012 / -0.00170121 | 0.000116928 / -0.000116928 | 0.000422026 / -0.000422026 | 0.000297196 / -0.000297196 |
 | bTagSF_eigenvars_Light_2 | -5.77366e-05 / 5.77366e-05 | -0.000307556 / 0.000307555 | -4.38579e-05 / 4.38579e-05 | -0.0148549 / 0.0148533 | -0.000433333 / 0.000433332 | 1.49884e-05 / -1.49884e-05 | 0.000661522 / -0.000661525 | -0.00205622 / 0.00205619 | 0.000346578 / -0.000346578 | -0.000187121 / 0.000187121 | -5.67134e-05 / 5.67134e-05 |
 | bTagSF_eigenvars_Light_3 | -1.74939e-06 / 1.74939e-06 | 9.86598e-05 / -9.86599e-05 | 2.76894e-05 / -2.76894e-05 | -0.00740744 / 0.00740707 | -0.00029346 / 0.00029346 | -4.31411e-05 / 4.31411e-05 | -0.000145685 / 0.000145685 | -0.000372249 / 0.000372248 | -6.40996e-05 / 6.40996e-05 | -0.000276362 / 0.000276362 | -4.84361e-05 / 4.84361e-05 |
 | EG_RESOLUTION_ALL | 0.000445267 / -0.000445197 | 0.00111192 / -0.00111192 | 4.28708e-05 / -4.28548e-05 | 1.15417e-05 / -1.14957e-05 | 0.000774978 / -0.000775002 | -9.36311e-06 / 9.36769e-06 | -0.00818042 / 0.00818127 | -0.0329523 / 0.0329685 | 1.29513e-05 / -1.29515e-05 | 0.00124466 / -0.00124459 | -0.00169843 / 0.00169846 |
 | EG_SCALE_ALL | 0.000300923 / -0.000300945 | 0.00225199 / -0.0022519 | 0.00137888 / -0.00137886 | 9.22671e-06 / -9.18e-06 | 0.00167432 / -0.00167434 | -5.08667e-05 / 5.08732e-05 | -0.0203047 / 0.0203059 | 0 / 0 | 0.00449455 / -0.00449447 | 0.000677524 / -0.000677474 | -0.00188125 / 0.00188127 |
