NUISANCE_PARAMETERS
#mu  0.00302842 +0.173251 -0.173251
EG_RESOLUTION_ALL  0.0599477 +0.991021 -0.991021
EG_SCALE_ALL  -0.0224859 +0.992129 -0.992129
EL_SF_ID  0.019164 +0.984811 -0.984811
EL_SF_Isol  0.0194691 +0.981876 -0.981876
EL_SF_Reco  0.000155797 +0.993341 -0.993341
EL_SF_Trigger  -2.35327e-07 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.0131121 +0.992073 -0.992073
GlobalReduction_JET_EffectiveNP_1  -0.0256282 +0.98258 -0.98258
GlobalReduction_JET_EffectiveNP_2  -0.0732763 +0.986332 -0.986332
GlobalReduction_JET_EffectiveNP_3  -0.0996673 +0.978119 -0.978119
GlobalReduction_JET_EffectiveNP_4  -0.0310948 +0.990933 -0.990933
GlobalReduction_JET_EffectiveNP_5  -0.00738397 +0.992235 -0.992235
GlobalReduction_JET_EffectiveNP_6  -0.0600536 +0.989448 -0.989448
GlobalReduction_JET_EffectiveNP_7  0.016402 +0.992986 -0.992986
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0554062 +0.991081 -0.991081
GlobalReduction_JET_EtaIntercalibration_Modelling  0.00956477 +0.980531 -0.980531
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0644139 +0.988953 -0.988953
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  0.000879085 +0.993303 -0.993303
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.010291 +0.99321 -0.99321
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00418316 +0.992511 -0.992511
GlobalReduction_JET_Flavor_Composition  -0.20423 +0.902158 -0.902158
GlobalReduction_JET_Flavor_Response  0.101213 +0.973842 -0.973842
GlobalReduction_JET_JER_DataVsMC_AFII  1.53661e-06 +0.993348 -0.993348
GlobalReduction_JET_JER_DataVsMC_MC16  0.0742905 +0.979038 -0.979038
GlobalReduction_JET_JER_EffectiveNP_1  -0.0106811 +0.975629 -0.975629
GlobalReduction_JET_JER_EffectiveNP_2  -0.12451 +0.974967 -0.974967
GlobalReduction_JET_JER_EffectiveNP_3  -0.177691 +0.982388 -0.982388
GlobalReduction_JET_JER_EffectiveNP_4  -0.0401349 +0.978434 -0.978434
GlobalReduction_JET_JER_EffectiveNP_5  -0.0725261 +0.978438 -0.978438
GlobalReduction_JET_JER_EffectiveNP_6  -0.149557 +0.979438 -0.979438
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.00629898 +0.979204 -0.979204
GlobalReduction_JET_Pileup_OffsetMu  0.133722 +0.977627 -0.977627
GlobalReduction_JET_Pileup_OffsetNPV  -0.059924 +0.980517 -0.980517
GlobalReduction_JET_Pileup_PtTerm  -0.0233938 +0.9886 -0.9886
GlobalReduction_JET_Pileup_RhoTopology  -0.202537 +0.913086 -0.913086
GlobalReduction_JET_RelativeNonClosure_AFII  -5.31177e-07 +0.993348 -0.993348
MET_SoftTrk_ResoPara  -0.0495088 +0.979981 -0.979981
MET_SoftTrk_ResoPerp  -0.12434 +0.983119 -0.983119
MET_SoftTrk_Scale  0.0545713 +0.976535 -0.976535
MUON_ID  -0.0741578 +0.988836 -0.988836
MUON_MS  0.0360964 +0.991659 -0.991659
MUON_SCALE  0.0133412 +0.992188 -0.992188
MU_SF_ID_STAT  -6.14111e-05 +0.993348 -0.993348
MU_SF_ID_SYST  6.53938e-06 +0.993348 -0.993348
MU_SF_Isol_STAT  -0.00486532 +0.993394 -0.993394
MU_SF_Isol_SYST  0.0903999 +0.976753 -0.976753
MU_SF_TTVA_STAT  -8.31147e-06 +0.993348 -0.993348
MU_SF_TTVA_SYST  5.02341e-06 +0.993348 -0.993348
MU_SF_Trigger_STAT  -0.000274297 +0.993348 -0.993348
MU_SF_Trigger_SYST  1.99502e-06 +0.993347 -0.993347
OtherFakesNorm  0.498368 +0.87318 -0.87318
OtherNorm  -0.156966 +1.00465 -1.00465
VVHF_1_Jet  0.443517 +0.755202 -0.755202
VVHF_2_Jet  -0.0083287 +0.741059 -0.741059
VVHF_3_Jet  0.0896355 +0.860111 -0.860111
VVHF_4_Jet  -0.0693982 +0.950706 -0.950706
VVHF_5_Jet  0.108865 +0.890423 -0.890423
VVHFgen  0.344644 +0.608734 -0.608734
VVHFnorm  0.578091 +0.748952 -0.748952
VVLF_1_Jet  0.216222 +0.963727 -0.963727
VVLF_2_Jet  0.00782946 +0.985325 -0.985325
VVLF_3_Jet  -0.00922807 +0.990673 -0.990673
VVLF_4_Jet  0.035867 +0.989759 -0.989759
VVLF_5_Jet  0.039804 +0.989698 -0.989698
VVLFgen  0.189205 +0.939939 -0.939939
VVLFnorm  0.203818 +0.969976 -0.969976
WtZmod  -0.0282869 +0.949992 -0.949992
bTagSF_eigenvars_B_0  0.011694 +0.948901 -0.948901
bTagSF_eigenvars_B_1  -0.000938355 +0.993283 -0.993283
bTagSF_eigenvars_B_2  0.000496965 +0.993345 -0.993345
bTagSF_eigenvars_B_3  0.000447049 +0.993346 -0.993346
bTagSF_eigenvars_B_4  -4.12414e-05 +0.993348 -0.993348
bTagSF_eigenvars_B_5  4.42079e-05 +0.993348 -0.993348
bTagSF_eigenvars_C_0  -0.105054 +0.975716 -0.975716
bTagSF_eigenvars_C_1  0.0310403 +0.992172 -0.992172
bTagSF_eigenvars_C_2  -0.000460948 +0.993348 -0.993348
bTagSF_eigenvars_C_3  -0.000275987 +0.993348 -0.993348
bTagSF_eigenvars_Light_0  -0.138164 +0.982662 -0.982662
bTagSF_eigenvars_Light_1  0.0265303 +0.992093 -0.992093
bTagSF_eigenvars_Light_2  -0.00710928 +0.992926 -0.992926
bTagSF_eigenvars_Light_3  0.000514806 +0.993333 -0.993333
jvt  0.00659284 +0.993262 -0.993262
lumi  0.0271157 +0.98377 -0.98377
pileup  -0.0615893 +0.972045 -0.972045
signalMuRMuF  -3.72488e-05 +0.993349 -0.993349
tWZnorm  0.0482785 +0.966937 -0.966937
tZnorm  0.0470599 +0.919923 -0.919923
tZrad  0.0126466 +0.977219 -0.977219
ttHnorm  -0.00499209 +0.991561 -0.991561
ttWnorm  -0.0686475 +0.982605 -0.982605
ttZgen  0.095373 +0.960063 -0.960063
ttZmuRmuF  0.0291741 +0.986896 -0.986896
ttZnorm  -0.327778 +0.73388 -0.73388
ttZrad  -0.0676202 +0.976319 -0.976319
ttbarA14  -0.0465255 +0.9856 -0.9856
ttbarBottomMeson  0.0850327 +0.972868 -0.972868
ttbarFSR  0.301594 +0.885921 -0.885921
ttbarPDF  -0.000559295 +0.993051 -0.993051
ttbarPS  -0.0298208 +0.983357 -0.983357
ttbarPhotConv  -0.297763 +1.02079 -1.02079
ttbarXsec  -1.36714e-06 +0.993348 -0.993348
ttbarhdamp  -0.115702 +0.931944 -0.931944
gamma_stat_SBCR1_bin_0  1.00133 +0.0143598 -0.0143598
gamma_stat_SBCR1_bin_1  0.998033 +0.0124331 -0.0124331
gamma_stat_SBCR1_bin_2  0.999877 +0.0150563 -0.0150563
gamma_stat_SBCR1_bin_3  1.00317 +0.0177474 -0.0177474
gamma_stat_SBCR1_bin_4  1.00257 +0.020072 -0.020072
gamma_stat_SBCR1_bin_5  0.992345 +0.0302114 -0.0302114
gamma_stat_SBCR1_bin_6  0.998038 +0.0269818 -0.0269818
gamma_stat_SBCR1_bin_7  1.00366 +0.0349383 -0.0349383
gamma_stat_SBCR2_bin_0  1.01974 +0.054537 -0.054537
gamma_stat_SBCR2_bin_1  1.00493 +0.0614022 -0.0614022
gamma_stat_SBCR2_bin_2  1.00569 +0.051349 -0.051349
gamma_stat_SBCR2_bin_3  0.987342 +0.0503646 -0.0503646
gamma_stat_SBCR2_bin_4  0.983697 +0.0512108 -0.0512108
gamma_stat_SBCR2_bin_5  1.00158 +0.0509214 -0.0509214
gamma_stat_SBCR2_bin_6  1.02552 +0.0537553 -0.0537553
gamma_stat_SBCR2_bin_7  0.992313 +0.0434365 -0.0434365
gamma_stat_SR1_bin_0  0.999994 +0.00995629 -0.00995629
gamma_stat_SR1_bin_1  0.999995 +0.012779 -0.012779
gamma_stat_SR1_bin_2  0.999993 +0.0131865 -0.0131865
gamma_stat_SR1_bin_3  0.999992 +0.0196945 -0.0196945
gamma_stat_SR1_bin_4  0.999995 +0.0212025 -0.0212025
gamma_stat_SR1_bin_5  0.999995 +0.0219679 -0.0219679
gamma_stat_SR1_bin_6  0.999989 +0.0189624 -0.0189624
gamma_stat_SR1_bin_7  0.99999 +0.0203718 -0.0203718
