 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00485539 / 0.0048549 | -0.00535477 / 0.00535418 | -0.00519218 / 0.00519162 | 0.016434 / -0.0164393 | 0.00177884 / -0.00177891 | -0.0038217 / 0.0038214 | 0.0194598 / -0.0194672 | 1.76031 / -1 | -0.0035735 / 0.00357324 | 0.0105888 / -0.010591 | 0.00121777 / -0.0012178 |
 | jvt | 0.00362771 / -0.0036278 | 0.00518651 / -0.00518669 | 0.00330037 / -0.00330044 | 0.00550217 / -0.00550237 | 0.00561304 / -0.00561325 | 0.00453471 / -0.00453485 | 0.00365235 / -0.00365244 | -0.00639041 / 0.00639014 | 0.00241917 / -0.00241921 | 0.00731192 / -0.00731228 | 0.00583438 / -0.00583461 |
 | EL_SF_Trigger | 0.000122574 / -0.000122574 | 0.000194845 / -0.000194845 | 0.000178015 / -0.000178016 | 0.000118448 / -0.000118448 | 0.000122165 / -0.000122165 | 0.000149357 / -0.000149357 | 0.000252072 / -0.000252072 | -0.0116067 / 0.0116058 | 0.000170698 / -0.000170698 | 0.000108701 / -0.000108701 | 0.00011725 / -0.00011725 |
 | EL_SF_Reco | 0.00242908 / -0.00242912 | 0.00268559 / -0.00268564 | 0.00270649 / -0.00270653 | 0.00213817 / -0.00213821 | 0.00243957 / -0.00243961 | 0.00242547 / -0.00242551 | 0.00402143 / -0.00402154 | -0.0549067 / 0.0548865 | 0.00259442 / -0.00259446 | 0.0026643 / -0.00266435 | 0.00228805 / -0.00228809 |
 | EL_SF_ID | 0.0140193 / -0.0140223 | 0.0154451 / -0.0154487 | 0.015335 / -0.0153385 | 0.0139878 / -0.0139907 | 0.0140182 / -0.0140211 | 0.0137833 / -0.0137862 | 0.0263868 / -0.0263972 | -0.243069 / 0.242379 | 0.0147783 / -0.0147816 | 0.0145045 / -0.0145076 | 0.0119667 / -0.0119688 |
 | EL_SF_Isol | 0.0191715 / -0.0191781 | 0.0179156 / -0.0179214 | 0.0185512 / -0.0185574 | 0.0139565 / -0.01396 | 0.0171976 / -0.0172029 | 0.0177996 / -0.0178053 | 0.020961 / -0.0209689 | -0.0589489 / 0.0588902 | 0.0179467 / -0.0179524 | 0.0186411 / -0.0186473 | 0.018526 / -0.0185321 |
 | MU_SF_Trigger_STAT | 0.000237475 / -0.000237476 | 0.000236672 / -0.000236672 | 0.000275111 / -0.000275112 | 0.000200186 / -0.000200186 | 0.000198908 / -0.000198909 | 0.000239962 / -0.000239962 | 0.000282818 / -0.000282819 | 0.000208952 / -0.000208953 | 0.000292787 / -0.000292788 | 0.00021554 / -0.00021554 | 0.000233776 / -0.000233776 |
 | MU_SF_Trigger_SYST | -0.000494284 / 0.000494282 | -0.000561005 / 0.000561003 | -0.000620871 / 0.000620869 | -0.000396665 / 0.000396663 | -0.000447456 / 0.000447455 | -0.000573086 / 0.000573084 | -0.000889791 / 0.000889785 | -0.000201385 / 0.000201385 | -0.000541746 / 0.000541744 | -0.000528129 / 0.000528127 | -0.000483771 / 0.000483769 |
 | MU_SF_ID_STAT | 0.000905137 / -0.000905143 | 0.000926319 / -0.000926325 | 0.000905746 / -0.000905751 | 0.000765269 / -0.000765273 | 0.00088084 / -0.000880845 | 0.000906345 / -0.00090635 | 0.000561674 / -0.000561676 | 0.00602142 / -0.00602166 | 0.000925292 / -0.000925298 | 0.000933651 / -0.000933657 | 0.000903273 / -0.000903279 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00377363 / -0.00377372 | 0.00319463 / -0.0031947 | 0.00282783 / -0.00282788 | 0.00333094 / -0.00333101 | 0.00417464 / -0.00417475 | 0.00357365 / -0.00357374 | 0.00201108 / -0.00201111 | 0.015933 / -0.0159347 | 0.00339783 / -0.0033979 | 0.00500777 / -0.00500794 | 0.00325937 / -0.00325944 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00895765 / -0.00895818 | 0.00897255 / -0.00897308 | 0.00293626 / -0.00293632 | 0.00774753 / -0.00774793 | 0.00784535 / -0.00784575 | 0.00353061 / -0.00353069 | 0.00628851 / -0.00628877 | 0.0630524 / -0.0630779 | 0.00563591 / -0.00563612 | 0.00440818 / -0.00440831 | 0.00374701 / -0.0037471 |
 | MU_SF_Isol_SYST | 0.0196612 / -0.0196641 | 0.0227313 / -0.0227353 | 0.0159466 / -0.0159484 | 0.0171727 / -0.0171749 | 0.0187734 / -0.018776 | 0.0153633 / -0.015365 | 0.0191522 / -0.0191549 | 0.138014 / -0.138294 | 0.0188289 / -0.0188315 | 0.0131979 / -0.0131991 | 0.0157985 / -0.0158003 |
 | MU_SF_TTVA_STAT | 0.00058933 / -0.000589333 | 0.000457881 / -0.000457883 | 0.000477017 / -0.000477019 | 0.0004986 / -0.000498602 | 0.000607437 / -0.000607439 | 0.000523552 / -0.000523554 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.000524329 / -0.00052433 | 0.000680947 / -0.000680951 | 0.00050743 / -0.000507431 |
 | MU_SF_TTVA_SYST | 0.00074788 / -0.000747884 | 0.000543863 / -0.000543865 | 0.000543422 / -0.000543424 | 0.000814403 / -0.000814407 | 0.000727483 / -0.000727487 | 0.000617371 / -0.000617374 | 0.000441591 / -0.000441593 | 0.00037006 / -0.000370061 | 0.000583081 / -0.000583084 | 0.000861944 / -0.000861949 | 0.000607899 / -0.000607902 |
 | bTagSF_eigenvars_B_0 | -0.0230332 / 0.0230051 | -0.0249481 / 0.0249152 | -0.0221384 / 0.0221124 | 0.00221506 / -0.00221532 | -0.0246425 / 0.0246104 | -0.0284833 / 0.0284404 | -0.0272467 / 0.0272074 | -0.179929 / 0.178263 | -0.00144023 / 0.00144012 | -0.0159762 / 0.0159626 | -0.0171313 / 0.0171158 |
