NUISANCE_PARAMETERS
#mu  0.00368679 +0.177404 -0.177404
EG_RESOLUTION_ALL  0.0600013 +0.991021 -0.991021
EG_SCALE_ALL  -0.0223798 +0.992142 -0.992142
EL_SF_ID  0.0195734 +0.985066 -0.985066
EL_SF_Isol  0.0197973 +0.982041 -0.982041
EL_SF_Reco  0.000158317 +0.993341 -0.993341
EL_SF_Trigger  -2.18527e-07 +0.993348 -0.993348
GlobalReduction_JET_BJES_Response  -0.0131705 +0.99208 -0.99208
GlobalReduction_JET_EffectiveNP_1  -0.025728 +0.982585 -0.982585
GlobalReduction_JET_EffectiveNP_2  -0.0733339 +0.986336 -0.986336
GlobalReduction_JET_EffectiveNP_3  -0.0996072 +0.978114 -0.978114
GlobalReduction_JET_EffectiveNP_4  -0.0310425 +0.990937 -0.990937
GlobalReduction_JET_EffectiveNP_5  -0.00739823 +0.992237 -0.992237
GlobalReduction_JET_EffectiveNP_6  -0.060024 +0.989448 -0.989448
GlobalReduction_JET_EffectiveNP_7  0.0164178 +0.992987 -0.992987
GlobalReduction_JET_EffectiveNP_8restTerm  -0.0553803 +0.991081 -0.991081
GlobalReduction_JET_EtaIntercalibration_Modelling  0.00954899 +0.980528 -0.980528
GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data  0.0644321 +0.988958 -0.988958
GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta  0.000885794 +0.993303 -0.993303
GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta  0.0102935 +0.99321 -0.99321
GlobalReduction_JET_EtaIntercalibration_TotalStat  0.00415912 +0.992514 -0.992514
GlobalReduction_JET_Flavor_Composition  -0.205082 +0.90342 -0.90342
GlobalReduction_JET_Flavor_Response  0.101643 +0.974143 -0.974143
GlobalReduction_JET_JER_DataVsMC_AFII  1.91213e-06 +0.993348 -0.993348
GlobalReduction_JET_JER_DataVsMC_MC16  0.0738656 +0.979301 -0.979301
GlobalReduction_JET_JER_EffectiveNP_1  -0.0109658 +0.975797 -0.975797
GlobalReduction_JET_JER_EffectiveNP_2  -0.124913 +0.975212 -0.975212
GlobalReduction_JET_JER_EffectiveNP_3  -0.177223 +0.982747 -0.982747
GlobalReduction_JET_JER_EffectiveNP_4  -0.0401573 +0.978428 -0.978428
GlobalReduction_JET_JER_EffectiveNP_5  -0.0723229 +0.978519 -0.978519
GlobalReduction_JET_JER_EffectiveNP_6  -0.149339 +0.979524 -0.979524
GlobalReduction_JET_JER_EffectiveNP_7restTerm  0.00624792 +0.979229 -0.979229
GlobalReduction_JET_Pileup_OffsetMu  0.133814 +0.977648 -0.977648
GlobalReduction_JET_Pileup_OffsetNPV  -0.0596137 +0.980668 -0.980668
GlobalReduction_JET_Pileup_PtTerm  -0.0234472 +0.988597 -0.988597
GlobalReduction_JET_Pileup_RhoTopology  -0.203106 +0.913643 -0.913643
GlobalReduction_JET_RelativeNonClosure_AFII  -6.44389e-07 +0.993348 -0.993348
MET_SoftTrk_ResoPara  -0.0495445 +0.979998 -0.979998
MET_SoftTrk_ResoPerp  -0.124507 +0.983174 -0.983174
MET_SoftTrk_Scale  0.0544293 +0.976561 -0.976561
MUON_ID  -0.0741418 +0.988836 -0.988836
MUON_MS  0.036087 +0.991659 -0.991659
MUON_SCALE  0.0133562 +0.99219 -0.99219
MU_SF_ID_STAT  -6.13681e-05 +0.993348 -0.993348
MU_SF_ID_SYST  6.18189e-06 +0.993348 -0.993348
MU_SF_Isol_STAT  -0.00486837 +0.993394 -0.993394
MU_SF_Isol_SYST  0.0908353 +0.977045 -0.977045
MU_SF_TTVA_STAT  -8.33945e-06 +0.993348 -0.993348
MU_SF_TTVA_SYST  4.8762e-06 +0.993348 -0.993348
MU_SF_Trigger_STAT  -0.000275195 +0.993348 -0.993348
