 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0131049 / 0.0131015 | -0.00210905 / 0.00210896 | -0.00660126 / 0.00660042 | -0.0119774 / 0.0119746 | -0.0137767 / 0.013773 | -0.00513644 / 0.00513593 | -0.0172124 / 0.0172065 | -0.00228857 / 0.00228847 | 0.010255 / -0.0102569 | 0.0100284 / -0.0100303 | -0.000182492 / 0.000182491 |
 | jvt | -0.00716533 / 0.00716499 | -0.00372447 / 0.00372438 | -0.0087397 / 0.00873919 | -0.00120254 / 0.00120253 | -0.00231674 / 0.0023167 | -0.00208389 / 0.00208386 | -0.00184528 / 0.00184526 | 0.00106822 / -0.00106823 | -0.00342955 / 0.00342947 | -0.0016116 / 0.00161158 | -0.00394439 / 0.00394428 |
 | EL_SF_Trigger | 0.000126359 / -0.000126359 | 0.000176238 / -0.000176239 | 0.000170795 / -0.000170795 | 0.000179647 / -0.000179647 | 0.000133524 / -0.000133524 | 0.000148245 / -0.000148245 | 0.000268053 / -0.000268054 | 0.000213192 / -0.000213192 | 0.000167701 / -0.000167701 | 0.000125306 / -0.000125306 | 0.000147165 / -0.000147165 |
 | EL_SF_Reco | 0.00241095 / -0.00241099 | 0.00274972 / -0.00274977 | 0.00248804 / -0.00248808 | 0.00232023 / -0.00232026 | 0.00234446 / -0.0023445 | 0.00228979 / -0.00228982 | 0.00357675 / -0.00357684 | 0.00497919 / -0.00497935 | 0.00670356 / -0.00670386 | 0.00256396 / -0.002564 | 0.00256808 / -0.00256813 |
 | EL_SF_ID | 0.0130612 / -0.0130637 | 0.0161652 / -0.016169 | 0.0146207 / -0.0146238 | 0.0133314 / -0.0133339 | 0.0131594 / -0.0131619 | 0.012461 / -0.0124633 | 0.0204122 / -0.0204183 | 0.0275581 / -0.0275692 | 0.0726983 / -0.0727793 | 0.0138414 / -0.0138442 | 0.0118021 / -0.0118041 |
 | EL_SF_Isol | 0.0189613 / -0.0189676 | 0.0207608 / -0.0207685 | 0.0180865 / -0.0180923 | 0.0170037 / -0.0170089 | 0.0162626 / -0.0162673 | 0.0177147 / -0.0177203 | 0.0203185 / -0.0203258 | 0.0142157 / -0.0142193 | 0.0161844 / -0.0161891 | 0.017659 / -0.0176645 | 0.0188615 / -0.0188678 |
 | MU_SF_Trigger_STAT | 0.000225488 / -0.000225488 | 0.000186873 / -0.000186874 | 0.00023797 / -0.000237971 | 0.000228438 / -0.000228439 | 0.000231348 / -0.000231348 | 0.00025928 / -0.000259281 | 0.000356443 / -0.000356444 | 0.000627937 / -0.00062794 | 0.000100054 / -0.000100054 | 0.00028006 / -0.00028006 | 0.000241946 / -0.000241946 |
 | MU_SF_Trigger_SYST | -0.000499986 / 0.000499984 | -0.00053713 / 0.000537128 | -0.000526501 / 0.000526499 | -0.000506423 / 0.000506422 | -0.000506431 / 0.00050643 | -0.00056786 / 0.000567858 | -0.000920432 / 0.000920426 | -0.00191581 / 0.00191579 | -0.000260581 / 0.00026058 | -0.000597259 / 0.000597257 | -0.000446927 / 0.000446926 |
 | MU_SF_ID_STAT | 0.000912073 / -0.000912079 | 0.000893056 / -0.000893062 | 0.000833827 / -0.000833832 | 0.000900982 / -0.000900988 | 0.000914305 / -0.000914311 | 0.000894462 / -0.000894467 | 0.000741876 / -0.00074188 | 0.000898254 / -0.00089826 | 0.000646374 / -0.000646376 | 0.000897894 / -0.000897899 | 0.00095184 / -0.000951846 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
