 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0126468 / 0.0126437 | -0.0159898 / 0.0159848 | -0.0103047 / 0.0103026 | -0.00174222 / 0.00174216 | -0.0121729 / 0.01217 | -0.0125958 / 0.0125927 | -0.0236226 / 0.0236113 | 0.0162285 / -0.0162333 | -0.0226992 / 0.0226889 | -0.00898581 / 0.00898423 | -0.0143343 / 0.0143302 |
 | jvt | -0.00549812 / 0.00549792 | -0.00208309 / 0.00208307 | -0.00401553 / 0.00401543 | 0.00108553 / -0.00108554 | 0.000655157 / -0.00065516 | -0.000394874 / 0.000394873 | 0.000338004 / -0.000338004 | -0.000154358 / 0.000154358 | 0.00313344 / -0.00313351 | -3.16476e-05 / 3.16476e-05 | -0.00223465 / 0.00223462 |
 | EL_SF_Trigger | 0.000145716 / -0.000145716 | 0.00015363 / -0.00015363 | 0.000214713 / -0.000214714 | 0.000194951 / -0.000194951 | 0.000174306 / -0.000174306 | 0.000173162 / -0.000173163 | 0.000318682 / -0.000318683 | 0.000425287 / -0.000425289 | 0.000109289 / -0.000109289 | 0.000146352 / -0.000146352 | 0.000147693 / -0.000147693 |
 | EL_SF_Reco | 0.00249633 / -0.00249637 | 0.00250523 / -0.00250527 | 0.0027508 / -0.00275085 | 0.00264964 / -0.00264968 | 0.00234091 / -0.00234094 | 0.00248912 / -0.00248916 | 0.00406089 / -0.004061 | 0.00494939 / -0.00494956 | 0.00340289 / -0.00340297 | 0.00280921 / -0.00280927 | 0.00254173 / -0.00254177 |
 | EL_SF_ID | 0.0141637 / -0.0141667 | 0.014296 / -0.014299 | 0.0160095 / -0.0160132 | 0.0147253 / -0.0147285 | 0.0130983 / -0.0131008 | 0.0144449 / -0.014448 | 0.0232012 / -0.0232091 | 0.0277338 / -0.0277451 | 0.0105215 / -0.0105231 | 0.0158538 / -0.0158575 | 0.0133848 / -0.0133874 |
 | EL_SF_Isol | 0.01897 / -0.0189764 | 0.0178278 / -0.0178334 | 0.017346 / -0.0173514 | 0.018251 / -0.0182569 | 0.0161855 / -0.0161901 | 0.0174353 / -0.0174407 | 0.0178325 / -0.0178381 | 0.0200625 / -0.0200696 | 0.0180275 / -0.0180332 | 0.0182398 / -0.0182457 | 0.0181156 / -0.0181214 |
 | MU_SF_Trigger_STAT | 0.000251986 / -0.000251987 | 0.000305979 / -0.00030598 | 0.000268539 / -0.00026854 | 0.00019472 / -0.000194721 | 0.000279656 / -0.000279656 | 0.000277749 / -0.00027775 | 0.000371174 / -0.000371174 | 0.000135544 / -0.000135544 | 4.10539e-05 / -4.10539e-05 | 0.000265409 / -0.000265409 | 0.0002515 / -0.000251501 |
 | MU_SF_Trigger_SYST | -0.000571159 / 0.000571157 | -0.000666535 / 0.000666532 | -0.000658567 / 0.000658564 | -0.000542802 / 0.0005428 | -0.00061372 / 0.000613718 | -0.000662984 / 0.000662981 | -0.000991402 / 0.000991395 | -0.000946377 / 0.000946371 | -0.001272 / 0.00127199 | -0.000611716 / 0.000611714 | -0.000604217 / 0.000604215 |
 | MU_SF_ID_STAT | 0.000879016 / -0.000879021 | 0.000923859 / -0.000923865 | 0.000863009 / -0.000863014 | 0.000532104 / -0.000532106 | 0.000910906 / -0.000910912 | 0.000917431 / -0.000917437 | 0.000869032 / -0.000869037 | 0.00065612 / -0.000656122 | 0.000609587 / -0.00060959 | 0.000881526 / -0.000881531 | 0.00089724 / -0.000897245 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00337156 / -0.00337163 | 0.00262511 / -0.00262516 | 0.00257911 / -0.00257915 | 0.00221635 / -0.00221638 | 0.00295949 / -0.00295955 | 0.0029607 / -0.00296076 | 0.00248864 / -0.00248868 | 0.00184041 / -0.00184044 | 0.00276058 / -0.00276063 | 0.00395207 / -0.00395217 | 0.00306993 / -0.00307 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00748349 / -0.00748386 | 0.00712405 / -0.00712439 | 0.00271555 / -0.0027156 | 0.00580381 / -0.00580403 | 0.00597496 / -0.0059752 | 0.00311054 / -0.00311061 | 0.00670981 / -0.0067101 | 0.00166255 / -0.00166257 | 0.00633841 / -0.00633868 | 0.00380712 / -0.00380722 | 0.00338788 / -0.00338796 |
 | MU_SF_Isol_SYST | 0.0192206 / -0.0192232 | 0.0221021 / -0.0221055 | 0.0164462 / -0.016448 | 0.0189911 / -0.0189936 | 0.0206985 / -0.0207015 | 0.0166494 / -0.0166513 | 0.0241715 / -0.0241758 | 0.0186558 / -0.0186582 | 0.026278 / -0.0262831 | 0.0147664 / -0.0147679 | 0.0155993 / -0.0156009 |
 | MU_SF_TTVA_STAT | 0.000532752 / -0.000532753 | 0.000409244 / -0.000409245 | 0.000420514 / -0.000420515 | 0.000418056 / -0.000418057 | 0.000458775 / -0.000458776 | 0.000457501 / -0.000457502 | 0.000408017 / -0.000408018 | 0.000286139 / -0.00028614 | 0.000380347 / -0.000380348 | 0.000574401 / -0.000574404 | 0.000505451 / -0.000505453 |
 | MU_SF_TTVA_SYST | 0.000643049 / -0.000643051 | 0.000454085 / -0.000454086 | 0.00047167 / -0.000471671 | 0.000487979 / -0.000487981 | 0.000498885 / -0.000498887 | 0.000513136 / -0.000513138 | 0.000353826 / -0.000353827 | 0.000137739 / -0.000137739 | 0.000631187 / -0.00063119 | 0.00068831 / -0.000688313 | 0.000594221 / -0.000594223 |
 | bTagSF_eigenvars_B_0 | -0.010705 / 0.0107007 | -0.0096337 / 0.00963024 | -0.00886176 / 0.00885883 | 3.94114e-06 / -3.94114e-06 | -0.00933919 / 0.00933594 | -0.0137032 / 0.0136963 | -0.0181701 / 0.0181578 | -0.0184669 / 0.0184542 | -0.013458 / 0.0134513 | -0.0128239 / 0.0128178 | -0.0127901 / 0.012784 |
 | bTagSF_eigenvars_B_1 | -0.00245583 / 0.00245579 | -0.00101898 / 0.00101898 | -0.00150232 / 0.00150231 | -1.39308e-06 / 1.39308e-06 | -0.000711371 / 0.000711367 | -0.00449318 / 0.00449304 | -0.00341774 / 0.00341767 | -0.00172691 / 0.00172689 | -0.000759984 / 0.000759981 | -0.0062399 / 0.00623963 | -0.00364958 / 0.00364949 |
 | bTagSF_eigenvars_B_2 | 0.00270281 / -0.00270286 | 0.00195974 / -0.00195976 | 0.00243631 / -0.00243635 | 2.03661e-06 / -2.03661e-06 | 0.00114296 / -0.00114296 | 0.00375341 / -0.00375351 | 0.00398016 / -0.00398027 | 0.00230033 / -0.00230037 | 0.00138683 / -0.00138685 | 0.0035427 / -0.00354279 | 0.00312113 / -0.0031212 |
 | bTagSF_eigenvars_B_3 | -0.000607549 / 0.000607547 | -0.00082416 / 0.000824155 | -0.000890184 / 0.000890179 | -1.73669e-06 / 1.73669e-06 | -0.000546029 / 0.000546027 | -0.00043941 / 0.000439409 | -0.00114429 / 0.00114429 | -0.000947939 / 0.000947933 | -0.000698039 / 0.000698036 | 0.000158142 / -0.000158143 | -0.000361444 / 0.000361443 |
