 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | 0.00452435 / -0.00452474 | -0.00769365 / 0.0076925 | -0.00731479 / 0.00731375 | -0.0267457 / 0.0267312 | -0.0239056 / 0.0238941 | -0.0177153 / 0.017709 | -0.0111622 / 0.0111597 | 0.0747272 / -0.0748167 | -0.00417034 / 0.00417 | 0.0159308 / -0.0159355 | -0.0128459 / 0.0128427 |
 | jvt | -0.00141527 / 0.00141526 | 0.000204882 / -0.000204882 | 0.000453446 / -0.000453448 | 0.00515509 / -0.00515527 | 0.000531103 / -0.000531105 | -0.00161502 / 0.001615 | 0.00120877 / -0.00120878 | -0.0180765 / 0.0180744 | -8.38453e-05 / 8.38452e-05 | -0.00559603 / 0.00559582 | -0.00480375 / 0.0048036 |
 | EL_SF_Trigger | 0.000238215 / -0.000238216 | 0.000234849 / -0.000234849 | 0.000311287 / -0.000311287 | 0.000364805 / -0.000364806 | 0.000466954 / -0.000466956 | 0.000524004 / -0.000524006 | 0.000509245 / -0.000509246 | 0.000344495 / -0.000344496 | 0.000206859 / -0.00020686 | 0.000263234 / -0.000263234 | 0.000449431 / -0.000449433 |
 | EL_SF_Reco | 0.00310177 / -0.00310183 | 0.00283257 / -0.00283262 | 0.00319339 / -0.00319346 | 0.00360886 / -0.00360895 | 0.00392865 / -0.00392875 | 0.00469724 / -0.00469739 | 0.00425581 / -0.00425593 | 0.00616041 / -0.00616066 | 0.00296447 / -0.00296453 | 0.00360176 / -0.00360185 | 0.00343496 / -0.00343504 |
 | EL_SF_ID | 0.0178964 / -0.0179011 | 0.0161458 / -0.0161496 | 0.0184848 / -0.0184898 | 0.0208697 / -0.0208761 | 0.0258215 / -0.0258313 | 0.0272632 / -0.0272742 | 0.0258383 / -0.0258482 | 0.0527543 / -0.0527962 | 0.0169932 / -0.0169974 | 0.0208899 / -0.0208963 | 0.0178495 / -0.0178541 |
 | EL_SF_Isol | 0.0212587 / -0.0212667 | 0.0215488 / -0.021557 | 0.0201815 / -0.0201887 | 0.02546 / -0.0254715 | 0.022294 / -0.0223028 | 0.0237446 / -0.0237546 | 0.0203783 / -0.0203857 | 0.014838 / -0.0148419 | 0.0214793 / -0.0214875 | 0.0261366 / -0.0261488 | 0.0235566 / -0.0235664 |
 | MU_SF_Trigger_STAT | 0.00012883 / -0.00012883 | 0.000126212 / -0.000126212 | 0.000171317 / -0.000171317 | 4.81163e-05 / -4.81163e-05 | 0.000216146 / -0.000216146 | 0.000142041 / -0.000142041 | 0.000223119 / -0.000223119 | 9.96153e-05 / -9.96153e-05 | 9.96142e-05 / -9.96143e-05 | 8.41645e-05 / -8.41645e-05 | 0.000108169 / -0.00010817 |
 | MU_SF_Trigger_SYST | -0.000362817 / 0.000362816 | -0.000333843 / 0.000333842 | -0.000459477 / 0.000459476 | -0.000292454 / 0.000292454 | -0.000450485 / 0.000450483 | -0.0007994 / 0.000799396 | -0.000691037 / 0.000691034 | -0.00138641 / 0.0013864 | -0.000319245 / 0.000319244 | -0.000208157 / 0.000208157 | -0.000207048 / 0.000207048 |
 | MU_SF_ID_STAT | 0.00078762 / -0.000787624 | 0.000822925 / -0.00082293 | 0.000800243 / -0.000800247 | 0.000627162 / -0.000627165 | 0.000739371 / -0.000739375 | 0.000631913 / -0.000631916 | 0.000771306 / -0.00077131 | 0.000685404 / -0.000685407 | 0.000803724 / -0.000803728 | 0.000576324 / -0.000576326 | 0.00060198 / -0.000601983 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00288434 / -0.0028844 | 0.00319016 / -0.00319023 | 0.00265494 / -0.00265499 | 0.00278759 / -0.00278764 | 0.00263148 / -0.00263152 | 0.00174608 / -0.0017461 | 0.00225774 / -0.00225778 | 0.00382447 / -0.00382457 | 0.00345786 / -0.00345794 | 0.00241339 / -0.00241343 | 0.00186719 / -0.00186722 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00718121 / -0.00718155 | 0.00770182 / -0.00770221 | 0.00267749 / -0.00267753 | 0.00510946 / -0.00510964 | 0.0054191 / -0.00541929 | 0.00175559 / -0.00175561 | 0.0067442 / -0.0067445 | 0.00757732 / -0.0075777 | 0.00706118 / -0.00706151 | 0.00232351 / -0.00232355 | 0.00184861 / -0.00184864 |
 | MU_SF_Isol_SYST | 0.0190031 / -0.0190056 | 0.0188414 / -0.0188438 | 0.0154559 / -0.0154575 | 0.0183218 / -0.0183241 | 0.0180865 / -0.0180887 | 0.0173241 / -0.0173262 | 0.0233345 / -0.0233384 | 0.0134636 / -0.0134648 | 0.0160482 / -0.01605 | 0.0149711 / -0.0149726 | 0.015785 / -0.0157867 |
 | MU_SF_TTVA_STAT | 0.000459018 / -0.00045902 | 0.000482722 / -0.000482724 | 0.000442655 / -0.000442656 | 0.000377354 / -0.000377355 | 0.000350832 / -0.000350833 | 0.000292663 / -0.000292664 | 0.000401074 / -0.000401075 | 0.000367872 / -0.000367873 | 0.000542853 / -0.000542855 | 0.000320391 / -0.000320392 | 0.000336025 / -0.000336026 |
